# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
2,0,52,80,1152,1536
2,0,56,80,1152,1536
1,0,71,80,1152,1536
1,0,76,80,1152,1536
2,0,52,80,1536,1728
2,0,52,80,1536,1728
1,0,68,80,1536,1728
1,0,71,80,1536,1728
2,0,45,80,1728,1920
2,0,52,80,1728,1920
1,0,69,80,1728,1920
1,0,73,80,1728,1920
2,0,45,80,1920,2112
2,0,52,80,1920,2112
1,0,69,80,1920,2112
1,0,73,80,1920,2112
2,0,54,80,2304,2688
2,0,54,80,2304,2688
1,0,70,80,2304,2688
1,0,73,80,2304,2688
2,0,54,80,2688,2880
2,0,54,80,2688,2880
1,0,70,80,2688,2880
1,0,73,80,2688,2880
2,0,47,80,2880,3072
2,0,54,80,2880,3072
1,0,71,80,2880,3072
1,0,75,80,2880,3072
2,0,47,80,3072,3264
2,0,54,80,3072,3264
1,0,71,80,3072,3264
1,0,75,80,3072,3264
2,0,48,80,3456,3840
2,0,54,80,3456,3840
1,0,69,80,3456,3840
1,0,75,80,3456,3840
2,0,48,80,3840,4032
2,0,54,80,3840,4032
1,0,69,80,3840,4032
1,0,75,80,3840,4032
2,0,49,80,4032,4416
2,0,52,80,4032,4416
1,0,68,80,4032,4416
1,0,76,80,4032,4416
2,0,45,80,4416,4608
2,0,57,80,4416,4608
1,0,73,80,4416,4608
1,0,80,80,4416,4512
1,0,78,80,4512,4608
2,0,47,80,4608,5568
2,0,56,80,4608,5184
1,0,71,80,4608,5168
1,0,71,80,4608,5184
1,0,76,80,5168,5184
2,0,54,80,5184,5568
1,0,69,80,5184,5568
1,0,75,80,5184,5376
1,0,73,80,5376,5568
2,0,47,80,5568,5760
2,0,54,80,5568,5760
1,0,69,80,5568,5760
1,0,75,80,5568,5760
2,0,52,80,5760,6912
2,0,52,80,5760,6912
1,0,68,80,5760,6912
1,0,76,80,5760,6912
2,0,45,80,6912,7296
2,0,52,80,6912,7296
1,0,73,80,6912,7296
1,0,76,80,6912,7296
2,0,45,80,7296,7488
2,0,52,80,7296,7488
1,0,69,80,7296,7488
1,0,73,80,7296,7488
2,0,45,80,7488,7872
2,0,52,80,7488,7872
1,0,73,80,7488,7872
1,0,76,80,7488,7872
2,0,45,80,7872,8064
2,0,52,80,7872,8064
1,0,69,80,7872,8064
1,0,73,80,7872,8064
2,0,45,80,8064,8448
2,0,52,80,8064,8448
1,0,73,80,8064,8448
1,0,76,80,8064,8448
2,0,45,80,8448,8640
2,0,52,80,8448,8640
1,0,69,80,8448,8640
1,0,73,80,8448,8640
2,0,45,80,8640,9024
2,0,52,80,8640,9024
1,0,73,80,8640,9024
1,0,76,80,8640,9024
2,0,45,80,9024,9216
2,0,52,80,9024,9216
1,0,69,80,9024,9216
1,0,73,80,9024,9216
2,0,46,80,9216,9600
2,0,52,80,9216,9600
1,0,66,80,9216,9600
1,0,73,80,9216,9600
2,0,46,80,9600,9792
2,0,52,80,9600,9792
1,0,66,80,9600,9792
1,0,73,80,9600,9792
2,0,46,80,9792,9984
2,0,52,80,9792,9984
1,0,66,80,9792,10176
1,0,73,80,9792,9984
2,0,47,80,9984,10176
2,0,51,80,9984,10176
1,0,75,80,9984,10176
2,0,47,80,10176,10368
2,0,51,80,10176,10368
1,0,66,80,10176,10368
1,0,75,80,10176,10368
2,0,48,80,10368,10752
2,0,54,80,10368,10752
1,0,68,80,10368,10752
1,0,75,80,10368,10752
2,0,48,80,10752,10944
2,0,54,80,10752,10944
1,0,68,80,10752,10944
1,0,75,80,10752,10944
2,0,48,80,10944,11136
2,0,54,80,10944,11136
1,0,68,80,10944,11328
1,0,75,80,10944,11136
2,0,49,80,11136,11328
2,0,52,80,11136,11328
1,0,76,80,11136,11328
2,0,52,80,11328,11520
2,0,52,80,11328,11520
1,0,70,80,11328,11520
1,0,73,80,11328,11520
2,0,51,80,11520,11904
2,0,54,80,11520,11904
1,0,71,80,11520,11904
1,0,78,80,11520,11808
1,0,80,80,11808,11904
2,0,49,80,11904,12096
2,0,54,80,11904,12096
1,0,70,80,11904,12096
1,0,76,80,11904,12096
2,0,47,80,12096,12480
2,0,54,80,12096,12480
1,0,71,80,12096,12480
1,0,75,80,12096,12480
2,0,44,80,12672,13056
2,0,52,80,12672,13056
1,0,71,80,12672,13056
1,0,76,80,12672,13056
2,0,44,80,13056,13248
2,0,52,80,13056,13248
1,0,72,80,13056,13248
1,0,76,80,13056,13248
2,0,45,80,13248,13632
2,0,52,80,13248,13632
1,0,73,80,13248,13632
1,0,76,80,13248,13632
2,0,45,80,13632,13824
2,0,52,80,13632,13824
1,0,71,80,13632,13728
1,0,75,80,13632,13728
1,0,69,80,13728,13824
1,0,73,80,13728,13824
2,0,47,80,13824,14208
2,0,51,80,13824,14208
1,0,69,80,13824,14016
1,0,73,80,13824,14016
1,0,68,80,14016,14208
1,0,71,80,14016,14208
2,0,47,80,14208,14400
2,0,51,80,14208,14400
1,0,66,80,14208,14400
1,0,69,80,14208,14400
2,0,49,80,14400,14976
2,0,52,80,14400,14976
1,0,64,80,14400,14976
1,0,69,80,14400,14784
1,0,68,80,14784,14976
2,0,44,80,14976,15360
2,0,52,80,14976,15360
1,0,71,80,14976,15360
1,0,76,80,14976,15168
1,0,80,80,15168,15360
2,0,44,80,15360,15552
2,0,52,80,15360,15552
1,0,72,80,15360,15552
1,0,78,80,15360,15456
1,0,76,80,15456,15552
2,0,45,80,15552,15936
2,0,52,80,15552,15936
1,0,73,80,15552,15936
1,0,76,80,15552,15936
2,0,45,80,15936,16128
2,0,52,80,15936,16128
1,0,71,80,15936,16032
1,0,75,80,15936,16032
1,0,69,80,16032,16128
1,0,73,80,16032,16128
2,0,47,80,16128,16512
2,0,47,80,16128,16512
1,0,69,80,16128,16320
1,0,73,80,16128,16320
1,0,68,80,16320,16512
1,0,71,80,16320,16512
2,0,47,80,16512,16704
2,0,54,80,16512,16704
1,0,69,80,16512,16704
1,0,75,80,16512,16704
2,0,52,80,16704,17088
2,0,52,80,16704,17088
1,0,68,80,16704,17088
1,0,76,80,16704,17088
2,0,52,80,17280,17664
2,0,56,80,17280,17664
1,0,71,80,17280,17664
1,0,76,80,17280,17664
2,0,52,80,17664,17856
2,0,52,80,17664,17856
1,0,68,80,17664,17856
1,0,71,80,17664,17856
2,0,45,80,17856,18048
2,0,52,80,17856,18048
1,0,69,80,17856,18048
1,0,73,80,17856,18048
2,0,45,80,18048,18240
2,0,52,80,18048,18240
1,0,69,80,18048,18240
1,0,73,80,18048,18240
2,0,47,80,18432,18816
2,0,54,80,18432,18816
1,0,75,80,18432,18816
1,0,81,80,18432,18816
2,0,47,80,18816,19008
2,0,54,80,18816,19008
1,0,69,80,18816,19008
1,0,75,80,18816,19008
2,0,52,80,19008,19200
2,0,52,80,19008,19200
1,0,68,80,19008,19200
1,0,76,80,19008,19200
2,0,52,80,19200,19392
2,0,52,80,19200,19392
1,0,68,80,19200,19392
1,0,76,80,19200,19392
2,0,52,80,19392,19584
2,0,52,80,19392,19584
2,0,52,80,19392,19584
2,0,52,80,19392,19584
2,0,52,80,19584,19968
2,0,56,80,19584,19968
1,0,71,80,19584,19968
1,0,76,80,19584,19968
2,0,52,80,19968,20160
2,0,52,80,19968,20160
1,0,68,80,19968,20160
1,0,71,80,19968,20160
2,0,45,80,20160,20352
2,0,52,80,20160,20352
1,0,69,80,20160,20352
1,0,73,80,20160,20352
2,0,45,80,20352,20544
2,0,52,80,20352,20544
1,0,69,80,20352,20544
1,0,73,80,20352,20544
2,0,54,80,20736,21120
2,0,54,80,20736,21120
1,0,70,80,20736,21120
1,0,73,80,20736,21120
2,0,54,80,21120,21312
2,0,54,80,21120,21312
1,0,70,80,21120,21312
1,0,73,80,21120,21312
2,0,47,80,21312,21504
2,0,54,80,21312,21504
1,0,71,80,21312,21504
1,0,75,80,21312,21504
2,0,47,80,21504,21696
2,0,54,80,21504,21696
1,0,71,80,21504,21696
1,0,75,80,21504,21696
2,0,48,80,21888,22272
2,0,54,80,21888,22272
1,0,69,80,21888,22272
1,0,75,80,21888,22272
2,0,48,80,22272,22464
2,0,54,80,22272,22464
1,0,69,80,22272,22464
1,0,75,80,22272,22464
2,0,49,80,22464,22848
2,0,52,80,22464,22848
1,0,68,80,22464,22848
1,0,76,80,22464,22848
2,0,45,80,22848,23040
2,0,57,80,22848,23040
1,0,73,80,22848,23040
1,0,80,80,22848,22944
1,0,78,80,22944,23040
2,0,47,80,23040,24000
2,0,56,80,23040,23616
1,0,71,80,23040,23600
1,0,71,80,23040,23616
1,0,76,80,23600,23616
2,0,54,80,23616,24000
1,0,69,80,23616,24000
1,0,75,80,23616,23808
1,0,73,80,23808,24000
2,0,47,80,24000,24192
2,0,54,80,24000,24192
1,0,69,80,24000,24192
1,0,75,80,24000,24192
2,0,52,80,24192,25344
2,0,52,80,24192,25344
1,0,68,80,24192,25344
1,0,76,80,24192,25344
2,0,45,80,25344,25728
2,0,52,80,25344,25728
1,0,73,80,25344,25728
1,0,76,80,25344,25728
2,0,45,80,25728,25920
2,0,52,80,25728,25920
1,0,69,80,25728,25920
1,0,73,80,25728,25920
2,0,45,80,25920,26304
2,0,52,80,25920,26304
1,0,73,80,25920,26304
1,0,76,80,25920,26304
2,0,45,80,26304,26496
2,0,52,80,26304,26496
1,0,69,80,26304,26496
1,0,73,80,26304,26496
2,0,45,80,26496,26880
2,0,52,80,26496,26880
1,0,73,80,26496,26880
1,0,76,80,26496,26880
2,0,45,80,26880,27072
2,0,52,80,26880,27072
1,0,69,80,26880,27072
1,0,73,80,26880,27072
2,0,45,80,27072,27456
2,0,52,80,27072,27456
1,0,73,80,27072,27456
1,0,76,80,27072,27456
2,0,45,80,27456,27648
2,0,52,80,27456,27648
1,0,69,80,27456,27648
1,0,73,80,27456,27648
2,0,46,80,27648,28032
2,0,52,80,27648,28032
1,0,66,80,27648,28032
1,0,73,80,27648,28032
2,0,46,80,28032,28224
2,0,52,80,28032,28224
1,0,66,80,28032,28224
1,0,73,80,28032,28224
2,0,46,80,28224,28416
2,0,52,80,28224,28416
1,0,66,80,28224,28608
1,0,73,80,28224,28416
2,0,47,80,28416,28608
2,0,51,80,28416,28608
1,0,75,80,28416,28608
2,0,47,80,28608,28800
2,0,51,80,28608,28800
1,0,66,80,28608,28800
1,0,75,80,28608,28800
2,0,48,80,28800,29184
2,0,54,80,28800,29184
1,0,68,80,28800,29184
1,0,75,80,28800,29184
2,0,48,80,29184,29376
2,0,54,80,29184,29376
1,0,68,80,29184,29376
1,0,75,80,29184,29376
2,0,48,80,29376,29568
2,0,54,80,29376,29568
1,0,68,80,29376,29760
1,0,75,80,29376,29568
2,0,49,80,29568,29760
2,0,52,80,29568,29760
1,0,76,80,29568,29760
2,0,52,80,29760,29952
2,0,52,80,29760,29952
1,0,70,80,29760,29952
1,0,73,80,29760,29952
2,0,51,80,29952,30336
2,0,54,80,29952,30336
1,0,71,80,29952,30336
1,0,78,80,29952,30240
1,0,80,80,30240,30336
2,0,49,80,30336,30528
2,0,54,80,30336,30528
1,0,70,80,30336,30528
1,0,76,80,30336,30528
2,0,47,80,30528,30912
2,0,54,80,30528,30912
1,0,71,80,30528,30912
1,0,75,80,30528,30912
2,0,44,80,31104,31488
2,0,52,80,31104,31488
1,0,71,80,31104,31488
1,0,76,80,31104,31488
2,0,44,80,31488,31680
2,0,52,80,31488,31680
1,0,72,80,31488,31680
1,0,76,80,31488,31680
2,0,45,80,31680,32064
2,0,52,80,31680,32064
1,0,73,80,31680,32064
1,0,76,80,31680,32064
2,0,45,80,32064,32256
2,0,52,80,32064,32256
1,0,71,80,32064,32160
1,0,75,80,32064,32160
1,0,69,80,32160,32256
1,0,73,80,32160,32256
2,0,47,80,32256,32640
2,0,51,80,32256,32640
1,0,69,80,32256,32448
1,0,73,80,32256,32448
1,0,68,80,32448,32640
1,0,71,80,32448,32640
2,0,47,80,32640,32832
2,0,51,80,32640,32832
1,0,66,80,32640,32832
1,0,69,80,32640,32832
2,0,49,80,32832,33408
2,0,52,80,32832,33408
1,0,64,80,32832,33408
1,0,69,80,32832,33216
1,0,68,80,33216,33408
2,0,44,80,33408,33792
2,0,52,80,33408,33792
1,0,71,80,33408,33792
1,0,76,80,33408,33600
1,0,80,80,33600,33792
2,0,44,80,33792,33984
2,0,52,80,33792,33984
1,0,72,80,33792,33984
1,0,78,80,33792,33888
1,0,76,80,33888,33984
2,0,45,80,33984,34368
2,0,52,80,33984,34368
1,0,73,80,33984,34368
1,0,76,80,33984,34368
2,0,45,80,34368,34560
2,0,52,80,34368,34560
1,0,71,80,34368,34464
1,0,75,80,34368,34464
1,0,69,80,34464,34560
1,0,73,80,34464,34560
2,0,47,80,34560,34944
2,0,47,80,34560,34944
1,0,69,80,34560,34752
1,0,73,80,34560,34752
1,0,68,80,34752,34944
1,0,71,80,34752,34944
2,0,47,80,34944,35136
2,0,54,80,34944,35136
1,0,69,80,34944,35136
1,0,75,80,34944,35136
2,0,52,80,35136,35520
2,0,52,80,35136,35520
1,0,68,80,35136,35520
1,0,76,80,35136,35520
2,0,52,80,35712,36096
2,0,56,80,35712,36096
1,0,71,80,35712,36096
