# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,12/8
track,channel,pitch,vel,start,end
2,0,43,80,0,2016
1,0,74,80,0,192
1,0,76,80,192,1152
2,0,58,80,576,1080
1,0,62,80,576,1080
1,0,67,80,576,1080
2,0,57,80,1152,2160
1,0,60,80,1152,2160
1,0,65,80,1152,2160
1,0,72,80,1152,1344
1,0,74,80,1344,1536
1,0,72,80,1536,1728
1,0,74,80,1728,1920
1,0,72,80,1920,2112
1,0,74,80,2112,2304
2,0,43,80,2304,4320
1,0,70,80,2304,2496
1,0,72,80,2496,3456
2,0,58,80,2880,3384
1,0,62,80,2880,3384
1,0,67,80,2880,3384
2,0,57,80,3456,4464
1,0,60,80,3456,4464
1,0,65,80,3456,4464
1,0,69,80,3456,3648
1,0,70,80,3648,3840
1,0,69,80,3840,4032
1,0,70,80,4032,4224
1,0,69,80,4224,4416
1,0,70,80,4416,4608
2,0,40,80,4608,6624
1,0,67,80,4608,4800
1,0,71,80,4800,5928
2,0,55,80,5184,6192
2,0,59,80,5184,6192
1,0,64,80,5184,6192
2,0,55,80,6336,6840
2,0,59,80,6336,6840
1,0,64,80,6336,6840
2,0,40,80,6912,8928
2,0,53,80,7488,7992
2,0,57,80,7488,7992
1,0,60,80,7488,7992
2,0,55,80,8064,9072
2,0,59,80,8064,9072
1,0,64,80,8064,9072
2,0,43,80,9216,11232
1,0,74,80,9216,9408
1,0,76,80,9408,10368
2,0,58,80,9792,10296
1,0,62,80,9792,10296
1,0,67,80,9792,10296
2,0,57,80,10368,11376
1,0,60,80,10368,11376
1,0,65,80,10368,11376
1,0,72,80,10368,10560
1,0,74,80,10560,10752
1,0,72,80,10752,10944
1,0,74,80,10944,11136
1,0,72,80,11136,11328
1,0,74,80,11328,11520
2,0,43,80,11520,13536
1,0,70,80,11520,11712
1,0,72,80,11712,12672
2,0,58,80,12096,12600
1,0,62,80,12096,12600
1,0,67,80,12096,12600
2,0,57,80,12672,13680
1,0,60,80,12672,13680
1,0,65,80,12672,13680
1,0,69,80,12672,12864
1,0,70,80,12864,13056
1,0,69,80,13056,13248
1,0,70,80,13248,13440
1,0,69,80,13440,13632
1,0,70,80,13632,13824
2,0,38,80,13824,15840
1,0,68,80,13824,14016
1,0,65,80,14016,15144
2,0,53,80,14400,15408
2,0,56,80,14400,15408
1,0,62,80,14400,15408
2,0,53,80,15552,16056
2,0,56,80,15552,16056
1,0,62,80,15552,16056
2,0,38,80,16128,18144
2,0,52,80,16704,17208
2,0,55,80,16704,17208
2,0,59,80,16704,17208
2,0,53,80,17280,18288
2,0,56,80,17280,18288
1,0,62,80,17280,18288
2,0,38,80,18432,20448
1,0,65,80,18624,18816
1,0,67,80,18816,19008
2,0,53,80,19008,20016
2,0,56,80,19008,20016
1,0,62,80,19008,20016
1,0,68,80,19008,19200
1,0,70,80,19200,19392
1,0,68,80,19392,19584
1,0,67,80,19584,19776
1,0,65,80,19776,19968
1,0,67,80,19968,20160
2,0,53,80,20160,20664
2,0,56,80,20160,20664
1,0,62,80,20160,20664
1,0,68,80,20160,20352
1,0,70,80,20352,20544
1,0,68,80,20544,20736
2,0,40,80,20736,22752
1,0,71,80,20736,20928
1,0,71,80,20928,22056
2,0,55,80,21312,22320
2,0,59,80,21312,22320
1,0,64,80,21312,22320
2,0,55,80,22464,22968
2,0,59,80,22464,22968
1,0,64,80,22464,22968
2,0,50,80,23040,25056
1,0,65,80,23232,23424
1,0,67,80,23424,23616
2,0,53,80,23616,24624
2,0,56,80,23616,24624
1,0,62,80,23616,24624
1,0,68,80,23616,23808
1,0,70,80,23808,24000
1,0,72,80,24000,24192
1,0,74,80,24192,24384
1,0,72,80,24384,24576
1,0,70,80,24576,24768
