# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,500000
# meta,0,0,time_signature,2/2
track,channel,pitch,vel,start,end
2,0,43,80,0,768
1,0,70,80,0,768
2,0,55,80,768,1152
1,0,62,80,768,960
1,0,67,80,960,1152
2,0,43,80,1152,1536
1,0,70,80,1152,1344
1,0,72,80,1344,1536
2,0,50,80,1536,2304
1,0,69,80,1536,1920
1,0,62,80,1920,2304
2,0,54,80,2304,2496
1,0,66,80,2304,2688
2,0,57,80,2496,2688
2,0,60,80,2688,2880
1,0,69,80,2688,3072
2,0,63,80,2880,3072
2,0,42,80,3072,3456
1,0,72,80,3072,3840
2,0,45,80,3456,3840
2,0,50,80,3840,4224
1,0,62,80,3840,4032
1,0,69,80,4032,4224
2,0,38,80,4224,4608
1,0,72,80,4224,4416
1,0,74,80,4416,4608
2,0,43,80,4608,5376
1,0,70,80,4608,4992
1,0,62,80,4992,5376
2,0,46,80,5376,5568
1,0,67,80,5376,5760
2,0,50,80,5568,5760
2,0,55,80,5760,5952
1,0,70,80,5760,6144
2,0,58,80,5952,6144
2,0,34,80,6144,6528
1,0,74,80,6144,6912
2,0,43,80,6528,6912
2,0,46,80,6912,7296
1,0,67,80,6912,7104
1,0,70,80,7104,7296
2,0,50,80,7296,7680
1,0,74,80,7296,7488
1,0,79,80,7488,7680
2,0,48,80,7680,8064
2,0,60,80,7680,8064
1,0,75,80,7680,7872
1,0,75,80,7872,8064
2,0,50,80,8064,8448
2,0,58,80,8064,8448
1,0,74,80,8064,8256
1,0,74,80,8256,8448
2,0,51,80,8448,8832
2,0,57,80,8448,8832
1,0,72,80,8448,8640
1,0,72,80,8640,8832
2,0,50,80,8832,9216
2,0,55,80,8832,9216
1,0,70,80,8832,9024
1,0,70,80,9024,9216
2,0,48,80,9216,9600
2,0,60,80,9216,9600
1,0,69,80,9216,9408
1,0,69,80,9408,9600
2,0,50,80,9600,9984
2,0,58,80,9600,9984
1,0,67,80,9600,9792
1,0,67,80,9792,9984
2,0,51,80,9984,10752
2,0,57,80,9984,10368
1,0,66,80,9984,10176
1,0,67,80,10176,10320
1,0,69,80,10320,10368
2,0,55,80,10368,10752
1,0,67,80,10368,10640
1,0,66,80,10608,10640
1,0,67,80,10640,10704
2,0,50,80,10752,11520
2,0,54,80,10752,11520
1,0,69,80,10752,10944
1,0,67,80,10944,11136
1,0,66,80,11136,11328
1,0,64,80,11328,11520
1,0,62,80,11520,11712
2,0,60,80,11712,11904
2,0,58,80,11904,12096
2,0,57,80,12096,12288
2,0,55,80,12288,13056
1,0,70,80,12288,13056
2,0,43,80,13056,13440
1,0,62,80,13056,13248
1,0,67,80,13248,13440
2,0,55,80,13440,13824
1,0,70,80,13440,13632
1,0,72,80,13632,13824
2,0,50,80,13824,14592
1,0,69,80,13824,14208
1,0,62,80,14208,14592
2,0,54,80,14592,14784
1,0,66,80,14592,14976
2,0,57,80,14784,14976
2,0,60,80,14976,15168
1,0,69,80,14976,15360
2,0,63,80,15168,15360
2,0,42,80,15360,15744
1,0,72,80,15360,16128
2,0,45,80,15744,16128
2,0,50,80,16128,16512
1,0,62,80,16128,16320
1,0,69,80,16320,16512
2,0,38,80,16512,16896
1,0,72,80,16512,16704
1,0,74,80,16704,16896
2,0,43,80,16896,17664
1,0,70,80,16896,17280
1,0,62,80,17280,17664
2,0,46,80,17664,17856
1,0,67,80,17664,18048
2,0,50,80,17856,18048
2,0,55,80,18048,18240
1,0,70,80,18048,18432
2,0,58,80,18240,18432
2,0,34,80,18432,18816
1,0,74,80,18432,19200
2,0,43,80,18816,19200
2,0,46,80,19200,19584
1,0,67,80,19200,19392
1,0,70,80,19392,19584
2,0,50,80,19584,19968
1,0,74,80,19584,19776
1,0,79,80,19776,19968
2,0,48,80,19968,20352
2,0,60,80,19968,20352
1,0,75,80,19968,20160
1,0,75,80,20160,20352
2,0,50,80,20352,20736
2,0,58,80,20352,20736
1,0,74,80,20352,20544
1,0,74,80,20544,20736
2,0,51,80,20736,21120
2,0,57,80,20736,21120
1,0,72,80,20736,20928
1,0,72,80,20928,21120
2,0,50,80,21120,21504
2,0,55,80,21120,21504
1,0,70,80,21120,21312
1,0,70,80,21312,21504
2,0,48,80,21504,21888
1,0,69,80,21504,21696
1,0,74,80,21696,21888
2,0,63,80,21888,22272
1,0,72,80,21888,22080
1,0,70,80,22080,22272
2,0,50,80,22272,22656
1,0,69,80,22272,22464
1,0,67,80,22464,22656
2,0,62,80,22656,23040
1,0,69,80,22656,22848
1,0,66,80,22848,23040
2,0,43,80,23040,24576
1,0,67,80,23040,24576
1,0,62,80,23232,24576
2,0,58,80,23424,24576
2,0,38,80,23616,23808
2,0,55,80,23616,24576
2,0,31,80,23808,24576
2,0,58,80,24576,25344
1,0,74,80,24576,25344
2,0,46,80,25344,25728
1,0,65,80,25344,25536
1,0,70,80,25536,25728
2,0,58,80,25728,26112
