# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,192
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,43,80,768,1480
1,0,67,80,768,848
2,0,55,80,864,960
2,0,55,80,960,1056
2,0,59,80,960,1312
1,0,67,80,960,1312
2,0,55,80,1056,1152
2,0,55,80,1152,1248
2,0,55,80,1248,1344
2,0,55,80,1344,1440
1,0,60,80,1344,1480
1,0,69,80,1344,1480
2,0,55,80,1440,1536
2,0,59,80,1488,1536
1,0,67,80,1488,1536
2,0,43,80,1536,2248
2,0,59,80,1536,1624
1,0,67,80,1536,1624
2,0,55,80,1632,1728
2,0,55,80,1728,1824
1,0,64,80,1728,1904
1,0,72,80,1728,1904
2,0,55,80,1824,1920
2,0,55,80,1920,2016
1,0,62,80,1920,2008
1,0,71,80,1920,2008
2,0,55,80,2016,2112
2,0,55,80,2112,2208
1,0,72,80,2112,2288
1,0,76,80,2112,2288
2,0,55,80,2208,2304
2,0,43,80,2304,2400
1,0,71,80,2304,2392
1,0,74,80,2304,2392
2,0,55,80,2400,2496
2,0,55,80,2496,2592
1,0,76,80,2496,2760
1,0,79,80,2496,2760
2,0,55,80,2592,2688
2,0,55,80,2688,2880
1,0,74,80,2784,2872
1,0,78,80,2784,2872
1,0,72,80,2880,2968
1,0,76,80,2880,2968
1,0,71,80,2976,3064
1,0,74,80,2976,3064
2,0,54,80,3072,3168
1,0,71,80,3072,3336
1,0,74,80,3072,3336
2,0,50,80,3168,3264
2,0,52,80,3264,3360
2,0,54,80,3360,3456
1,0,69,80,3360,3448
1,0,72,80,3360,3448
2,0,55,80,3456,3536
1,0,71,80,3456,3504
1,0,67,80,3504,3552
1,0,69,80,3552,3600
1,0,71,80,3600,3648
1,0,72,80,3648,3696
1,0,74,80,3696,3744
1,0,76,80,3744,3792
1,0,78,80,3792,3816
2,0,59,80,3840,3888
1,0,79,80,3840,4104
1,0,67,80,3888,3936
1,0,62,80,3936,3984
1,0,67,80,3984,4032
2,0,59,80,4032,4080
1,0,67,80,4080,4128
1,0,62,80,4128,4176
1,0,83,80,4128,4216
1,0,67,80,4176,4224
2,0,59,80,4224,4272
1,0,86,80,4224,4312
1,0,67,80,4272,4320
1,0,62,80,4320,4368
1,0,83,80,4320,4408
1,0,67,80,4368,4416
1,0,60,80,4416,4464
1,0,88,80,4416,4504
1,0,67,80,4464,4512
1,0,64,80,4512,4560
1,0,84,80,4512,4600
1,0,67,80,4560,4608
2,0,59,80,4608,4656
1,0,86,80,4608,4872
1,0,67,80,4656,4704
1,0,62,80,4704,4752
1,0,67,80,4752,4800
2,0,59,80,4800,4848
1,0,67,80,4848,4896
1,0,62,80,4896,4944
1,0,83,80,4896,4984
1,0,67,80,4944,4992
2,0,59,80,4992,5040
1,0,79,80,4992,5080
1,0,67,80,5040,5088
1,0,62,80,5088,5136
1,0,74,80,5088,5176
1,0,67,80,5136,5184
1,0,60,80,5184,5232
1,0,79,80,5184,5272
1,0,67,80,5232,5280
1,0,64,80,5280,5328
1,0,76,80,5280,5368
1,0,67,80,5328,5376
2,0,59,80,5376,5424
1,0,74,80,5376,5464
1,0,67,80,5424,5472
1,0,62,80,5472,5520
1,0,83,80,5472,5664
1,0,67,80,5520,5568
2,0,59,80,5568,5616
1,0,67,80,5616,5664
1,0,62,80,5664,5712
1,0,79,80,5664,5752
1,0,67,80,5712,5760
2,0,57,80,5760,5808
1,0,78,80,5760,5848
1,0,67,80,5808,5856
1,0,64,80,5856,5904
1,0,76,80,5856,5944
1,0,67,80,5904,5952
2,0,57,80,5952,6000
1,0,81,80,5952,6040
1,0,67,80,6000,6048
1,0,64,80,6048,6096
1,0,73,80,6048,6136
1,0,67,80,6096,6144
1,0,62,80,6144,6320
1,0,66,80,6144,6320
1,0,74,80,6144,6192
1,0,76,80,6192,6240
1,0,74,80,6240,6288
1,0,73,80,6288,6336
1,0,74,80,6336,6384
1,0,76,80,6384,6432
1,0,78,80,6432,6480
1,0,79,80,6480,6528
1,0,81,80,6528,6576
1,0,79,80,6576,6624
1,0,78,80,6624,6672
1,0,76,80,6672,6720
1,0,74,80,6720,6768
1,0,72,80,6768,6816
1,0,71,80,6816,6864
1,0,69,80,6864,6912
2,0,43,80,6912,7624
1,0,67,80,6912,7088
2,0,55,80,7008,7104
2,0,55,80,7104,7200
2,0,59,80,7104,7456
1,0,67,80,7104,7456
2,0,55,80,7200,7296
2,0,55,80,7296,7392
2,0,55,80,7392,7488
2,0,55,80,7488,7584
1,0,60,80,7488,7544
1,0,69,80,7488,7544
2,0,55,80,7584,7680
2,0,59,80,7632,7656
1,0,67,80,7632,7656
2,0,43,80,7680,8392
2,0,59,80,7680,7720
1,0,67,80,7680,7720
2,0,55,80,7776,7872
2,0,55,80,7872,7968
1,0,64,80,7872,8048
1,0,72,80,7872,8048
2,0,55,80,7968,8064
2,0,55,80,8064,8160
1,0,62,80,8064,8104
1,0,71,80,8064,8104
2,0,55,80,8160,8256
2,0,55,80,8256,8352
1,0,72,80,8256,8448
1,0,76,80,8256,8448
2,0,55,80,8352,8448
2,0,43,80,8448,8544
