# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,62,80,0,240
2,0,50,80,1920,2880
2,0,54,80,1920,2880
1,0,69,80,1920,2280
2,0,57,80,2080,2240
1,0,62,80,2240,2400
1,0,69,80,2280,2400
1,0,66,80,2400,2560
1,0,68,80,2400,2640
1,0,62,80,2560,2720
1,0,69,80,2640,2880
2,0,57,80,2720,2880
2,0,50,80,2880,3840
2,0,53,80,2880,3840
2,0,56,80,2880,3840
1,0,74,80,2880,3600
2,0,59,80,3040,3200
1,0,62,80,3200,3360
1,0,68,80,3360,3520
1,0,62,80,3520,3680
1,0,73,80,3600,3720
2,0,59,80,3680,3840
1,0,71,80,3720,3840
2,0,49,80,3840,4800
2,0,52,80,3840,4800
2,0,55,80,3840,4800
1,0,71,80,3840,4320
2,0,57,80,4000,4160
1,0,64,80,4160,4320
1,0,67,80,4320,4480
1,0,69,80,4320,4800
1,0,64,80,4480,4640
2,0,57,80,4640,4800
2,0,49,80,4800,5760
2,0,52,80,4800,5760
2,0,55,80,4800,5760
2,0,57,80,4960,5120
1,0,70,80,5040,5280
1,0,64,80,5120,5280
1,0,67,80,5280,5440
1,0,69,80,5280,5520
1,0,64,80,5440,5600
1,0,67,80,5520,5760
2,0,57,80,5600,5760
2,0,46,80,5760,6720
2,0,50,80,5760,6720
2,0,53,80,5760,6720
1,0,67,80,5760,6000
2,0,57,80,5920,6080
1,0,65,80,6000,6240
1,0,62,80,6080,6240
1,0,64,80,6240,6480
1,0,65,80,6240,6400
1,0,62,80,6400,6560
1,0,62,80,6480,6720
2,0,57,80,6560,6720
2,0,52,80,6720,7200
2,0,55,80,6720,6880
1,0,61,80,6720,7040
1,0,61,80,6880,7200
1,0,64,80,7040,7200
2,0,50,80,7200,7680
2,0,56,80,7200,7360
1,0,62,80,7200,7520
1,0,62,80,7360,7680
1,0,64,80,7520,7680
2,0,45,80,7680,8640
2,0,52,80,7680,8640
1,0,64,80,7680,8160
2,0,57,80,7840,8000
1,0,61,80,8000,8160
1,0,64,80,8160,8320
1,0,61,80,8320,8480
2,0,57,80,8480,8640
2,0,45,80,8640,9600
2,0,52,80,8640,9600
1,0,64,80,8640,9120
2,0,57,80,8800,8960
1,0,61,80,8960,9120
1,0,64,80,9120,9280
1,0,65,80,9120,9360
1,0,61,80,9280,9440
1,0,67,80,9360,9600
2,0,57,80,9440,9600
2,0,38,80,9600,10560
2,0,50,80,9600,10560
1,0,65,80,9600,10080
2,0,57,80,9760,9920
1,0,62,80,9920,10080
1,0,65,80,10080,10240
1,0,65,80,10080,10240
1,0,62,80,10240,10400
1,0,69,80,10240,10400
2,0,57,80,10400,10560
1,0,74,80,10400,10560
2,0,50,80,10560,11040
2,0,53,80,10560,11040
2,0,58,80,10560,10720
1,0,77,80,10560,11280
1,0,65,80,10720,10880
1,0,70,80,10880,11040
2,0,49,80,11040,11520
2,0,53,80,11040,11520
2,0,58,80,11040,11200
1,0,65,80,11200,11360
1,0,77,80,11280,11520
1,0,70,80,11360,11520
2,0,48,80,11520,12480
1,0,77,80,11520,12000
1,0,60,80,11680,11840
1,0,67,80,11840,12000
1,0,70,80,12000,12160
1,0,76,80,12000,12480
1,0,67,80,12160,12320
1,0,60,80,12320,12480
2,0,50,80,12480,13440
1,0,60,80,12640,12800
1,0,77,80,12720,12960
1,0,65,80,12800,12960
1,0,70,80,12960,13120
1,0,76,80,12960,13200
1,0,65,80,13120,13280
1,0,74,80,13200,13440
1,0,60,80,13280,13440
2,0,52,80,13440,14400
1,0,74,80,13440,13920
1,0,60,80,13600,13760
1,0,67,80,13760,13920
