# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,69,80,0,240
1,0,72,80,0,240
1,0,77,80,0,240
1,0,67,80,960,1680
1,0,70,80,960,1680
1,0,76,80,960,1680
2,0,43,80,1200,1320
2,0,41,80,1320,1440
2,0,41,80,1440,1920
1,0,60,80,1680,1920
1,0,64,80,1680,1920
1,0,70,80,1680,1920
2,0,41,80,1920,2160
1,0,60,80,1920,2640
1,0,65,80,1920,2640
1,0,69,80,1920,2640
2,0,43,80,2160,2280
2,0,41,80,2280,2400
2,0,41,80,2400,2880
2,0,57,80,2640,2880
1,0,60,80,2640,2880
1,0,65,80,2640,2880
2,0,41,80,2880,3120
2,0,55,80,2880,3600
2,0,58,80,2880,3600
1,0,64,80,2880,3600
2,0,43,80,3120,3240
2,0,41,80,3240,3360
2,0,41,80,3360,3840
2,0,48,80,3600,3840
2,0,52,80,3600,3840
2,0,58,80,3600,3840
2,0,41,80,3840,4080
2,0,48,80,3840,4080
2,0,53,80,3840,4080
2,0,57,80,3840,4080
2,0,36,80,4320,4560
2,0,48,80,4320,4560
2,0,52,80,4320,4560
2,0,58,80,4320,4560
2,0,41,80,4800,5280
2,0,48,80,4800,5280
2,0,53,80,4800,5280
2,0,57,80,4800,5280
1,0,72,80,5520,5760
1,0,72,80,5520,5760
2,0,36,80,5760,6240
1,0,62,80,5760,6000
1,0,67,80,5760,6000
1,0,70,80,5760,6000
1,0,70,80,5760,6000
2,0,58,80,6000,6240
1,0,62,80,6000,6240
1,0,67,80,6000,6240
1,0,67,80,6000,6240
2,0,48,80,6240,6720
2,0,55,80,6240,6480
2,0,58,80,6240,6480
1,0,62,80,6240,6480
1,0,62,80,6240,6480
2,0,58,80,6480,6720
1,0,60,80,6480,6720
1,0,64,80,6480,6720
1,0,64,80,6480,6720
2,0,36,80,6720,7200
2,0,58,80,6720,6960
1,0,60,80,6720,7200
1,0,65,80,6720,7200
1,0,65,80,6720,7200
2,0,57,80,6960,7080
2,0,55,80,7080,7200
2,0,48,80,7200,7680
2,0,53,80,7200,7440
2,0,57,80,7200,7440
1,0,60,80,7200,7440
1,0,60,80,7200,7440
2,0,57,80,7440,7680
1,0,60,80,7440,7680
1,0,65,80,7440,7680
1,0,65,80,7440,7680
1,0,60,80,7680,8160
1,0,64,80,7680,8160
1,0,67,80,7680,7920
1,0,67,80,7680,8040
1,0,69,80,7920,8160
1,0,69,80,8040,8160
1,0,62,80,8160,8400
1,0,65,80,8160,8640
1,0,70,80,8160,8400
1,0,70,80,8160,8400
2,0,58,80,8400,8640
1,0,74,80,8400,8640
1,0,74,80,8400,8640
1,0,60,80,8640,8880
1,0,64,80,8640,8880
1,0,67,80,8640,8880
1,0,67,80,8640,9120
2,0,55,80,8880,9120
1,0,62,80,8880,9120
1,0,65,80,8880,9120
2,0,48,80,9120,9600
1,0,60,80,9120,9360
1,0,64,80,9120,9360
1,0,72,80,9360,9600
1,0,72,80,9360,9600
2,0,36,80,9600,10080
1,0,62,80,9600,9840
1,0,67,80,9600,9840
1,0,70,80,9600,9840
1,0,70,80,9600,9840
2,0,58,80,9840,10080
1,0,62,80,9840,10080
1,0,67,80,9840,10080
1,0,67,80,9840,10080
2,0,45,80,10080,10560
2,0,55,80,10080,10560
2,0,58,80,10080,10320
1,0,62,80,10080,10320
1,0,62,80,10080,10320
2,0,57,80,10320,10560
1,0,61,80,10320,10560
1,0,64,80,10320,10560
1,0,64,80,10320,10560
2,0,38,80,10560,11040
2,0,45,80,10560,11040
2,0,53,80,10560,11040
2,0,57,80,10560,11040
1,0,64,80,10560,10800
1,0,65,80,10560,10920
1,0,62,80,10800,10920
1,0,61,80,10920,11040
1,0,67,80,10920,11040
2,0,38,80,11040,11520
2,0,50,80,11040,11520
1,0,62,80,11040,11280
1,0,69,80,11040,11280
1,0,62,80,11280,11520
1,0,65,80,11280,11520
1,0,71,80,11280,11520
2,0,40,80,11520,12000
2,0,52,80,11520,12000
1,0,60,80,11520,11760
1,0,64,80,11520,11760
1,0,72,80,11520,11760
1,0,62,80,11760,12000
1,0,65,80,11760,12000
1,0,71,80,11760,12000
2,0,52,80,12000,12480
1,0,60,80,12000,12240
1,0,64,80,12000,12240
1,0,69,80,12000,12240
2,0,59,80,12240,12480
1,0,62,80,12240,12480
1,0,68,80,12240,12480
2,0,45,80,12480,13440
2,0,52,80,12480,13440
2,0,57,80,12480,12720
1,0,60,80,12480,12720
1,0,69,80,12480,12960
2,0,57,80,12720,12960
1,0,60,80,12720,12960
2,0,57,80,12960,13200
1,0,60,80,12960,13200
1,0,64,80,13200,13440
1,0,72,80,13200,13440
1,0,76,80,13200,13440
2,0,45,80,13440,14400
2,0,50,80,13440,13920
1,0,65,80,13440,13920
1,0,72,80,13440,13680
1,0,76,80,13440,13680
1,0,71,80,13680,13800
1,0,74,80,13680,13800
1,0,69,80,13800,13920
1,0,72,80,13800,13920
2,0,52,80,13920,14400
1,0,62,80,13920,14400
1,0,68,80,13920,14160
1,0,69,80,13920,13980
1,0,71,80,13920,13980
1,0,71,80,13920,14160
1,0,72,80,13920,13980
1,0,71,80,14160,14280
1,0,72,80,14280,14400
2,0,45,80,14400,15360
2,0,52,80,14400,15360
1,0,60,80,14400,14640
1,0,64,80,14400,14640
1,0,71,80,14400,14520
1,0,69,80,14520,14640
1,0,60,80,14640,14880
1,0,67,80,14640,14760
1,0,65,80,14760,14880
1,0,60,80,14880,15120
1,0,64,80,14880,15120
2,0,57,80,15120,15360
1,0,60,80,15120,15360
1,0,64,80,15120,15360
1,0,64,80,15120,15360
2,0,40,80,15360,15600
2,0,52,80,15360,15600
2,0,56,80,15360,15600
1,0,62,80,15360,15600
1,0,64,80,15360,15600
1,0,64,80,15360,15720
2,0,42,80,15600,15840
2,0,52,80,15600,15840
2,0,57,80,15600,15840
1,0,62,80,15600,15840
1,0,64,80,15600,15840
1,0,64,80,15720,15840
2,0,44,80,15840,16080
2,0,52,80,15840,16080
2,0,59,80,15840,16080
1,0,62,80,15840,16080
1,0,64,80,15840,16080
1,0,74,80,15840,16080
2,0,42,80,16080,16200
2,0,52,80,16080,16200
2,0,57,80,16080,16200
1,0,62,80,16080,16200
1,0,64,80,16080,16200
1,0,72,80,16080,16200
2,0,40,80,16200,16320
2,0,56,80,16200,16320
1,0,71,80,16200,16320
2,0,46,80,16320,16560
2,0,52,80,16320,16560
2,0,57,80,16320,16560
1,0,60,80,16320,16560
1,0,64,80,16320,17040
1,0,69,80,16320,16800
2,0,47,80,16560,16800
2,0,52,80,16560,16800
2,0,57,80,16560,16800
1,0,60,80,16560,16800
2,0,48,80,16800,17040
2,0,52,80,16800,17040
2,0,57,80,16800,17040
1,0,60,80,16800,17040
1,0,64,80,16800,17040
2,0,45,80,17040,17280
2,0,50,80,17040,17280
2,0,57,80,17040,17280
1,0,64,80,17040,17280
1,0,72,80,17040,17280
1,0,76,80,17040,17280
2,0,45,80,17280,18240
2,0,50,80,17280,17760
1,0,65,80,17280,17760
1,0,72,80,17280,17520
1,0,76,80,17280,17520
1,0,71,80,17520,17640
1,0,74,80,17520,17640
1,0,69,80,17640,17760
1,0,72,80,17640,17760
2,0,52,80,17760,18240
1,0,62,80,17760,18240
1,0,68,80,17760,18000
1,0,69,80,17760,17820
1,0,71,80,17760,17820
1,0,71,80,17760,18000
1,0,72,80,17760,17820
1,0,71,80,18000,18120
1,0,72,80,18120,18240
2,0,45,80,18240,19200
2,0,52,80,18240,19200
1,0,60,80,18240,18480
1,0,71,80,18240,18360
1,0,69,80,18360,18480
1,0,60,80,18480,18720
1,0,68,80,18480,18600
1,0,69,80,18600,18720
1,0,60,80,18720,18960
1,0,64,80,18720,18960
2,0,57,80,18960,19200
1,0,60,80,18960,19200
1,0,64,80,18960,19200
1,0,64,80,18960,19200
2,0,40,80,19200,19440
2,0,52,80,19200,19440
2,0,56,80,19200,19440
1,0,62,80,19200,19440
1,0,64,80,19200,19440
1,0,64,80,19200,19560
2,0,42,80,19440,19680
2,0,52,80,19440,19680
2,0,57,80,19440,19680
1,0,62,80,19440,19680
1,0,64,80,19440,19680
1,0,64,80,19560,19680
2,0,44,80,19680,19920
2,0,52,80,19680,19920
2,0,59,80,19680,19920
1,0,62,80,19680,19920
1,0,64,80,19680,19920
1,0,74,80,19680,19920
2,0,42,80,19920,20040
2,0,52,80,19920,20040
2,0,57,80,19920,20040
1,0,62,80,19920,20040
1,0,64,80,19920,20040
1,0,72,80,19920,20040
2,0,40,80,20040,20160
2,0,56,80,20040,20160
1,0,71,80,20040,20160
2,0,45,80,20160,21120
2,0,52,80,20160,21120
2,0,57,80,20160,21120
1,0,60,80,20160,21120
1,0,64,80,20160,21120
1,0,72,80,20160,20640
1,0,72,80,20880,21120
2,0,47,80,21120,21360
1,0,71,80,21120,21360
2,0,55,80,21360,21600
2,0,59,80,21360,21600
1,0,64,80,21360,21600
1,0,67,80,21360,21600
2,0,45,80,21600,21840
1,0,66,80,21600,21840
2,0,54,80,21840,22080
2,0,59,80,21840,22080
1,0,63,80,21840,22080
1,0,71,80,21840,22080
2,0,43,80,22080,22560
1,0,71,80,22080,22560
2,0,52,80,22320,22560
2,0,59,80,22320,22560
1,0,64,80,22320,22560
2,0,45,80,22560,23040
1,0,76,80,22560,22800
2,0,54,80,22800,23040
1,0,60,80,22800,23040
1,0,64,80,22800,23040
1,0,74,80,22800,22920
1,0,72,80,22920,23040
2,0,47,80,23040,23520
1,0,71,80,23040,23280
2,0,55,80,23280,23520
2,0,59,80,23280,23520
1,0,64,80,23280,23520
1,0,69,80,23280,23400
1,0,67,80,23400,23520
2,0,35,80,23520,24000
1,0,66,80,23520,23760
2,0,57,80,23760,24000
2,0,59,80,23760,24000
1,0,63,80,23760,24000
1,0,67,80,23760,23880
1,0,66,80,23880,24000
2,0,40,80,24000,24720
2,0,47,80,24000,24720
2,0,55,80,24000,24240
2,0,59,80,24000,24240
1,0,64,80,24000,24480
1,0,64,80,24000,24720
2,0,55,80,24240,24480
2,0,59,80,24240,24480
2,0,55,80,24480,24720
2,0,59,80,24480,24720
2,0,40,80,24720,24960
2,0,47,80,24720,24960
1,0,71,80,24720,24960
1,0,79,80,24720,24960
1,0,83,80,24720,24960
2,0,40,80,24960,25920
2,0,45,80,24960,25440
1,0,79,80,24960,25200
1,0,83,80,24960,25200
1,0,78,80,25200,25320
1,0,81,80,25200,25320
1,0,76,80,25320,25440
1,0,79,80,25320,25440
2,0,47,80,25440,25920
2,0,57,80,25440,25920
1,0,75,80,25440,25680
1,0,78,80,25440,25680
1,0,78,80,25680,25800
1,0,79,80,25800,25920
2,0,40,80,25920,26160
2,0,47,80,25920,26160
2,0,55,80,25920,26160
1,0,78,80,25920,26040
1,0,76,80,26040,26160
2,0,40,80,26160,26400
