# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,64,80,0,240
2,0,40,80,1440,1680
2,0,59,80,1440,1920
1,0,64,80,1440,1920
1,0,68,80,1440,1920
2,0,52,80,1680,1920
2,0,52,80,1920,2160
1,0,66,80,1920,2100
1,0,69,80,1920,2100
1,0,63,80,2100,2160
1,0,66,80,2100,2160
2,0,40,80,2160,2400
1,0,68,80,2160,2640
1,0,71,80,2160,2640
2,0,52,80,2400,2640
2,0,52,80,2640,2880
2,0,57,80,2640,2880
1,0,61,80,2640,2880
1,0,64,80,2640,2820
1,0,73,80,2640,2820
1,0,76,80,2640,2820
1,0,69,80,2820,2880
1,0,73,80,2820,2880
2,0,52,80,2880,3120
1,0,68,80,2880,3360
1,0,71,80,2880,3360
2,0,56,80,3120,3360
2,0,59,80,3360,3600
1,0,63,80,3360,3600
1,0,69,80,3360,3600
1,0,61,80,3600,3840
1,0,64,80,3600,3840
1,0,68,80,3600,3840
1,0,73,80,4080,4260
1,0,69,80,4260,4320
2,0,45,80,4320,4560
2,0,49,80,4320,4560
1,0,66,80,4320,4800
2,0,57,80,4560,4800
1,0,61,80,4560,4800
2,0,57,80,4800,5040
1,0,61,80,4800,5040
1,0,81,80,4800,4860
1,0,83,80,4800,4860
1,0,80,80,4860,4920
1,0,81,80,4920,4980
1,0,78,80,4980,5040
2,0,57,80,5040,5520
2,0,59,80,5040,5520
1,0,76,80,5040,5280
1,0,75,80,5280,5520
2,0,56,80,5520,5760
2,0,59,80,5520,5760
1,0,76,80,5520,5580
1,0,78,80,5520,5580
1,0,75,80,5580,5640
1,0,76,80,5640,5700
1,0,80,80,5700,5760
2,0,51,80,5760,6240
2,0,54,80,5760,6240
2,0,59,80,5760,6240
1,0,71,80,5760,6000
1,0,66,80,6000,6240
1,0,69,80,6000,6240
2,0,52,80,6240,6480
1,0,64,80,6240,6480
1,0,68,80,6240,6480
2,0,47,80,6480,6720
1,0,63,80,6480,6720
1,0,66,80,6480,6720
2,0,59,80,6720,6960
1,0,83,80,6960,7020
1,0,81,80,7020,7080
1,0,80,80,7080,7140
1,0,78,80,7140,7200
1,0,76,80,7200,7260
1,0,75,80,7260,7320
1,0,73,80,7320,7380
1,0,71,80,7380,7440
1,0,63,80,7440,7680
1,0,66,80,7440,7680
1,0,69,80,7440,7680
1,0,71,80,7440,7560
1,0,71,80,7560,7680
1,0,69,80,7680,7920
1,0,71,80,7680,7920
1,0,78,80,7680,7740
1,0,76,80,7740,7800
1,0,78,80,7800,7860
1,0,75,80,7860,7920
1,0,68,80,7920,8160
1,0,71,80,7920,8160
1,0,76,80,7920,8040
1,0,80,80,8040,8160
1,0,83,80,8160,8280
1,0,83,80,8280,8400
1,0,83,80,8400,8460
1,0,81,80,8460,8520
1,0,80,80,8520,8580
1,0,78,80,8580,8640
1,0,76,80,8640,8700
1,0,75,80,8700,8760
1,0,73,80,8760,8820
1,0,71,80,8820,8880
1,0,63,80,8880,9120
1,0,66,80,8880,9120
1,0,69,80,8880,9120
1,0,71,80,8880,9000
1,0,71,80,9000,9120
1,0,69,80,9120,9360
1,0,71,80,9120,9360
1,0,78,80,9120,9180
1,0,76,80,9180,9240
1,0,78,80,9240,9300
1,0,75,80,9300,9360
1,0,68,80,9360,9600
1,0,71,80,9360,9600
1,0,76,80,9360,9480
1,0,80,80,9480,9600
1,0,83,80,9600,9720
1,0,83,80,9720,9840
2,0,57,80,10080,10560
1,0,61,80,10080,10560
1,0,78,80,10080,10200
1,0,81,80,10200,10320
1,0,85,80,10320,10440
1,0,85,80,10440,10560
2,0,59,80,10560,11280
1,0,68,80,10800,11280
1,0,75,80,10800,10860
1,0,76,80,10800,10860
1,0,76,80,10800,10860
1,0,76,80,10800,11280
1,0,78,80,10800,10860
1,0,69,80,11280,11520
1,0,75,80,11280,11460
1,0,78,80,11280,11460
1,0,80,80,11460,11520
1,0,64,80,11520,11760
1,0,68,80,11520,11760
1,0,76,80,11520,11760
1,0,71,80,12000,12060
1,0,69,80,12060,12120
1,0,68,80,12120,12180
1,0,66,80,12180,12240
1,0,64,80,12240,12300
1,0,75,80,12240,12360
1,0,78,80,12240,12360
1,0,81,80,12240,12360
1,0,63,80,12300,12360
1,0,61,80,12360,12420
1,0,75,80,12360,12480
1,0,78,80,12360,12480
1,0,81,80,12360,12480
2,0,59,80,12420,12480
2,0,59,80,12480,12600
1,0,75,80,12480,12720
1,0,78,80,12480,12720
1,0,81,80,12480,12720
2,0,59,80,12600,12720
1,0,66,80,12720,12780
1,0,64,80,12780,12840
1,0,66,80,12840,12900
1,0,63,80,12900,12960
2,0,56,80,12960,13080
2,0,59,80,12960,13080
1,0,64,80,12960,13080
2,0,56,80,13080,13200
2,0,59,80,13080,13200
1,0,68,80,13080,13200
2,0,56,80,13200,13440
2,0,59,80,13200,13440
1,0,71,80,13200,13320
1,0,71,80,13320,13440
1,0,71,80,13440,13500
1,0,69,80,13500,13560
1,0,68,80,13560,13620
1,0,66,80,13620,13680
1,0,64,80,13680,13740
1,0,75,80,13680,13800
1,0,78,80,13680,13800
1,0,81,80,13680,13800
1,0,63,80,13740,13800
1,0,61,80,13800,13860
1,0,75,80,13800,13920
1,0,78,80,13800,13920
1,0,81,80,13800,13920
2,0,59,80,13860,13920
2,0,59,80,13920,14040
1,0,75,80,13920,14160
1,0,78,80,13920,14160
1,0,81,80,13920,14160
2,0,59,80,14040,14160
1,0,66,80,14160,14220
1,0,64,80,14220,14280
1,0,66,80,14280,14340
1,0,63,80,14340,14400
2,0,56,80,14400,14520
2,0,59,80,14400,14520
1,0,64,80,14400,14520
2,0,56,80,14520,14640
2,0,59,80,14520,14640
1,0,68,80,14520,14640
2,0,56,80,14640,14880
2,0,59,80,14640,14880
1,0,71,80,14640,14760
1,0,71,80,14760,14880
2,0,57,80,15120,15360
1,0,61,80,15120,15360
1,0,66,80,15120,15240
1,0,69,80,15240,15360
1,0,73,80,15360,15480
1,0,73,80,15480,15600
1,0,65,80,15600,15660
1,0,66,80,15660,15720
1,0,69,80,15720,15780
1,0,73,80,15780,15840
2,0,47,80,15840,16560
2,0,56,80,15840,16320
1,0,63,80,15840,15900
1,0,63,80,15840,16080
1,0,64,80,15840,15900
1,0,64,80,15840,16200
1,0,66,80,15840,15900
1,0,64,80,16200,16320
2,0,57,80,16320,16560
1,0,66,80,16320,16500
1,0,68,80,16500,16560
2,0,52,80,16560,16800
2,0,56,80,16560,16800
1,0,64,80,16560,16800
2,0,40,80,16800,17040
1,0,71,80,16920,16980
1,0,68,80,16980,17040
1,0,71,80,17040,17100
1,0,68,80,17100,17160
1,0,69,80,17160,17220
1,0,66,80,17220,17280
2,0,40,80,17280,18000
1,0,64,80,17280,17520
2,0,44,80,17520,17760
2,0,56,80,17520,17760
1,0,64,80,17520,17760
2,0,47,80,17760,18000
2,0,56,80,17760,18000
1,0,64,80,17760,18000
2,0,40,80,18000,18240
2,0,52,80,18000,18240
2,0,56,80,18000,18240
1,0,64,80,18000,18240
1,0,64,80,18480,18720
1,0,64,80,18480,18720
2,0,40,80,18720,18960
1,0,64,80,18720,19200
1,0,68,80,18720,19200
1,0,68,80,18720,19200
2,0,52,80,18960,19200
2,0,52,80,19200,19440
1,0,66,80,19200,19380
1,0,69,80,19200,19380
1,0,69,80,19200,19380
1,0,63,80,19380,19440
1,0,66,80,19380,19440
1,0,66,80,19380,19440
2,0,40,80,19440,19680
1,0,68,80,19440,19920
1,0,71,80,19440,19920
1,0,71,80,19440,19920
2,0,52,80,19680,19920
2,0,52,80,19920,20160
2,0,57,80,19920,20160
1,0,61,80,19920,20160
1,0,64,80,19920,20100
1,0,73,80,19920,20100
1,0,76,80,19920,20100
1,0,76,80,19920,20100
1,0,69,80,20100,20160
1,0,73,80,20100,20160
1,0,73,80,20100,20160
2,0,52,80,20160,20400
1,0,68,80,20160,20640
1,0,71,80,20160,20640
1,0,71,80,20160,20640
2,0,56,80,20400,20640
2,0,59,80,20640,20880
1,0,63,80,20640,20880
1,0,69,80,20640,20880
1,0,69,80,20640,20880
1,0,61,80,20880,21120
1,0,64,80,20880,21120
1,0,68,80,20880,21120
1,0,68,80,20880,21120
1,0,73,80,21360,21540
1,0,73,80,21360,21540
1,0,69,80,21540,21600
1,0,69,80,21540,21600
2,0,45,80,21600,21840
2,0,49,80,21600,21840
1,0,66,80,21600,22080
1,0,66,80,21600,22080
2,0,57,80,21840,22080
1,0,61,80,21840,22080
2,0,57,80,22080,22320
1,0,61,80,22080,22320
1,0,78,80,22080,22320
1,0,78,80,22080,22320
2,0,57,80,22320,22800
2,0,59,80,22320,22800
1,0,76,80,22320,22560
1,0,76,80,22320,22560
1,0,75,80,22560,22800
1,0,75,80,22560,22800
2,0,56,80,22800,23040
2,0,59,80,22800,23040
1,0,76,80,22800,22980
1,0,76,80,22800,22980
1,0,71,80,22980,23040
1,0,71,80,22980,23040
2,0,51,80,23040,23520
2,0,59,80,23040,23520
1,0,66,80,23040,23520
1,0,71,80,23040,23280
1,0,71,80,23040,23280
1,0,69,80,23280,23520
1,0,69,80,23280,23520
2,0,52,80,23520,23760
2,0,59,80,23520,23760
1,0,64,80,23520,23760
1,0,68,80,23520,23760
1,0,68,80,23520,23760
2,0,47,80,23760,24000
1,0,63,80,23760,24000
