# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,400000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
1,0,70,80,0,192
1,0,68,80,192,384
1,0,67,80,384,576
1,0,65,80,576,768
1,0,63,80,768,960
1,0,75,80,1152,1344
1,0,74,80,1344,1536
1,0,72,80,1536,1728
1,0,70,80,1728,1920
1,0,68,80,1920,2112
1,0,68,80,2304,2496
1,0,67,80,2496,2688
1,0,65,80,2688,2880
1,0,63,80,2880,3072
1,0,62,80,3072,3264
1,0,72,80,3456,3648
1,0,70,80,3648,3840
1,0,68,80,3840,4032
1,0,66,80,4032,4224
1,0,67,80,4224,4416
1,0,70,80,4608,4800
1,0,75,80,4800,4992
1,0,79,80,4992,5184
1,0,82,80,5184,7680
1,0,72,80,7680,8064
1,0,80,80,8064,8448
1,0,79,80,8448,8832
1,0,77,80,8832,9024
1,0,70,80,9216,9408
1,0,68,80,9408,9600
1,0,67,80,9600,9792
1,0,65,80,9792,9984
1,0,63,80,9984,10176
1,0,75,80,10368,10560
1,0,74,80,10560,10752
1,0,72,80,10752,10944
1,0,70,80,10944,11136
1,0,68,80,11136,11328
1,0,68,80,11520,11712
1,0,67,80,11712,11904
1,0,65,80,11904,12096
1,0,63,80,12096,12288
1,0,62,80,12288,12480
1,0,72,80,12672,12864
1,0,70,80,12864,13056
1,0,68,80,13056,13248
1,0,66,80,13248,13440
1,0,67,80,13440,13632
1,0,67,80,13824,14016
1,0,72,80,14016,14208
1,0,75,80,14208,14400
1,0,79,80,14400,15360
1,0,78,80,15360,15552
1,0,79,80,15552,16128
1,0,80,80,16128,16320
1,0,79,80,16320,16896
1,0,78,80,16896,17088
1,0,79,80,17088,17280
1,0,80,80,17280,17472
1,0,79,80,17472,17664
1,0,77,80,17664,17856
1,0,75,80,17856,18048
1,0,71,80,18048,18240
1,0,72,80,18240,18432
1,0,65,80,18432,18624
1,0,70,80,18624,18816
1,0,74,80,18816,19008
1,0,77,80,19008,19968
1,0,76,80,19968,20160
1,0,77,80,20160,20736
1,0,79,80,20736,20928
1,0,77,80,20928,21504
1,0,76,80,21504,21696
1,0,77,80,21696,21888
1,0,79,80,21888,22080
1,0,77,80,22080,22272
1,0,75,80,22272,22464
1,0,74,80,22464,22656
1,0,69,80,22656,22848
1,0,70,80,22848,23040
1,0,82,80,23040,23232
1,0,81,80,23232,23424
1,0,79,80,23424,23616
1,0,77,80,23616,24000
1,0,79,80,24192,24384
1,0,77,80,24384,24576
1,0,75,80,24576,24768
1,0,74,80,24768,25152
1,0,75,80,25344,25536
1,0,74,80,25536,25728
1,0,72,80,25728,25920
1,0,70,80,25920,26496
1,0,69,80,26496,26688
1,0,70,80,26688,27264
1,0,86,80,27264,27456
1,0,84,80,27456,27648
1,0,82,80,27648,27840
1,0,81,80,27840,28032
1,0,79,80,28032,28224
1,0,77,80,28224,28416
1,0,76,80,28416,28608
1,0,82,80,28608,28800
1,0,79,80,28800,28992
1,0,77,80,28992,29184
1,0,76,80,29184,29376
1,0,77,80,29376,29568
1,0,76,80,29568,29760
1,0,77,80,29760,30528
1,0,77,80,30528,30720
1,0,76,80,30720,30912
1,0,77,80,30912,31296
1,0,77,80,31296,31488
1,0,76,80,31488,31680
1,0,77,80,31680,31872
1,0,76,80,31872,32064
1,0,77,80,32064,32448
1,0,77,80,32640,32832
1,0,75,80,32832,33024
1,0,74,80,33024,33216
1,0,72,80,33216,33408
1,0,70,80,33408,33600
1,0,82,80,33792,33984
1,0,81,80,33984,34176
1,0,79,80,34176,34368
1,0,77,80,34368,34560
1,0,75,80,34560,34752
1,0,79,80,34944,35136
1,0,77,80,35136,35328
1,0,75,80,35328,35520
1,0,74,80,35520,35712
1,0,72,80,35712,35904
1,0,87,80,36096,36288
1,0,86,80,36288,36480
1,0,84,80,36480,36672
1,0,82,80,36672,36864
1,0,81,80,36864,37056
1,0,84,80,37248,37440
1,0,82,80,37440,37632
1,0,81,80,37632,37824
1,0,79,80,37824,38016
1,0,77,80,38016,38208
1,0,76,80,38208,38400
1,0,75,80,38400,38592
1,0,74,80,38592,38976
1,0,83,80,39936,40032
1,0,84,80,40032,40128
1,0,83,80,40128,40224
1,0,84,80,40224,40320
1,0,86,80,40320,40416
1,0,84,80,40416,40512
1,0,87,80,40512,40608
1,0,84,80,40608,40704
1,0,89,80,40704,40800
1,0,84,80,40800,40896
1,0,86,80,40896,41280
1,0,83,80,42240,42336
1,0,84,80,42336,42432
1,0,83,80,42432,42528
1,0,84,80,42528,42624
1,0,86,80,42624,42720
1,0,84,80,42720,42816
1,0,87,80,42816,42912
1,0,84,80,42912,43008
1,0,89,80,43008,43104
1,0,84,80,43104,43200
1,0,86,80,43200,43392
1,0,86,80,43392,43488
1,0,87,80,43488,43584
1,0,86,80,43584,43680
1,0,87,80,43680,43776
1,0,86,80,43776,43872
1,0,87,80,43872,43968
1,0,89,80,43968,44064
1,0,87,80,44064,44160
1,0,86,80,44160,44256
1,0,84,80,44256,44352
1,0,83,80,44352,45120
1,0,84,80,45120,45504
1,0,83,80,45504,46272
1,0,82,80,46272,46608
1,0,86,80,46608,46656
1,0,84,80,46656,47040
1,0,82,80,47040,47424
1,0,81,80,47424,47808
1,0,82,80,47808,48192
1,0,77,80,49056,49152
1,0,81,80,49152,49248
1,0,84,80,49248,49344
1,0,87,80,49344,49536
1,0,87,80,49536,49728
1,0,86,80,49728,49920
1,0,84,80,49920,50112
1,0,86,80,50112,50496
1,0,77,80,51360,51456
1,0,81,80,51456,51552
1,0,84,80,51552,51648
1,0,87,80,51648,51840
1,0,87,80,51840,52032
1,0,86,80,52032,52224
1,0,84,80,52224,52416
1,0,86,80,52416,52608
1,0,84,80,52608,52800
1,0,82,80,52800,52992
1,0,81,80,52992,53184
1,0,79,80,53184,53376
1,0,77,80,53376,53568
1,0,75,80,53568,53760
1,0,79,80,53760,53952
1,0,79,80,54144,54336
1,0,77,80,54336,54528
1,0,75,80,54528,54720
1,0,74,80,54720,54912
1,0,77,80,54912,55104
1,0,77,80,55296,55488
1,0,75,80,55488,55680
1,0,74,80,55680,55872
1,0,72,80,55872,56064
1,0,75,80,56256,56448
1,0,69,80,56640,56832
1,0,70,80,57024,57408
1,0,65,80,58272,58368
1,0,69,80,58368,58464
1,0,72,80,58464,58560
1,0,75,80,58560,58752
1,0,75,80,58752,58944
1,0,74,80,58944,59136
1,0,72,80,59136,59328
1,0,74,80,59328,59712
1,0,77,80,60576,60672
1,0,81,80,60672,60768
1,0,84,80,60768,60864
1,0,87,80,60864,61056
1,0,87,80,61056,61248
1,0,86,80,61248,61440
1,0,84,80,61440,61632
1,0,86,80,61632,61824
1,0,84,80,61824,62016
1,0,82,80,62016,62208
1,0,81,80,62208,62400
1,0,79,80,62400,62592
1,0,77,80,62592,62784
1,0,75,80,62784,62976
1,0,79,80,62976,63168
1,0,79,80,63360,63552
1,0,77,80,63552,63744
1,0,75,80,63744,63936
1,0,74,80,63936,64128
1,0,77,80,64128,64320
1,0,77,80,64512,64704
1,0,75,80,64704,64896
1,0,74,80,64896,65088
