# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,42,80,0,120
1,0,75,80,0,120
2,0,39,80,120,240
1,0,78,80,120,240
2,0,35,80,1440,1920
2,0,47,80,1440,1920
1,0,71,80,1440,1920
1,0,83,80,1440,1920
2,0,42,80,1920,2040
1,0,75,80,1920,2040
2,0,39,80,2040,2160
1,0,78,80,2040,2160
2,0,35,80,2160,2640
2,0,47,80,2160,2640
1,0,71,80,2160,2640
1,0,83,80,2160,2640
2,0,42,80,2640,2760
1,0,75,80,2640,2760
2,0,39,80,2760,2880
1,0,78,80,2760,2880
2,0,35,80,2880,3120
2,0,47,80,2880,3120
1,0,71,80,2880,3120
1,0,83,80,2880,3120
2,0,39,80,3120,3360
2,0,51,80,3120,3360
1,0,71,80,3120,3360
1,0,78,80,3120,3360
1,0,83,80,3120,3360
2,0,42,80,3360,3600
2,0,54,80,3360,3600
1,0,73,80,3360,3600
1,0,78,80,3360,3600
1,0,82,80,3360,3600
1,0,85,80,3360,3600
2,0,47,80,3600,4080
2,0,59,80,3600,4080
1,0,75,80,3600,4080
1,0,78,80,3600,4080
1,0,83,80,3600,4080
1,0,87,80,3600,4080
2,0,42,80,4080,4200
1,0,75,80,4080,4200
2,0,39,80,4200,4320
1,0,78,80,4200,4320
2,0,35,80,4320,4800
2,0,47,80,4320,4800
1,0,71,80,4320,4800
1,0,83,80,4320,4800
2,0,42,80,4800,4920
1,0,75,80,4800,4920
2,0,39,80,4920,5040
1,0,78,80,4920,5040
2,0,35,80,5040,5520
2,0,47,80,5040,5520
1,0,71,80,5040,5520
1,0,83,80,5040,5520
2,0,42,80,5520,5640
1,0,75,80,5520,5640
2,0,39,80,5640,5760
1,0,78,80,5640,5760
2,0,35,80,5760,6000
2,0,47,80,5760,6000
1,0,71,80,5760,6000
1,0,83,80,5760,6000
2,0,47,80,6000,6240
2,0,59,80,6000,6240
1,0,63,80,6000,6240
1,0,66,80,6000,6240
2,0,47,80,6240,6480
2,0,59,80,6240,6480
1,0,63,80,6240,6480
1,0,66,80,6240,6480
2,0,47,80,6480,6720
2,0,59,80,6480,6720
1,0,63,80,6480,6720
1,0,66,80,6480,6720
2,0,47,80,6720,6960
2,0,59,80,6720,6960
1,0,63,80,6720,6960
1,0,66,80,6720,6960
2,0,47,80,6960,7200
2,0,59,80,6960,7200
1,0,63,80,6960,7200
1,0,66,80,6960,7200
1,0,66,80,6960,7200
2,0,47,80,7200,7440
2,0,59,80,7200,7440
1,0,63,80,7200,7440
1,0,66,80,7200,7440
1,0,66,80,7200,7440
1,0,75,80,7200,7440
2,0,47,80,7440,7680
2,0,59,80,7440,7680
1,0,63,80,7440,7680
1,0,66,80,7440,7680
1,0,68,80,7440,7680
1,0,75,80,7440,7680
2,0,47,80,7680,7920
2,0,59,80,7680,7920
1,0,63,80,7680,7920
1,0,66,80,7680,7920
1,0,70,80,7680,7920
1,0,75,80,7680,7920
2,0,47,80,7920,8160
2,0,59,80,7920,8160
1,0,63,80,7920,8160
1,0,66,80,7920,8160
1,0,71,80,7920,8160
1,0,75,80,7920,8160
2,0,47,80,8160,8400
2,0,59,80,8160,8400
1,0,63,80,8160,8400
1,0,66,80,8160,8400
1,0,70,80,8160,8400
1,0,75,80,8160,8400
2,0,47,80,8400,8640
2,0,59,80,8400,8640
1,0,63,80,8400,8640
1,0,66,80,8400,8640
1,0,71,80,8400,8640
1,0,75,80,8400,8640
2,0,47,80,8640,9360
2,0,59,80,8640,9360
1,0,64,80,8640,8880
1,0,68,80,8640,8880
1,0,73,80,8640,8880
1,0,75,80,8640,9360
1,0,64,80,8880,9120
1,0,68,80,8880,9120
1,0,73,80,8880,9120
1,0,64,80,9120,9360
1,0,68,80,9120,9360
1,0,73,80,9120,9360
2,0,47,80,9360,10080
2,0,59,80,9360,10080
1,0,64,80,9360,9600
1,0,68,80,9360,9600
1,0,73,80,9360,9600
1,0,75,80,9360,9600
1,0,64,80,9600,9840
1,0,68,80,9600,9840
1,0,73,80,9600,9840
1,0,73,80,9600,9840
1,0,64,80,9840,10080
1,0,68,80,9840,10080
1,0,73,80,9840,10080
1,0,73,80,9840,10080
2,0,46,80,10080,10800
2,0,58,80,10080,10800
1,0,66,80,10080,10320
1,0,73,80,10080,10320
1,0,78,80,10080,10320
1,0,78,80,10080,10560
1,0,66,80,10320,10560
1,0,73,80,10320,10560
1,0,78,80,10320,10800
1,0,66,80,10560,10800
1,0,73,80,10560,10800
1,0,78,80,10560,10800
2,0,46,80,10800,11280
2,0,58,80,10800,11280
1,0,66,80,10800,11040
1,0,73,80,10800,11040
1,0,78,80,10800,11040
1,0,78,80,10800,11040
1,0,66,80,11040,11280
1,0,73,80,11040,11280
1,0,78,80,11040,11280
1,0,66,80,11280,11520
1,0,73,80,11280,11520
1,0,78,80,11280,11520
2,0,33,80,11520,11760
2,0,45,80,11520,11760
1,0,64,80,11520,11760
1,0,73,80,11520,11760
1,0,76,80,11520,11760
2,0,45,80,11760,12000
2,0,57,80,11760,12000
1,0,61,80,11760,12000
1,0,64,80,11760,12000
2,0,45,80,12000,12240
2,0,57,80,12000,12240
1,0,61,80,12000,12240
1,0,64,80,12000,12240
2,0,45,80,12240,12480
2,0,57,80,12240,12480
1,0,61,80,12240,12480
1,0,64,80,12240,12480
2,0,45,80,12480,12720
2,0,57,80,12480,12720
1,0,61,80,12480,12720
1,0,64,80,12480,12720
2,0,45,80,12720,12960
2,0,57,80,12720,12960
1,0,61,80,12720,12960
1,0,64,80,12720,12960
1,0,64,80,12720,12960
2,0,45,80,12960,13200
2,0,57,80,12960,13200
1,0,61,80,12960,13200
1,0,64,80,12960,13200
1,0,64,80,12960,13200
1,0,73,80,12960,13200
2,0,45,80,13200,13440
2,0,57,80,13200,13440
1,0,61,80,13200,13440
1,0,64,80,13200,13440
1,0,66,80,13200,13440
1,0,73,80,13200,13440
2,0,45,80,13440,13680
2,0,57,80,13440,13680
1,0,61,80,13440,13680
1,0,64,80,13440,13680
1,0,68,80,13440,13680
1,0,73,80,13440,13680
2,0,45,80,13680,13920
2,0,57,80,13680,13920
1,0,61,80,13680,13920
1,0,64,80,13680,13920
1,0,69,80,13680,13920
1,0,73,80,13680,13920
