# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,428571
# meta,0,0,time_signature,4/2
track,channel,pitch,vel,start,end
2,0,59,80,0,3072
1,0,71,80,1536,4608
2,0,52,80,3072,3840
1,0,64,80,3072,4608
2,0,54,80,3840,4608
2,0,52,80,4608,6912
2,0,56,80,4608,5376
1,0,64,80,4608,6144
2,0,57,80,5376,6144
1,0,66,80,5376,6144
1,0,59,80,6144,6912
2,0,59,80,6144,6912
1,0,68,80,6144,6912
2,0,52,80,6912,7680
1,0,61,80,6912,7680
1,0,69,80,6912,7680
2,0,47,80,7680,8448
1,0,63,80,7680,8448
1,0,71,80,7680,8448
2,0,49,80,8448,9216
2,0,57,80,8448,9984
1,0,64,80,8448,9216
2,0,51,80,9216,9984
1,0,59,80,9216,9984
2,0,52,80,9984,10752
2,0,56,80,9984,10752
1,0,64,80,9984,11520
2,0,47,80,10752,12288
2,0,54,80,10752,11520
2,0,55,80,11520,12288
1,0,62,80,11520,12288
1,0,71,80,11520,13056
2,0,48,80,12288,13824
2,0,52,80,12288,13824
1,0,64,80,12288,13056
1,0,60,80,13056,13824
1,0,69,80,13056,13824
2,0,47,80,13824,15360
2,0,50,80,13824,16896
1,0,62,80,13824,14592
1,0,71,80,13824,14592
1,0,59,80,14592,15360
1,0,67,80,14592,16128
1,0,62,80,15360,16512
1,0,66,80,16128,16896
1,0,60,80,16512,16704
1,0,62,80,16704,16896
2,0,48,80,16896,18432
1,0,64,80,16896,17664
1,0,67,80,16896,17664
1,0,60,80,17664,18432
1,0,64,80,17664,19200
2,0,53,80,18432,19968
1,0,57,80,18432,19584
1,0,62,80,19200,19968
1,0,59,80,19584,19968
2,0,52,80,19968,23040
2,0,57,80,19968,20736
1,0,60,80,19968,20736
1,0,64,80,19968,23040
2,0,56,80,20736,21120
1,0,59,80,20736,21120
2,0,54,80,21120,21504
1,0,57,80,21120,21504
2,0,56,80,21504,23040
1,0,59,80,21504,23040
2,0,57,80,23040,24576
1,0,64,80,23808,24576
2,0,52,80,24576,36864
1,0,56,80,24576,25344
1,0,59,80,25344,26112
1,0,76,80,25344,26112
2,0,64,80,26112,26880
1,0,68,80,26112,26880
2,0,56,80,26880,27648
1,0,64,80,26880,27648
1,0,71,80,26880,27648
1,0,56,80,27648,28416
2,0,59,80,27648,28416
1,0,64,80,27648,30720
1,0,57,80,28416,29952
2,0,60,80,28416,29952
1,0,56,80,29952,30336
2,0,59,80,29952,30336
1,0,54,80,30336,30720
2,0,57,80,30336,30720
1,0,56,80,30720,32256
2,0,56,80,30720,32256
1,0,76,80,31488,32256
2,0,64,80,32256,33024
1,0,68,80,32256,33024
2,0,56,80,33024,33792
1,0,64,80,33024,33792
1,0,71,80,33024,33792
1,0,56,80,33792,34560
2,0,59,80,33792,34560
1,0,64,80,33792,34560
1,0,57,80,34560,35328
2,0,57,80,34560,36096
1,0,72,80,34560,36096
1,0,64,80,35328,36864
2,0,56,80,36096,36480
1,0,71,80,36096,36480
2,0,54,80,36480,36864
1,0,69,80,36480,36864
2,0,47,80,36864,37632
2,0,56,80,36864,37248
1,0,71,80,36864,37632
2,0,54,80,37248,37440
2,0,56,80,37440,37632
2,0,49,80,37632,38400
2,0,57,80,37632,38016
1,0,64,80,37632,38400
2,0,55,80,38016,38208
2,0,57,80,38208,38400
2,0,51,80,38400,39168
2,0,59,80,38400,39936
2,0,52,80,39168,39936
1,0,68,80,39168,39552
1,0,66,80,39552,39744
1,0,68,80,39744,39936
2,0,54,80,39936,40320
1,0,69,80,39936,40320
2,0,52,80,40320,40512
1,0,68,80,40320,40512
2,0,54,80,40512,40704
1,0,69,80,40512,40704
2,0,56,80,40704,41088
1,0,64,80,40704,41472
1,0,71,80,40704,41472
2,0,54,80,41088,41280
2,0,55,80,41280,41472
2,0,57,80,41472,43008
1,0,61,80,41472,41664
1,0,59,80,41664,41856
