# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,28,80,0,60
2,0,28,80,0,1440
2,0,40,80,0,60
2,0,40,80,0,1440
1,0,67,80,720,1440
2,0,28,80,1440,1920
2,0,40,80,1440,1920
1,0,71,80,1440,2160
1,0,76,80,1440,2160
1,0,67,80,2160,2880
1,0,71,80,2880,3600
1,0,67,80,3600,4320
1,0,76,80,3600,4080
1,0,75,80,4080,4320
1,0,71,80,4320,5040
1,0,75,80,4320,4680
1,0,75,80,4680,4800
1,0,69,80,4800,5040
1,0,66,80,5040,5760
1,0,72,80,5040,5760
1,0,69,80,5760,6480
1,0,64,80,6480,7200
1,0,67,80,7200,7920
2,0,28,80,7920,7980
2,0,28,80,7920,9360
2,0,40,80,7920,7980
2,0,40,80,7920,9360
1,0,63,80,7920,8640
1,0,72,80,7920,8400
1,0,71,80,8400,8640
1,0,66,80,8640,9360
1,0,71,80,8640,9000
1,0,65,80,9000,9360
2,0,28,80,9360,9840
2,0,40,80,9360,9840
1,0,62,80,9360,10080
1,0,69,80,9360,9840
1,0,69,80,9840,10080
1,0,65,80,10080,10800
1,0,61,80,10800,11520
1,0,64,80,11520,12240
1,0,60,80,12240,12960
1,0,69,80,12240,12720
1,0,67,80,12720,12960
1,0,64,80,12960,13680
1,0,67,80,12960,13440
1,0,63,80,13440,13680
2,0,59,80,13680,14400
1,0,66,80,13680,14400
1,0,63,80,14400,15120
2,0,57,80,15120,15840
1,0,60,80,15840,16560
2,0,28,80,16560,16620
2,0,28,80,16560,18000
2,0,40,80,16560,16620
2,0,40,80,16560,18000
2,0,55,80,16560,17280
1,0,64,80,16560,17040
1,0,67,80,17040,17280
2,0,59,80,17280,18000
1,0,71,80,17280,18000
2,0,28,80,18000,18480
2,0,40,80,18000,18480
2,0,54,80,18000,18720
2,0,57,80,18000,18720
1,0,71,80,18000,18480
1,0,63,80,18720,19440
2,0,53,80,19440,20160
2,0,56,80,19440,20160
1,0,62,80,20160,20880
2,0,52,80,20880,21600
2,0,55,80,20880,21600
1,0,64,80,20880,21360
1,0,67,80,21360,21600
1,0,60,80,21600,22320
1,0,62,80,21600,23040
2,0,51,80,22320,23040
2,0,55,80,22320,23040
2,0,59,80,23040,23760
2,0,51,80,23760,24480
2,0,54,80,23760,24480
2,0,59,80,24480,25200
2,0,28,80,25200,25260
2,0,28,80,25200,26640
2,0,40,80,25200,25260
2,0,40,80,25200,26640
2,0,52,80,25200,25680
2,0,55,80,25200,25680
2,0,59,80,25200,25680
2,0,59,80,25200,25680
1,0,67,80,25920,26640
2,0,28,80,26640,27120
2,0,40,80,26640,27120
1,0,71,80,26640,27360
1,0,76,80,27120,27360
1,0,67,80,27360,28080
1,0,71,80,28080,28800
1,0,67,80,28800,29520
1,0,76,80,28800,29280
1,0,75,80,29280,29520
1,0,71,80,29520,30240
1,0,75,80,29520,29880
1,0,69,80,29880,30000
1,0,69,80,30000,30240
1,0,66,80,30240,30960
1,0,72,80,30240,30720
1,0,72,80,30720,30840
1,0,72,80,30840,30960
1,0,69,80,30960,31680
1,0,64,80,31680,32400
1,0,67,80,32400,33120
2,0,28,80,33120,33180
2,0,28,80,33120,34560
2,0,40,80,33120,33180
2,0,40,80,33120,34560
1,0,63,80,33120,33840
1,0,72,80,33120,33600
1,0,71,80,33600,33840
1,0,66,80,33840,34560
1,0,71,80,33840,34320
1,0,65,80,34320,34560
2,0,28,80,34560,35040
2,0,40,80,34560,35040
1,0,62,80,34560,35280
1,0,69,80,34560,35040
1,0,69,80,35160,35280
1,0,65,80,35280,36000
1,0,61,80,36000,36720
1,0,64,80,36720,37440
1,0,60,80,37440,38160
1,0,69,80,37440,37560
1,0,69,80,37560,37920
1,0,67,80,37920,38160
1,0,64,80,38160,38880
1,0,67,80,38160,38640
1,0,63,80,38640,38880
2,0,59,80,38880,39600
1,0,66,80,38880,39600
1,0,63,80,39600,40320
2,0,57,80,40320,41040
1,0,60,80,41040,41760
2,0,28,80,41760,41820
2,0,28,80,41760,43200
2,0,40,80,41760,41820
2,0,40,80,41760,43200
2,0,55,80,41760,42480
1,0,64,80,41760,42240
1,0,67,80,42240,42480
2,0,59,80,42480,43200
1,0,71,80,42480,43200
2,0,28,80,43200,43680
2,0,40,80,43200,43680
2,0,54,80,43200,43920
2,0,57,80,43200,43920
1,0,71,80,43200,43680
1,0,63,80,43920,44640
2,0,53,80,44640,45360
2,0,56,80,44640,45360
1,0,62,80,45360,46080
2,0,52,80,46080,46800
2,0,55,80,46080,46800
1,0,64,80,46080,46560
1,0,67,80,46560,46800
2,0,39,80,46800,48240
2,0,47,80,46800,48240
2,0,59,80,46800,47520
1,0,60,80,46800,47520
2,0,51,80,47520,48240
2,0,55,80,47520,48240
2,0,59,80,47520,48000
2,0,59,80,48240,48960
2,0,51,80,48960,49680
2,0,54,80,48960,49680
2,0,59,80,49680,50400
2,0,26,80,50400,51840
2,0,38,80,50400,51840
2,0,50,80,50400,51840
2,0,55,80,50400,51840
2,0,59,80,50400,51840
1,0,76,80,51120,51600
1,0,76,80,51600,51840
2,0,35,80,51840,52560
2,0,47,80,51840,52560
2,0,51,80,51840,52560
2,0,55,80,51840,52560
2,0,59,80,51840,52560
1,0,63,80,51840,52560
1,0,75,80,51840,52560
2,0,31,80,52560,54000
2,0,43,80,52560,54000
2,0,50,80,52560,54000
2,0,55,80,52560,54000
2,0,58,80,52560,53280
2,0,59,80,52560,54000
1,0,61,80,52560,53280
1,0,62,80,52560,54000
1,0,74,80,53280,53760
1,0,74,80,53760,54000
2,0,40,80,54000,54720
2,0,52,80,54000,54720
1,0,67,80,54000,54720
1,0,73,80,54000,54720
2,0,39,80,54720,56160
2,0,51,80,54720,56160
2,0,57,80,54720,56160
1,0,60,80,54720,56160
1,0,67,80,54720,56160
1,0,69,80,54720,56160
1,0,72,80,55440,55920
1,0,72,80,55920,56160
2,0,38,80,56160,56880
2,0,50,80,56160,56880
2,0,59,80,56160,56880
1,0,62,80,56160,56880
1,0,67,80,56160,56640
1,0,71,80,56160,56400
1,0,71,80,56160,56880
1,0,67,80,56400,56880
1,0,64,80,56640,56880
2,0,37,80,56880,58320
2,0,49,80,56880,58320
1,0,64,80,56880,57600
1,0,67,80,56880,57600
1,0,71,80,56880,57600
1,0,76,80,56880,57600
1,0,69,80,57600,58080
1,0,64,80,57840,58080
1,0,66,80,58080,58320
2,0,49,80,58320,59040
2,0,55,80,58320,59040
2,0,57,80,58320,59040
1,0,67,80,58320,58560
1,0,66,80,58560,58800
1,0,64,80,58800,59040
2,0,36,80,59040,59760
2,0,48,80,59040,59760
2,0,57,80,59040,59760
1,0,63,80,59040,59760
1,0,66,80,59040,59760
1,0,69,80,59040,59520
1,0,71,80,59520,59760
2,0,35,80,59760,61200
2,0,47,80,59760,61200
2,0,57,80,59760,60120
1,0,62,80,59760,60120
1,0,69,80,59760,60120
1,0,74,80,59760,60480
2,0,55,80,60120,60480
1,0,67,80,60120,60480
2,0,54,80,60480,60840
1,0,62,80,60480,60840
1,0,66,80,60480,60840
1,0,74,80,60480,60960
2,0,55,80,60840,61200
1,0,67,80,60840,61200
1,0,71,80,60960,61200
2,0,33,80,61200,61920
2,0,45,80,61200,61920
2,0,59,80,61200,61920
1,0,62,80,61200,61920
1,0,65,80,61200,61920
1,0,71,80,61200,61680
1,0,71,80,61200,61920
1,0,72,80,61680,61920
2,0,32,80,61920,63360
2,0,44,80,61920,63360
1,0,60,80,61920,62280
1,0,64,80,61920,62280
1,0,72,80,61920,62280
1,0,76,80,61920,62640
2,0,59,80,62280,62640
1,0,71,80,62280,62640
2,0,58,80,62640,63000
1,0,64,80,62640,63000
1,0,70,80,62640,63000
1,0,76,80,62640,63120
2,0,59,80,63000,63360
1,0,71,80,63000,63360
1,0,71,80,63120,63360
2,0,31,80,63360,64080
2,0,43,80,63360,64080
1,0,64,80,63360,64080
1,0,67,80,63360,64080
1,0,71,80,63360,63720
1,0,72,80,63360,64080
1,0,76,80,63360,64080
1,0,72,80,63720,64080
2,0,57,80,64080,64440
1,0,60,80,64080,64440
1,0,65,80,64080,64440
1,0,69,80,64080,64440
1,0,72,80,64080,64440
1,0,77,80,64080,64440
1,0,77,80,64080,64440
2,0,55,80,64440,64800
1,0,60,80,64440,64800
1,0,64,80,64440,64800
1,0,67,80,64440,64800
1,0,72,80,64440,64800
1,0,76,80,64440,64800
1,0,76,80,64440,64800
2,0,52,80,64800,65520
2,0,55,80,64800,65520
1,0,60,80,64800,65520
1,0,64,80,64800,65520
1,0,67,80,64800,65520
1,0,72,80,64800,65160
1,0,72,80,64800,65520
1,0,76,80,65160,65520
2,0,30,80,65520,66240
2,0,42,80,65520,66240
2,0,58,80,65520,65880
1,0,61,80,65520,65880
1,0,66,80,65520,65880
1,0,70,80,65520,65880
1,0,74,80,65520,65880
1,0,78,80,65520,66960
1,0,64,80,65880,66240
1,0,70,80,65880,66240
1,0,73,80,65880,66240
2,0,58,80,66240,66600
1,0,61,80,66240,66600
1,0,66,80,66240,66600
1,0,70,80,66240,66600
2,0,54,80,66600,66960
1,0,66,80,66600,66960
2,0,52,80,66960,67320
2,0,54,80,66960,67320
2,0,57,80,66960,67320
1,0,61,80,66960,67320
1,0,64,80,66960,67320
1,0,78,80,66960,67440
2,0,49,80,67320,67680
2,0,54,80,67320,67680
2,0,57,80,67320,67680
1,0,61,80,67320,67680
2,0,36,80,67680,69120
2,0,48,80,67680,69120
2,0,54,80,67680,69120
2,0,57,80,67680,69120
1,0,64,80,67680,69120
1,0,76,80,68400,68880
1,0,76,80,68880,69120
2,0,35,80,69120,69360
2,0,47,80,69120,69360
2,0,54,80,69120,69840
2,0,59,80,69120,69840
1,0,63,80,69120,69840
