# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,40,80,0,120
2,0,47,80,120,240
2,0,48,80,240,360
2,0,47,80,360,480
2,0,47,80,480,720
2,0,47,80,720,1200
2,0,47,80,1200,1440
2,0,40,80,1440,1560
2,0,47,80,1560,1680
2,0,48,80,1680,1800
2,0,47,80,1800,1920
2,0,47,80,1920,2160
2,0,47,80,2160,2640
2,0,55,80,2400,2880
1,0,64,80,2400,2760
1,0,64,80,2400,2880
2,0,47,80,2640,2880
1,0,66,80,2760,2880
2,0,40,80,2880,3000
2,0,54,80,2880,3360
1,0,63,80,2880,3360
1,0,63,80,2880,3360
2,0,47,80,3000,3120
2,0,48,80,3120,3240
2,0,47,80,3240,3360
2,0,47,80,3360,3600
2,0,47,80,3600,4080
2,0,57,80,3840,4320
1,0,66,80,3840,4200
1,0,66,80,3840,4320
2,0,47,80,4080,4320
1,0,67,80,4200,4320
2,0,40,80,4320,4440
2,0,55,80,4320,4800
1,0,64,80,4320,4800
1,0,64,80,4320,4800
2,0,48,80,4440,4560
2,0,50,80,4560,4680
2,0,48,80,4680,4800
2,0,48,80,4800,5040
2,0,48,80,5040,5520
1,0,66,80,5040,5280
1,0,64,80,5280,5760
1,0,67,80,5280,5520
1,0,67,80,5280,5760
2,0,48,80,5520,5760
1,0,72,80,5520,5760
2,0,38,80,5760,5880
1,0,62,80,5760,6720
1,0,67,80,5760,6720
1,0,71,80,5760,6720
1,0,71,80,5760,6720
2,0,50,80,5880,6000
2,0,52,80,6000,6120
2,0,50,80,6120,6240
2,0,50,80,6240,6480
2,0,50,80,6480,6960
1,0,62,80,6720,7200
1,0,66,80,6720,7200
1,0,69,80,6720,7200
1,0,69,80,6720,7200
2,0,50,80,6960,7200
2,0,43,80,7200,7320
1,0,62,80,7200,7680
1,0,67,80,7200,7680
1,0,71,80,7200,7680
1,0,71,80,7200,7680
2,0,50,80,7320,7440
2,0,52,80,7440,7560
2,0,50,80,7560,7680
2,0,50,80,7680,7920
2,0,50,80,7920,8400
1,0,64,80,8160,8640
1,0,67,80,8160,8640
1,0,71,80,8160,8520
1,0,71,80,8160,8640
2,0,50,80,8400,8640
1,0,73,80,8520,8640
2,0,49,80,8640,8760
1,0,64,80,8640,9120
1,0,66,80,8640,9120
