# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,61,80,0,240
1,0,62,80,240,480
1,0,64,80,1440,1680
2,0,52,80,1680,1920
2,0,49,80,1920,2160
2,0,45,80,2160,2400
1,0,69,80,2400,2640
1,0,68,80,2640,2880
2,0,50,80,2880,3120
1,0,66,80,2880,3120
2,0,58,80,3120,3360
2,0,59,80,3360,3600
1,0,66,80,3600,3840
1,0,62,80,3840,4080
2,0,59,80,4080,4320
2,0,52,80,4320,4560
2,0,57,80,4560,4800
1,0,61,80,4800,5040
2,0,40,80,5040,5280
2,0,56,80,5280,5520
2,0,59,80,5520,5760
2,0,45,80,5760,6480
2,0,57,80,5760,6480
2,0,45,80,7200,7440
2,0,57,80,7200,7440
1,0,61,80,7200,7440
1,0,61,80,7440,7680
1,0,64,80,7440,7680
1,0,64,80,7680,7920
1,0,69,80,7680,7920
2,0,45,80,7920,8160
2,0,57,80,7920,8160
1,0,73,80,7920,8400
1,0,61,80,8160,8400
1,0,64,80,8400,8640
1,0,73,80,8400,8640
2,0,45,80,8640,8880
2,0,57,80,8640,8880
1,0,76,80,8640,9360
1,0,61,80,8880,9120
1,0,64,80,9120,9360
2,0,45,80,9360,9600
2,0,57,80,9360,9600
1,0,73,80,9360,9600
1,0,61,80,9600,9840
1,0,64,80,9840,10080
1,0,73,80,9840,10080
2,0,40,80,10080,10320
2,0,56,80,10080,10320
1,0,74,80,10080,10560
2,0,59,80,10320,10560
1,0,64,80,10560,10800
1,0,71,80,10560,10800
2,0,45,80,10800,11040
2,0,57,80,10800,11040
1,0,73,80,10800,11280
1,0,61,80,11040,11280
1,0,64,80,11280,11520
1,0,73,80,11280,11520
2,0,40,80,11520,11760
2,0,56,80,11520,11760
1,0,71,80,11520,12000
2,0,59,80,11760,12000
1,0,64,80,12000,12240
2,0,40,80,12240,12480
2,0,56,80,12240,12480
2,0,59,80,12480,12720
1,0,64,80,12720,12960
2,0,45,80,12960,13200
2,0,57,80,12960,13200
1,0,61,80,12960,13200
1,0,61,80,13200,13440
1,0,64,80,13200,13440
1,0,64,80,13440,13680
1,0,69,80,13440,13680
2,0,45,80,13680,13920
2,0,57,80,13680,13920
1,0,73,80,13680,14160
1,0,61,80,13920,14160
1,0,64,80,14160,14400
1,0,73,80,14160,14400
2,0,45,80,14400,14640
2,0,57,80,14400,14640
1,0,76,80,14400,15120
1,0,61,80,14640,14880
1,0,64,80,14880,15120
2,0,45,80,15120,15360
2,0,57,80,15120,15360
1,0,73,80,15120,15600
1,0,61,80,15360,15600
1,0,64,80,15600,15840
1,0,73,80,15600,15840
2,0,56,80,15840,16080
1,0,75,80,15840,16320
1,0,60,80,16080,16320
1,0,66,80,16320,16560
1,0,69,80,16320,16560
2,0,56,80,16560,16800
1,0,68,80,16560,17040
1,0,60,80,16800,17040
1,0,66,80,17040,17280
1,0,68,80,17040,17280
2,0,49,80,17280,17520
1,0,61,80,17280,17760
1,0,61,80,17520,17760
1,0,64,80,17760,18000
2,0,49,80,18000,18480
1,0,73,80,18480,18720
2,0,40,80,18720,18960
2,0,56,80,18720,18960
1,0,74,80,18720,19200
2,0,59,80,18960,19200
1,0,64,80,19200,19440
1,0,71,80,19200,19440
2,0,40,80,19440,19680
2,0,56,80,19440,19680
1,0,68,80,19440,19920
2,0,59,80,19680,19920
1,0,64,80,19920,20160
1,0,68,80,19920,20160
2,0,45,80,20160,20400
2,0,57,80,20160,20400
1,0,69,80,20160,20640
1,0,61,80,20400,20640
1,0,64,80,20640,20880
1,0,73,80,20640,20880
2,0,45,80,20880,21120
2,0,57,80,20880,21120
1,0,64,80,20880,21360
1,0,61,80,21120,21360
1,0,64,80,21360,21600
1,0,76,80,21360,21600
2,0,40,80,21600,21840
2,0,56,80,21600,21840
1,0,68,80,21600,22080
2,0,59,80,21840,22080
1,0,64,80,22080,22320
1,0,68,80,22080,22320
2,0,45,80,22320,22560
2,0,57,80,22320,22560
1,0,69,80,22320,22800
1,0,61,80,22560,22800
1,0,64,80,22800,23040
1,0,73,80,22800,23040
2,0,40,80,23040,23280
2,0,56,80,23040,23280
1,0,71,80,23040,23520
2,0,59,80,23280,23520
1,0,64,80,23520,23760
2,0,40,80,23760,24240
2,0,56,80,23760,24240
2,0,59,80,23760,24240
1,0,64,80,23760,24240
1,0,73,80,24240,24480
2,0,57,80,24480,25200
1,0,61,80,24480,25200
1,0,64,80,24480,25200
1,0,73,80,24480,24960
1,0,73,80,24960,25200
2,0,56,80,25200,25920
2,0,59,80,25200,25920
1,0,64,80,25200,25920
1,0,76,80,25200,25680
1,0,76,80,25680,25920
2,0,54,80,25920,26640
2,0,57,80,25920,26640
1,0,64,80,25920,26640
1,0,76,80,25920,26640
2,0,50,80,26640,27360
2,0,59,80,26640,27360
1,0,62,80,26640,27360
1,0,74,80,26640,26880
1,0,74,80,26880,27120
1,0,71,80,27120,27360
2,0,52,80,27360,28080
2,0,57,80,27360,28080
1,0,61,80,27360,28080
1,0,69,80,27360,28080
2,0,40,80,28080,28800
2,0,56,80,28080,28800
2,0,59,80,28080,28800
1,0,71,80,28080,28560
1,0,71,80,28560,28800
2,0,45,80,28800,29040
1,0,73,80,28800,29280
2,0,57,80,29040,29280
1,0,61,80,29280,29520
2,0,45,80,29520,30000
1,0,73,80,30000,30240
2,0,57,80,30240,30480
1,0,73,80,30240,30720
1,0,61,80,30480,30720
1,0,64,80,30720,30960
1,0,73,80,30720,30960
2,0,56,80,30960,31200
1,0,76,80,30960,31440
2,0,59,80,31200,31440
1,0,64,80,31440,31680
1,0,76,80,31440,31680
2,0,54,80,31680,31920
1,0,76,80,31680,32400
2,0,57,80,31920,32160
1,0,64,80,32160,32400
2,0,50,80,32400,32640
1,0,74,80,32400,32640
2,0,59,80,32640,32880
1,0,74,80,32640,32880
1,0,62,80,32880,33120
1,0,71,80,32880,33120
2,0,52,80,33120,33360
1,0,69,80,33120,33600
2,0,57,80,33360,33600
1,0,61,80,33600,33840
2,0,40,80,33840,34080
1,0,71,80,33840,34320
2,0,56,80,34080,34320
2,0,59,80,34320,34560
1,0,68,80,34320,34560
2,0,45,80,34560,34800
1,0,69,80,34560,35040
2,0,57,80,34800,35040
1,0,61,80,35040,35280
2,0,45,80,35280,35520
1,0,61,80,35520,35760
1,0,62,80,35760,36000
