# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,60,80,0,480
1,0,60,80,0,480
1,0,64,80,0,480
2,0,59,80,480,960
1,0,60,80,480,960
1,0,64,80,480,960
2,0,58,80,960,1440
1,0,60,80,960,1440
1,0,64,80,960,1440
2,0,57,80,1440,1920
1,0,60,80,1440,1920
1,0,64,80,1440,1920
2,0,56,80,1920,2400
1,0,60,80,1920,2400
1,0,64,80,1920,2400
2,0,55,80,2400,2880
1,0,60,80,2400,2880
1,0,64,80,2400,2880
2,0,54,80,2880,3360
2,0,57,80,2880,3360
1,0,60,80,2880,3360
1,0,63,80,2880,3360
1,0,69,80,2880,3840
2,0,54,80,3360,3840
2,0,57,80,3360,3840
1,0,60,80,3360,3840
1,0,63,80,3360,3840
2,0,54,80,3840,4320
2,0,57,80,3840,4320
1,0,60,80,3840,4320
1,0,63,80,3840,4320
1,0,69,80,3840,4320
2,0,54,80,4320,4800
2,0,57,80,4320,4800
1,0,60,80,4320,4800
1,0,62,80,4320,4800
1,0,69,80,4320,5760
1,0,72,80,4320,5760
2,0,54,80,4800,5280
2,0,57,80,4800,5280
1,0,60,80,4800,5280
1,0,62,80,4800,5280
2,0,54,80,5280,5760
2,0,57,80,5280,5760
1,0,60,80,5280,5760
1,0,62,80,5280,5760
2,0,55,80,5760,6240
1,0,60,80,5760,6240
1,0,64,80,5760,6240
1,0,67,80,5760,6240
1,0,72,80,5760,6240
2,0,43,80,6240,6720
1,0,60,80,6240,6720
1,0,65,80,6240,6720
1,0,69,80,6240,6720
2,0,55,80,6720,7200
2,0,59,80,6720,7200
1,0,65,80,6720,7200
1,0,67,80,6720,7200
1,0,74,80,6720,7200
2,0,55,80,7200,7680
1,0,60,80,7200,7680
1,0,64,80,7200,7680
1,0,67,80,7200,7680
2,0,55,80,7680,8160
1,0,60,80,7680,8160
1,0,64,80,7680,8160
2,0,43,80,8160,8640
1,0,60,80,8160,8640
1,0,63,80,8160,8640
1,0,69,80,8160,8640
2,0,55,80,8640,9120
1,0,60,80,8640,9120
1,0,62,80,8640,9600
2,0,55,80,9120,9600
2,0,59,80,9120,9600
2,0,54,80,9600,10080
2,0,57,80,9600,10080
1,0,60,80,9600,10080
1,0,65,80,9600,9840
1,0,63,80,9840,10080
2,0,55,80,10080,10560
2,0,59,80,10080,10560
1,0,62,80,10080,10560
2,0,57,80,10560,11040
2,0,59,80,11040,11520
1,0,60,80,11520,12000
1,0,60,80,11520,12000
1,0,64,80,11520,12000
1,0,64,80,11520,12000
2,0,59,80,12000,12480
1,0,60,80,12000,12480
1,0,64,80,12000,12480
1,0,64,80,12000,12480
2,0,58,80,12480,12960
1,0,60,80,12480,12960
1,0,64,80,12480,12960
1,0,64,80,12480,12960
2,0,57,80,12960,13440
1,0,60,80,12960,13440
1,0,64,80,12960,13440
1,0,64,80,12960,13440
2,0,56,80,13440,13920
1,0,60,80,13440,13920
1,0,64,80,13440,13680
1,0,64,80,13440,13920
2,0,55,80,13920,14400
1,0,60,80,13920,14400
1,0,64,80,13920,14400
1,0,64,80,13920,14400
2,0,54,80,14400,14880
2,0,57,80,14400,14880
1,0,60,80,14400,14880
1,0,63,80,14400,14880
1,0,69,80,14400,15360
2,0,54,80,14880,15360
2,0,57,80,14880,15360
1,0,60,80,14880,15360
1,0,63,80,14880,15360
2,0,54,80,15360,15840
2,0,57,80,15360,15840
1,0,60,80,15360,15840
1,0,63,80,15360,15840
1,0,69,80,15360,15840
2,0,54,80,15840,16320
2,0,57,80,15840,16320
1,0,60,80,15840,16320
1,0,62,80,15840,16320
1,0,72,80,15840,16800
2,0,54,80,16320,16800
2,0,57,80,16320,16800
1,0,60,80,16320,16800
1,0,62,80,16320,16800
2,0,54,80,16800,17280
2,0,57,80,16800,17280
1,0,60,80,16800,17280
1,0,62,80,16800,17280
1,0,69,80,16800,17280
1,0,72,80,16800,17280
2,0,55,80,17280,18720
1,0,60,80,17280,17760
1,0,64,80,17280,17760
1,0,67,80,17280,17760
1,0,72,80,17280,17760
1,0,72,80,17280,17760
1,0,60,80,17760,18240
1,0,65,80,17760,18240
1,0,69,80,17760,18240
1,0,69,80,17760,18240
2,0,59,80,18240,18720
1,0,65,80,18240,18720
1,0,67,80,18240,18720
1,0,74,80,18240,18720
2,0,43,80,18720,20160
1,0,60,80,18720,19200
1,0,64,80,18720,19200
1,0,67,80,18720,19200
1,0,67,80,18720,19200
1,0,61,80,19200,19680
1,0,64,80,19200,19680
1,0,64,80,19200,19680
1,0,69,80,19200,19680
2,0,57,80,19680,20160
1,0,61,80,19680,20160
1,0,64,80,19680,20160
1,0,69,80,19680,20160
2,0,55,80,20160,21120
2,0,57,80,20160,20640
1,0,62,80,20160,20640
1,0,65,80,20160,20640
1,0,69,80,20160,20640
2,0,59,80,20640,21120
1,0,62,80,20640,21120
1,0,65,80,20640,21120
1,0,67,80,20640,21120
2,0,55,80,21120,21600
1,0,60,80,21120,21600
1,0,64,80,21120,21600
1,0,64,80,21120,21600
1,0,67,80,21120,21600
2,0,55,80,21600,22080
2,0,59,80,21600,22080
1,0,62,80,21600,22080
1,0,62,80,21600,22560
1,0,67,80,21600,23040
2,0,55,80,22080,22560
2,0,59,80,22080,22560
1,0,62,80,22080,22560
2,0,55,80,22560,23040
2,0,59,80,22560,23040
1,0,62,80,22560,23040
1,0,62,80,22800,23040
2,0,54,80,23040,23520
2,0,57,80,23040,23520
1,0,60,80,23040,23520
1,0,62,80,23040,23520
1,0,62,80,23040,23760
2,0,54,80,23520,24000
2,0,57,80,23520,24000
1,0,60,80,23520,24000
1,0,62,80,23520,24000
1,0,62,80,23760,24000
2,0,54,80,24000,24480
2,0,57,80,24000,24480
1,0,60,80,24000,24480
1,0,62,80,24000,24480
1,0,62,80,24000,24480
2,0,53,80,24480,24960
2,0,57,80,24480,24960
1,0,60,80,24480,24960
1,0,63,80,24480,24960
1,0,63,80,24480,24960
2,0,53,80,24960,25440
2,0,57,80,24960,25440
1,0,60,80,24960,25440
1,0,63,80,24960,25440
1,0,69,80,24960,25200
2,0,53,80,25440,25920
2,0,57,80,25440,25920
1,0,60,80,25440,25920
1,0,63,80,25440,25920
1,0,69,80,25680,25920
2,0,52,80,25920,26400
2,0,57,80,25920,26400
1,0,60,80,25920,26400
1,0,64,80,25920,26400
1,0,69,80,25920,26400
2,0,52,80,26400,26880
2,0,57,80,26400,26880
1,0,60,80,26400,26880
1,0,64,80,26400,26880
1,0,69,80,26400,26880
2,0,52,80,26880,27360
2,0,56,80,26880,27360
2,0,59,80,26880,27360
1,0,64,80,26880,27360
1,0,71,80,26880,27360
2,0,45,80,27360,27840
2,0,52,80,27360,27840
2,0,57,80,27360,27840
1,0,60,80,27360,27840
1,0,64,80,27360,27840
1,0,72,80,27360,27840
2,0,45,80,27840,28320
2,0,52,80,27840,28320
2,0,57,80,27840,28320
1,0,60,80,27840,28320
1,0,64,80,27840,28320
2,0,45,80,28320,28800
2,0,52,80,28320,28800
2,0,57,80,28320,28800
1,0,60,80,28320,28800
1,0,64,80,28320,28800
1,0,72,80,28320,28800
2,0,45,80,28800,29280
2,0,50,80,28800,29280
2,0,57,80,28800,29280
1,0,60,80,28800,29280
1,0,62,80,28800,29280
1,0,66,80,28800,29280
1,0,76,80,28800,29280
2,0,45,80,29280,29760
2,0,50,80,29280,29760
2,0,57,80,29280,29760
1,0,60,80,29280,29760
1,0,62,80,29280,29760
1,0,66,80,29280,29760
1,0,74,80,29280,29760
2,0,45,80,29760,30240
2,0,50,80,29760,30240
2,0,57,80,29760,30240
1,0,60,80,29760,30240
1,0,62,80,29760,30240
1,0,66,80,29760,30240
1,0,72,80,29760,30240
2,0,47,80,30240,30720
2,0,50,80,30240,30720
2,0,55,80,30240,30720
2,0,59,80,30240,30720
1,0,62,80,30240,30720
1,0,67,80,30240,30720
1,0,71,80,30240,30720
2,0,49,80,30720,31200
2,0,57,80,30720,31200
1,0,64,80,30720,31200
1,0,67,80,30720,31200
1,0,69,80,30720,31200
2,0,52,80,31200,31680
2,0,57,80,31200,31680
1,0,61,80,31200,31680
1,0,67,80,31200,31680
1,0,64,80,31440,31680
2,0,50,80,31680,32160
2,0,57,80,31680,32640
1,0,60,80,31680,32640
1,0,67,80,31680,32160
1,0,67,80,31680,32160
2,0,50,80,32160,32640
1,0,66,80,32160,32400
1,0,66,80,32160,32400
2,0,38,80,32640,33120
2,0,54,80,32640,33120
1,0,60,80,32640,33120
1,0,62,80,32640,33120
1,0,71,80,32640,33120
2,0,43,80,33120,33600
2,0,50,80,33120,33600
2,0,55,80,33120,33600
2,0,59,80,33120,33600
1,0,62,80,33120,34560
1,0,67,80,33120,34080
2,0,43,80,33600,34080
2,0,50,80,33600,34080
2,0,55,80,33600,34080
2,0,59,80,33600,34080
2,0,43,80,34080,34560
2,0,50,80,34080,34560
2,0,55,80,34080,34560
2,0,59,80,34080,34560
2,0,43,80,34560,36000
1,0,69,80,34560,34800
1,0,74,80,34560,34800
1,0,77,80,34560,34800
1,0,77,80,34560,34800
1,0,65,80,35040,35520
1,0,69,80,35040,35520
1,0,74,80,35040,35520
1,0,74,80,35040,35520
1,0,62,80,35520,36000
1,0,65,80,35520,36000
1,0,69,80,35520,36000
1,0,69,80,35520,36000
2,0,43,80,36000,37440
2,0,57,80,36000,36480
1,0,62,80,36000,36960
1,0,65,80,36000,36960
1,0,65,80,36000,36960
2,0,59,80,36480,36960
1,0,60,80,36960,37440
1,0,64,80,36960,37440
1,0,64,80,36960,37440
2,0,43,80,37440,38880
1,0,60,80,37440,37920
1,0,64,80,37440,37920
1,0,64,80,37440,37920
1,0,66,80,37440,38880
2,0,59,80,37920,38400
1,0,62,80,37920,38400
1,0,62,80,37920,38400
2,0,57,80,38400,38880
1,0,60,80,38400,38880
1,0,60,80,38400,38880
2,0,55,80,38880,39840
1,0,60,80,38880,39360
1,0,60,80,38880,39840
1,0,64,80,38880,39360
1,0,67,80,38880,39840
1,0,60,80,39360,39840
1,0,64,80,39360,39840
2,0,55,80,39840,40320
2,0,59,80,39840,40320
2,0,59,80,39840,40320
1,0,62,80,39840,40320
1,0,67,80,39840,40320
2,0,48,80,40320,40800
2,0,58,80,40320,40800
1,0,60,80,40320,40560
1,0,60,80,40320,40800
1,0,64,80,40320,40800
1,0,67,80,40320,40800
2,0,48,80,40800,41280
2,0,58,80,40800,41280
1,0,60,80,40800,41280
1,0,64,80,40800,41280
1,0,64,80,40800,41280
1,0,67,80,40800,41280
2,0,48,80,41280,41760
2,0,58,80,41280,41760
1,0,60,80,41280,41760
1,0,64,80,41280,41760
1,0,67,80,41280,41760
1,0,67,80,41280,41760
2,0,48,80,41760,42240
2,0,57,80,41760,42240
1,0,60,80,41760,42240
1,0,63,80,41760,42240
1,0,67,80,41760,42240
1,0,72,80,41760,42480
2,0,48,80,42240,42720
2,0,57,80,42240,42720
1,0,60,80,42240,42720
1,0,63,80,42240,42720
1,0,67,80,42240,42720
1,0,60,80,42480,42720
2,0,48,80,42720,43200
2,0,57,80,42720,43200
1,0,60,80,42720,43200
1,0,60,80,42720,43200
1,0,63,80,42720,43200
1,0,66,80,42720,43200
2,0,48,80,43200,43680
2,0,56,80,43200,43680
1,0,60,80,43200,43680
1,0,60,80,43200,43680
1,0,62,80,43200,43680
1,0,65,80,43200,43680
2,0,48,80,43680,44160
2,0,56,80,43680,44160
1,0,60,80,43680,44160
1,0,62,80,43680,44160
1,0,65,80,43680,44160
1,0,65,80,43680,44160
2,0,48,80,44160,44640
2,0,56,80,44160,44640
1,0,60,80,44160,44640
1,0,62,80,44160,44640
1,0,65,80,44160,44640
1,0,68,80,44160,44640
2,0,48,80,44640,45120
2,0,55,80,44640,45120
1,0,60,80,44640,45120
1,0,65,80,44640,45360
1,0,72,80,44640,46080
2,0,48,80,45120,45600
2,0,55,80,45120,45600
1,0,60,80,45120,45600
1,0,64,80,45360,45600
2,0,48,80,45600,46080
2,0,55,80,45600,46080
1,0,60,80,45600,46080
1,0,64,80,45600,46080
2,0,45,80,46080,46560
2,0,57,80,46080,46560
1,0,60,80,46080,46560
1,0,64,80,46080,46560
1,0,69,80,46080,46560
1,0,72,80,46080,46320
1,0,72,80,46080,46560
2,0,43,80,46560,47040
2,0,55,80,46560,47040
1,0,60,80,46560,47040
1,0,64,80,46560,47040
1,0,70,80,46560,47040
1,0,72,80,46560,47040
1,0,72,80,46560,47280
2,0,41,80,47040,47520
2,0,53,80,47040,47520
1,0,60,80,47040,47520
1,0,65,80,47040,47520
1,0,69,80,47040,47520
1,0,72,80,47040,47520
1,0,72,80,47280,47520
2,0,38,80,47520,48000
2,0,50,80,47520,48000
1,0,65,80,47520,48000
1,0,71,80,47520,48000
1,0,77,80,47520,48000
1,0,77,80,47520,48480
2,0,38,80,48000,48480
2,0,50,80,48000,48480
1,0,65,80,48000,48480
1,0,71,80,48000,48480
1,0,77,80,48000,48480
2,0,40,80,48480,48960
2,0,52,80,48480,48960
1,0,67,80,48480,48960
1,0,72,80,48480,48960
1,0,76,80,48480,48960
1,0,76,80,48480,48960
2,0,41,80,48960,49440
2,0,53,80,48960,49440
1,0,65,80,48960,49440
1,0,69,80,48960,49440
1,0,74,80,48960,49440
1,0,74,80,48960,49440
2,0,42,80,49440,49920
2,0,54,80,49440,49920
1,0,63,80,49440,49920
1,0,69,80,49440,49920
1,0,72,80,49440,49920
1,0,72,80,49440,49920
2,0,43,80,49920,50400
2,0,55,80,49920,50400
1,0,62,80,49920,50400
1,0,67,80,49920,50400
1,0,71,80,49920,50400
1,0,71,80,49920,50400
2,0,45,80,50400,50880
2,0,54,80,50400,50880
1,0,60,80,50400,50880
1,0,62,80,50400,50880
1,0,69,80,50400,50880
1,0,69,80,50400,50880
2,0,47,80,50880,51360
2,0,53,80,50880,51360
2,0,55,80,50880,51360
1,0,62,80,50880,51360
1,0,67,80,50880,51360
1,0,67,80,50880,51840
2,0,48,80,51360,51840
