# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,36,80,0,240
1,0,60,80,0,240
1,0,64,80,0,480
2,0,48,80,240,480
2,0,55,80,240,480
2,0,36,80,480,720
1,0,62,80,480,720
1,0,65,80,480,960
2,0,48,80,720,960
2,0,55,80,720,960
2,0,36,80,960,1200
1,0,64,80,960,1200
1,0,67,80,960,1680
2,0,48,80,1200,1440
2,0,55,80,1200,1440
2,0,36,80,1440,1680
1,0,64,80,1440,1680
2,0,48,80,1680,1920
1,0,72,80,1680,1760
1,0,76,80,1760,1840
1,0,72,80,1840,1920
2,0,36,80,1920,2160
1,0,71,80,1920,2000
1,0,74,80,2000,2080
1,0,71,80,2080,2160
2,0,48,80,2160,2400
1,0,69,80,2160,2240
1,0,72,80,2240,2320
1,0,69,80,2320,2400
2,0,36,80,2400,2640
1,0,67,80,2400,2480
1,0,71,80,2480,2560
1,0,67,80,2560,2640
2,0,48,80,2640,2880
1,0,65,80,2640,2720
1,0,69,80,2720,2800
1,0,65,80,2800,2880
2,0,36,80,2880,2960
1,0,64,80,2880,3600
1,0,67,80,2880,3600
2,0,40,80,2960,3040
2,0,43,80,3040,3120
2,0,48,80,3120,3200
2,0,52,80,3200,3280
2,0,55,80,3280,3360
1,0,60,80,3360,3600
1,0,64,80,3600,3840
1,0,79,80,3600,3680
1,0,76,80,3680,3760
1,0,72,80,3760,3840
1,0,62,80,3840,4080
1,0,65,80,3840,4080
1,0,71,80,3840,3920
1,0,74,80,3920,4000
1,0,77,80,4000,4080
2,0,55,80,4080,4320
1,0,79,80,4080,4160
1,0,83,80,4160,4240
1,0,86,80,4240,4320
1,0,62,80,4320,4560
1,0,65,80,4320,4560
1,0,89,80,4320,4560
2,0,55,80,4560,4800
1,0,60,80,4800,5040
1,0,64,80,4800,5040
1,0,71,80,4800,4880
1,0,72,80,4880,4960
1,0,76,80,4960,5040
2,0,55,80,5040,5280
1,0,79,80,5040,5120
1,0,83,80,5120,5200
1,0,84,80,5200,5280
1,0,60,80,5280,5520
1,0,64,80,5280,5520
1,0,88,80,5280,5520
2,0,55,80,5520,5760
1,0,84,80,5640,5760
1,0,62,80,5760,6000
1,0,65,80,5760,6000
1,0,83,80,5760,5840
1,0,86,80,5840,5920
1,0,89,80,5920,6000
2,0,55,80,6000,6240
1,0,88,80,6000,6080
1,0,86,80,6080,6160
1,0,84,80,6160,6240
1,0,62,80,6240,6480
1,0,65,80,6240,6480
1,0,83,80,6240,6320
1,0,81,80,6320,6400
1,0,79,80,6400,6480
2,0,55,80,6480,6720
1,0,77,80,6480,6560
1,0,76,80,6560,6640
1,0,74,80,6640,6720
1,0,60,80,6720,6960
1,0,64,80,6720,6960
1,0,76,80,6720,6800
1,0,79,80,6800,6880
1,0,77,80,6880,6960
2,0,55,80,6960,7200
1,0,76,80,6960,7040
1,0,74,80,7040,7120
1,0,72,80,7120,7200
1,0,60,80,7200,7440
1,0,64,80,7200,7440
1,0,76,80,7200,7280
1,0,74,80,7280,7360
