# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,1/8
track,channel,pitch,vel,start,end
1,0,77,80,0,240
2,0,58,80,240,480
1,0,74,80,240,600
1,0,62,80,480,720
1,0,65,80,480,720
1,0,75,80,600,720
2,0,57,80,720,960
1,0,72,80,720,1080
1,0,63,80,960,1200
1,0,65,80,960,1200
1,0,74,80,1080,1200
2,0,58,80,1200,1440
1,0,70,80,1200,1920
1,0,62,80,1440,1680
1,0,65,80,1440,1680
1,0,62,80,1680,1920
1,0,65,80,1680,1920
1,0,74,80,1920,2160
2,0,55,80,2160,2400
1,0,70,80,2160,2520
2,0,58,80,2400,2640
1,0,62,80,2400,2640
1,0,72,80,2520,2640
2,0,54,80,2640,2880
1,0,69,80,2640,3000
1,0,60,80,2880,3120
1,0,62,80,2880,3120
1,0,70,80,3000,3120
2,0,55,80,3120,3360
1,0,67,80,3120,4080
2,0,58,80,3360,3600
1,0,62,80,3360,3600
2,0,58,80,3600,3840
1,0,62,80,3600,3840
2,0,51,80,4080,4320
1,0,67,80,4080,4200
1,0,66,80,4200,4320
2,0,55,80,4320,4560
2,0,58,80,4320,4560
1,0,67,80,4320,4440
1,0,69,80,4440,4560
2,0,55,80,4560,4800
2,0,58,80,4560,4800
1,0,70,80,4560,4800
1,0,67,80,4800,5040
2,0,53,80,5040,5280
1,0,65,80,5040,5280
2,0,58,80,5280,5520
1,0,62,80,5280,5520
1,0,70,80,5280,5400
1,0,72,80,5400,5520
2,0,58,80,5520,5760
1,0,62,80,5520,5760
1,0,74,80,5520,5880
1,0,74,80,5880,6000
2,0,53,80,6000,6240
1,0,74,80,6000,6360
2,0,58,80,6240,6480
1,0,62,80,6240,6480
1,0,75,80,6360,6480
2,0,53,80,6480,6720
1,0,72,80,6480,6840
2,0,57,80,6720,6960
1,0,63,80,6720,6960
1,0,74,80,6840,6960
2,0,53,80,6960,7440
2,0,58,80,6960,7440
1,0,61,80,6960,7440
1,0,70,80,6960,7440
2,0,53,80,7440,7680
2,0,58,80,7440,7680
1,0,61,80,7440,7680
2,0,53,80,7680,8160
2,0,58,80,7680,8160
1,0,61,80,7680,8160
2,0,53,80,8160,8400
2,0,58,80,8160,8400
1,0,61,80,8160,8400
1,0,65,80,8160,8400
1,0,65,80,8160,8400
2,0,53,80,8400,8880
2,0,58,80,8400,8880
1,0,61,80,8400,8880
1,0,70,80,8400,8880
1,0,70,80,8400,8880
2,0,53,80,8880,9120
2,0,56,80,8880,9120
1,0,61,80,8880,9120
1,0,70,80,8880,9120
1,0,70,80,8880,9120
2,0,53,80,9120,9600
2,0,57,80,9120,9600
1,0,63,80,9120,9600
1,0,72,80,9120,9600
1,0,72,80,9120,9600
2,0,53,80,9600,9840
2,0,57,80,9600,9840
1,0,63,80,9600,9840
1,0,72,80,9600,9840
1,0,72,80,9600,9840
2,0,53,80,9840,10320
2,0,58,80,9840,10320
1,0,61,80,9840,10320
1,0,73,80,9840,10320
1,0,73,80,9840,10320
2,0,53,80,10320,10560
2,0,58,80,10320,10560
1,0,61,80,10320,10560
1,0,73,80,10320,10560
1,0,73,80,10320,10560
2,0,53,80,10560,11040
2,0,57,80,10560,11040
1,0,60,80,10560,11040
1,0,75,80,10560,11040
1,0,75,80,10560,11040
2,0,53,80,11040,11280
2,0,57,80,11040,11280
1,0,60,80,11040,11280
1,0,77,80,11040,11280
1,0,77,80,11040,11280
2,0,53,80,11280,11760
2,0,58,80,11280,11760
1,0,61,80,11280,11760
1,0,70,80,11280,13680
1,0,70,80,11280,13680
2,0,53,80,11760,12000
2,0,58,80,11760,12000
1,0,61,80,11760,12000
1,0,65,80,11760,12000
2,0,53,80,12000,12480
2,0,58,80,12000,12480
1,0,61,80,12000,12480
1,0,65,80,12000,12480
2,0,53,80,12480,12720
2,0,58,80,12480,12720
1,0,61,80,12480,12720
1,0,65,80,12480,12720
