# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,72,80,0,960
1,0,60,80,320,640
1,0,72,80,640,960
1,0,68,80,1920,2880
1,0,60,80,2240,2560
1,0,68,80,2560,2880
2,0,56,80,2880,3840
1,0,65,80,2880,3840
1,0,60,80,3200,3520
1,0,65,80,3520,3840
2,0,53,80,3840,4800
1,0,73,80,3840,4320
1,0,61,80,4160,4480
1,0,72,80,4320,4800
1,0,68,80,4480,4800
1,0,73,80,4480,4800
2,0,49,80,4800,5760
1,0,70,80,4800,5280
1,0,61,80,5120,5440
1,0,65,80,5280,5760
1,0,65,80,5440,5760
1,0,70,80,5440,5760
1,0,68,80,5760,6720
2,0,58,80,6080,6400
1,0,63,80,6400,6720
1,0,68,80,6400,6720
2,0,51,80,6720,7680
1,0,67,80,6720,7200
2,0,58,80,7040,7360
1,0,63,80,7360,7680
1,0,67,80,7360,7680
2,0,48,80,7680,8640
1,0,75,80,7680,8640
1,0,63,80,8000,8320
1,0,68,80,8320,8640
1,0,75,80,8320,8640
2,0,44,80,8640,9600
1,0,73,80,8640,9120
1,0,63,80,8960,9280
1,0,72,80,9120,9600
1,0,68,80,9280,9600
1,0,72,80,9280,9600
1,0,70,80,9600,10080
1,0,60,80,9920,10240
1,0,68,80,10080,10560
1,0,63,80,10240,10560
1,0,68,80,10240,10560
2,0,41,80,10560,11520
1,0,67,80,10560,11040
1,0,60,80,10880,11200
1,0,68,80,11040,11520
1,0,63,80,11200,11520
1,0,68,80,11200,11520
2,0,34,80,11520,13440
2,0,46,80,11520,13440
1,0,70,80,11520,12480
2,0,56,80,11840,12160
1,0,63,80,12160,12480
1,0,70,80,12160,13440
2,0,56,80,12800,13120
1,0,62,80,13120,13440
1,0,70,80,13120,13440
2,0,39,80,13440,14400
2,0,46,80,13440,14400
1,0,63,80,13440,14400
2,0,55,80,13760,14080
2,0,58,80,14080,14400
1,0,63,80,14400,14720
1,0,67,80,14720,15040
1,0,68,80,15040,15360
1,0,67,80,15360,17280
1,0,70,80,15360,16320
1,0,70,80,15360,16320
1,0,61,80,15680,16000
1,0,63,80,15680,16000
1,0,61,80,16000,16320
1,0,63,80,16000,16320
1,0,61,80,16320,16640
1,0,63,80,16320,16640
1,0,72,80,16320,16800
1,0,72,80,16320,16800
1,0,61,80,16640,16960
1,0,63,80,16640,16960
1,0,73,80,16800,17280
1,0,73,80,16800,17280
1,0,61,80,16960,17280
1,0,63,80,16960,17280
1,0,61,80,17280,17600
1,0,63,80,17280,17600
1,0,68,80,17280,18240
1,0,75,80,17280,17760
1,0,75,80,17280,18240
1,0,60,80,17600,17920
1,0,63,80,17600,17920
1,0,72,80,17760,18240
1,0,60,80,17920,18240
1,0,63,80,17920,18240
1,0,60,80,18240,18560
1,0,63,80,18240,18560
1,0,68,80,18240,18720
1,0,68,80,18240,19200
1,0,77,80,18240,19200
2,0,59,80,18560,18880
1,0,63,80,18560,18880
1,0,75,80,18720,19200
2,0,59,80,18880,19200
1,0,63,80,18880,19200
2,0,59,80,19200,19520
1,0,63,80,19200,19520
1,0,68,80,19200,21120
1,0,75,80,19200,20160
1,0,75,80,19200,20160
1,0,80,80,19200,21120
2,0,58,80,19520,19840
1,0,65,80,19520,19840
2,0,58,80,19840,20160
1,0,65,80,19840,20160
2,0,58,80,20160,20480
1,0,65,80,20160,20480
1,0,74,80,20160,20640
1,0,74,80,20160,21120
2,0,58,80,20480,20800
1,0,65,80,20480,20800
2,0,58,80,20800,21120
1,0,65,80,20800,21120
1,0,62,80,21120,23040
1,0,65,80,21120,22080
1,0,65,80,21120,22080
2,0,56,80,21440,21760
1,0,60,80,21760,22080
2,0,58,80,22080,22400
1,0,67,80,22080,22560
1,0,67,80,22080,22560
2,0,56,80,22400,22720
1,0,68,80,22560,23040
1,0,68,80,22560,23040
2,0,53,80,22720,23040
1,0,63,80,23040,24000
1,0,67,80,23040,24000
1,0,70,80,23040,23520
1,0,70,80,23040,23520
2,0,43,80,23360,23680
1,0,71,80,23520,24000
1,0,71,80,23520,24000
2,0,51,80,23680,24000
2,0,50,80,24000,24320
1,0,63,80,24000,24480
1,0,67,80,24000,24480
1,0,72,80,24000,24480
1,0,72,80,24000,24480
2,0,48,80,24320,24640
1,0,65,80,24480,24960
1,0,68,80,24480,24960
1,0,74,80,24480,24960
1,0,74,80,24480,24960
2,0,41,80,24640,24960
2,0,36,80,24960,25280
1,0,67,80,24960,26880
1,0,74,80,24960,25920
1,0,77,80,24960,25920
1,0,77,80,24960,25920
2,0,43,80,25280,25600
2,0,48,80,25600,25920
2,0,51,80,25920,26240
1,0,72,80,25920,26880
1,0,75,80,25920,26880
1,0,75,80,25920,26880
2,0,55,80,26240,26560
1,0,60,80,26560,26880
1,0,67,80,26880,28800
1,0,72,80,26880,27840
1,0,75,80,26880,27840
1,0,75,80,26880,27840
2,0,43,80,27200,27520
2,0,48,80,27520,27840
2,0,55,80,27840,28160
1,0,71,80,27840,28800
1,0,74,80,27840,28800
1,0,74,80,27840,28800
2,0,59,80,28160,28480
1,0,62,80,28480,28800
1,0,64,80,28800,30720
1,0,67,80,28800,30720
1,0,72,80,28800,29760
1,0,72,80,28800,29760
2,0,36,80,29120,29440
2,0,43,80,29440,29760
2,0,48,80,29760,30080
1,0,70,80,29760,30720
2,0,52,80,30080,30400
2,0,55,80,30400,30720
1,0,64,80,30720,31680
1,0,67,80,30720,31680
1,0,70,80,30720,31680
2,0,41,80,31040,31360
2,0,48,80,31360,31680
2,0,53,80,31680,32000
1,0,62,80,31680,32640
1,0,65,80,31680,32640
1,0,68,80,31680,32640
2,0,56,80,32000,32320
2,0,59,80,32320,32640
1,0,60,80,32640,33600
1,0,67,80,32640,33280
1,0,64,80,32960,33280
1,0,67,80,32960,33600
1,0,64,80,33280,33600
1,0,67,80,33280,33600
2,0,58,80,33600,34560
1,0,64,80,33600,33920
1,0,67,80,33600,33920
1,0,68,80,33600,34080
1,0,64,80,33920,34240
1,0,67,80,33920,34240
1,0,70,80,34080,34560
1,0,64,80,34240,34560
1,0,67,80,34240,34560
2,0,56,80,34560,35520
1,0,72,80,34560,35040
1,0,65,80,34880,35200
1,0,72,80,34880,35200
1,0,72,80,35040,35520
1,0,65,80,35200,35520
1,0,72,80,35200,35520
2,0,57,80,35520,36480
1,0,63,80,35520,35840
1,0,65,80,35520,35840
1,0,71,80,35520,35840
1,0,71,80,35520,36000
1,0,63,80,35840,36160
1,0,65,80,35840,36160
1,0,71,80,35840,36160
1,0,72,80,36000,36480
1,0,63,80,36160,36480
1,0,65,80,36160,36480
1,0,72,80,36160,36480
2,0,46,80,36480,37440
2,0,53,80,36480,37440
2,0,58,80,36480,37440
1,0,75,80,36480,36960
1,0,61,80,36800,37120
1,0,65,80,36800,37120
1,0,70,80,36800,37120
1,0,73,80,36960,37440
1,0,61,80,37120,37440
1,0,65,80,37120,37440
1,0,70,80,37120,37440
2,0,46,80,37440,37920
1,0,61,80,37440,37760
1,0,65,80,37440,37760
1,0,70,80,37440,37760
1,0,70,80,37440,37920
1,0,61,80,37760,38080
1,0,65,80,37760,38080
1,0,70,80,37760,38080
2,0,48,80,37920,38400
1,0,68,80,37920,38400
1,0,60,80,38080,38400
1,0,65,80,38080,38400
1,0,68,80,38080,38400
2,0,50,80,38400,39360
1,0,67,80,38400,38880
2,0,59,80,38720,39040
1,0,65,80,38720,39040
1,0,67,80,38720,39040
1,0,71,80,38880,39360
2,0,59,80,39040,39360
1,0,65,80,39040,39360
1,0,67,80,39040,39360
2,0,47,80,39360,40320
1,0,65,80,39360,39680
1,0,67,80,39360,39680
1,0,74,80,39360,39680
1,0,74,80,39360,39840
1,0,65,80,39680,40000
1,0,67,80,39680,40000
1,0,74,80,39680,40000
1,0,76,80,39840,40320
1,0,65,80,40000,40320
1,0,67,80,40000,40320
1,0,76,80,40000,40320
2,0,43,80,40320,41280
1,0,77,80,40320,41280
1,0,65,80,40640,40960
1,0,67,80,40640,40960
1,0,71,80,40640,40960
1,0,77,80,40640,41760
1,0,65,80,40960,41280
1,0,67,80,40960,41280
1,0,71,80,40960,41280
2,0,50,80,41280,42240
1,0,65,80,41280,41600
1,0,67,80,41280,41600
1,0,71,80,41280,41600
1,0,77,80,41280,41920
1,0,65,80,41600,41920
1,0,67,80,41600,41920
1,0,71,80,41600,41920
1,0,74,80,41760,42240
1,0,65,80,41920,42240
1,0,67,80,41920,42240
1,0,71,80,41920,42240
1,0,74,80,41920,42240
2,0,55,80,42240,44160
1,0,62,80,42240,42560
1,0,65,80,42240,42560
1,0,72,80,42240,43200
1,0,72,80,42240,43200
1,0,62,80,42560,42880
1,0,65,80,42560,42880
1,0,62,80,42880,43200
1,0,65,80,42880,43200
1,0,62,80,43200,43520
1,0,65,80,43200,43520
1,0,71,80,43200,43680
1,0,71,80,43200,44160
1,0,62,80,43520,43840
1,0,65,80,43520,43840
1,0,62,80,43840,44160
1,0,65,80,43840,44160
2,0,43,80,44160,45120
1,0,65,80,44480,44800
1,0,71,80,44480,44800
1,0,74,80,44480,45120
1,0,65,80,44800,45120
1,0,71,80,44800,45120
2,0,50,80,45120,45600
1,0,65,80,45120,45440
1,0,71,80,45120,45440
1,0,74,80,45120,45760
1,0,65,80,45440,45760
1,0,71,80,45440,45760
2,0,55,80,45600,46080
1,0,62,80,45760,46080
1,0,65,80,45760,46080
1,0,71,80,45760,46080
2,0,57,80,46080,47040
1,0,60,80,46080,46400
1,0,65,80,46080,46400
1,0,69,80,46080,47040
1,0,60,80,46400,46720
1,0,65,80,46400,46720
1,0,60,80,46720,47040
1,0,65,80,46720,47040
2,0,59,80,47040,48000
1,0,62,80,47040,47360
1,0,65,80,47040,47360
1,0,67,80,47040,48000
1,0,62,80,47360,47680
1,0,65,80,47360,47680
1,0,62,80,47680,48000
1,0,65,80,47680,48000
1,0,60,80,48000,48960
1,0,64,80,48000,48320
1,0,67,80,48000,48960
1,0,67,80,48000,48960
1,0,64,80,48320,48640
1,0,64,80,48640,48960
2,0,58,80,48960,49920
1,0,60,80,48960,49280
1,0,64,80,48960,49280
1,0,69,80,48960,49440
1,0,69,80,48960,49440
1,0,60,80,49280,49600
1,0,64,80,49280,49600
1,0,70,80,49440,49920
1,0,70,80,49440,49920
1,0,60,80,49600,49920
1,0,64,80,49600,49920
2,0,57,80,49920,50880
1,0,60,80,49920,50240
1,0,65,80,49920,50240
1,0,72,80,49920,50400
1,0,72,80,49920,50400
1,0,60,80,50240,50560
1,0,65,80,50240,50560
1,0,71,80,50400,50880
1,0,71,80,50400,50880
1,0,60,80,50560,50880
1,0,65,80,50560,50880
2,0,53,80,50880,51840
1,0,63,80,50880,51200
1,0,69,80,50880,51200
1,0,72,80,50880,51360
1,0,72,80,50880,51360
1,0,63,80,51200,51520
1,0,69,80,51200,51520
1,0,73,80,51360,51840
1,0,73,80,51360,51840
1,0,63,80,51520,51840
1,0,69,80,51520,51840
2,0,46,80,51840,52800
1,0,62,80,51840,52160
1,0,70,80,51840,52160
1,0,76,80,51840,52320
1,0,76,80,51840,52320
1,0,62,80,52160,52480
1,0,70,80,52160,52480
1,0,74,80,52320,52800
1,0,74,80,52320,52800
1,0,62,80,52480,52800
1,0,70,80,52480,52800
2,0,46,80,52800,53280
1,0,62,80,52800,53120
1,0,67,80,52800,53120
1,0,70,80,52800,53280
1,0,70,80,52800,53280
1,0,62,80,53120,53440
1,0,67,80,53120,53440
2,0,47,80,53280,53760
1,0,69,80,53280,53760
1,0,69,80,53280,53760
1,0,62,80,53440,53760
1,0,65,80,53440,53760
2,0,46,80,53760,54720
2,0,48,80,53760,54720
1,0,64,80,53760,54080
1,0,67,80,53760,54720
1,0,67,80,53760,54720
1,0,64,80,54080,54400
1,0,64,80,54400,54720
2,0,48,80,54720,55680
1,0,60,80,54720,55040
