# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,28,80,0,384
2,0,40,80,0,384
2,0,54,80,384,768
2,0,57,80,384,768
1,0,60,80,384,768
1,0,64,80,384,768
1,0,66,80,384,768
1,0,69,80,384,768
1,0,72,80,384,768
1,0,76,80,384,768
2,0,57,80,768,1152
1,0,60,80,768,1152
1,0,64,80,768,1152
1,0,66,80,768,1152
1,0,69,80,768,1152
1,0,72,80,768,1152
1,0,76,80,768,1152
1,0,78,80,768,1152
1,0,60,80,1152,1536
1,0,64,80,1152,1536
1,0,66,80,1152,1536
1,0,69,80,1152,1536
1,0,72,80,1152,1536
1,0,76,80,1152,1536
1,0,78,80,1152,1536
1,0,81,80,1152,1536
1,0,64,80,1536,1920
1,0,66,80,1536,1920
1,0,69,80,1536,1920
1,0,72,80,1536,1920
1,0,76,80,1536,1920
1,0,78,80,1536,1920
1,0,81,80,1536,1920
1,0,84,80,1536,1920
1,0,66,80,1920,2112
1,0,69,80,1920,2112
1,0,72,80,1920,2112
1,0,76,80,1920,2112
1,0,78,80,1920,2304
1,0,81,80,1920,2304
1,0,84,80,1920,2304
1,0,88,80,1920,2304
2,0,28,80,2112,2304
2,0,40,80,2112,2304
2,0,40,80,2304,3072
2,0,47,80,2304,3072
2,0,52,80,2304,3072
2,0,55,80,2304,3072
2,0,59,80,2304,3072
1,0,64,80,2304,3072
1,0,64,80,2496,2688
1,0,64,80,2688,2976
1,0,66,80,2976,3072
2,0,35,80,3072,3840
2,0,47,80,3072,3840
2,0,54,80,3072,3840
2,0,59,80,3072,3840
1,0,64,80,3072,3456
1,0,66,80,3072,3456
2,0,59,80,3456,3840
1,0,63,80,3456,3840
2,0,33,80,3840,4608
2,0,45,80,3840,4608
2,0,59,80,3840,4224
1,0,61,80,3840,4608
1,0,64,80,3840,4608
1,0,64,80,4032,4416
2,0,57,80,4224,4608
1,0,64,80,4416,4608
2,0,28,80,4608,5376
2,0,40,80,4608,5376
2,0,57,80,4608,4992
2,0,59,80,4608,5376
1,0,64,80,4608,5376
1,0,71,80,4608,5376
2,0,56,80,4992,5376
2,0,33,80,5376,6144
2,0,45,80,5376,6144
2,0,55,80,5376,6144
1,0,61,80,5376,6144
1,0,64,80,5376,6144
1,0,73,80,5568,5952
1,0,73,80,5952,6048
1,0,69,80,6048,6144
2,0,28,80,6144,6912
2,0,40,80,6144,6912
2,0,57,80,6144,6528
2,0,59,80,6144,6912
1,0,64,80,6144,6912
1,0,71,80,6144,6912
2,0,56,80,6528,6912
2,0,33,80,6912,7680
2,0,45,80,6912,7680
2,0,55,80,6912,7680
1,0,61,80,6912,7680
1,0,64,80,6912,7680
1,0,73,80,7104,7296
1,0,73,80,7296,7584
1,0,69,80,7584,7680
2,0,28,80,7680,8448
2,0,40,80,7680,8448
2,0,57,80,7680,8064
2,0,59,80,7680,8448
1,0,64,80,7680,8448
1,0,76,80,7680,8064
2,0,56,80,8064,8448
1,0,64,80,8064,8448
2,0,31,80,8448,9216
2,0,43,80,8448,9216
2,0,55,80,8448,9216
2,0,58,80,8448,9216
1,0,63,80,8448,9216
1,0,70,80,8640,8832
1,0,70,80,8832,9024
1,0,70,80,9024,9216
2,0,32,80,9216,9600
2,0,44,80,9216,9600
2,0,54,80,9216,9984
1,0,60,80,9216,9984
1,0,63,80,9216,9984
1,0,72,80,9216,9792
2,0,33,80,9600,9984
2,0,45,80,9600,9984
1,0,72,80,9792,9984
2,0,34,80,9984,10752
2,0,46,80,9984,10752
2,0,53,80,9984,10752
2,0,58,80,9984,10752
1,0,63,80,9984,10752
1,0,72,80,9984,10272
1,0,65,80,10272,10368
1,0,65,80,10368,11136
2,0,29,80,10752,11136
2,0,41,80,10752,11136
2,0,53,80,10752,11520
2,0,57,80,10752,11136
1,0,62,80,10752,11520
2,0,31,80,11136,11520
2,0,43,80,11136,11520
2,0,59,80,11136,11520
1,0,65,80,11136,11328
1,0,71,80,11328,11520
2,0,33,80,11520,12288
2,0,45,80,11520,12288
2,0,52,80,11520,12288
2,0,57,80,11520,12288
1,0,62,80,11520,11904
1,0,71,80,11520,12096
1,0,61,80,11904,12288
1,0,64,80,12096,12288
2,0,28,80,12288,12672
2,0,40,80,12288,12672
2,0,52,80,12288,12672
2,0,55,80,12288,12672
1,0,60,80,12288,13056
1,0,64,80,12288,12672
2,0,29,80,12672,12864
2,0,41,80,12672,12864
2,0,51,80,12672,13056
2,0,57,80,12672,13056
1,0,69,80,12672,12864
2,0,30,80,12864,13056
2,0,42,80,12864,13056
