# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,67,80,0,768
1,0,70,80,0,768
1,0,74,80,0,768
1,0,79,80,0,768
1,0,82,80,0,768
1,0,86,80,0,768
1,0,91,80,0,768
1,0,94,80,0,768
1,0,60,80,768,1536
1,0,63,80,768,1536
1,0,69,80,768,1536
1,0,72,80,768,1536
1,0,81,80,768,1536
1,0,84,80,768,1536
1,0,87,80,768,1536
1,0,93,80,768,1536
1,0,62,80,1536,2688
1,0,66,80,1536,2688
1,0,69,80,1536,2688
1,0,74,80,1536,2688
1,0,78,80,1536,2688
1,0,81,80,1536,2688
1,0,86,80,1536,2688
2,0,43,80,3072,3456
2,0,55,80,3072,3456
2,0,45,80,3456,3648
2,0,57,80,3456,3648
2,0,46,80,3648,3840
2,0,58,80,3648,3840
2,0,48,80,3840,4032
1,0,60,80,3840,4032
2,0,48,80,4032,4096
1,0,60,80,4032,4096
2,0,50,80,4096,4160
1,0,62,80,4096,4160
2,0,48,80,4160,4224
1,0,60,80,4160,4224
2,0,46,80,4224,4416
2,0,58,80,4224,4416
2,0,45,80,4416,4608
2,0,57,80,4416,4608
2,0,50,80,4608,5376
1,0,62,80,4608,5376
2,0,51,80,5376,6048
1,0,63,80,5376,6048
2,0,51,80,6048,6144
1,0,63,80,6048,6144
2,0,42,80,6144,6912
2,0,54,80,6144,6912
2,0,43,80,6912,7584
2,0,55,80,6912,7584
2,0,43,80,7584,7680
2,0,55,80,7584,7680
2,0,38,80,7680,9216
2,0,50,80,7680,9216
1,0,74,80,9216,9984
1,0,78,80,9216,9984
1,0,81,80,9216,9984
1,0,86,80,9216,9984
1,0,90,80,9216,9984
1,0,93,80,9216,9984
1,0,98,80,9216,9984
1,0,74,80,9984,10368
1,0,79,80,9984,10368
1,0,82,80,9984,10368
1,0,86,80,9984,10368
1,0,91,80,9984,10368
1,0,94,80,9984,10368
1,0,98,80,9984,10368
1,0,74,80,10368,10752
1,0,76,80,10368,10752
1,0,79,80,10368,10752
1,0,86,80,10368,10752
1,0,88,80,10368,10752
1,0,91,80,10368,10752
1,0,98,80,10368,10752
1,0,74,80,10752,11904
1,0,78,80,10752,11904
1,0,81,80,10752,11904
1,0,86,80,10752,11904
1,0,90,80,10752,11904
1,0,93,80,10752,11904
1,0,98,80,10752,11904
2,0,43,80,12288,12672
2,0,55,80,12288,12672
2,0,57,80,12672,12864
1,0,62,80,12672,13056
1,0,67,80,12672,13056
2,0,58,80,12864,13056
2,0,43,80,13056,13440
1,0,60,80,13056,13248
1,0,60,80,13248,13312
1,0,62,80,13312,13376
1,0,60,80,13376,13440
2,0,58,80,13440,13632
1,0,63,80,13440,13824
1,0,66,80,13440,13824
2,0,57,80,13632,13824
2,0,43,80,13824,14208
1,0,62,80,13824,14592
2,0,58,80,14208,14592
1,0,67,80,14208,14592
2,0,39,80,14592,14976
2,0,55,80,14592,15360
