# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,35,80,0,60
2,0,35,80,0,60
1,0,71,80,0,360
1,0,71,80,0,360
1,0,71,80,0,360
1,0,71,80,0,360
2,0,42,80,60,120
2,0,42,80,60,120
2,0,47,80,120,180
2,0,47,80,120,180
2,0,51,80,180,240
2,0,51,80,180,240
2,0,54,80,240,300
2,0,54,80,240,300
2,0,59,80,300,360
2,0,59,80,300,360
1,0,63,80,360,420
1,0,63,80,360,420
1,0,72,80,360,480
1,0,72,80,360,480
1,0,66,80,420,480
1,0,66,80,420,480
1,0,69,80,480,840
1,0,69,80,480,840
1,0,78,80,480,840
1,0,78,80,480,840
1,0,83,80,480,840
1,0,83,80,480,840
1,0,90,80,480,840
1,0,90,80,480,840
1,0,64,80,840,960
1,0,64,80,840,960
1,0,72,80,840,960
1,0,72,80,840,960
1,0,84,80,840,960
1,0,84,80,840,960
1,0,63,80,960,1320
1,0,63,80,960,1320
1,0,66,80,960,1440
1,0,66,80,960,1440
1,0,69,80,960,1440
1,0,69,80,960,1440
1,0,71,80,960,1440
1,0,71,80,960,1440
1,0,83,80,960,1440
1,0,83,80,960,1440
1,0,60,80,1320,1440
1,0,60,80,1320,1440
2,0,59,80,1440,1920
2,0,59,80,1440,1920
1,0,66,80,1440,1920
1,0,66,80,1440,1920
1,0,69,80,1440,1920
1,0,69,80,1440,1920
1,0,71,80,1440,1920
1,0,71,80,1440,1920
1,0,75,80,1440,1920
1,0,75,80,1440,1920
1,0,83,80,1440,1920
1,0,83,80,1440,1920
2,0,47,80,1920,2040
2,0,47,80,1920,2040
2,0,47,80,1920,2880
2,0,47,80,1920,2880
1,0,71,80,1920,2400
1,0,71,80,1920,2400
2,0,57,80,2040,2160
2,0,57,80,2040,2160
2,0,57,80,2160,2880
2,0,57,80,2160,2880
1,0,63,80,2160,2280
1,0,63,80,2160,2280
1,0,67,80,2160,2280
1,0,67,80,2160,2280
1,0,71,80,2280,2400
1,0,71,80,2280,2400
1,0,63,80,2400,2880
1,0,63,80,2400,2880
1,0,67,80,2400,2880
1,0,67,80,2400,2880
1,0,71,80,2400,2520
1,0,71,80,2400,2520
1,0,71,80,2400,2640
1,0,71,80,2400,2640
1,0,71,80,2520,2760
1,0,71,80,2520,2760
1,0,71,80,2640,2880
1,0,71,80,2640,2880
1,0,71,80,2760,2880
1,0,71,80,2760,2880
2,0,47,80,2880,3000
2,0,47,80,2880,3000
2,0,47,80,2880,3840
2,0,47,80,2880,3840
1,0,71,80,2880,3360
1,0,71,80,2880,3360
2,0,57,80,3000,3120
2,0,57,80,3000,3120
2,0,57,80,3120,3840
2,0,57,80,3120,3840
1,0,63,80,3120,3240
1,0,63,80,3120,3240
1,0,67,80,3120,3240
1,0,67,80,3120,3240
1,0,71,80,3240,3360
1,0,71,80,3240,3360
1,0,63,80,3360,3840
1,0,63,80,3360,3840
1,0,67,80,3360,3840
1,0,67,80,3360,3840
1,0,71,80,3360,3840
1,0,71,80,3360,3840
1,0,71,80,3360,3840
1,0,71,80,3360,3840
2,0,47,80,3840,3960
2,0,47,80,3840,3960
2,0,47,80,3840,4800
2,0,47,80,3840,4800
1,0,74,80,3840,4320
1,0,74,80,3840,4320
2,0,55,80,3960,4080
2,0,55,80,3960,4080
2,0,55,80,4080,4800
2,0,55,80,4080,4800
1,0,62,80,4080,4200
1,0,62,80,4080,4200
1,0,67,80,4080,4200
1,0,67,80,4080,4200
1,0,74,80,4200,4800
1,0,74,80,4200,4800
1,0,62,80,4320,4800
1,0,62,80,4320,4800
1,0,67,80,4320,4800
1,0,67,80,4320,4800
1,0,74,80,4320,4800
1,0,74,80,4320,4800
2,0,47,80,4800,4920
2,0,47,80,4800,4920
2,0,47,80,4800,5760
2,0,47,80,4800,5760
1,0,74,80,4800,5280
1,0,74,80,4800,5280
2,0,55,80,4920,5040
2,0,55,80,4920,5040
2,0,55,80,5040,5760
2,0,55,80,5040,5760
1,0,62,80,5040,5160
1,0,62,80,5040,5160
1,0,67,80,5040,5160
1,0,67,80,5040,5160
1,0,71,80,5160,5280
1,0,71,80,5160,5280
1,0,62,80,5280,5760
1,0,62,80,5280,5760
1,0,67,80,5280,5760
1,0,67,80,5280,5760
1,0,71,80,5280,5520
1,0,71,80,5280,5520
1,0,71,80,5280,5640
1,0,71,80,5280,5640
1,0,71,80,5520,5760
1,0,71,80,5520,5760
1,0,71,80,5640,5760
1,0,71,80,5640,5760
2,0,40,80,5760,6720
2,0,40,80,5760,6720
2,0,47,80,5760,5880
2,0,47,80,5760,5880
2,0,47,80,5760,6720
2,0,47,80,5760,6720
1,0,71,80,5760,6120
1,0,71,80,5760,6120
2,0,56,80,5880,6000
2,0,56,80,5880,6000
2,0,56,80,6000,6720
2,0,56,80,6000,6720
1,0,71,80,6000,6720
1,0,71,80,6000,6720
1,0,64,80,6120,6240
1,0,64,80,6120,6240
1,0,76,80,6120,6240
1,0,76,80,6120,6240
1,0,64,80,6240,6720
1,0,64,80,6240,6720
1,0,76,80,6240,6720
1,0,76,80,6240,6720
2,0,40,80,6720,7680
2,0,40,80,6720,7680
2,0,47,80,6720,6840
2,0,47,80,6720,6840
2,0,47,80,6720,7680
2,0,47,80,6720,7680
1,0,71,80,6720,7080
1,0,71,80,6720,7080
2,0,52,80,6840,6960
2,0,52,80,6840,6960
2,0,52,80,6960,7680
2,0,52,80,6960,7680
1,0,67,80,6960,7080
1,0,67,80,6960,7080
1,0,71,80,6960,7200
1,0,71,80,6960,7200
1,0,62,80,7080,7200
1,0,62,80,7080,7200
1,0,74,80,7080,7200
1,0,74,80,7080,7200
1,0,62,80,7200,7680
1,0,62,80,7200,7680
1,0,71,80,7200,7680
1,0,71,80,7200,7680
1,0,74,80,7200,7680
1,0,74,80,7200,7680
2,0,40,80,7680,8640
2,0,40,80,7680,8640
2,0,47,80,7680,7800
2,0,47,80,7680,7800
2,0,47,80,7680,8640
2,0,47,80,7680,8640
2,0,52,80,7800,7920
2,0,52,80,7800,7920
2,0,52,80,7920,8640
2,0,52,80,7920,8640
2,0,59,80,7920,8040
2,0,59,80,7920,8040
2,0,55,80,8040,8160
2,0,55,80,8040,8160
1,0,62,80,8040,8160
1,0,62,80,8040,8160
2,0,55,80,8160,8640
2,0,55,80,8160,8640
1,0,62,80,8160,8640
1,0,62,80,8160,8640
2,0,40,80,8640,8760
2,0,40,80,8640,8760
2,0,40,80,8640,9600
2,0,40,80,8640,9600
2,0,47,80,8760,8880
2,0,47,80,8760,8880
2,0,47,80,8880,9600
2,0,47,80,8880,9600
2,0,52,80,8880,9000
2,0,52,80,8880,9000
2,0,59,80,9000,9120
2,0,59,80,9000,9120
2,0,59,80,9120,9600
2,0,59,80,9120,9600
1,0,68,80,9120,9240
1,0,68,80,9120,9240
1,0,68,80,9120,9480
1,0,68,80,9120,9480
1,0,66,80,9240,9360
1,0,66,80,9240,9360
1,0,68,80,9360,9600
1,0,68,80,9360,9600
1,0,69,80,9480,9600
1,0,69,80,9480,9600
2,0,40,80,9600,10560
2,0,40,80,9600,10560
2,0,45,80,9600,9720
2,0,45,80,9600,9720
2,0,45,80,9600,10560
2,0,45,80,9600,10560
1,0,61,80,9600,9840
1,0,61,80,9600,9840
1,0,66,80,9600,9840
1,0,66,80,9600,9840
1,0,66,80,9600,9960
1,0,66,80,9600,9960
2,0,54,80,9720,9840
2,0,54,80,9720,9840
2,0,54,80,9840,10560
2,0,54,80,9840,10560
1,0,61,80,9840,9960
1,0,61,80,9840,9960
1,0,66,80,9840,10560
1,0,66,80,9840,10560
2,0,59,80,9960,10080
2,0,59,80,9960,10080
1,0,68,80,9960,10080
1,0,68,80,9960,10080
2,0,57,80,10080,10560
2,0,57,80,10080,10560
1,0,69,80,10080,10560
1,0,69,80,10080,10560
2,0,40,80,10560,11520
2,0,40,80,10560,11520
2,0,49,80,10560,10680
2,0,49,80,10560,10680
2,0,49,80,10560,11520
2,0,49,80,10560,11520
1,0,69,80,10560,11040
1,0,69,80,10560,11040
2,0,54,80,10680,10800
2,0,54,80,10680,10800
2,0,54,80,10800,11520
2,0,54,80,10800,11520
2,0,57,80,10800,10920
2,0,57,80,10800,10920
1,0,66,80,10920,11040
1,0,66,80,10920,11040
2,0,57,80,11040,11520
2,0,57,80,11040,11520
1,0,66,80,11040,11280
1,0,66,80,11040,11280
1,0,68,80,11040,11160
1,0,68,80,11040,11160
1,0,66,80,11160,11520
1,0,66,80,11160,11520
1,0,68,80,11280,11400
1,0,68,80,11280,11400
1,0,69,80,11400,11520
1,0,69,80,11400,11520
2,0,40,80,11520,12480
2,0,40,80,11520,12480
