# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,82,80,0,360
1,0,85,80,0,360
1,0,88,80,0,480
1,0,81,80,360,480
1,0,85,80,360,480
1,0,80,80,480,720
1,0,83,80,480,720
1,0,87,80,480,720
1,0,79,80,720,1080
1,0,82,80,720,1080
1,0,86,80,720,1200
1,0,78,80,1080,1200
1,0,81,80,1080,1200
1,0,77,80,1200,1440
1,0,80,80,1200,1440
1,0,85,80,1200,1440
1,0,76,80,1440,1800
1,0,79,80,1440,1800
1,0,84,80,1440,1920
1,0,75,80,1800,1920
1,0,78,80,1800,1920
1,0,74,80,1920,2160
1,0,77,80,1920,2160
1,0,83,80,1920,2160
1,0,73,80,2160,2520
1,0,76,80,2160,2520
1,0,82,80,2160,2640
1,0,72,80,2520,2640
1,0,75,80,2520,2640
1,0,71,80,2640,2880
1,0,74,80,2640,2880
1,0,81,80,2640,2880
1,0,70,80,2880,3360
1,0,73,80,2880,3240
1,0,80,80,2880,3360
1,0,72,80,3240,3360
1,0,69,80,3360,3600
1,0,71,80,3360,3600
1,0,79,80,3360,3600
1,0,69,80,3600,4320
1,0,70,80,3600,3960
1,0,79,80,3600,4320
1,0,71,80,3960,4080
1,0,72,80,4080,4320
2,0,57,80,4320,4800
1,0,69,80,4320,4800
1,0,73,80,4320,4680
1,0,80,80,4320,4800
1,0,72,80,4680,4800
1,0,69,80,4800,5040
1,0,69,80,4800,5040
1,0,71,80,4800,5040
1,0,79,80,4800,5040
1,0,69,80,5040,5760
1,0,70,80,5040,5400
1,0,79,80,5040,5760
1,0,71,80,5400,5520
1,0,72,80,5520,5760
2,0,50,80,5760,6480
1,0,73,80,5760,6120
1,0,80,80,5760,6240
1,0,74,80,6120,6240
1,0,62,80,6240,6480
1,0,66,80,6240,6480
1,0,69,80,6240,6480
1,0,72,80,6240,6480
1,0,75,80,6240,6480
1,0,81,80,6240,6480
2,0,50,80,6480,7200
1,0,62,80,6480,7200
1,0,66,80,6480,7200
1,0,69,80,6480,7200
1,0,72,80,6480,7200
1,0,76,80,6480,6840
1,0,81,80,6480,7200
1,0,77,80,6840,6960
1,0,78,80,6960,7200
2,0,50,80,7200,8160
1,0,62,80,7200,8160
1,0,66,80,7200,8160
1,0,69,80,7200,8160
1,0,72,80,7200,8160
1,0,78,80,7200,7260
1,0,78,80,7200,8160
1,0,81,80,7200,8160
1,0,84,80,7200,8160
1,0,76,80,7680,8160
2,0,50,80,8160,9120
1,0,62,80,8160,9120
1,0,66,80,8160,9120
1,0,69,80,8160,9120
1,0,72,80,8160,9120
1,0,76,80,8160,8640
1,0,78,80,8160,9120
1,0,81,80,8160,9120
1,0,84,80,8160,9120
1,0,75,80,8640,9120
2,0,43,80,9120,9840
2,0,55,80,9120,9840
1,0,62,80,9120,9480
1,0,64,80,9480,9600
2,0,59,80,9600,9840
1,0,62,80,9600,9840
1,0,67,80,9600,9840
1,0,71,80,9600,9840
1,0,79,80,9600,9840
1,0,83,80,9600,9840
2,0,43,80,9840,10320
2,0,55,80,9840,10320
1,0,62,80,9840,10320
1,0,67,80,9840,10320
1,0,71,80,9840,10320
1,0,71,80,9840,10320
1,0,79,80,9840,10320
1,0,83,80,9840,10320
1,0,62,80,10320,10560
1,0,67,80,10320,10560
1,0,71,80,10320,10560
1,0,71,80,10320,10800
1,0,79,80,10320,10560
1,0,83,80,10320,10560
2,0,45,80,10800,11520
2,0,57,80,10800,11520
1,0,72,80,10800,11160
1,0,64,80,11160,11280
2,0,57,80,11280,11520
1,0,64,80,11280,11520
1,0,67,80,11280,11520
1,0,67,80,11280,11520
1,0,72,80,11280,11520
1,0,76,80,11280,11520
1,0,79,80,11280,11520
1,0,84,80,11280,11520
2,0,45,80,11520,12000
2,0,57,80,11520,12000
2,0,57,80,11520,12000
1,0,64,80,11520,12000
1,0,66,80,11520,12000
1,0,67,80,11520,12000
1,0,72,80,11520,12000
1,0,76,80,11520,12000
1,0,79,80,11520,12000
1,0,84,80,11520,12000
1,0,62,80,12000,12240
1,0,66,80,12000,12240
1,0,69,80,12000,12240
1,0,69,80,12000,12480
1,0,72,80,12000,12240
1,0,74,80,12000,12240
1,0,78,80,12000,12240
1,0,84,80,12000,12240
2,0,38,80,12480,13200
2,0,50,80,12480,13200
1,0,72,80,12480,12840
1,0,64,80,12840,12960
2,0,57,80,12960,13200
1,0,64,80,12960,13200
1,0,67,80,12960,13200
1,0,67,80,12960,13200
1,0,72,80,12960,13200
1,0,76,80,12960,13200
1,0,79,80,12960,13200
1,0,84,80,12960,13200
2,0,38,80,13200,13680
2,0,50,80,13200,13680
2,0,57,80,13200,13680
1,0,64,80,13200,13680
1,0,66,80,13200,13680
1,0,67,80,13200,13680
