# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,1024
# meta,0,0,tempo,500000
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,50,80,0,2005.3333333333333
1,0,62,80,0,2005.3333333333333
1,0,69,80,0,1493.3333333333333
1,0,74,80,0,2005.3333333333333
1,0,69,80,1536,2517.333333333333
2,0,50,80,2048,3029.333333333333
1,0,62,80,2048,3029.333333333333
1,0,77,80,2048,3029.333333333333
1,0,67,80,2602.6666666666665,2773.333333333333
1,0,65,80,2816,3029.333333333333
2,0,50,80,3114.6666666666665,4053.333333333333
1,0,62,80,3114.6666666666665,4053.333333333333
1,0,69,80,3114.6666666666665,3541.333333333333
1,0,77,80,3114.6666666666665,4053.333333333333
1,0,71,80,3584,4053.333333333333
2,0,57,80,4096,5077.333333333333
1,0,60,80,4096,5077.333333333333
1,0,72,80,4096,4821.333333333333
1,0,76,80,4096,5077.333333333333
1,0,69,80,4864,5077.333333333333
2,0,53,80,5162.666666666666,5845.333333333333
1,0,65,80,5162.666666666666,7125.333333333333
1,0,69,80,5162.666666666666,6101.333333333333
1,0,74,80,5162.666666666666,5589.333333333333
1,0,72,80,5632,6613.333333333333
2,0,55,80,5888,6101.333333333333
2,0,57,80,6144,6613.333333333333
2,0,59,80,6698.666666666666,7125.333333333333
1,0,71,80,6698.666666666666,6869.333333333333
1,0,69,80,6912,7125.333333333333
1,0,60,80,7210.666666666666,8149.333333333333
1,0,64,80,7210.666666666666,8149.333333333333
1,0,67,80,7210.666666666666,7893.333333333333
1,0,69,80,7936,8149.333333333333
2,0,59,80,8192,8661.333333333332
1,0,62,80,8192,8661.333333333332
1,0,71,80,8192,8661.333333333332
2,0,57,80,8746.666666666666,9173.333333333332
1,0,64,80,8746.666666666666,9173.333333333332
1,0,69,80,8746.666666666666,9429.333333333332
1,0,72,80,8746.666666666666,9173.333333333332
1,0,62,80,9258.666666666666,10197.333333333332
1,0,65,80,9258.666666666666,9685.333333333332
1,0,69,80,9258.666666666666,9941.333333333332
1,0,67,80,9514.666666666666,9685.333333333332
1,0,65,80,9728,10709.333333333332
1,0,69,80,9728,10709.333333333332
1,0,71,80,9984,10197.333333333332
2,0,57,80,10240,10709.333333333332
1,0,72,80,10240,10709.333333333332
2,0,59,80,10794.666666666666,11221.333333333332
1,0,64,80,10794.666666666666,10965.333333333332
1,0,67,80,10794.666666666666,11221.333333333332
1,0,74,80,10794.666666666666,11733.333333333332
1,0,62,80,11008,11221.333333333332
2,0,57,80,11306.666666666666,12245.333333333332
1,0,64,80,11306.666666666666,11690.666666666666
1,0,69,80,11306.666666666666,12245.333333333332
1,0,64,80,11776,12245.333333333332
1,0,73,80,11776,12245.333333333332
2,0,50,80,12288,13269.333333333332
1,0,62,80,12288,14293.333333333332
1,0,65,80,12288,13269.333333333332
1,0,74,80,12288,13269.333333333332
2,0,55,80,13354.666666666666,15317.333333333332
1,0,67,80,13354.666666666666,14293.333333333332
1,0,74,80,13824,14293.333333333332
1,0,67,80,14336,16341.333333333332
1,0,71,80,14336,14805.333333333332
1,0,71,80,14890.666666666666,15317.333333333332
2,0,48,80,15402.666666666666,16341.333333333332
1,0,60,80,15402.666666666666,16341.333333333332
1,0,76,80,15402.666666666666,16341.333333333332
2,0,55,80,16384,18389.333333333332
1,0,62,80,16384,17365.333333333332
1,0,74,80,16384,17109.333333333332
2,0,55,80,16938.666666666664,17621.333333333332
1,0,72,80,17152,17365.333333333332
1,0,64,80,17450.666666666664,18389.333333333332
1,0,71,80,17450.666666666664,18389.333333333332
2,0,57,80,17706.666666666664,17877.333333333332
2,0,59,80,17920,18133.333333333332
1,0,60,80,18176,18389.333333333332
2,0,50,80,18432,19157.333333333332
1,0,62,80,18432,18645.333333333332
1,0,65,80,18432,19925.333333333332
1,0,69,80,18432,19925.333333333332
1,0,64,80,18730.666666666664,18901.333333333332
1,0,65,80,18986.666666666664,19157.333333333332
2,0,52,80,19200,19413.333333333332
1,0,67,80,19200,19413.333333333332
2,0,53,80,19498.666666666664,19925.333333333332
1,0,69,80,19498.666666666664,19925.333333333332
2,0,55,80,19968,20437.333333333332
1,0,64,80,19968,20181.333333333332
1,0,67,80,19968,20181.333333333332
1,0,71,80,19968,20437.333333333332
1,0,62,80,20224,20437.333333333332
1,0,65,80,20224,20437.333333333332
2,0,57,80,20480,21461.333333333332
1,0,60,80,20480,21461.333333333332
1,0,64,80,20480,21461.333333333332
1,0,72,80,20480,21205.333333333332
1,0,71,80,21248,21461.333333333332
2,0,50,80,21546.666666666664,22485.333333333332
1,0,62,80,21546.666666666664,22485.333333333332
1,0,65,80,21546.666666666664,22485.333333333332
1,0,69,80,21546.666666666664,21973.333333333332
1,0,67,80,22016,22229.333333333332
1,0,65,80,22272,22485.333333333332
2,0,57,80,22528,23509.333333333332
1,0,60,80,22528,24021.333333333332
1,0,64,80,22528,22997.333333333332
1,0,64,80,23082.666666666664,23509.333333333332
1,0,69,80,23082.666666666664,24021.333333333332
2,0,53,80,23594.666666666664,24021.333333333332
1,0,65,80,23594.666666666664,24021.333333333332
2,0,55,80,24064,24533.333333333332
2,0,59,80,24064,24533.333333333332
1,0,62,80,24064,25045.333333333332
1,0,67,80,24064,24533.333333333332
2,0,50,80,24576,25045.333333333332
2,0,57,80,24576,25045.333333333332
1,0,65,80,24576,25045.333333333332
2,0,52,80,25130.666666666664,25557.333333333332
2,0,55,80,25130.666666666664,25557.333333333332
1,0,60,80,25130.666666666664,25557.333333333332
1,0,67,80,25130.666666666664,26069.333333333332
2,0,50,80,25642.666666666664,26581.333333333332
2,0,57,80,25642.666666666664,26581.333333333332
1,0,62,80,25642.666666666664,26581.333333333332
1,0,66,80,26112,26581.333333333332
2,0,55,80,26624,28629.333333333332
1,0,67,80,26624,30677.333333333332
1,0,62,80,27178.666666666664,27861.333333333332
2,0,55,80,27690.666666666664,28373.333333333332
1,0,60,80,27946.666666666664,28117.333333333332
2,0,59,80,28160,28373.333333333332
2,0,53,80,28416,28629.333333333332
2,0,57,80,28416,28629.333333333332
2,0,52,80,28672,29141.333333333332
2,0,59,80,28672,28885.333333333332
2,0,57,80,28970.666666666664,29141.333333333332
2,0,50,80,29226.666666666664,29653.333333333332
1,0,62,80,29226.666666666664,30165.333333333332
2,0,52,80,29738.666666666664,30677.333333333332
1,0,60,80,30208,30677.333333333332
2,0,50,80,30720,32725.333333333332
1,0,62,80,30720,30933.333333333332
1,0,62,80,30720,32725.333333333332
1,0,60,80,31018.666666666664,31189.333333333332
2,0,59,80,31274.666666666664,31445.333333333332
2,0,57,80,31488,31701.333333333332
2,0,59,80,31786.666666666664,31957.333333333332
2,0,57,80,32042.666666666664,32213.333333333332
1,0,62,80,32256,32725.333333333332
1,0,62,80,32768,33749.33333333333
