# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,75,80,240,480
1,0,70,80,480,960
2,0,51,80,720,960
2,0,58,80,720,960
1,0,63,80,720,960
1,0,65,80,720,960
1,0,73,80,960,1080
1,0,72,80,1080,1200
1,0,70,80,1200,1320
1,0,68,80,1320,1440
1,0,70,80,1440,1680
2,0,47,80,1680,1920
1,0,75,80,1680,1920
2,0,46,80,1920,2880
1,0,70,80,1920,2640
2,0,54,80,2160,2400
1,0,61,80,2160,2400
2,0,53,80,2400,3120
1,0,63,80,2400,3120
1,0,73,80,2640,2760
1,0,72,80,2760,2880
1,0,70,80,2880,3000
1,0,68,80,3000,3120
2,0,58,80,3120,3360
1,0,65,80,3120,3360
1,0,65,80,3120,3360
2,0,44,80,3360,5040
2,0,51,80,3360,5040
2,0,58,80,3360,5040
1,0,63,80,3360,3480
1,0,63,80,3360,5040
1,0,68,80,3360,3840
1,0,65,80,3480,3600
1,0,66,80,3600,3720
1,0,68,80,3720,4560
1,0,70,80,3840,4080
1,0,70,80,4080,4320
1,0,68,80,4320,5040
1,0,73,80,4560,4800
1,0,70,80,4800,5040
2,0,44,80,5040,6720
2,0,51,80,5040,6720
2,0,58,80,5040,6720
1,0,63,80,5040,6720
1,0,70,80,5040,5280
1,0,70,80,5280,5400
1,0,70,80,5400,5520
1,0,75,80,5520,5880
1,0,73,80,5880,6000
1,0,72,80,6000,6240
1,0,73,80,6240,6480
1,0,70,80,6480,6720
2,0,44,80,6720,8400
2,0,51,80,6720,8400
2,0,58,80,6720,8400
1,0,63,80,6720,8400
1,0,66,80,6720,7200
1,0,68,80,7200,7440
1,0,70,80,7440,7800
1,0,72,80,7800,7920
1,0,73,80,7920,8280
1,0,73,80,8280,8400
2,0,44,80,8400,9120
2,0,51,80,8400,9120
2,0,58,80,8400,9120
1,0,63,80,8400,9120
1,0,72,80,8400,8520
1,0,70,80,8520,8640
1,0,68,80,8640,8880
1,0,70,80,8880,9360
2,0,44,80,9120,9840
2,0,51,80,9120,9840
2,0,58,80,9120,10080
1,0,63,80,9120,9480
1,0,63,80,9360,10080
1,0,65,80,9480,9600
1,0,66,80,9600,9720
1,0,68,80,9720,9840
2,0,46,80,9840,10080
2,0,53,80,9840,10080
1,0,70,80,9840,10080
2,0,39,80,10080,10560
2,0,46,80,10080,10560
1,0,63,80,10080,11040
1,0,65,80,10080,11040
1,0,70,80,10080,10560
1,0,75,80,10080,10320
1,0,70,80,10320,11040
2,0,51,80,10560,11040
2,0,58,80,10560,11040
1,0,75,80,10560,10800
1,0,70,80,10800,11040
2,0,34,80,11040,11520
2,0,41,80,11040,11520
2,0,46,80,11040,11520
2,0,58,80,11040,11760
1,0,60,80,11040,11760
1,0,65,80,11040,11760
1,0,73,80,11040,11160
1,0,72,80,11160,11280
1,0,70,80,11280,11400
1,0,68,80,11400,11520
2,0,22,80,11520,11760
2,0,34,80,11520,11760
1,0,70,80,11520,11760
2,0,27,80,11760,12240
2,0,34,80,11760,12240
2,0,39,80,11760,12240
1,0,63,80,11760,12720
1,0,65,80,11760,12720
1,0,70,80,11760,12240
1,0,75,80,11760,12000
1,0,70,80,12000,12720
2,0,51,80,12240,12720
2,0,58,80,12240,12720
1,0,75,80,12240,12480
1,0,70,80,12480,12720
2,0,32,80,12720,13440
2,0,39,80,12720,13440
2,0,44,80,12720,13440
2,0,58,80,12720,13440
1,0,60,80,12720,13440
1,0,65,80,12720,12960
1,0,68,80,12720,12840
1,0,65,80,12840,13200
1,0,63,80,12960,13080
1,0,65,80,13080,13440
1,0,68,80,13200,13440
2,0,42,80,13440,13920
2,0,49,80,13440,13920
2,0,58,80,13440,13920
1,0,63,80,13440,13920
1,0,73,80,13440,13680
1,0,75,80,13440,13680
1,0,70,80,13680,13920
2,0,51,80,13920,14640
2,0,56,80,13920,14640
2,0,58,80,13920,14640
1,0,61,80,13920,14640
1,0,66,80,13920,14640
1,0,70,80,13920,14640
1,0,73,80,13920,14640
1,0,75,80,13920,14640
1,0,78,80,13920,14400
1,0,73,80,14400,14640
1,0,81,80,14640,15120
2,0,45,80,14880,15120
2,0,52,80,14880,15120
2,0,59,80,14880,15120
1,0,64,80,14880,15120
