# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,51,80,0,480
1,0,75,80,0,480
1,0,79,80,0,480
2,0,58,80,480,960
1,0,63,80,480,960
1,0,67,80,480,960
1,0,75,80,480,1200
1,0,78,80,480,1200
2,0,58,80,960,1440
1,0,63,80,960,1440
1,0,67,80,960,1440
1,0,75,80,1200,1440
1,0,79,80,1200,1440
2,0,55,80,1440,1920
1,0,79,80,1440,1920
1,0,82,80,1440,1920
2,0,58,80,1920,2400
1,0,63,80,1920,2400
1,0,67,80,1920,2400
1,0,79,80,1920,2640
1,0,82,80,1920,2640
2,0,54,80,2400,2880
1,0,70,80,2640,2880
1,0,75,80,2640,2880
2,0,53,80,2880,3360
1,0,68,80,2880,3360
1,0,74,80,2880,3360
2,0,56,80,3360,3840
2,0,58,80,3360,3840
1,0,62,80,3360,3840
1,0,82,80,3360,4080
2,0,56,80,3840,4320
2,0,58,80,3840,4320
1,0,62,80,3840,4320
1,0,68,80,4080,4320
1,0,72,80,4080,4320
2,0,46,80,4320,4800
1,0,68,80,4320,5280
1,0,70,80,4320,5280
2,0,56,80,4800,5280
2,0,58,80,4800,5280
1,0,62,80,4800,5280
2,0,56,80,5280,5760
2,0,58,80,5280,5760
1,0,62,80,5280,5760
2,0,53,80,5760,6240
1,0,74,80,5760,6240
1,0,80,80,5760,6240
2,0,56,80,6240,6720
2,0,58,80,6240,6720
1,0,62,80,6240,6720
1,0,74,80,6240,6960
1,0,79,80,6240,6960
2,0,56,80,6720,7200
2,0,58,80,6720,7200
1,0,62,80,6720,7200
1,0,74,80,6960,7200
1,0,80,80,6960,7200
2,0,46,80,7200,7680
1,0,74,80,7200,7680
1,0,80,80,7200,7680
1,0,82,80,7200,7680
2,0,56,80,7680,8160
2,0,58,80,7680,8160
1,0,62,80,7680,8160
1,0,82,80,7680,8400
1,0,91,80,7680,8400
2,0,56,80,8160,8640
2,0,58,80,8160,8640
1,0,62,80,8160,8640
1,0,80,80,8400,8640
1,0,89,80,8400,8640
2,0,51,80,8640,9120
1,0,79,80,8640,9120
1,0,89,80,8640,9120
2,0,55,80,9120,9600
2,0,58,80,9120,9600
1,0,63,80,9120,9600
1,0,79,80,9120,9840
1,0,87,80,9120,9840
2,0,56,80,9600,10080
1,0,60,80,9600,10080
1,0,63,80,9600,10080
1,0,80,80,9840,10080
1,0,84,80,9840,10080
2,0,51,80,10080,10560
1,0,79,80,10080,11520
1,0,82,80,10080,11520
2,0,55,80,10560,11040
2,0,58,80,10560,11040
1,0,63,80,10560,11040
2,0,55,80,11040,11520
2,0,58,80,11040,11520
1,0,63,80,11040,11520
2,0,51,80,11520,12000
1,0,79,80,11520,12000
1,0,82,80,11520,12000
2,0,55,80,12000,12480
2,0,58,80,12000,12480
1,0,63,80,12000,12480
1,0,75,80,12000,12480
1,0,79,80,12000,12480
2,0,55,80,12480,12960
2,0,58,80,12480,12960
1,0,63,80,12480,12960
1,0,70,80,12480,12960
1,0,75,80,12480,12960
2,0,50,80,12960,13440
1,0,67,80,12960,13440
1,0,71,80,12960,13440
2,0,53,80,13440,13920
2,0,55,80,13440,13920
2,0,59,80,13440,13920
1,0,71,80,13440,13920
1,0,74,80,13440,13920
2,0,53,80,13920,14400
2,0,55,80,13920,14400
2,0,59,80,13920,14400
1,0,74,80,13920,14400
1,0,79,80,13920,14400
2,0,48,80,14400,14880
1,0,63,80,14400,14880
1,0,67,80,14400,14880
2,0,51,80,14880,15360
2,0,55,80,14880,15360
1,0,60,80,14880,15360
1,0,67,80,14880,15600
1,0,72,80,14880,15600
2,0,51,80,15360,15840
2,0,55,80,15360,15840
1,0,60,80,15360,15840
1,0,72,80,15600,15840
1,0,75,80,15600,15840
2,0,48,80,15840,16320
1,0,75,80,15840,16800
1,0,79,80,15840,16800
2,0,51,80,16320,16800
2,0,55,80,16320,16800
1,0,60,80,16320,16800
2,0,51,80,16800,17280
2,0,55,80,16800,17280
1,0,60,80,16800,17280
2,0,46,80,17280,17760
1,0,67,80,17280,17760
1,0,70,80,17280,17760
1,0,75,80,17280,17760
2,0,55,80,17760,18240
2,0,58,80,17760,18240
1,0,63,80,17760,18240
1,0,67,80,17760,18240
1,0,70,80,17760,18240
1,0,74,80,17760,18240
2,0,55,80,18240,18720
2,0,58,80,18240,18720
1,0,63,80,18240,18720
1,0,67,80,18240,18720
1,0,70,80,18240,18720
1,0,75,80,18240,18720
2,0,46,80,18720,19200
1,0,75,80,18720,19200
1,0,79,80,18720,19200
1,0,82,80,18720,19200
2,0,55,80,19200,19680
2,0,58,80,19200,19680
1,0,63,80,19200,19680
1,0,70,80,19200,19680
1,0,75,80,19200,19680
1,0,79,80,19200,19680
2,0,55,80,19680,20160
2,0,58,80,19680,20160
1,0,63,80,19680,20160
1,0,67,80,19680,20160
1,0,70,80,19680,20160
1,0,75,80,19680,20160
