# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,612246
# meta,0,0,time_signature,3/8
track,channel,pitch,vel,start,end
1,0,79,80,0,120
1,0,80,80,240,360
1,0,82,80,480,600
2,0,38,80,720,960
2,0,50,80,720,960
1,0,77,80,720,960
2,0,56,80,960,1200
2,0,58,80,960,1200
1,0,62,80,960,1200
1,0,76,80,1080,1200
2,0,56,80,1200,1440
2,0,58,80,1200,1440
1,0,62,80,1200,1440
1,0,77,80,1200,1320
1,0,79,80,1420,1440
2,0,34,80,1440,1680
2,0,46,80,1440,1680
1,0,77,80,1440,1560
1,0,75,80,1560,1680
2,0,56,80,1680,1920
2,0,58,80,1680,1920
1,0,62,80,1680,1920
1,0,77,80,1680,1920
2,0,56,80,1920,2160
2,0,58,80,1920,2160
1,0,62,80,1920,2160
1,0,74,80,1920,2160
1,0,86,80,1920,2160
2,0,39,80,2160,2400
2,0,51,80,2160,2400
1,0,72,80,2160,2640
1,0,84,80,2160,2640
2,0,55,80,2400,2640
2,0,58,80,2400,2640
1,0,63,80,2400,2640
2,0,55,80,2640,2880
2,0,58,80,2640,2880
1,0,63,80,2640,2880
1,0,70,80,2640,2880
1,0,82,80,2640,2880
2,0,36,80,2880,3120
2,0,48,80,2880,3120
1,0,75,80,2880,3120
1,0,87,80,2880,3120
2,0,53,80,3120,3360
2,0,57,80,3120,3360
1,0,63,80,3120,3360
1,0,77,80,3120,3360
1,0,89,80,3120,3360
2,0,53,80,3360,3600
2,0,57,80,3360,3600
1,0,63,80,3360,3600
1,0,75,80,3360,3600
1,0,87,80,3360,3600
2,0,34,80,3600,3840
2,0,46,80,3600,3840
1,0,74,80,3600,3840
1,0,86,80,3600,3840
2,0,53,80,3840,4080
2,0,58,80,3840,4080
1,0,62,80,3840,4080
1,0,75,80,3960,4080
1,0,87,80,3960,4080
2,0,53,80,4080,4320
2,0,58,80,4080,4320
1,0,62,80,4080,4320
1,0,74,80,4080,4320
1,0,86,80,4080,4320
2,0,46,80,4320,4440
2,0,50,80,4320,4440
2,0,56,80,4320,4440
1,0,74,80,4320,4440
1,0,86,80,4320,4440
2,0,46,80,4440,4560
2,0,50,80,4440,4560
2,0,56,80,4440,4560
1,0,72,80,4440,4560
1,0,84,80,4440,4560
2,0,46,80,4560,4800
2,0,50,80,4560,4800
2,0,56,80,4560,4800
1,0,71,80,4560,4800
1,0,83,80,4560,4800
2,0,46,80,4800,4920
2,0,50,80,4800,4920
2,0,56,80,4800,4920
1,0,70,80,4800,4920
1,0,82,80,4800,4920
2,0,51,80,5040,5280
2,0,55,80,5040,5280
2,0,58,80,5040,5280
2,0,51,80,5520,5760
2,0,55,80,5520,5760
2,0,58,80,5520,5760
2,0,51,80,5760,6000
2,0,55,80,5760,6000
2,0,58,80,5760,6000
2,0,51,80,6240,6480
2,0,55,80,6240,6480
2,0,58,80,6240,6480
2,0,51,80,6480,6720
2,0,55,80,6480,6720
2,0,58,80,6480,6720
2,0,51,80,6960,7200
2,0,55,80,6960,7200
2,0,58,80,6960,7200
2,0,51,80,7200,7440
2,0,55,80,7200,7440
2,0,58,80,7200,7440
2,0,51,80,7680,7920
2,0,55,80,7680,7920
2,0,58,80,7680,7920
1,0,63,80,7680,7920
1,0,63,80,7680,7920
2,0,51,80,7920,8160
2,0,55,80,7920,8160
2,0,58,80,7920,8160
1,0,67,80,7920,8400
1,0,67,80,7920,8400
2,0,51,80,8400,8640
2,0,55,80,8400,8640
2,0,58,80,8400,8640
1,0,67,80,8400,8640
1,0,67,80,8400,8640
2,0,51,80,8640,8880
2,0,55,80,8640,8880
