# ticks_per_quarter,384
# meta,0,0,meta_03,control track
# meta,0,0,meta_01,creator: 
# meta,0,0,meta_01,GNU LilyPond 2.11.57          
# meta,0,0,time_signature,2/4
# meta,0,0,tempo,500000
# meta,1,0,meta_03,secUp
# meta,1,1536,meta_04,bright acoustic
# meta,2,0,meta_03,secDown
# meta,2,1536,meta_04,bright acoustic
# meta,3,0,meta_03,PriUp
# meta,3,1536,meta_04,acoustic grand
# meta,4,0,meta_03,PriDown
# meta,4,1536,meta_04,acoustic grand
track,channel,pitch,note,start_tick,end_tick,duration_ticks,velocity,release_velocity
1,1,62,D4,1536,1728,192,127,64
2,2,50,D3,1536,1728,192,127,64
1,1,57,A3,1728,1824,96,127,64
2,2,45,A2,1728,1824,96,127,64
1,1,57,A3,1824,1920,96,127,64
2,2,45,A2,1824,1920,96,127,64
1,1,56,G#3,1920,2112,192,127,64
2,2,44,G#2,1920,2112,192,127,64
1,1,57,A3,2112,2304,192,127,64
2,2,45,A2,2112,2304,192,127,64
1,1,62,D4,2304,2496,192,127,64
2,2,50,D3,2304,2496,192,127,64
1,1,57,A3,2496,2592,96,127,64
2,2,45,A2,2496,2592,96,127,64
1,1,57,A3,2592,2688,96,127,64
2,2,45,A2,2592,2688,96,127,64
1,1,56,G#3,2688,2880,192,127,64
2,2,44,G#2,2688,2880,192,127,64
1,1,57,A3,2880,3072,192,127,64
2,2,45,A2,2880,3072,192,127,64
1,1,62,D4,3072,3264,192,127,64
2,2,50,D3,3072,3264,192,127,64
1,1,57,A3,3264,3456,192,127,64
2,2,45,A2,3264,3456,192,127,64
1,1,62,D4,3456,3648,192,127,64
2,2,50,D3,3456,3648,192,127,64
1,1,57,A3,3648,3840,192,127,64
2,2,45,A2,3648,3840,192,127,64
1,1,62,D4,3840,4032,192,127,64
2,2,50,D3,3840,4032,192,127,64
1,1,57,A3,4032,4224,192,127,64
2,2,45,A2,4032,4224,192,127,64
1,1,54,F#3,4224,4416,192,127,64
2,2,42,F#2,4224,4416,192,127,64
1,1,57,A3,4416,4608,192,127,64
2,2,45,A2,4416,4608,192,127,64
1,1,62,D4,4608,4800,192,127,64
2,2,50,D3,4608,4800,192,127,64
1,1,57,A3,4800,4992,192,127,64
2,2,45,A2,4800,4992,192,127,64
1,1,62,D4,4992,5184,192,127,64
2,2,50,D3,4992,5184,192,127,64
1,1,66,F#4,5184,5376,192,127,64
2,2,54,F#3,5184,5376,192,127,64
1,1,69,A4,5376,6144,768,127,64
2,2,57,A3,5376,6144,768,127,64
2,2,38,D2,6144,6528,384,127,64
2,2,50,D3,6144,6528,384,127,64
3,3,78,F#5,6144,6528,384,127,64
3,3,81,A5,6144,6528,384,127,64
4,4,69,A4,6144,6528,384,127,64
1,1,54,F#3,6336,6432,96,127,64
1,1,57,A3,6336,6432,96,127,64
1,1,62,D4,6336,6432,96,127,64
1,1,54,F#3,6432,6528,96,127,64
1,1,57,A3,6432,6528,96,127,64
1,1,62,D4,6432,6528,96,127,64
1,1,54,F#3,6528,6720,192,127,64
1,1,57,A3,6528,6720,192,127,64
1,1,62,D4,6528,6720,192,127,64
3,3,76,E5,6528,6720,192,127,64
3,3,79,G5,6528,6720,192,127,64
4,4,69,A4,6528,6720,192,127,64
1,1,54,F#3,6720,6912,192,127,64
1,1,57,A3,6720,6912,192,127,64
1,1,62,D4,6720,6912,192,127,64
3,3,74,D5,6720,6912,192,127,64
3,3,78,F#5,6720,6912,192,127,64
4,4,69,A4,6720,6912,192,127,64
2,2,33,A1,6912,7296,384,127,64
2,2,45,A2,6912,7296,384,127,64
3,3,73,C#5,6912,7296,384,127,64
3,3,76,E5,6912,7296,384,127,64
4,4,67,G4,6912,7296,384,127,64
4,4,69,A4,6912,7296,384,127,64
1,1,57,A3,7104,7200,96,127,64
1,1,61,C#4,7104,7200,96,127,64
1,1,64,E4,7104,7200,96,127,64
1,1,57,A3,7200,7296,96,127,64
1,1,61,C#4,7200,7296,96,127,64
1,1,64,E4,7200,7296,96,127,64
1,1,57,A3,7296,7488,192,127,64
1,1,61,C#4,7296,7488,192,127,64
1,1,64,E4,7296,7488,192,127,64
3,3,73,C#5,7296,7488,192,127,64
3,3,78,F#5,7296,7488,192,127,64
4,4,69,A4,7296,7488,192,127,64
1,1,57,A3,7488,7680,192,127,64
1,1,61,C#4,7488,7680,192,127,64
1,1,64,E4,7488,7680,192,127,64
3,3,73,C#5,7488,7680,192,127,64
3,3,76,E5,7488,7680,192,127,64
4,4,67,G4,7488,7680,192,127,64
4,4,69,A4,7488,7680,192,127,64
2,2,38,D2,7680,8064,384,127,64
2,2,50,D3,7680,8064,384,127,64
3,3,74,D5,7680,8064,384,127,64
4,4,66,F#4,7680,8064,384,127,64
4,4,69,A4,7680,8064,384,127,64
1,1,54,F#3,7872,7968,96,127,64
1,1,57,A3,7872,7968,96,127,64
1,1,62,D4,7872,7968,96,127,64
1,1,54,F#3,7968,8064,96,127,64
1,1,57,A3,7968,8064,96,127,64
1,1,62,D4,7968,8064,96,127,64
1,1,57,A3,8064,8256,192,127,64
1,1,61,C#4,8064,8256,192,127,64
1,1,64,E4,8064,8256,192,127,64
3,3,73,C#5,8064,8256,192,127,64
3,3,76,E5,8064,8256,192,127,64
4,4,69,A4,8064,8256,192,127,64
1,1,57,A3,8256,8448,192,127,64
1,1,62,D4,8256,8448,192,127,64
1,1,66,F#4,8256,8448,192,127,64
3,3,74,D5,8256,8448,192,127,64
3,3,78,F#5,8256,8448,192,127,64
4,4,69,A4,8256,8448,192,127,64
2,2,33,A1,8448,8832,384,127,64
2,2,45,A2,8448,8832,384,127,64
3,3,69,A4,8448,8736,288,127,64
4,4,67,G4,8448,9024,576,127,64
1,1,57,A3,8640,8736,96,127,64
1,1,61,C#4,8640,8736,96,127,64
1,1,64,E4,8640,8736,96,127,64
1,1,57,A3,8736,8832,96,127,64
1,1,61,C#4,8736,8832,96,127,64
1,1,64,E4,8736,8832,96,127,64
3,3,71,B4,8736,8832,96,127,64
1,1,57,A3,8832,9024,192,127,64
1,1,61,C#4,8832,9024,192,127,64
1,1,64,E4,8832,9024,192,127,64
3,3,69,A4,8832,9024,192,127,64
1,1,57,A3,9024,9216,192,127,64
1,1,61,C#4,9024,9216,192,127,64
1,1,64,E4,9024,9216,192,127,64
2,2,38,D2,9216,9600,384,127,64
2,2,50,D3,9216,9600,384,127,64
3,3,78,F#5,9216,9600,384,127,64
3,3,81,A5,9216,9600,384,127,64
4,4,66,F#4,9216,9600,384,127,64
4,4,69,A4,9216,9600,384,127,64
1,1,54,F#3,9408,9504,96,127,64
1,1,57,A3,9408,9504,96,127,64
1,1,62,D4,9408,9504,96,127,64
1,1,54,F#3,9504,9600,96,127,64
1,1,57,A3,9504,9600,96,127,64
1,1,62,D4,9504,9600,96,127,64
1,1,54,F#3,9600,9792,192,127,64
1,1,57,A3,9600,9792,192,127,64
1,1,62,D4,9600,9792,192,127,64
3,3,76,E5,9600,9792,192,127,64
3,3,79,G5,9600,9792,192,127,64
4,4,69,A4,9600,9792,192,127,64
1,1,54,F#3,9792,9984,192,127,64
1,1,57,A3,9792,9984,192,127,64
1,1,62,D4,9792,9984,192,127,64
3,3,74,D5,9792,9984,192,127,64
3,3,78,F#5,9792,9984,192,127,64
4,4,69,A4,9792,9984,192,127,64
2,2,35,B1,9984,10368,384,127,64
2,2,47,B2,9984,10368,384,127,64
3,3,75,D#5,9984,10368,384,127,64
3,3,78,F#5,9984,10368,384,127,64
3,3,83,B5,9984,10368,384,127,64
4,4,69,A4,9984,10368,384,127,64
4,4,71,B4,9984,10368,384,127,64
1,1,54,F#3,10176,10272,96,127,64
1,1,57,A3,10176,10272,96,127,64
1,1,63,D#4,10176,10272,96,127,64
1,1,54,F#3,10272,10368,96,127,64
1,1,57,A3,10272,10368,96,127,64
1,1,63,D#4,10272,10368,96,127,64
1,1,54,F#3,10368,10560,192,127,64
1,1,57,A3,10368,10560,192,127,64
1,1,63,D#4,10368,10560,192,127,64
3,3,75,D#5,10368,10560,192,127,64
3,3,81,A5,10368,10560,192,127,64
4,4,69,A4,10368,10560,192,127,64
4,4,71,B4,10368,10560,192,127,64
1,1,54,F#3,10560,10752,192,127,64
1,1,57,A3,10560,10752,192,127,64
1,1,63,D#4,10560,10752,192,127,64
3,3,75,D#5,10560,10752,192,127,64
3,3,78,F#5,10560,10752,192,127,64
4,4,69,A4,10560,10752,192,127,64
4,4,71,B4,10560,10752,192,127,64
2,2,40,E2,10752,10944,192,127,64
2,2,52,E3,10752,10944,192,127,64
3,3,76,E5,10752,11136,384,127,64
3,3,79,G5,10752,10944,192,127,64
4,4,67,G4,10752,11136,384,127,64
4,4,71,B4,10752,11136,384,127,64
1,1,55,G3,10944,11136,192,127,64
1,1,59,B3,10944,11136,192,127,64
1,1,64,E4,10944,11136,192,127,64
3,3,81,A5,10944,11040,96,127,64
3,3,79,G5,11040,11136,96,127,64
2,2,35,B1,11136,11328,192,127,64
2,2,47,B2,11136,11328,192,127,64
3,3,75,D#5,11136,11520,384,127,64
3,3,78,F#5,11136,11328,192,127,64
4,4,69,A4,11136,11520,384,127,64
4,4,71,B4,11136,11520,384,127,64
1,1,59,B3,11328,11520,192,127,64
1,1,63,D#4,11328,11520,192,127,64
3,3,79,G5,11328,11424,96,127,64
3,3,78,F#5,11424,11520,96,127,64
1,1,55,G3,11520,11904,384,127,64
1,1,59,B3,11520,11904,384,127,64
1,1,64,E4,11520,11904,384,127,64
2,2,40,E2,11520,11904,384,127,64
2,2,52,E3,11520,11904,384,127,64
3,3,76,E5,11520,11616,96,127,64
4,4,67,G4,11520,11904,384,127,64
4,4,71,B4,11520,11904,384,127,64
3,3,76,E5,11616,11712,96,127,64
3,3,78,F#5,11712,11808,96,127,64
3,3,79,G5,11808,11904,96,127,64
3,3,81,A5,11904,12000,96,127,64
3,3,83,B5,12000,12096,96,127,64
3,3,85,C#6,12096,12192,96,127,64
3,3,86,D6,12192,12288,96,127,64
