# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,410958
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,41,80,0,768
2,0,53,80,0,768
2,0,53,80,0,768
1,0,65,80,0,768
1,0,77,80,0,768
1,0,77,80,0,768
2,0,42,80,768,1536
2,0,54,80,768,1536
2,0,54,80,768,1536
1,0,66,80,768,1536
1,0,78,80,768,1536
1,0,78,80,768,1536
2,0,43,80,1536,2688
2,0,55,80,1536,2688
2,0,55,80,1536,2688
1,0,67,80,1536,2688
1,0,79,80,1536,2688
1,0,79,80,1536,2688
2,0,39,80,2688,3072
2,0,51,80,2688,3072
2,0,51,80,2688,3072
1,0,63,80,2688,3072
1,0,75,80,2688,3072
1,0,75,80,2688,3072
2,0,36,80,3072,3456
2,0,48,80,3072,3456
2,0,48,80,3072,3456
1,0,60,80,3072,3456
1,0,72,80,3072,3456
1,0,72,80,3072,3456
2,0,33,80,3456,3840
2,0,45,80,3456,3840
2,0,45,80,3456,3840
2,0,57,80,3456,3840
1,0,69,80,3456,3840
1,0,69,80,3456,3840
2,0,29,80,3840,4224
2,0,41,80,3840,4224
2,0,41,80,3840,4224
2,0,53,80,3840,4224
1,0,65,80,3840,4224
1,0,65,80,3840,4224
2,0,39,80,4224,4608
2,0,39,80,4224,4608
2,0,51,80,4224,4608
1,0,63,80,4224,4608
1,0,63,80,4224,4608
2,0,38,80,4608,4992
2,0,38,80,4608,4992
2,0,50,80,4608,4992
1,0,62,80,4608,4992
1,0,62,80,4608,4992
2,0,46,80,4992,5376
2,0,46,80,4992,5376
2,0,58,80,4992,5376
1,0,70,80,4992,5376
1,0,70,80,4992,5376
2,0,38,80,6144,7680
2,0,46,80,6144,7680
2,0,50,80,6144,7680
2,0,53,80,6144,6912
2,0,58,80,6144,6912
1,0,65,80,6144,6912
2,0,54,80,6912,7680
2,0,58,80,6912,7680
1,0,66,80,6912,7680
2,0,39,80,7680,8064
2,0,46,80,7680,8064
2,0,51,80,7680,8064
2,0,55,80,7680,8064
2,0,58,80,7680,8064
1,0,63,80,7680,8832
1,0,67,80,7680,8064
1,0,79,80,7680,8832
1,0,60,80,8832,9216
1,0,75,80,8832,9216
2,0,41,80,9216,10752
2,0,48,80,9216,10752
2,0,53,80,9216,10752
2,0,57,80,9216,9600
2,0,57,80,9216,9984
1,0,63,80,9216,9984
1,0,69,80,9216,9984
1,0,72,80,9216,9600
1,0,63,80,9984,10752
1,0,69,80,9984,10752
1,0,75,80,9984,10752
2,0,43,80,10752,11136
2,0,46,80,10752,11136
2,0,55,80,10752,11136
1,0,62,80,10752,11904
1,0,62,80,10752,11136
1,0,70,80,10752,11136
1,0,74,80,10752,11136
1,0,82,80,10752,11904
2,0,58,80,11904,12288
1,0,74,80,11904,12288
2,0,51,80,12288,13824
2,0,55,80,12288,13824
1,0,60,80,12288,13824
1,0,63,80,12288,12672
1,0,67,80,12288,13824
1,0,72,80,12288,12672
1,0,72,80,12288,13056
1,0,79,80,13056,14208
2,0,51,80,13824,14592
2,0,53,80,13824,14592
1,0,60,80,13824,14592
1,0,69,80,13824,14592
1,0,77,80,14208,14976
2,0,50,80,14592,15360
2,0,53,80,14592,15360
2,0,58,80,14592,15360
1,0,70,80,14592,15360
1,0,75,80,14976,15168
1,0,74,80,15168,15360
2,0,51,80,15360,16128
2,0,55,80,15360,16128
1,0,60,80,15360,16128
1,0,67,80,15360,16128
1,0,74,80,15360,15552
1,0,72,80,15552,15744
1,0,75,80,15744,16512
2,0,53,80,16128,16896
1,0,60,80,16128,16896
1,0,63,80,16128,16896
1,0,69,80,16512,16896
2,0,46,80,16896,17280
2,0,58,80,16896,17280
1,0,62,80,16896,17280
1,0,70,80,16896,17280
1,0,65,80,17088,17280
1,0,67,80,17280,17472
1,0,69,80,17472,17664
1,0,70,80,17664,17856
1,0,72,80,17856,18048
1,0,74,80,18048,18240
1,0,75,80,18240,18432
2,0,38,80,18432,19968
2,0,50,80,18432,19968
2,0,58,80,18432,20736
1,0,77,80,18432,19200
1,0,78,80,19200,19968
2,0,39,80,19968,22272
2,0,51,80,19968,22272
1,0,79,80,19968,21888
2,0,59,80,20736,21504
1,0,60,80,21504,23424
1,0,79,80,21888,22224
1,0,78,80,22224,22256
1,0,79,80,22256,22272
2,0,40,80,22272,23040
2,0,52,80,22272,23040
1,0,84,80,22272,22656
1,0,82,80,22656,23040
2,0,41,80,23040,24192
2,0,53,80,23040,24192
1,0,82,80,23040,23424
1,0,60,80,23424,23760
1,0,81,80,23424,24192
2,0,59,80,23760,23792
1,0,60,80,23792,23808
1,0,65,80,23808,24192
2,0,42,80,24192,24576
2,0,54,80,24192,24576
1,0,63,80,24192,24576
1,0,81,80,24192,24576
2,0,43,80,24576,25344
2,0,55,80,24576,25344
1,0,63,80,24576,24960
1,0,84,80,24576,24960
1,0,62,80,24960,25344
1,0,82,80,24960,25728
2,0,39,80,25344,26112
2,0,51,80,25344,26112
1,0,67,80,25344,25728
1,0,65,80,25728,25920
1,0,81,80,25728,25920
1,0,63,80,25920,26112
1,0,79,80,25920,26112
2,0,41,80,26112,26496
2,0,53,80,26112,26496
1,0,63,80,26112,26496
1,0,79,80,26112,26496
1,0,62,80,26496,27072
1,0,77,80,26496,27264
2,0,29,80,26880,27264
2,0,41,80,26880,27264
1,0,65,80,27072,27264
1,0,63,80,27264,27456
1,0,69,80,27264,27648
1,0,60,80,27456,27648
2,0,34,80,27648,27840
2,0,46,80,27648,27840
2,0,58,80,27648,28032
1,0,70,80,27648,28032
2,0,50,80,27840,28032
2,0,46,80,28032,28224
2,0,50,80,28224,28416
2,0,46,80,28416,28608
2,0,50,80,28608,28800
2,0,46,80,28800,28992
1,0,65,80,28800,29184
2,0,50,80,28992,29184
2,0,46,80,29184,29376
1,0,64,80,29184,29952
2,0,50,80,29376,29568
2,0,46,80,29568,29760
2,0,50,80,29760,29952
2,0,46,80,29952,30144
1,0,65,80,29952,30528
2,0,50,80,30144,30336
2,0,46,80,30336,30528
2,0,50,80,30528,30720
2,0,58,80,30528,30720
2,0,48,80,30720,30912
2,0,57,80,30720,31104
1,0,77,80,30816,30912
2,0,51,80,30912,31104
1,0,79,80,30912,31008
1,0,81,80,31008,31104
2,0,48,80,31104,31296
1,0,82,80,31104,31200
1,0,84,80,31200,31296
2,0,51,80,31296,31488
1,0,86,80,31296,31392
1,0,88,80,31392,31488
2,0,48,80,31488,31680
1,0,89,80,31488,31872
2,0,51,80,31680,31872
2,0,48,80,31872,32064
1,0,77,80,31872,32256
2,0,51,80,32064,32256
2,0,48,80,32256,32448
1,0,76,80,32256,33024
2,0,51,80,32448,32640
2,0,48,80,32640,32832
2,0,51,80,32832,33024
2,0,48,80,33024,33216
1,0,77,80,33024,33600
2,0,51,80,33216,33408
2,0,48,80,33408,33600
2,0,51,80,33600,33792
1,0,69,80,33600,33792
2,0,50,80,33792,33984
1,0,70,80,33792,34176
1,0,77,80,33888,33984
2,0,53,80,33984,34176
1,0,79,80,33984,34080
1,0,81,80,34080,34176
2,0,50,80,34176,34368
1,0,82,80,34176,34272
1,0,84,80,34272,34368
2,0,53,80,34368,34560
1,0,86,80,34368,34464
1,0,87,80,34464,34560
2,0,50,80,34560,34752
1,0,89,80,34560,34944
2,0,53,80,34752,34944
2,0,50,80,34944,35136
1,0,65,80,34944,35328
1,0,77,80,34944,35328
2,0,53,80,35136,35328
2,0,50,80,35328,35520
1,0,64,80,35328,36096
1,0,76,80,35328,36096
2,0,53,80,35520,35712
2,0,50,80,35712,35904
2,0,53,80,35904,36096
2,0,50,80,36096,36288
1,0,65,80,36096,36672
1,0,77,80,36096,36672
2,0,53,80,36288,36480
2,0,50,80,36480,36672
2,0,53,80,36672,36864
2,0,59,80,36672,36864
1,0,71,80,36672,36864
2,0,51,80,36864,37056
1,0,60,80,36864,37616
1,0,72,80,36864,37616
2,0,55,80,37056,37248
1,0,67,80,37056,37248
2,0,51,80,37248,37440
1,0,63,80,37248,37440
2,0,50,80,37440,37632
1,0,62,80,37440,37632
1,0,62,80,37616,37632
1,0,74,80,37616,37632
2,0,48,80,37632,37824
1,0,60,80,37632,37824
1,0,60,80,37632,37824
1,0,72,80,37632,37824
2,0,51,80,37824,38016
2,0,59,80,37824,38016
1,0,63,80,37824,38016
1,0,71,80,37824,38016
2,0,48,80,38016,38208
1,0,60,80,38016,38208
1,0,60,80,38016,38208
1,0,72,80,38016,38208
2,0,46,80,38208,38400
2,0,58,80,38208,38400
1,0,62,80,38208,38400
1,0,74,80,38208,38400
