# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,52,80,0,480
2,0,56,80,0,240
1,0,64,80,0,240
1,0,71,80,0,480
2,0,59,80,240,480
1,0,66,80,240,480
2,0,52,80,1920,2880
1,0,64,80,1920,2400
1,0,68,80,1920,2400
1,0,71,80,1920,2880
2,0,56,80,2400,2640
1,0,64,80,2400,2640
2,0,59,80,2640,2880
1,0,66,80,2640,2880
2,0,52,80,2880,3840
1,0,64,80,2880,3360
1,0,68,80,2880,3360
1,0,71,80,2880,3840
2,0,56,80,3360,3600
1,0,64,80,3360,3600
1,0,64,80,3600,3840
1,0,68,80,3600,3840
2,0,52,80,3840,4800
1,0,66,80,3840,4200
1,0,69,80,3840,4200
1,0,71,80,3840,4800
2,0,59,80,4200,4320
1,0,66,80,4200,4320
1,0,66,80,4320,4680
1,0,69,80,4320,4680
2,0,59,80,4680,4800
1,0,66,80,4680,4800
2,0,52,80,4800,5760
1,0,64,80,4800,5280
1,0,68,80,4800,5280
1,0,71,80,4800,5760
2,0,56,80,5280,5520
1,0,64,80,5280,5520
2,0,59,80,5520,5760
1,0,66,80,5520,5760
2,0,52,80,5760,6720
1,0,64,80,5760,6240
1,0,68,80,5760,6240
1,0,71,80,5760,6720
2,0,56,80,6240,6480
1,0,64,80,6240,6480
2,0,59,80,6480,6720
1,0,66,80,6480,6720
2,0,52,80,6720,7680
1,0,64,80,6720,7200
1,0,68,80,6720,7200
1,0,71,80,6720,7680
2,0,56,80,7200,7440
1,0,64,80,7200,7440
1,0,64,80,7440,7680
1,0,68,80,7440,7680
2,0,52,80,7680,8640
1,0,66,80,7680,8040
1,0,69,80,7680,8040
1,0,71,80,7680,8640
2,0,59,80,8040,8160
1,0,66,80,8040,8160
1,0,66,80,8160,8520
1,0,69,80,8160,8520
2,0,59,80,8520,8640
1,0,66,80,8520,8640
2,0,52,80,8640,9600
1,0,64,80,8640,9120
1,0,68,80,8640,9120
1,0,71,80,8640,9600
2,0,56,80,9120,9360
1,0,64,80,9120,9360
1,0,68,80,9120,9360
2,0,59,80,9360,9600
1,0,66,80,9360,9600
1,0,69,80,9360,9600
2,0,52,80,9600,10560
1,0,64,80,9600,10080
1,0,68,80,9600,10080
1,0,71,80,9600,10080
1,0,71,80,9600,10560
2,0,56,80,10080,10320
1,0,64,80,10080,10320
1,0,68,80,10080,10320
1,0,68,80,10080,10320
2,0,59,80,10320,10560
1,0,66,80,10320,10560
1,0,69,80,10320,10560
1,0,69,80,10320,10560
2,0,52,80,10560,11520
1,0,64,80,10560,11040
1,0,68,80,10560,11040
1,0,71,80,10560,11040
1,0,71,80,10560,11280
2,0,56,80,11040,11280
1,0,64,80,11040,11280
1,0,71,80,11040,11520
1,0,64,80,11280,11520
1,0,68,80,11280,11520
1,0,76,80,11280,11520
2,0,52,80,11520,12480
1,0,66,80,11520,11880
1,0,69,80,11520,11880
