# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,44,80,0,960
2,0,51,80,0,960
2,0,56,80,0,960
1,0,60,80,0,960
1,0,63,80,0,960
1,0,68,80,0,960
1,0,77,80,0,960
2,0,44,80,960,1920
2,0,51,80,960,1920
2,0,56,80,960,1920
1,0,60,80,960,1920
1,0,72,80,960,1920
1,0,72,80,1920,2400
2,0,44,80,2400,3360
2,0,51,80,2400,3360
2,0,54,80,2400,3360
2,0,58,80,2400,3360
1,0,63,80,2400,3360
1,0,66,80,2400,3360
1,0,70,80,2400,3360
1,0,75,80,2400,2880
1,0,70,80,2880,3360
2,0,44,80,3360,4320
2,0,51,80,3360,4320
2,0,54,80,3360,4320
2,0,58,80,3360,4320
1,0,70,80,3360,3840
1,0,70,80,4320,4560
1,0,72,80,4560,4800
2,0,44,80,4800,5760
2,0,52,80,4800,5760
2,0,57,80,4800,5760
1,0,61,80,4800,5760
1,0,64,80,4800,5760
1,0,73,80,4800,5760
2,0,44,80,5760,6720
2,0,52,80,5760,6720
2,0,57,80,5760,6720
1,0,64,80,5760,6720
1,0,67,80,6720,7200
2,0,44,80,7200,8160
2,0,51,80,7200,8160
2,0,56,80,7200,8160
1,0,60,80,7200,7680
1,0,63,80,7200,7680
1,0,68,80,7200,7680
1,0,72,80,7200,7680
1,0,68,80,7680,8160
2,0,44,80,8160,9120
2,0,51,80,8160,9120
2,0,56,80,8160,9120
1,0,68,80,8160,8640
1,0,68,80,8640,9120
1,0,68,80,9120,9600
1,0,61,80,9600,10080
1,0,65,80,9600,10080
1,0,68,80,9600,10080
1,0,68,80,9600,10080
1,0,61,80,10080,10560
1,0,65,80,10080,10560
1,0,70,80,10080,10560
1,0,70,80,10080,10560
1,0,61,80,10560,11040
1,0,65,80,10560,10800
1,0,65,80,10560,11040
1,0,70,80,10560,11040
1,0,66,80,10800,11040
1,0,60,80,11040,11520
1,0,65,80,11040,11520
1,0,68,80,11040,11520
1,0,68,80,11040,11520
1,0,60,80,11520,12000
1,0,63,80,11520,12000
1,0,68,80,11520,12000
1,0,68,80,11760,12000
2,0,58,80,12000,12480
1,0,61,80,12000,12480
1,0,65,80,12000,12480
1,0,73,80,12000,12480
1,0,73,80,12000,12480
2,0,58,80,12480,12960
1,0,61,80,12480,12960
1,0,65,80,12480,12960
1,0,73,80,12480,12960
1,0,75,80,12480,12720
1,0,77,80,12720,12960
2,0,56,80,12960,13440
1,0,61,80,12960,13440
1,0,65,80,12960,13440
1,0,72,80,12960,13440
1,0,72,80,12960,13440
2,0,56,80,13440,13920
1,0,60,80,13440,13920
1,0,65,80,13440,13920
1,0,72,80,13440,13680
1,0,72,80,13440,13920
2,0,56,80,13920,14400
1,0,61,80,13920,14400
1,0,65,80,13920,14400
1,0,70,80,13920,14400
1,0,70,80,14160,14400
2,0,55,80,14400,14880
1,0,61,80,14400,14880
1,0,65,80,14400,14880
1,0,70,80,14400,14880
1,0,70,80,14400,14880
2,0,55,80,14880,15360
1,0,61,80,14880,15360
1,0,65,80,14880,15360
1,0,70,80,14880,15360
1,0,72,80,14880,15120
1,0,73,80,15120,15360
2,0,54,80,15360,15840
1,0,60,80,15360,15840
1,0,64,80,15360,15840
1,0,70,80,15360,15840
1,0,70,80,15360,15840
2,0,54,80,15840,16320
1,0,60,80,15840,16320
1,0,63,80,15840,16320
1,0,70,80,15840,16320
1,0,72,80,15840,16080
1,0,73,80,16080,16320
2,0,54,80,16320,16800
1,0,60,80,16320,16800
1,0,63,80,16320,16800
1,0,70,80,16320,16800
1,0,75,80,16320,16560
1,0,77,80,16560,16800
2,0,53,80,16800,17280
1,0,60,80,16800,17280
1,0,63,80,16800,17280
1,0,69,80,16800,17040
1,0,77,80,16800,17280
1,0,77,80,17040,18240
2,0,53,80,17280,17760
1,0,60,80,17280,17760
1,0,63,80,17280,17760
1,0,69,80,17280,17760
1,0,75,80,17280,17520
1,0,73,80,17520,17760
2,0,54,80,17760,18240
1,0,60,80,17760,18240
1,0,63,80,17760,18240
1,0,72,80,17760,18000
1,0,70,80,18000,18240
2,0,54,80,18240,18720
1,0,60,80,18240,18720
1,0,63,80,18240,18720
1,0,69,80,18240,18720
1,0,72,80,18240,18480
1,0,72,80,18480,18720
2,0,53,80,18720,19200
1,0,60,80,18720,19200
1,0,65,80,18720,19200
1,0,69,80,18720,19200
1,0,73,80,18720,18960
1,0,75,80,18960,19200
2,0,51,80,19200,19680
1,0,61,80,19200,19680
1,0,66,80,19200,19440
1,0,70,80,19200,19680
1,0,73,80,19200,20160
1,0,65,80,19440,19680
2,0,51,80,19680,20160
1,0,61,80,19680,20160
1,0,66,80,19680,19920
1,0,70,80,19680,20160
1,0,65,80,19920,20160
2,0,51,80,20160,20640
1,0,61,80,20160,20640
1,0,66,80,20160,20400
1,0,70,80,20160,20640
1,0,70,80,20160,20640
1,0,65,80,20400,20640
2,0,51,80,20640,21120
1,0,61,80,20640,21120
1,0,66,80,20640,21120
1,0,66,80,20640,21600
1,0,70,80,20640,21600
2,0,51,80,21120,21600
1,0,61,80,21120,21600
1,0,68,80,21120,21360
1,0,70,80,21360,21600
2,0,56,80,21600,22080
1,0,60,80,21600,22080
1,0,66,80,21600,22080
1,0,70,80,21600,21840
1,0,75,80,21600,22320
1,0,75,80,21840,23040
2,0,56,80,22080,23040
1,0,60,80,22080,23040
1,0,66,80,22080,22560
1,0,73,80,22320,22800
1,0,66,80,22560,23040
1,0,72,80,22800,23280
2,0,56,80,23040,23520
1,0,60,80,23040,23520
1,0,66,80,23040,23520
1,0,68,80,23040,23520
1,0,70,80,23280,23760
2,0,56,80,23520,24000
1,0,60,80,23520,24000
1,0,66,80,23520,24000
1,0,68,80,23520,23760
1,0,68,80,23760,24000
2,0,49,80,24000,24480
2,0,56,80,24000,24480
1,0,65,80,24000,24240
1,0,68,80,24000,24480
1,0,75,80,24000,24240
1,0,64,80,24240,24480
1,0,73,80,24240,24480
2,0,49,80,24480,24960
2,0,56,80,24480,24960
1,0,65,80,24480,24720
1,0,68,80,24480,24720
1,0,68,80,24480,24960
1,0,64,80,24720,24960
1,0,65,80,24720,24960
2,0,49,80,24960,25440
2,0,56,80,24960,25440
1,0,65,80,24960,25200
1,0,65,80,24960,25680
1,0,68,80,24960,25440
1,0,64,80,25200,25440
2,0,48,80,25440,25920
2,0,56,80,25440,25920
1,0,65,80,25440,25920
1,0,68,80,25440,25920
1,0,67,80,25680,25920
2,0,48,80,25920,26400
2,0,56,80,25920,26400
1,0,65,80,25920,26080
1,0,65,80,25920,26400
1,0,68,80,25920,26240
1,0,68,80,26080,26240
1,0,70,80,26240,26400
1,0,70,80,26240,26400
2,0,48,80,26400,26880
2,0,55,80,26400,26880
1,0,64,80,26400,26880
1,0,72,80,26400,26640
1,0,72,80,26400,26880
1,0,72,80,26400,27120
1,0,73,80,26640,26880
1,0,60,80,26880,27360
1,0,64,80,26880,27360
1,0,67,80,26880,27360
1,0,72,80,26880,27360
1,0,73,80,27120,27360
2,0,58,80,27360,27840
1,0,60,80,27360,27840
1,0,64,80,27360,27840
1,0,68,80,27360,27840
1,0,72,80,27360,27600
1,0,72,80,27360,27840
1,0,73,80,27600,27840
2,0,58,80,27840,28320
1,0,60,80,27840,28320
1,0,64,80,27840,28320
1,0,67,80,27840,28320
1,0,72,80,27840,28080
1,0,73,80,28080,28320
2,0,57,80,28320,28800
1,0,60,80,28320,28800
1,0,63,80,28320,28800
1,0,67,80,28320,28800
1,0,72,80,28320,28560
1,0,73,80,28560,28800
2,0,56,80,28800,29280
1,0,60,80,28800,29280
1,0,63,80,28800,29280
1,0,66,80,28800,29280
1,0,72,80,28800,29040
1,0,72,80,28800,29280
1,0,72,80,29040,29280
2,0,56,80,29280,29760
1,0,61,80,29280,29760
1,0,63,80,29280,29760
1,0,66,80,29280,29760
1,0,70,80,29280,29760
1,0,70,80,29280,29760
2,0,56,80,29760,30240
1,0,61,80,29760,30240
1,0,63,80,29760,30240
1,0,66,80,29760,30240
1,0,70,80,29760,30000
1,0,70,80,29760,30240
1,0,72,80,30000,30240
2,0,56,80,30240,30720
1,0,60,80,30240,30720
1,0,63,80,30240,30720
1,0,66,80,30240,30720
1,0,68,80,30240,30480
1,0,72,80,30240,30720
1,0,70,80,30480,30720
2,0,54,80,30720,31200
2,0,56,80,30720,31200
1,0,63,80,30720,31200
1,0,68,80,30720,31200
1,0,72,80,30720,30880
1,0,72,80,30720,31200
1,0,70,80,30880,31040
1,0,68,80,31040,31200
2,0,52,80,31200,31680
2,0,56,80,31200,31680
1,0,61,80,31200,31680
1,0,68,80,31200,31680
1,0,73,80,31200,31440
1,0,73,80,31200,32160
1,0,80,80,31440,31680
2,0,52,80,31680,32640
2,0,56,80,31680,32640
1,0,78,80,31680,31920
1,0,76,80,31920,32160
1,0,68,80,32160,32640
1,0,75,80,32160,32400
1,0,76,80,32400,32640
2,0,52,80,32640,33120
2,0,56,80,32640,33120
1,0,68,80,32640,32880
1,0,73,80,32640,32880
1,0,68,80,32880,33120
2,0,49,80,33120,33600
2,0,56,80,33120,33600
1,0,64,80,33120,33360
1,0,61,80,33360,33600
2,0,46,80,33600,34080
2,0,56,80,33600,34080
1,0,61,80,33600,34080
1,0,65,80,33600,34080
1,0,68,80,33600,34080
1,0,68,80,33600,34080
2,0,46,80,34080,35040
2,0,56,80,34080,35040
1,0,61,80,34080,35040
1,0,65,80,34080,35040
1,0,67,80,34080,34320
1,0,68,80,34080,34560
1,0,68,80,34320,35040
1,0,65,80,34560,35040
2,0,46,80,35040,35520
2,0,56,80,35040,35520
1,0,61,80,35040,35520
1,0,65,80,35040,35520
1,0,67,80,35040,35280
1,0,68,80,35040,35520
1,0,68,80,35280,35520
2,0,46,80,35520,36000
2,0,56,80,35520,36000
1,0,61,80,35520,36000
1,0,65,80,35520,35680
1,0,65,80,35520,36000
1,0,68,80,35520,36000
1,0,67,80,35680,35840
1,0,68,80,35840,36000
2,0,51,80,36000,36480
2,0,55,80,36000,36480
1,0,61,80,36000,36480
1,0,63,80,36000,36480
1,0,70,80,36000,36480
1,0,70,80,36000,36960
2,0,51,80,36480,37440
2,0,55,80,36480,37440
1,0,61,80,36480,37440
1,0,63,80,36480,37440
1,0,68,80,36480,36720
1,0,70,80,36720,37440
1,0,67,80,36960,37440
2,0,51,80,37440,37920
2,0,55,80,37440,37920
1,0,61,80,37440,37920
1,0,63,80,37440,37920
1,0,68,80,37440,37680
1,0,70,80,37440,37920
1,0,70,80,37680,37920
2,0,51,80,37920,38400
2,0,55,80,37920,38400
1,0,61,80,37920,38400
1,0,63,80,37920,38400
1,0,67,80,37920,38080
1,0,70,80,37920,38160
1,0,68,80,38080,38240
1,0,70,80,38240,38400
2,0,44,80,38400,38880
2,0,56,80,38400,38880
2,0,59,80,38400,38880
1,0,63,80,38400,38880
1,0,71,80,38400,38640
1,0,71,80,38400,38880
1,0,71,80,38640,38880
2,0,44,80,38880,39840
2,0,56,80,38880,39840
2,0,59,80,38880,39840
1,0,63,80,38880,39840
1,0,70,80,38880,39120
1,0,71,80,38880,39360
1,0,71,80,39120,39840
1,0,68,80,39360,39840
2,0,44,80,39840,40320
2,0,56,80,39840,40320
2,0,59,80,39840,40320
1,0,64,80,39840,40320
1,0,70,80,39840,40080
1,0,71,80,39840,40320
1,0,71,80,40080,40320
2,0,44,80,40320,40800
2,0,56,80,40320,40800
2,0,59,80,40320,40800
1,0,64,80,40320,40800
1,0,68,80,40320,40480
1,0,71,80,40320,40800
1,0,70,80,40480,40640
1,0,71,80,40640,40800
2,0,54,80,40800,41280
2,0,58,80,40800,41280
1,0,64,80,40800,41280
1,0,73,80,40800,41280
1,0,73,80,40800,41760
2,0,54,80,41280,42240
2,0,58,80,41280,42240
1,0,64,80,41280,42240
1,0,71,80,41280,41520
1,0,73,80,41520,41760
1,0,70,80,41760,42240
1,0,73,80,41760,42240
2,0,54,80,42240,42720
2,0,58,80,42240,42720
1,0,64,80,42240,42720
1,0,71,80,42240,42480
1,0,73,80,42240,42480
1,0,73,80,42480,42720
2,0,54,80,42720,43200
2,0,58,80,42720,43200
1,0,64,80,42720,43200
1,0,70,80,42720,42880
1,0,71,80,42880,43040
1,0,73,80,43040,43200
2,0,53,80,43200,43680
2,0,56,80,43200,43680
2,0,58,80,43200,43680
1,0,65,80,43200,43680
1,0,74,80,43200,43440
1,0,74,80,43200,43680
1,0,74,80,43440,43680
2,0,53,80,43680,44640
2,0,56,80,43680,44640
2,0,58,80,43680,44640
1,0,65,80,43680,44640
1,0,72,80,43680,43920
1,0,74,80,43680,44640
1,0,70,80,43920,44160
1,0,74,80,44160,45120
2,0,53,80,44640,45120
2,0,56,80,44640,45120
2,0,58,80,44640,45120
1,0,65,80,44640,45120
1,0,74,80,44640,45120
2,0,53,80,45120,45600
2,0,58,80,45120,45600
1,0,68,80,45120,45600
1,0,74,80,45120,45360
1,0,74,80,45120,45600
1,0,74,80,45360,45600
2,0,51,80,45600,46080
2,0,58,80,45600,46080
1,0,67,80,45600,46080
1,0,73,80,45600,46080
1,0,75,80,45600,45840
1,0,75,80,45600,46080
1,0,70,80,45840,46080
2,0,51,80,46080,47040
2,0,58,80,46080,47040
1,0,67,80,46080,47040
1,0,73,80,46080,47040
1,0,75,80,46080,47040
1,0,75,80,46080,47040
2,0,51,80,47040,47520
2,0,58,80,47040,47520
1,0,67,80,47040,47520
1,0,73,80,47040,47520
1,0,75,80,47040,47280
1,0,75,80,47040,47520
2,0,51,80,47520,48000
2,0,58,80,47520,48000
1,0,67,80,47520,48000
1,0,73,80,47520,48000
1,0,75,80,47520,48000
2,0,44,80,48000,48960
2,0,51,80,48000,48960
1,0,60,80,48000,48960
1,0,63,80,48000,48480
1,0,68,80,48000,48480
1,0,77,80,48000,48240
1,0,77,80,48000,48480
1,0,77,80,48000,48960
1,0,72,80,48240,48480
1,0,68,80,48480,48720
1,0,63,80,48720,48960
2,0,44,80,48960,49920
2,0,51,80,48960,49920
1,0,60,80,48960,49920
1,0,72,80,48960,49200
1,0,77,80,48960,49920
1,0,68,80,49200,49440
1,0,63,80,49440,49680
1,0,60,80,49680,49920
2,0,44,80,49920,50400
2,0,56,80,49920,50160
1,0,72,80,49920,50400
2,0,51,80,50160,50400
2,0,44,80,50400,51360
2,0,54,80,50400,51360
2,0,58,80,50400,51360
1,0,75,80,50400,50640
1,0,75,80,50400,50880
1,0,70,80,50640,50880
1,0,66,80,50880,51120
1,0,70,80,50880,51360
1,0,63,80,51120,51360
2,0,44,80,51360,52320
2,0,54,80,51360,52320
2,0,58,80,51360,52320
1,0,70,80,51360,51600
1,0,70,80,51360,51840
1,0,66,80,51600,51840
1,0,63,80,51840,52080
2,0,58,80,52080,52320
2,0,44,80,52320,52800
2,0,54,80,52320,52560
1,0,70,80,52320,52560
2,0,51,80,52560,52800
1,0,72,80,52560,52800
2,0,45,80,52800,53760
2,0,52,80,52800,53760
2,0,57,80,52800,53760
1,0,61,80,52800,53280
1,0,73,80,52800,53040
1,0,73,80,52800,53760
1,0,69,80,53040,53280
1,0,64,80,53280,53520
1,0,61,80,53520,53760
2,0,45,80,53760,54720
2,0,52,80,53760,54720
2,0,57,80,53760,54720
1,0,69,80,53760,54000
1,0,73,80,53760,54720
1,0,64,80,54000,54240
1,0,61,80,54240,54480
2,0,57,80,54480,54720
2,0,45,80,54720,55200
2,0,57,80,54720,54960
1,0,69,80,54720,55200
2,0,51,80,54960,55200
2,0,44,80,55200,56160
2,0,51,80,55200,56160
2,0,56,80,55200,56160
1,0,72,80,55200,55440
1,0,72,80,55200,56160
1,0,68,80,55440,55680
1,0,63,80,55680,55920
1,0,60,80,55920,56160
2,0,44,80,56160,57120
2,0,51,80,56160,57120
2,0,56,80,56160,57120
1,0,68,80,56160,56400
1,0,72,80,56160,56640
1,0,63,80,56400,56640
1,0,60,80,56640,56880
2,0,56,80,56880,57120
2,0,44,80,57120,57600
2,0,56,80,57120,57360
1,0,72,80,57120,57600
2,0,51,80,57360,57600
2,0,44,80,57600,58560
2,0,52,80,57600,58560
2,0,56,80,57600,58560
1,0,71,80,57600,57840
1,0,71,80,57600,59040
1,0,68,80,57840,58080
1,0,64,80,58080,58320
2,0,59,80,58320,58560
2,0,44,80,58560,59520
2,0,52,80,58560,59520
2,0,56,80,58560,59520
1,0,68,80,58560,58800
1,0,64,80,58800,59040
2,0,59,80,59040,59280
1,0,74,80,59040,59520
2,0,56,80,59280,59520
