# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,789473
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,57,80,0,96
2,0,60,80,0,96
2,0,64,80,0,96
1,0,76,80,0,96
2,0,57,80,96,192
2,0,60,80,96,192
2,0,64,80,96,192
1,0,77,80,96,192
2,0,57,80,192,1152
2,0,60,80,192,1152
2,0,64,80,192,1152
1,0,76,80,192,288
1,0,72,80,288,384
1,0,69,80,384,480
1,0,71,80,480,576
1,0,74,80,576,672
1,0,72,80,672,768
1,0,68,80,768,864
1,0,69,80,864,960
1,0,72,80,960,1344
2,0,57,80,1152,1248
2,0,62,80,1152,1248
2,0,65,80,1152,1248
2,0,57,80,1248,1344
2,0,62,80,1248,1344
2,0,65,80,1248,1344
2,0,57,80,1344,1536
2,0,62,80,1344,1536
2,0,65,80,1344,1536
1,0,71,80,1344,1536
2,0,57,80,1536,1632
2,0,62,80,1536,1632
2,0,65,80,1536,1632
1,0,77,80,1536,1632
2,0,57,80,1632,1728
2,0,62,80,1632,1728
2,0,65,80,1632,1728
1,0,79,80,1632,1728
2,0,57,80,1728,2688
2,0,62,80,1728,2688
2,0,65,80,1728,2688
1,0,77,80,1728,1824
1,0,74,80,1824,1920
1,0,70,80,1920,2016
1,0,71,80,2016,2112
1,0,74,80,2112,2208
1,0,71,80,2208,2304
1,0,67,80,2304,2400
1,0,68,80,2400,2496
1,0,69,80,2496,2880
1,0,74,80,2496,2880
2,0,57,80,2688,2784
2,0,60,80,2688,2784
2,0,64,80,2688,2784
2,0,57,80,2784,2880
2,0,60,80,2784,2880
2,0,64,80,2784,2880
2,0,57,80,2880,3072
2,0,60,80,2880,3072
2,0,64,80,2880,3072
1,0,72,80,2880,3072
2,0,57,80,3072,3168
2,0,61,80,3072,3168
2,0,64,80,3072,3168
1,0,81,80,3072,3168
2,0,57,80,3168,3264
2,0,61,80,3168,3264
2,0,64,80,3168,3264
1,0,82,80,3168,3264
2,0,57,80,3264,3456
2,0,62,80,3264,3456
2,0,65,80,3264,3456
1,0,81,80,3264,3360
1,0,77,80,3360,3456
2,0,57,80,3456,3552
2,0,59,80,3456,3552
2,0,62,80,3456,3552
1,0,73,80,3456,3552
2,0,57,80,3552,3648
2,0,59,80,3552,3648
2,0,62,80,3552,3648
1,0,74,80,3552,3648
2,0,57,80,3648,3840
2,0,60,80,3648,3840
2,0,64,80,3648,3840
1,0,77,80,3648,3744
1,0,76,80,3744,3840
2,0,57,80,3840,3936
2,0,61,80,3840,3936
2,0,64,80,3840,3936
1,0,81,80,3840,3936
2,0,57,80,3936,4032
2,0,61,80,3936,4032
2,0,64,80,3936,4032
1,0,82,80,3936,4032
2,0,57,80,4032,4224
2,0,62,80,4032,4224
2,0,65,80,4032,4224
1,0,81,80,4032,4128
1,0,77,80,4128,4224
2,0,57,80,4224,4320
2,0,59,80,4224,4320
2,0,62,80,4224,4320
1,0,73,80,4224,4320
2,0,57,80,4320,4416
2,0,59,80,4320,4416
2,0,62,80,4320,4416
1,0,74,80,4320,4416
2,0,57,80,4416,4608
2,0,60,80,4416,4608
2,0,64,80,4416,4608
1,0,77,80,4416,4512
1,0,76,80,4512,4608
2,0,57,80,4608,4704
2,0,60,80,4608,4704
2,0,64,80,4608,4704
1,0,81,80,4608,4704
2,0,57,80,4704,4800
2,0,60,80,4704,4800
2,0,64,80,4704,4800
1,0,76,80,4704,4800
2,0,56,80,4800,5184
1,0,76,80,4800,4896
1,0,74,80,4896,4992
