# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,666666
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,55,80,0,1536
2,0,59,80,0,1152
1,0,62,80,0,1536
1,0,67,80,0,1152
1,0,60,80,1152,1536
1,0,69,80,1152,1536
2,0,55,80,1536,2304
1,0,62,80,1536,2688
1,0,67,80,1536,2304
1,0,71,80,1536,1920
1,0,72,80,1920,2304
2,0,54,80,2304,3072
1,0,69,80,2304,3456
1,0,74,80,2304,3840
1,0,60,80,2688,3072
2,0,55,80,3072,4608
2,0,59,80,3072,4224
1,0,69,80,3456,3840
1,0,67,80,3840,4992
1,0,74,80,3840,4224
1,0,60,80,4224,4416
1,0,76,80,4224,4608
2,0,59,80,4416,4608
2,0,50,80,4608,5952
2,0,57,80,4608,6144
1,0,78,80,4608,4992
1,0,66,80,4992,5184
1,0,79,80,4992,5376
1,0,64,80,5184,5376
1,0,66,80,5376,6144
1,0,81,80,5376,5760
1,0,74,80,5760,6336
2,0,48,80,5952,6144
2,0,47,80,6144,6528
2,0,55,80,6144,7680
1,0,67,80,6144,6528
1,0,74,80,6336,6528
2,0,48,80,6528,6912
1,0,64,80,6528,6912
1,0,72,80,6528,7104
2,0,43,80,6912,7680
1,0,62,80,6912,7680
1,0,72,80,7104,7296
1,0,71,80,7296,7680
1,0,60,80,7680,8832
1,0,64,80,7680,8064
1,0,72,80,7680,8064
1,0,65,80,8064,8448
1,0,74,80,8064,8448
2,0,48,80,8448,9600
1,0,67,80,8448,9216
1,0,76,80,8448,8832
1,0,62,80,8832,9216
1,0,77,80,8832,9216
1,0,64,80,9216,9408
1,0,79,80,9216,9984
1,0,60,80,9408,9600
2,0,50,80,9600,9984
2,0,59,80,9600,9792
2,0,57,80,9792,9984
2,0,52,80,9984,10368
2,0,55,80,9984,10368
1,0,76,80,10176,10368
2,0,53,80,10368,10752
2,0,57,80,10368,10752
1,0,74,80,10368,10560
1,0,72,80,10560,10752
2,0,55,80,10752,12288
2,0,59,80,10752,11136
1,0,71,80,10752,11136
1,0,67,80,10944,11136
2,0,57,80,11136,11520
1,0,65,80,11136,11328
1,0,72,80,11136,11520
1,0,64,80,11328,11520
2,0,59,80,11520,11904
1,0,62,80,11520,11904
1,0,74,80,11520,12288
1,0,60,80,11904,12288
1,0,64,80,11904,12288
2,0,50,80,12288,12672
1,0,62,80,12288,13824
1,0,65,80,12288,13824
1,0,74,80,12480,12672
2,0,52,80,12672,13056
1,0,72,80,12672,12864
1,0,71,80,12864,13056
2,0,53,80,13056,13440
1,0,69,80,13056,13440
2,0,55,80,13440,13824
1,0,71,80,13440,13824
2,0,57,80,13824,14016
1,0,60,80,13824,15360
1,0,64,80,13824,14208
1,0,72,80,13824,14208
2,0,45,80,14016,14208
2,0,43,80,14208,14400
1,0,65,80,14208,14592
1,0,74,80,14208,14592
2,0,41,80,14400,14592
2,0,40,80,14592,14976
1,0,67,80,14592,15360
