# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,32,80,0,960
2,0,39,80,0,960
2,0,51,80,480,960
2,0,56,80,480,960
1,0,60,80,480,960
1,0,68,80,480,960
1,0,72,80,480,960
1,0,75,80,480,960
2,0,51,80,960,1440
2,0,55,80,960,1440
1,0,61,80,960,1440
1,0,70,80,960,1440
1,0,73,80,960,1440
1,0,77,80,960,1440
2,0,32,80,1440,2400
2,0,39,80,1440,2400
2,0,51,80,1920,2400
2,0,56,80,1920,2400
1,0,60,80,1920,2400
1,0,68,80,1920,2400
1,0,72,80,1920,2400
1,0,75,80,1920,2400
2,0,51,80,2400,2880
2,0,55,80,2400,2880
1,0,61,80,2400,2880
1,0,70,80,2400,2880
1,0,73,80,2400,2880
1,0,77,80,2400,2880
2,0,32,80,2880,3840
2,0,39,80,2880,3840
1,0,68,80,2880,3120
1,0,70,80,3120,3360
2,0,51,80,3360,3840
2,0,56,80,3360,3840
1,0,60,80,3360,3840
1,0,68,80,3360,3840
1,0,72,80,3360,3600
1,0,72,80,3360,3840
1,0,75,80,3360,3840
1,0,75,80,3600,3840
2,0,51,80,3840,4320
2,0,55,80,3840,4320
1,0,61,80,3840,4320
1,0,70,80,3840,4160
1,0,72,80,3840,4000
1,0,73,80,3840,4320
1,0,77,80,3840,4320
1,0,70,80,4000,4320
1,0,63,80,4160,4320
2,0,32,80,4320,5280
2,0,39,80,4320,5280
1,0,68,80,4320,4560
1,0,70,80,4560,4800
2,0,51,80,4800,5280
2,0,56,80,4800,5280
1,0,60,80,4800,5280
1,0,68,80,4800,5280
1,0,72,80,4800,5040
1,0,72,80,4800,5280
1,0,75,80,4800,5280
1,0,75,80,5040,5280
2,0,51,80,5280,5760
2,0,55,80,5280,5760
1,0,61,80,5280,5760
1,0,70,80,5280,5600
1,0,72,80,5280,5440
1,0,73,80,5280,5760
1,0,77,80,5280,5760
1,0,70,80,5440,5760
1,0,63,80,5600,5760
2,0,32,80,5760,6720
2,0,39,80,5760,6720
1,0,68,80,5760,6000
1,0,70,80,6000,6240
2,0,51,80,6240,6720
2,0,56,80,6240,6720
1,0,60,80,6240,6720
1,0,68,80,6240,6720
1,0,72,80,6240,6480
1,0,72,80,6240,6720
1,0,75,80,6240,6720
1,0,77,80,6480,6720
2,0,51,80,6720,7200
2,0,55,80,6720,7200
1,0,61,80,6720,7200
1,0,70,80,6720,7200
1,0,73,80,6720,7040
1,0,75,80,6720,6880
1,0,77,80,6720,7200
1,0,73,80,6880,7200
1,0,70,80,7040,7200
2,0,32,80,7200,8160
2,0,39,80,7200,8160
1,0,68,80,7200,7360
1,0,70,80,7360,7520
1,0,72,80,7520,7680
2,0,51,80,7680,8160
2,0,56,80,7680,8160
1,0,60,80,7680,8160
1,0,63,80,7680,8160
1,0,68,80,7680,8160
1,0,72,80,7680,8160
1,0,75,80,7680,8160
2,0,51,80,8160,8640
2,0,55,80,8160,8640
1,0,61,80,8160,8640
1,0,63,80,8160,8640
1,0,70,80,8160,8640
1,0,73,80,8160,8640
1,0,77,80,8160,8640
2,0,32,80,8640,9600
2,0,39,80,8640,9600
1,0,68,80,8640,8880
1,0,70,80,8880,9120
2,0,51,80,9120,9600
