# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,64,80,0,960
1,0,67,80,0,960
1,0,72,80,240,480
1,0,74,80,480,720
1,0,72,80,720,960
1,0,63,80,960,1920
1,0,66,80,960,1920
1,0,71,80,960,1680
1,0,71,80,960,1680
1,0,69,80,1680,1920
1,0,69,80,1680,1920
1,0,62,80,1920,2880
1,0,65,80,1920,2880
1,0,65,80,1920,2880
1,0,69,80,1920,2640
1,0,72,80,1920,2880
1,0,67,80,2640,2880
2,0,55,80,2880,3360
1,0,62,80,2880,3360
1,0,65,80,2880,3120
1,0,65,80,2880,3360
1,0,67,80,2880,3360
1,0,72,80,2880,3120
1,0,71,80,3120,3360
2,0,53,80,3360,3840
2,0,59,80,3360,3840
1,0,62,80,3360,3840
1,0,69,80,3360,3600
1,0,67,80,3600,3840
2,0,52,80,3840,4800
2,0,58,80,3840,4800
1,0,62,80,3840,4800
1,0,64,80,3840,4320
1,0,67,80,3840,4320
1,0,67,80,4080,4800
1,0,69,80,4320,4560
1,0,70,80,4560,4800
2,0,52,80,4800,5280
2,0,57,80,4800,5280
1,0,61,80,4800,5280
1,0,67,80,4800,5280
1,0,76,80,4800,5040
1,0,67,80,5040,5280
2,0,49,80,5280,5760
2,0,57,80,5280,5760
1,0,67,80,5280,5520
1,0,67,80,5280,5760
1,0,69,80,5280,5760
1,0,69,80,5520,5760
2,0,50,80,5760,7200
2,0,57,80,5760,7200
1,0,65,80,5760,7200
1,0,65,80,5760,7200
1,0,69,80,5760,6000
1,0,69,80,6000,6240
1,0,73,80,6240,6480
1,0,74,80,6480,6720
1,0,77,80,6720,6960
1,0,69,80,6960,7200
2,0,53,80,7200,7680
2,0,59,80,7200,7680
1,0,62,80,7200,7680
1,0,69,80,7200,7440
1,0,71,80,7440,7680
2,0,52,80,7680,8640
2,0,59,80,7680,8640
1,0,62,80,7680,8640
1,0,68,80,7680,8640
1,0,77,80,7920,8160
1,0,76,80,8160,8400
1,0,74,80,8400,8640
2,0,53,80,8640,9600
2,0,57,80,8640,9600
1,0,60,80,8640,9600
1,0,68,80,8640,8880
1,0,72,80,8640,9360
1,0,69,80,8880,9120
1,0,71,80,9120,9360
1,0,69,80,9360,9600
1,0,72,80,9360,9600
2,0,38,80,9600,9840
1,0,64,80,9600,10560
1,0,66,80,9600,10560
1,0,72,80,9600,10560
1,0,76,80,9600,10320
2,0,45,80,9840,10080
2,0,54,80,10080,11040
1,0,66,80,10320,10560
1,0,62,80,10560,11040
1,0,66,80,10560,11040
1,0,71,80,10560,11040
2,0,50,80,11040,11520
2,0,54,80,11040,11520
1,0,60,80,11040,11520
1,0,69,80,11040,11520
1,0,66,80,11280,11520
2,0,43,80,11520,13440
2,0,52,80,11520,12000
1,0,60,80,11520,12480
1,0,66,80,11520,11760
1,0,69,80,11520,12000
1,0,67,80,11760,12000
2,0,55,80,12000,12480
1,0,64,80,12000,12480
1,0,69,80,12000,12240
1,0,71,80,12240,12480
2,0,57,80,12480,12960
1,0,60,80,12480,13440
1,0,67,80,12480,12960
1,0,71,80,12480,12720
1,0,72,80,12720,12960
2,0,50,80,12960,13440
1,0,66,80,12960,13440
1,0,74,80,12960,13320
1,0,72,80,13320,13440
2,0,43,80,13440,13680
1,0,60,80,13440,13920
1,0,65,80,13440,13920
1,0,65,80,13440,14400
1,0,69,80,13440,13920
1,0,76,80,13440,14880
2,0,50,80,13680,13920
2,0,57,80,13920,14880
1,0,69,80,13920,14160
1,0,71,80,14160,14400
1,0,65,80,14400,14880
1,0,72,80,14400,14640
1,0,73,80,14640,14880
2,0,55,80,14880,15360
2,0,59,80,14880,15360
1,0,74,80,14880,15120
1,0,74,80,14880,15360
1,0,76,80,15120,15360
2,0,43,80,15360,15600
1,0,65,80,15360,16080
1,0,69,80,15360,16080
1,0,72,80,15360,16080
1,0,77,80,15360,16080
2,0,50,80,15600,15840
2,0,57,80,15840,16320
1,0,67,80,16080,16320
1,0,79,80,16080,16320
2,0,43,80,16320,16560
1,0,69,80,16320,16800
1,0,74,80,16320,16800
1,0,77,80,16320,16800
1,0,81,80,16320,16800
2,0,52,80,16560,16800
2,0,55,80,16800,17280
1,0,65,80,16800,17280
1,0,67,80,16800,17280
1,0,71,80,16800,17280
1,0,74,80,16800,17280
1,0,83,80,16800,17280
1,0,64,80,17280,18240
1,0,67,80,17280,18240
1,0,72,80,17280,17760
1,0,72,80,17280,18240
1,0,79,80,17280,18240
1,0,72,80,17520,18240
1,0,74,80,17760,18000
1,0,72,80,18000,18240
1,0,63,80,18240,19200
1,0,66,80,18240,19200
1,0,71,80,18240,18960
1,0,83,80,18240,18960
1,0,69,80,18960,19200
1,0,81,80,18960,19200
1,0,62,80,19200,20160
1,0,67,80,19200,20160
1,0,69,80,19200,19920
1,0,72,80,19200,20160
1,0,77,80,19200,20160
1,0,84,80,19200,20160
1,0,67,80,19920,20160
2,0,55,80,20160,20640
1,0,62,80,20160,20640
1,0,67,80,20160,20640
1,0,67,80,20160,20640
1,0,72,80,20160,20400
1,0,77,80,20160,20400
1,0,84,80,20160,20400
1,0,71,80,20400,20640
1,0,83,80,20400,20640
2,0,53,80,20640,21120
2,0,59,80,20640,21120
1,0,62,80,20640,21120
1,0,69,80,20640,20880
1,0,81,80,20640,20880
1,0,67,80,20880,21120
1,0,67,80,20880,21120
1,0,79,80,20880,21120
2,0,52,80,21120,21360
2,0,58,80,21120,21360
1,0,69,80,21120,21360
1,0,74,80,21120,21600
1,0,79,80,21120,21600
1,0,86,80,21120,21600
1,0,67,80,21360,21600
1,0,67,80,21360,21600
1,0,70,80,21600,22080
1,0,74,80,21600,21840
1,0,79,80,21840,22080
2,0,52,80,22080,22320
1,0,67,80,22080,22560
1,0,70,80,22080,22320
1,0,73,80,22080,22560
1,0,79,80,22080,22560
2,0,57,80,22320,22560
1,0,69,80,22320,22560
2,0,57,80,22560,23040
1,0,64,80,22560,23040
1,0,67,80,22560,22800
1,0,70,80,22560,22800
1,0,73,80,22560,22800
1,0,73,80,22560,22920
1,0,79,80,22800,23040
1,0,76,80,22920,23040
2,0,50,80,23040,23280
1,0,65,80,23040,23280
1,0,69,80,23040,23280
1,0,74,80,23040,23280
1,0,77,80,23040,23280
1,0,77,80,23040,24000
2,0,57,80,23280,23520
1,0,71,80,23280,23520
1,0,77,80,23280,24240
1,0,81,80,23280,24000
2,0,57,80,23520,24480
1,0,65,80,23520,24480
1,0,73,80,23520,23760
1,0,74,80,23760,24000
1,0,77,80,24000,24480
1,0,69,80,24240,24480
2,0,59,80,24480,24960
1,0,62,80,24480,24960
1,0,65,80,24480,24960
1,0,71,80,24480,24720
2,0,52,80,24960,25200
2,0,52,80,24960,25920
1,0,64,80,24960,25440
1,0,65,80,24960,25440
1,0,68,80,24960,25440
1,0,62,80,25200,25440
1,0,77,80,25200,25440
1,0,60,80,25440,25680
1,0,64,80,25440,25680
1,0,76,80,25440,25680
1,0,76,80,25440,25680
2,0,59,80,25680,25920
1,0,66,80,25680,25920
1,0,74,80,25680,25920
1,0,74,80,25680,25920
2,0,57,80,25920,26880
1,0,60,80,25920,26880
1,0,68,80,25920,26160
1,0,72,80,25920,26640
1,0,72,80,25920,26880
1,0,69,80,26160,26400
1,0,72,80,26640,26880
2,0,38,80,26880,27120
1,0,64,80,26880,27840
1,0,66,80,26880,27840
1,0,72,80,26880,27840
1,0,76,80,26880,27600
2,0,45,80,27120,27360
2,0,54,80,27360,28320
1,0,66,80,27600,27840
1,0,62,80,27840,28320
1,0,66,80,27840,28320
1,0,71,80,27840,28320
2,0,50,80,28320,28800
2,0,54,80,28320,28800
1,0,60,80,28320,28800
1,0,69,80,28320,28800
1,0,66,80,28560,28800
2,0,43,80,28800,30720
2,0,52,80,28800,29280
1,0,60,80,28800,29760
1,0,66,80,28800,29040
1,0,69,80,28800,29280
1,0,71,80,28800,29040
1,0,67,80,29040,29280
1,0,72,80,29040,29280
2,0,55,80,29280,29760
1,0,64,80,29280,29760
1,0,69,80,29280,29520
1,0,74,80,29280,29520
1,0,71,80,29520,29760
1,0,72,80,29520,29760
2,0,57,80,29760,30240
1,0,60,80,29760,30720
1,0,67,80,29760,30240
1,0,71,80,29760,30000
1,0,72,80,30000,30240
2,0,50,80,30240,30720
1,0,66,80,30240,30720
1,0,74,80,30240,30480
1,0,72,80,30480,30720
2,0,43,80,30720,30960
1,0,60,80,30720,31200
1,0,65,80,30720,31200
1,0,65,80,30720,31680
1,0,69,80,30720,31200
1,0,77,80,30720,31680
2,0,50,80,30960,31200
2,0,57,80,31200,32160
1,0,69,80,31200,31440
1,0,71,80,31440,31680
1,0,65,80,31680,32160
1,0,72,80,31680,31920
1,0,76,80,31680,32400
1,0,73,80,31920,32160
2,0,55,80,32160,32640
2,0,59,80,32160,32640
1,0,76,80,32160,32400
1,0,74,80,32400,32640
1,0,74,80,32400,32640
2,0,44,80,32640,32880
1,0,72,80,32640,33600
1,0,76,80,32640,33600
1,0,84,80,32640,33600
1,0,88,80,32640,33600
2,0,52,80,32880,33120
1,0,60,80,33120,33360
1,0,64,80,33360,33600
2,0,45,80,33600,33840
1,0,74,80,33600,34320
1,0,83,80,33600,34320
1,0,86,80,33600,34320
2,0,52,80,33840,34080
1,0,64,80,34080,34560
1,0,72,80,34320,34560
1,0,81,80,34320,34560
1,0,84,80,34320,34560
2,0,46,80,34560,34800
1,0,67,80,34560,35520
1,0,72,80,34560,35520
1,0,76,80,34560,35520
1,0,79,80,34560,35520
2,0,55,80,34800,35040
1,0,60,80,35040,35280
1,0,64,80,35280,35520
2,0,47,80,35520,35760
1,0,67,80,35520,35760
1,0,71,80,35520,35760
1,0,76,80,35520,35760
1,0,79,80,35520,35760
2,0,55,80,35760,36000
1,0,69,80,35760,36000
1,0,81,80,35760,36000
1,0,64,80,36000,36480
1,0,70,80,36000,36240
1,0,82,80,36000,36240
1,0,71,80,36240,36480
1,0,83,80,36240,36480
2,0,48,80,36480,36720
1,0,64,80,36480,37200
1,0,71,80,36480,37200
1,0,76,80,36480,37200
2,0,52,80,36720,36960
2,0,59,80,36960,37200
2,0,57,80,37200,37440
1,0,64,80,37200,37440
1,0,69,80,37200,37440
1,0,76,80,37200,37440
2,0,42,80,37440,37680
1,0,64,80,37440,37680
1,0,72,80,37440,37680
1,0,76,80,37440,37680
2,0,52,80,37680,37920
1,0,69,80,37680,37920
1,0,81,80,37680,37920
1,0,60,80,37920,38400
1,0,64,80,37920,38400
1,0,71,80,37920,38160
1,0,83,80,37920,38160
1,0,72,80,38160,38400
1,0,84,80,38160,38400
2,0,47,80,38400,38640
1,0,63,80,38400,39840
1,0,75,80,38400,39840
2,0,54,80,38640,38880
2,0,59,80,38880,39120
1,0,71,80,38880,39360
2,0,57,80,39120,39360
1,0,66,80,39360,39600
1,0,71,80,39360,40080
2,0,59,80,39600,39840
2,0,58,80,39840,40080
1,0,63,80,39840,40320
1,0,71,80,39840,40320
2,0,57,80,40080,40320
1,0,71,80,40080,40320
2,0,56,80,40320,41280
2,0,59,80,40320,41280
1,0,71,80,40320,41280
1,0,71,80,40320,41280
1,0,64,80,40560,40800
1,0,66,80,40800,41040
1,0,64,80,41040,41280
2,0,55,80,41280,42240
2,0,58,80,41280,42240
1,0,64,80,41280,42240
1,0,75,80,41280,41760
1,0,73,80,41760,42240
1,0,73,80,41760,42240
2,0,54,80,42240,43200
2,0,57,80,42240,43200
1,0,63,80,42240,43200
1,0,73,80,42240,42960
1,0,73,80,42240,42960
1,0,71,80,42960,43200
1,0,71,80,42960,43200
2,0,47,80,43200,44160
2,0,57,80,43200,44160
1,0,63,80,43200,44160
1,0,68,80,43200,43680
1,0,71,80,43200,43920
1,0,66,80,43680,44160
2,0,47,80,44160,45120
2,0,56,80,44160,45120
1,0,64,80,44160,45120
1,0,71,80,44160,44640
1,0,71,80,44400,44640
1,0,73,80,44640,44880
1,0,73,80,44640,44880
1,0,74,80,44880,45120
1,0,74,80,44880,45120
2,0,46,80,45120,45360
2,0,55,80,45120,45360
1,0,63,80,45120,45600
1,0,75,80,45120,45600
1,0,75,80,45120,45600
2,0,58,80,45360,45600
1,0,63,80,45600,45840
1,0,70,80,45600,45840
1,0,70,80,45600,46080
1,0,75,80,45840,46080
2,0,45,80,46080,46320
1,0,63,80,46080,46560
1,0,72,80,46080,46560
1,0,75,80,46080,46560
1,0,75,80,46080,46800
2,0,54,80,46320,46560
2,0,44,80,46560,46800
1,0,63,80,46560,47040
1,0,72,80,46560,47040
2,0,54,80,46800,47040
1,0,72,80,46800,47040
2,0,43,80,47040,47280
1,0,67,80,47040,47520
1,0,75,80,47040,47520
1,0,79,80,47040,47520
1,0,79,80,47040,48000
2,0,55,80,47280,47520
1,0,63,80,47280,47520
1,0,62,80,47520,47760
1,0,65,80,47520,47760
1,0,67,80,47520,47760
1,0,74,80,47520,47760
1,0,77,80,47520,47760
1,0,60,80,47760,48000
1,0,63,80,47760,48000
1,0,72,80,47760,48000
1,0,75,80,47760,48000
2,0,43,80,48000,48240
2,0,50,80,48000,48240
2,0,59,80,48000,48240
1,0,67,80,48000,48240
1,0,68,80,48000,48480
1,0,77,80,48000,48480
1,0,80,80,48000,48480
2,0,55,80,48240,48480
1,0,65,80,48240,48480
1,0,66,80,48240,48480
1,0,80,80,48240,48480
2,0,55,80,48480,48720
1,0,63,80,48480,48720
1,0,67,80,48480,48720
1,0,75,80,48480,48720
1,0,79,80,48480,48720
1,0,79,80,48480,48720
2,0,55,80,48720,48960
1,0,62,80,48720,48960
1,0,65,80,48720,48960
1,0,74,80,48720,48960
1,0,77,80,48720,48960
1,0,77,80,48720,48960
2,0,56,80,48960,49200
1,0,60,80,48960,49200
1,0,63,80,48960,49440
1,0,72,80,48960,49440
1,0,75,80,48960,49440
1,0,75,80,48960,49680
2,0,44,80,49200,49440
2,0,44,80,49440,49920
2,0,51,80,49440,49920
1,0,60,80,49440,49920
1,0,72,80,49440,49920
1,0,75,80,49680,49920
2,0,38,80,49920,50160
1,0,60,80,49920,50400
1,0,66,80,49920,50400
1,0,72,80,49920,50400
1,0,76,80,49920,50640
2,0,45,80,50160,50400
2,0,54,80,50400,51360
1,0,64,80,50400,50880
1,0,72,80,50400,50880
1,0,66,80,50640,50880
1,0,62,80,50880,51360
1,0,66,80,50880,51840
1,0,71,80,50880,51360
2,0,50,80,51360,51840
2,0,54,80,51360,51840
1,0,60,80,51360,51840
1,0,69,80,51360,51840
2,0,43,80,51840,53760
2,0,52,80,51840,53760
1,0,60,80,51840,53760
1,0,66,80,51840,52800
1,0,66,80,52320,52800
1,0,67,80,52800,53520
1,0,67,80,52800,53520
1,0,68,80,53520,53760
1,0,68,80,53520,53760
2,0,43,80,53760,55680
2,0,51,80,53760,55680
1,0,60,80,53760,55680
1,0,66,80,53760,55680
1,0,69,80,53760,54720
1,0,69,80,53760,54720
1,0,71,80,54720,55200
1,0,71,80,54720,55200
1,0,72,80,55200,55680
1,0,72,80,55200,55680
2,0,43,80,55680,57600
2,0,50,80,55680,57600
2,0,59,80,55680,57600
1,0,65,80,55680,57600
1,0,68,80,55680,57600
1,0,73,80,55680,56640
1,0,73,80,55680,56640
1,0,74,80,56640,57120
1,0,74,80,56640,57600
1,0,76,80,57120,57600
2,0,43,80,57600,58080
2,0,50,80,57600,58080
2,0,59,80,57600,58080
1,0,65,80,57600,58080
1,0,68,80,57600,58080
1,0,74,80,57600,58560
1,0,77,80,57600,58080
1,0,67,80,58080,58560
1,0,79,80,58080,58560
2,0,55,80,58560,59520
2,0,59,80,58560,59520
1,0,64,80,58560,59520
1,0,67,80,58560,59520
1,0,69,80,58560,59040
1,0,76,80,58560,59520
1,0,81,80,58560,59040
1,0,71,80,59040,59520
1,0,83,80,59040,59520
2,0,36,80,59520,59760
2,0,43,80,59520,59760
1,0,76,80,59520,60480
1,0,76,80,59520,61440
1,0,79,80,59520,60480
1,0,84,80,59520,60480
1,0,88,80,59520,60480
