# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,240
# meta,0,0,tempo,750000
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,41,80,0,110
1,0,60,80,0,230
2,0,53,80,120,350
2,0,57,80,120,350
1,0,60,80,120,350
2,0,59,80,240,350
2,0,53,80,360,470
2,0,57,80,360,470
1,0,60,80,360,470
1,0,60,80,360,470
2,0,43,80,480,590
1,0,60,80,480,710
2,0,52,80,600,830
2,0,58,80,600,830
1,0,60,80,600,830
2,0,59,80,720,830
2,0,52,80,840,950
2,0,58,80,840,950
1,0,60,80,840,950
1,0,60,80,840,950
2,0,45,80,960,1070
1,0,65,80,960,1190
2,0,53,80,1080,1310
2,0,57,80,1080,1310
1,0,60,80,1080,1310
1,0,64,80,1200,1310
2,0,53,80,1320,1430
2,0,57,80,1320,1430
1,0,60,80,1320,1430
1,0,65,80,1320,1430
2,0,42,80,1440,1550
1,0,72,80,1440,1910
2,0,51,80,1560,1790
2,0,57,80,1560,1790
1,0,60,80,1560,1790
2,0,51,80,1800,1910
2,0,57,80,1800,1910
1,0,60,80,1800,1910
2,0,43,80,1920,2030
1,0,70,80,1920,2150
2,0,55,80,2040,2270
2,0,58,80,2040,2270
1,0,62,80,2040,2270
1,0,69,80,2160,2270
2,0,55,80,2280,2390
2,0,58,80,2280,2390
1,0,62,80,2280,2390
1,0,70,80,2280,2390
2,0,48,80,2400,2510
1,0,69,80,2400,2630
2,0,52,80,2520,2750
2,0,58,80,2520,2750
1,0,60,80,2520,2750
1,0,67,80,2640,2870
2,0,52,80,2760,2870
2,0,58,80,2760,2870
1,0,60,80,2760,2870
2,0,41,80,2880,2990
1,0,65,80,2880,3110
2,0,53,80,3000,3110
2,0,57,80,3000,3110
1,0,60,80,3000,3110
2,0,47,80,3120,3350
1,0,64,80,3120,3230
1,0,62,80,3240,3350
2,0,48,80,3360,3470
1,0,64,80,3360,3590
2,0,52,80,3480,3710
2,0,58,80,3480,3710
1,0,60,80,3480,3710
1,0,62,80,3600,3830
2,0,52,80,3720,3830
2,0,58,80,3720,3830
1,0,60,80,3720,3830
2,0,41,80,3840,3950
1,0,60,80,3840,4070
2,0,53,80,3960,4190
2,0,57,80,3960,4190
1,0,60,80,3960,4190
2,0,59,80,4080,4190
2,0,53,80,4200,4310
2,0,57,80,4200,4310
1,0,60,80,4200,4310
1,0,60,80,4200,4310
2,0,43,80,4320,4430
1,0,60,80,4320,4550
2,0,52,80,4440,4670
2,0,58,80,4440,4670
1,0,60,80,4440,4670
2,0,59,80,4560,4670
2,0,52,80,4680,4790
2,0,58,80,4680,4790
1,0,60,80,4680,4790
1,0,60,80,4680,4790
2,0,45,80,4800,4910
1,0,65,80,4800,5030
2,0,53,80,4920,5150
2,0,57,80,4920,5150
1,0,60,80,4920,5150
1,0,64,80,5040,5150
2,0,53,80,5160,5270
2,0,57,80,5160,5270
1,0,60,80,5160,5270
1,0,65,80,5160,5270
2,0,50,80,5280,5390
1,0,74,80,5280,5510
2,0,54,80,5400,5630
1,0,60,80,5400,5630
1,0,62,80,5400,5630
1,0,72,80,5520,5750
2,0,54,80,5640,5750
1,0,60,80,5640,5750
1,0,62,80,5640,5750
2,0,43,80,5760,5870
1,0,70,80,5760,5990
2,0,55,80,5880,6110
2,0,58,80,5880,6110
1,0,62,80,5880,6110
1,0,66,80,6000,6110
2,0,55,80,6120,6230
2,0,58,80,6120,6230
1,0,62,80,6120,6230
1,0,67,80,6120,6230
2,0,48,80,6240,6350
1,0,69,80,6240,6470
2,0,52,80,6360,6590
2,0,58,80,6360,6590
1,0,60,80,6360,6590
1,0,67,80,6480,6710
2,0,52,80,6600,6710
2,0,58,80,6600,6710
1,0,60,80,6600,6710
2,0,41,80,6720,6950
1,0,65,80,6720,7430
2,0,48,80,6960,7190
2,0,41,80,7200,7430
2,0,53,80,7200,7430
2,0,57,80,7200,7430
1,0,60,80,7200,7430
2,0,48,80,7680,7790
1,0,64,80,7680,7910
2,0,52,80,7800,8030
2,0,55,80,7800,8030
1,0,60,80,7800,8030
1,0,71,80,7920,8030
2,0,52,80,8040,8150
2,0,55,80,8040,8150
1,0,60,80,8040,8150
1,0,69,80,8040,8150
2,0,47,80,8160,8270
1,0,67,80,8160,8390
2,0,53,80,8280,8510
2,0,53,80,8280,8510
2,0,59,80,8280,8510
1,0,62,80,8400,8510
2,0,53,80,8520,8630
2,0,53,80,8520,8630
2,0,59,80,8520,8630
1,0,64,80,8520,8630
2,0,43,80,8640,8750
1,0,65,80,8640,8750
2,0,53,80,8760,8990
2,0,53,80,8760,8990
2,0,59,80,8760,8990
1,0,67,80,8760,8870
1,0,69,80,8880,8990
2,0,53,80,9000,9110
2,0,53,80,9000,9110
2,0,59,80,9000,9110
1,0,71,80,9000,9110
2,0,48,80,9120,9230
1,0,72,80,9120,9350
2,0,52,80,9240,9470
2,0,55,80,9240,9470
1,0,60,80,9240,9470
1,0,60,80,9360,9590
2,0,52,80,9480,9590
2,0,55,80,9480,9590
1,0,60,80,9480,9590
2,0,48,80,9600,9710
1,0,63,80,9600,9710
2,0,52,80,9720,9950
2,0,55,80,9720,9950
1,0,60,80,9720,9950
1,0,64,80,9720,9830
1,0,71,80,9840,9950
2,0,52,80,9960,10070
2,0,55,80,9960,10070
1,0,60,80,9960,10070
1,0,69,80,9960,10070
2,0,47,80,10080,10190
1,0,67,80,10080,10310
2,0,53,80,10200,10430
2,0,53,80,10200,10430
2,0,59,80,10200,10430
1,0,62,80,10320,10430
2,0,53,80,10440,10550
2,0,53,80,10440,10550
2,0,59,80,10440,10550
1,0,64,80,10440,10550
2,0,43,80,10560,10670
1,0,65,80,10560,10670
2,0,53,80,10680,10910
2,0,53,80,10680,10910
2,0,59,80,10680,10910
1,0,67,80,10680,10790
1,0,69,80,10800,10910
2,0,53,80,10920,11030
2,0,53,80,10920,11030
2,0,59,80,10920,11030
1,0,71,80,10920,11030
2,0,48,80,11040,11150
1,0,72,80,11040,11510
2,0,52,80,11160,11390
2,0,55,80,11160,11390
1,0,60,80,11160,11390
2,0,52,80,11400,11510
2,0,55,80,11400,11510
1,0,60,80,11400,11510
2,0,41,80,11520,11630
1,0,72,80,11520,11750
2,0,53,80,11640,11870
2,0,56,80,11640,11870
1,0,60,80,11640,11870
1,0,75,80,11760,11870
2,0,53,80,11880,11990
2,0,56,80,11880,11990
1,0,60,80,11880,11990
1,0,73,80,11880,11990
2,0,48,80,12000,12110
1,0,72,80,12000,12230
2,0,52,80,12120,12350
2,0,55,80,12120,12350
1,0,60,80,12120,12350
1,0,60,80,12240,12470
2,0,52,80,12360,12470
2,0,55,80,12360,12470
1,0,60,80,12360,12470
2,0,41,80,12480,12590
1,0,72,80,12480,12710
2,0,53,80,12600,12830
2,0,56,80,12600,12830
1,0,60,80,12600,12830
1,0,75,80,12720,12830
2,0,53,80,12840,12950
2,0,56,80,12840,12950
1,0,60,80,12840,12950
1,0,73,80,12840,12950
2,0,48,80,12960,13070
1,0,72,80,12960,13190
2,0,52,80,13080,13310
2,0,55,80,13080,13310
1,0,60,80,13080,13310
1,0,60,80,13200,13310
2,0,52,80,13320,13430
2,0,55,80,13320,13430
1,0,60,80,13320,13430
1,0,60,80,13320,13430
2,0,41,80,13440,13550
1,0,60,80,13440,13670
2,0,53,80,13560,13670
2,0,56,80,13560,13670
1,0,60,80,13560,13670
2,0,41,80,13680,13910
1,0,63,80,13680,13790
1,0,61,80,13800,13910
2,0,48,80,13920,14030
1,0,60,80,13920,14150
2,0,52,80,14040,14150
2,0,55,80,14040,14150
1,0,60,80,14040,14150
2,0,41,80,14160,14390
1,0,63,80,14160,14270
1,0,61,80,14280,14390
2,0,48,80,14400,14510
1,0,60,80,14400,14630
2,0,52,80,14520,14630
2,0,55,80,14520,14630
1,0,60,80,14520,14630
2,0,41,80,14640,14870
1,0,63,80,14640,14750
1,0,61,80,14760,14870
2,0,48,80,14880,15350
1,0,60,80,14880,15350
2,0,41,80,15360,15470
1,0,60,80,15360,15590
2,0,53,80,15480,15710
2,0,57,80,15480,15710
1,0,60,80,15480,15710
2,0,59,80,15600,15710
2,0,53,80,15720,15830
2,0,57,80,15720,15830
1,0,60,80,15720,15830
1,0,60,80,15720,15830
2,0,43,80,15840,15950
1,0,60,80,15840,16070
2,0,52,80,15960,16190
2,0,58,80,15960,16190
1,0,60,80,15960,16190
2,0,59,80,16080,16190
2,0,52,80,16200,16310
2,0,58,80,16200,16310
1,0,60,80,16200,16310
1,0,60,80,16200,16310
2,0,45,80,16320,16430
1,0,65,80,16320,16550
2,0,53,80,16440,16670
2,0,57,80,16440,16670
1,0,60,80,16440,16670
1,0,64,80,16560,16670
2,0,53,80,16680,16790
2,0,57,80,16680,16790
1,0,60,80,16680,16790
1,0,65,80,16680,16790
2,0,42,80,16800,16910
1,0,72,80,16800,17270
2,0,51,80,16920,17150
2,0,57,80,16920,17150
1,0,60,80,16920,17150
2,0,51,80,17160,17270
2,0,57,80,17160,17270
1,0,60,80,17160,17270
2,0,43,80,17280,17390
1,0,70,80,17280,17510
2,0,55,80,17400,17630
2,0,58,80,17400,17630
1,0,62,80,17400,17630
1,0,69,80,17520,17630
2,0,55,80,17640,17750
2,0,58,80,17640,17750
1,0,62,80,17640,17750
1,0,70,80,17640,17750
2,0,48,80,17760,17870
1,0,69,80,17760,17990
2,0,52,80,17880,18110
2,0,58,80,17880,18110
1,0,60,80,17880,18110
1,0,67,80,18000,18230
2,0,52,80,18120,18230
2,0,58,80,18120,18230
1,0,60,80,18120,18230
2,0,41,80,18240,18350
1,0,65,80,18240,18470
2,0,53,80,18360,18470
2,0,57,80,18360,18470
1,0,60,80,18360,18470
2,0,47,80,18480,18710
1,0,64,80,18480,18590
1,0,62,80,18600,18710
2,0,48,80,18720,18830
1,0,64,80,18720,18950
2,0,52,80,18840,19070
2,0,58,80,18840,19070
1,0,60,80,18840,19070
1,0,62,80,18960,19190
2,0,52,80,19080,19190
2,0,58,80,19080,19190
