# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,32,80,0,480
2,0,51,80,300,360
2,0,56,80,360,420
1,0,72,80,360,420
1,0,75,80,360,420
1,0,60,80,420,480
1,0,77,80,420,480
2,0,51,80,480,960
2,0,56,80,480,960
1,0,60,80,480,960
1,0,72,80,480,720
1,0,75,80,480,720
1,0,72,80,720,960
1,0,75,80,720,960
1,0,84,80,720,960
2,0,51,80,960,1440
2,0,56,80,960,1200
1,0,60,80,960,1200
1,0,72,80,960,1200
1,0,75,80,960,1200
1,0,72,80,1200,1440
1,0,76,80,1200,1440
2,0,39,80,1440,1920
2,0,51,80,1740,1800
2,0,55,80,1800,1860
1,0,73,80,1800,1860
1,0,77,80,1800,1860
1,0,61,80,1860,1920
1,0,79,80,1860,1920
2,0,51,80,1920,2400
2,0,55,80,1920,2400
1,0,61,80,1920,2400
1,0,73,80,1920,2160
1,0,77,80,1920,2160
1,0,73,80,2160,2400
1,0,77,80,2160,2400
1,0,85,80,2160,2400
2,0,51,80,2400,2880
2,0,55,80,2400,2640
1,0,61,80,2400,2640
1,0,73,80,2400,2640
1,0,77,80,2400,2640
1,0,73,80,2640,2880
1,0,76,80,2640,2880
2,0,32,80,2880,3360
2,0,51,80,3180,3240
2,0,56,80,3240,3300
1,0,72,80,3240,3300
1,0,75,80,3240,3300
1,0,60,80,3300,3360
1,0,77,80,3300,3360
2,0,51,80,3360,3840
2,0,56,80,3360,3840
1,0,60,80,3360,3840
1,0,72,80,3360,3600
1,0,75,80,3360,3600
1,0,72,80,3600,3840
1,0,75,80,3600,3840
1,0,84,80,3600,3840
2,0,51,80,3840,4320
2,0,56,80,3840,4080
1,0,60,80,3840,4080
1,0,72,80,3840,4080
1,0,75,80,3840,4080
1,0,72,80,4080,4320
1,0,76,80,4080,4320
2,0,39,80,4320,4800
2,0,51,80,4620,4680
2,0,55,80,4680,4740
1,0,73,80,4680,4740
1,0,77,80,4680,4740
1,0,61,80,4740,4800
1,0,79,80,4740,4800
2,0,51,80,4800,5280
2,0,55,80,4800,5280
1,0,61,80,4800,5280
1,0,73,80,4800,5040
1,0,77,80,4800,5040
1,0,73,80,5040,5280
1,0,77,80,5040,5280
1,0,85,80,5040,5280
2,0,51,80,5280,5760
2,0,55,80,5280,5520
1,0,61,80,5280,5520
1,0,73,80,5280,5520
1,0,77,80,5280,5520
1,0,73,80,5520,5760
1,0,76,80,5520,5760
2,0,32,80,5760,6240
1,0,68,80,5760,6240
2,0,51,80,6060,6120
2,0,56,80,6120,6180
1,0,72,80,6120,6180
1,0,75,80,6120,6180
1,0,60,80,6180,6240
1,0,77,80,6180,6240
2,0,51,80,6240,6720
2,0,56,80,6240,6720
1,0,60,80,6240,6720
1,0,68,80,6240,6720
1,0,72,80,6240,6480
1,0,75,80,6240,6480
1,0,72,80,6480,6720
1,0,75,80,6480,6720
1,0,84,80,6480,6720
2,0,51,80,6720,7200
2,0,56,80,6720,6960
1,0,60,80,6720,6960
1,0,72,80,6720,7200
1,0,75,80,6720,7200
1,0,70,80,6960,7200
2,0,32,80,7200,7680
1,0,72,80,7200,7620
2,0,51,80,7500,7560
2,0,56,80,7560,7620
1,0,72,80,7560,7920
1,0,75,80,7560,7620
1,0,60,80,7620,7680
1,0,77,80,7620,7680
2,0,51,80,7680,8160
2,0,56,80,7680,8160
1,0,60,80,7680,8160
1,0,72,80,7680,8160
1,0,75,80,7680,7920
1,0,72,80,7920,8160
1,0,75,80,7920,8160
1,0,84,80,7920,8160
2,0,51,80,8160,8640
2,0,56,80,8160,8400
1,0,60,80,8160,8400
1,0,68,80,8160,8520
1,0,72,80,8160,8640
1,0,75,80,8160,8640
1,0,63,80,8520,8640
2,0,39,80,8640,9120
1,0,65,80,8640,9120
