# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,61,80,0,240
2,0,59,80,1440,2160
1,0,61,80,1440,1680
1,0,61,80,1440,2880
1,0,65,80,1440,2160
1,0,68,80,1440,2160
1,0,73,80,1440,2880
1,0,63,80,1680,1920
1,0,65,80,1920,2160
2,0,58,80,2160,2880
1,0,66,80,2160,2400
1,0,66,80,2160,2880
1,0,68,80,2400,2640
1,0,70,80,2640,2880
2,0,56,80,2880,4320
1,0,63,80,2880,4320
1,0,66,80,2880,4080
1,0,71,80,2880,3120
1,0,71,80,2880,3600
1,0,70,80,3120,3360
1,0,71,80,3360,4320
1,0,68,80,3600,3840
1,0,66,80,3840,4320
1,0,68,80,4080,4320
1,0,61,80,4320,4800
1,0,65,80,4320,4800
1,0,65,80,4320,4800
1,0,68,80,4320,4800
1,0,63,80,4800,5040
2,0,59,80,5040,5760
1,0,61,80,5040,5280
1,0,61,80,5040,6480
1,0,65,80,5040,5760
1,0,68,80,5040,5760
1,0,73,80,5040,6480
1,0,63,80,5280,5520
1,0,65,80,5520,5760
2,0,58,80,5760,6480
1,0,66,80,5760,6000
1,0,66,80,5760,6480
1,0,68,80,6000,6240
1,0,70,80,6240,6480
2,0,56,80,6480,7200
2,0,59,80,6480,7200
1,0,66,80,6480,7200
1,0,71,80,6480,6720
1,0,75,80,6480,7200
1,0,70,80,6720,6960
1,0,71,80,6960,7200
1,0,63,80,7200,7920
1,0,66,80,7200,7920
1,0,68,80,7200,7440
1,0,68,80,7200,7920
1,0,71,80,7200,7920
1,0,70,80,7440,7680
1,0,71,80,7680,7920
1,0,61,80,7920,9360
1,0,66,80,7920,8640
1,0,68,80,7920,9360
1,0,73,80,7920,8640
1,0,73,80,7920,8880
1,0,65,80,8640,9360
1,0,73,80,8640,9360
1,0,73,80,9120,9360
2,0,59,80,9360,10080
1,0,66,80,9360,10080
1,0,75,80,9360,9600
1,0,75,80,9360,10080
1,0,73,80,9600,9840
1,0,75,80,9840,10800
1,0,65,80,10080,10800
1,0,68,80,10080,10800
1,0,71,80,10080,10320
1,0,70,80,10320,10560
1,0,68,80,10560,10800
2,0,58,80,10800,12240
1,0,65,80,10800,11520
1,0,73,80,10800,11040
1,0,73,80,10800,11520
1,0,71,80,11040,11280
1,0,73,80,11280,12240
1,0,66,80,11520,12240
1,0,70,80,11520,11760
1,0,68,80,11760,12000
1,0,66,80,12000,12960
1,0,63,80,12240,12960
1,0,68,80,12240,12480
1,0,71,80,12240,12960
1,0,70,80,12480,12720
1,0,71,80,12720,12960
2,0,56,80,12960,14400
1,0,61,80,12960,13680
1,0,64,80,12960,13680
1,0,68,80,12960,13680
1,0,70,80,12960,13680
1,0,73,80,12960,13200
1,0,75,80,13200,13440
1,0,76,80,13440,13680
1,0,63,80,13680,14400
