# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,750000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,55,80,0,768
1,0,71,80,0,576
1,0,72,80,576,672
1,0,74,80,672,768
2,0,48,80,768,1152
1,0,74,80,768,960
1,0,72,80,960,1056
1,0,71,80,1056,1104
1,0,71,80,1104,1152
2,0,50,80,1152,1920
1,0,69,80,1152,1728
1,0,71,80,1728,1872
1,0,69,80,1872,1920
2,0,52,80,1920,2304
1,0,67,80,1920,2304
2,0,54,80,2304,2688
1,0,69,80,2304,2592
1,0,71,80,2592,2640
1,0,72,80,2640,2688
2,0,55,80,2688,3456
1,0,74,80,2688,3072
1,0,71,80,3072,3360
1,0,72,80,3360,3456
2,0,50,80,3456,4224
1,0,69,80,3456,3840
1,0,74,80,3840,4608
2,0,48,80,4224,4608
2,0,47,80,4608,5760
1,0,79,80,4608,6144
2,0,52,80,5760,6720
1,0,71,80,6144,6336
1,0,71,80,6336,6528
1,0,72,80,6528,6720
2,0,50,80,6720,6912
1,0,74,80,6720,6864
1,0,74,80,6864,6912
2,0,48,80,6912,8064
1,0,76,80,6912,7680
1,0,72,80,7872,8016
1,0,71,80,8016,8064
2,0,50,80,8064,8832
1,0,69,80,8064,8832
2,0,38,80,8832,9216
1,0,69,80,8832,9024
1,0,69,80,9024,9120
1,0,71,80,9120,9168
1,0,69,80,9168,9216
2,0,43,80,9216,9984
1,0,67,80,9216,9984
1,0,71,80,10176,10368
1,0,71,80,10368,10944
1,0,71,80,10944,11136
2,0,43,80,11136,11520
1,0,71,80,11136,11328
1,0,71,80,11328,11520
2,0,48,80,11520,12288
1,0,64,80,11520,11904
1,0,72,80,11904,12096
1,0,72,80,12096,12192
1,0,72,80,12192,12288
2,0,47,80,12288,12672
1,0,67,80,12288,12576
1,0,69,80,12576,12672
2,0,45,80,12672,13440
1,0,69,80,12672,13056
1,0,69,80,13056,13248
2,0,42,80,13440,13824
1,0,72,80,13536,13632
1,0,72,80,13632,13728
1,0,74,80,13728,13776
1,0,72,80,13776,13824
2,0,43,80,13824,14592
1,0,71,80,13824,14208
1,0,71,80,14208,14400
1,0,76,80,14400,14592
2,0,45,80,14592,15360
1,0,73,80,14592,14976
1,0,73,80,14976,15168
1,0,74,80,15168,15360
2,0,50,80,15360,16128
1,0,74,80,15360,15744
1,0,74,80,15744,15936
2,0,42,80,16128,16896
1,0,69,80,16128,16512
1,0,69,80,16512,16704
1,0,71,80,16704,16896
2,0,43,80,16896,17664
1,0,69,80,16896,17472
1,0,67,80,17472,17616
1,0,66,80,17616,17664
2,0,45,80,17664,18432
1,0,64,80,17664,18048
1,0,66,80,18048,18240
1,0,67,80,18240,18432
2,0,38,80,18432,19968
1,0,66,80,18432,19968
