# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,59,80,0,240
2,0,40,80,1440,1680
2,0,52,80,1440,1680
1,0,64,80,1440,1680
1,0,64,80,1440,1680
1,0,76,80,1440,1680
2,0,52,80,1680,1920
2,0,55,80,1680,1920
2,0,59,80,1680,1920
1,0,64,80,1680,1800
1,0,64,80,1680,1920
1,0,66,80,1680,1740
1,0,63,80,1800,1920
2,0,52,80,1920,2160
2,0,55,80,1920,2160
2,0,59,80,1920,2160
1,0,64,80,1920,2040
1,0,64,80,1920,2160
1,0,67,80,2040,2160
2,0,40,80,2160,2400
2,0,52,80,2160,2400
1,0,67,80,2160,2400
1,0,71,80,2160,2400
2,0,52,80,2400,2640
2,0,55,80,2400,2640
2,0,59,80,2400,2640
1,0,67,80,2400,2640
1,0,71,80,2400,2520
1,0,72,80,2400,2460
1,0,70,80,2520,2640
2,0,52,80,2640,2880
2,0,55,80,2640,2880
2,0,59,80,2640,2880
1,0,67,80,2640,2880
1,0,71,80,2640,2760
1,0,76,80,2760,2880
2,0,40,80,2880,3120
2,0,52,80,2880,3120
1,0,71,80,2880,3120
1,0,79,80,2880,3120
2,0,52,80,3120,3360
2,0,55,80,3120,3360
2,0,59,80,3120,3360
1,0,71,80,3120,3360
1,0,79,80,3120,3240
1,0,83,80,3120,3240
1,0,84,80,3240,3360
2,0,52,80,3360,3600
2,0,55,80,3360,3600
2,0,59,80,3360,3600
1,0,71,80,3360,3600
1,0,79,80,3360,3480
1,0,83,80,3360,3480
1,0,84,80,3480,3600
2,0,52,80,3600,3840
2,0,55,80,3600,3840
2,0,59,80,3600,3840
1,0,71,80,3600,4080
1,0,79,80,3600,3840
1,0,83,80,3600,3840
2,0,52,80,4080,4320
2,0,55,80,4080,4320
1,0,71,80,4080,4320
1,0,83,80,4080,4320
2,0,52,80,4320,5040
2,0,57,80,4320,4440
1,0,72,80,4320,4560
1,0,84,80,4320,4440
2,0,59,80,4440,4560
1,0,83,80,4440,4560
1,0,60,80,4560,4680
1,0,71,80,4560,4800
1,0,76,80,4560,4680
2,0,59,80,4680,4800
1,0,83,80,4680,4800
2,0,57,80,4800,5040
1,0,72,80,4800,5040
1,0,84,80,4800,5040
2,0,52,80,5040,5760
2,0,55,80,5040,5160
1,0,71,80,5040,5280
1,0,83,80,5040,5160
2,0,57,80,5160,5280
1,0,81,80,5160,5280
2,0,59,80,5280,5400
1,0,69,80,5280,5520
1,0,76,80,5280,5400
2,0,57,80,5400,5520
1,0,81,80,5400,5520
2,0,55,80,5520,5760
1,0,71,80,5520,5760
1,0,83,80,5520,5760
2,0,52,80,5760,6480
2,0,57,80,5760,5880
1,0,72,80,5760,6000
1,0,84,80,5760,5880
2,0,59,80,5880,6000
1,0,83,80,5880,6000
1,0,60,80,6000,6120
1,0,71,80,6000,6240
1,0,76,80,6000,6120
2,0,59,80,6120,6240
1,0,83,80,6120,6240
2,0,57,80,6240,6480
1,0,72,80,6240,6480
1,0,84,80,6240,6480
2,0,52,80,6480,6720
2,0,55,80,6480,6720
1,0,71,80,6480,6960
1,0,76,80,6480,6720
1,0,79,80,6480,6720
1,0,83,80,6480,6720
2,0,50,80,6960,7200
2,0,55,80,6960,7200
1,0,65,80,6960,7200
1,0,67,80,6960,7200
1,0,67,80,6960,7200
1,0,71,80,6960,7200
2,0,48,80,7200,7440
2,0,55,80,7200,7440
1,0,60,80,7200,7440
1,0,64,80,7200,7440
1,0,67,80,7200,7440
1,0,72,80,7200,7440
1,0,72,80,7200,7440
2,0,48,80,7440,7680
2,0,55,80,7440,7680
1,0,60,80,7440,7680
1,0,72,80,7440,7560
1,0,72,80,7440,7680
1,0,74,80,7440,7500
1,0,71,80,7560,7680
2,0,48,80,7680,7920
2,0,55,80,7680,7920
1,0,60,80,7680,7920
1,0,72,80,7680,7800
1,0,72,80,7680,7920
1,0,74,80,7800,7920
2,0,48,80,7920,8160
2,0,55,80,7920,8160
1,0,60,80,7920,8160
1,0,64,80,7920,8160
1,0,76,80,7920,8160
1,0,76,80,7920,8160
2,0,48,80,8160,8400
2,0,55,80,8160,8400
1,0,60,80,8160,8400
1,0,72,80,8160,8400
1,0,76,80,8160,8280
1,0,72,80,8280,8400
2,0,48,80,8400,8640
2,0,55,80,8400,8640
1,0,60,80,8400,8640
1,0,67,80,8400,8520
