# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,67,80,0,480
1,0,67,80,0,480
2,0,59,80,480,960
1,0,62,80,480,960
1,0,67,80,480,960
1,0,67,80,480,960
2,0,57,80,960,1440
1,0,60,80,960,1440
1,0,66,80,960,1440
1,0,66,80,960,1440
2,0,59,80,1440,1920
1,0,62,80,1440,1920
1,0,67,80,1440,1920
1,0,67,80,1440,1920
2,0,57,80,1920,2400
1,0,74,80,1920,2160
1,0,74,80,1920,2160
1,0,72,80,2160,2400
1,0,72,80,2160,2400
1,0,62,80,2400,2880
1,0,69,80,2400,2640
1,0,69,80,2400,2640
1,0,66,80,2640,2880
1,0,66,80,2640,2880
2,0,59,80,2880,3360
1,0,67,80,2880,3360
1,0,67,80,2880,3360
2,0,55,80,3360,3840
1,0,60,80,3840,4320
1,0,64,80,3840,4320
1,0,69,80,3840,4320
1,0,69,80,3840,4320
2,0,59,80,4320,4800
1,0,68,80,4320,4800
1,0,71,80,4320,4800
1,0,71,80,4320,4800
2,0,57,80,4800,5280
1,0,64,80,4800,5280
1,0,74,80,4800,5040
1,0,74,80,4800,5040
1,0,72,80,5040,5280
1,0,72,80,5040,5280
1,0,60,80,5280,5760
1,0,64,80,5280,5760
1,0,71,80,5280,5520
1,0,71,80,5280,5520
1,0,69,80,5520,5760
1,0,69,80,5520,5760
1,0,62,80,5760,6240
1,0,67,80,5760,6240
1,0,67,80,5760,6240
2,0,50,80,6240,6600
1,0,66,80,6240,6720
1,0,66,80,6240,6720
2,0,49,80,6600,6720
2,0,50,80,6720,7200
1,0,72,80,7680,8160
1,0,72,80,7680,8160
2,0,57,80,8160,8640
1,0,60,80,8160,8640
1,0,66,80,8160,8640
1,0,66,80,8160,8640
2,0,59,80,8640,9600
1,0,62,80,8640,9600
1,0,67,80,8640,9120
1,0,67,80,8640,9120
1,0,68,80,9120,9600
1,0,68,80,9120,9600
1,0,60,80,9600,10080
1,0,64,80,9600,10080
1,0,69,80,9600,10080
1,0,69,80,9600,10080
2,0,59,80,10080,10560
1,0,62,80,10080,10560
1,0,68,80,10080,10560
1,0,68,80,10080,10560
1,0,60,80,10560,11040
1,0,64,80,10560,11040
1,0,69,80,10560,11040
1,0,69,80,10560,11040
2,0,59,80,11040,11520
1,0,62,80,11040,11520
2,0,57,80,11520,12000
1,0,72,80,11520,12000
1,0,76,80,11520,12000
1,0,76,80,11520,12000
1,0,60,80,12000,12480
1,0,71,80,12000,12240
1,0,74,80,12000,12240
1,0,74,80,12000,12240
1,0,69,80,12240,12480
1,0,72,80,12240,12480
1,0,72,80,12240,12480
1,0,62,80,12480,12960
1,0,67,80,12480,12960
1,0,71,80,12480,12960
1,0,71,80,12480,12960
1,0,60,80,12960,13440
1,0,66,80,12960,13440
1,0,69,80,12960,13440
1,0,69,80,12960,13440
2,0,59,80,13440,13920
1,0,62,80,13440,13680
1,0,74,80,13440,13920
1,0,74,80,13440,14400
1,0,74,80,13680,14400
2,0,55,80,13920,14400
1,0,71,80,13920,14160
1,0,67,80,14160,14400
2,0,57,80,14400,14880
1,0,62,80,14400,14640
1,0,72,80,14400,14880
1,0,72,80,14400,14880
1,0,72,80,14640,14880
2,0,50,80,14880,15360
1,0,69,80,14880,15120
1,0,66,80,15120,15360
2,0,55,80,15360,15840
1,0,71,80,15360,15840
1,0,71,80,15360,15840
2,0,47,80,15840,16320
1,0,62,80,15840,16320
1,0,67,80,15840,16320
1,0,67,80,15840,16320
2,0,48,80,16320,16800
1,0,64,80,16320,16800
1,0,69,80,16320,16800
1,0,69,80,16320,16800
2,0,50,80,16800,17280
1,0,60,80,16800,17280
1,0,66,80,16800,17280
1,0,66,80,16800,17280
2,0,55,80,17280,17760
2,0,59,80,17280,17760
1,0,62,80,17280,17760
1,0,67,80,17280,17760
1,0,67,80,17280,17760
