# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,681818
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
1,0,60,80,360,480
1,0,60,80,480,840
1,0,60,80,840,960
2,0,41,80,960,1200
1,0,65,80,960,1320
1,0,60,80,1200,1440
1,0,64,80,1320,1440
1,0,65,80,1440,1800
1,0,65,80,1440,1680
1,0,69,80,1440,1680
1,0,60,80,1680,1920
1,0,67,80,1800,1920
2,0,36,80,1920,2160
1,0,69,80,1920,2280
1,0,60,80,2160,2400
1,0,67,80,2280,2400
1,0,65,80,2400,2640
1,0,69,80,2400,2760
1,0,69,80,2400,2640
1,0,60,80,2640,2880
1,0,70,80,2760,2880
2,0,41,80,2880,3120
1,0,74,80,2880,3240
1,0,60,80,3120,3360
1,0,65,80,3360,3600
1,0,69,80,3360,3600
1,0,72,80,3360,4200
1,0,60,80,3600,3840
2,0,36,80,3840,4080
1,0,60,80,4080,4320
1,0,72,80,4200,4320
1,0,65,80,4320,4560
1,0,69,80,4320,4560
1,0,74,80,4320,4680
1,0,60,80,4560,4800
1,0,72,80,4680,4800
2,0,41,80,4800,5040
1,0,72,80,4800,5040
1,0,60,80,5040,5280
1,0,64,80,5280,5520
1,0,67,80,5280,5760
1,0,67,80,5280,5520
1,0,70,80,5280,5520
1,0,60,80,5520,5760
2,0,36,80,5760,6000
1,0,60,80,6000,6240
1,0,70,80,6000,6240
1,0,64,80,6240,6480
1,0,67,80,6240,6480
1,0,69,80,6240,6480
1,0,70,80,6240,6480
1,0,60,80,6480,6720
1,0,67,80,6480,6720
2,0,41,80,6720,6960
1,0,69,80,6720,7680
1,0,60,80,6960,7200
1,0,65,80,7200,7440
1,0,69,80,7200,7440
1,0,60,80,7440,7680
2,0,36,80,7680,7920
1,0,60,80,7920,8160
1,0,60,80,8040,8160
1,0,60,80,8160,8520
1,0,65,80,8160,8400
1,0,69,80,8160,8400
1,0,60,80,8400,8640
1,0,60,80,8520,8640
2,0,41,80,8640,8880
1,0,65,80,8640,9000
1,0,60,80,8880,9120
1,0,64,80,9000,9120
1,0,65,80,9120,9480
1,0,65,80,9120,9360
1,0,69,80,9120,9360
1,0,60,80,9360,9600
1,0,67,80,9480,9600
2,0,36,80,9600,9840
1,0,69,80,9600,9960
1,0,60,80,9840,10080
1,0,67,80,9960,10080
1,0,65,80,10080,10320
1,0,69,80,10080,10440
1,0,69,80,10080,10320
1,0,60,80,10320,10560
1,0,70,80,10440,10560
2,0,41,80,10560,10800
1,0,74,80,10560,10800
1,0,60,80,10800,11040
1,0,65,80,11040,11280
1,0,69,80,11040,11280
1,0,72,80,11040,11760
1,0,60,80,11280,11520
2,0,45,80,11520,11760
1,0,60,80,11760,12000
1,0,77,80,11760,12000
1,0,65,80,12000,12240
1,0,72,80,12000,12240
1,0,77,80,12000,12240
1,0,60,80,12240,12480
1,0,77,80,12240,12480
2,0,46,80,12480,12720
1,0,77,80,12480,12720
1,0,60,80,12720,12960
1,0,67,80,12720,12960
1,0,65,80,12960,13200
1,0,67,80,12960,13200
1,0,67,80,12960,13200
1,0,70,80,12960,13200
1,0,60,80,13200,13440
1,0,67,80,13200,13440
2,0,36,80,13440,13680
1,0,67,80,13440,13680
1,0,60,80,13680,13920
1,0,70,80,13680,13920
1,0,64,80,13920,14160
1,0,67,80,13920,14160
1,0,69,80,13920,14280
1,0,70,80,13920,14160
1,0,60,80,14160,14400
1,0,67,80,14280,14400
2,0,41,80,14400,14640
1,0,65,80,14400,14880
1,0,60,80,14640,14880
1,0,65,80,14880,15120
1,0,69,80,14880,15120
1,0,60,80,15120,15360
2,0,36,80,15360,15600
1,0,60,80,15600,15840
1,0,65,80,15720,15840
1,0,64,80,15840,16200
1,0,65,80,15840,16080
1,0,69,80,15840,16080
1,0,60,80,16080,16320
1,0,62,80,16200,16320
2,0,43,80,16320,16560
1,0,60,80,16320,16680
1,0,60,80,16560,16800
1,0,64,80,16680,16800
1,0,64,80,16800,17040
1,0,67,80,16800,17280
1,0,70,80,16800,17040
1,0,60,80,17040,17280
2,0,36,80,17280,17520
1,0,60,80,17520,17760
1,0,70,80,17640,17760
1,0,64,80,17760,18000
1,0,69,80,17760,18120
1,0,70,80,17760,18000
1,0,60,80,18000,18240
1,0,67,80,18120,18240
2,0,45,80,18240,18480
1,0,65,80,18240,18600
1,0,60,80,18480,18720
1,0,69,80,18600,18720
1,0,65,80,18720,18960
1,0,72,80,18720,19200
1,0,72,80,18720,18960
1,0,60,80,18960,19200
2,0,36,80,19200,19440
1,0,60,80,19440,19680
1,0,72,80,19440,19680
1,0,65,80,19680,19920
1,0,72,80,19680,19920
1,0,76,80,19680,19920
1,0,60,80,19920,20160
1,0,74,80,19920,20160
2,0,40,80,20160,20400
1,0,72,80,20160,20400
1,0,60,80,20400,20640
1,0,71,80,20400,20640
1,0,64,80,20640,20880
1,0,67,80,20640,20880
1,0,70,80,20640,21120
1,0,70,80,20640,20880
1,0,60,80,20880,21120
2,0,36,80,21120,21360
1,0,60,80,21360,21600
1,0,70,80,21360,21600
1,0,64,80,21600,21840
1,0,67,80,21600,21840
1,0,69,80,21600,21840
1,0,70,80,21600,21840
1,0,60,80,21840,22080
1,0,67,80,21840,22080
2,0,41,80,22080,22320
1,0,69,80,22080,23040
1,0,60,80,22320,22560
1,0,65,80,22560,22800
1,0,69,80,22560,22800
1,0,60,80,22800,23040
2,0,45,80,23040,23280
1,0,60,80,23280,23520
1,0,72,80,23400,23520
1,0,65,80,23520,23760
1,0,72,80,23520,23880
1,0,72,80,23520,23760
1,0,60,80,23760,24000
1,0,77,80,23880,24000
2,0,43,80,24000,24240
1,0,77,80,24000,24360
1,0,60,80,24240,24480
1,0,76,80,24360,24480
1,0,64,80,24480,24720
1,0,67,80,24480,24720
1,0,70,80,24480,24720
1,0,76,80,24480,24840
1,0,60,80,24720,24960
1,0,74,80,24840,24960
2,0,36,80,24960,25200
1,0,74,80,24960,25320
1,0,60,80,25200,25440
1,0,70,80,25320,25440
1,0,64,80,25440,25680
1,0,67,80,25440,25680
1,0,70,80,25440,25800
1,0,70,80,25440,25680
1,0,60,80,25680,25920
1,0,74,80,25800,25920
2,0,41,80,25920,26160
1,0,74,80,25920,26280
1,0,60,80,26160,26400
1,0,72,80,26280,26400
1,0,65,80,26400,26640
1,0,69,80,26400,26640
1,0,72,80,26400,26880
1,0,60,80,26640,26880
2,0,50,80,26880,27120
2,0,59,80,27120,27360
1,0,77,80,27120,27360
1,0,65,80,27360,27600
1,0,68,80,27360,27600
1,0,77,80,27360,27600
2,0,59,80,27600,27840
1,0,77,80,27600,27840
2,0,48,80,27840,28080
1,0,77,80,27840,28080
1,0,60,80,28080,28320
1,0,72,80,28080,28320
1,0,65,80,28320,28560
1,0,69,80,28320,28560
1,0,71,80,28320,28560
1,0,60,80,28560,28800
1,0,72,80,28560,28800
2,0,36,80,28800,29040
1,0,74,80,28800,29040
1,0,60,80,29040,29280
1,0,64,80,29040,29280
1,0,62,80,29280,29640
1,0,64,80,29280,29520
1,0,67,80,29280,29520
1,0,70,80,29280,29520
1,0,60,80,29520,29760
1,0,64,80,29640,29760
2,0,45,80,29760,30000
1,0,65,80,29760,30240
1,0,65,80,29760,30240
1,0,65,80,31080,31200
1,0,64,80,31200,31560
1,0,62,80,31560,31680
2,0,40,80,31680,31920
1,0,60,80,31680,32040
2,0,48,80,31920,32160
1,0,64,80,32040,32160
2,0,52,80,32160,32400
2,0,58,80,32160,32400
1,0,67,80,32160,32280
1,0,67,80,32280,32400
2,0,48,80,32400,32640
1,0,67,80,32400,32520
1,0,67,80,32520,32640
2,0,36,80,32640,32880
1,0,67,80,32640,32880
2,0,48,80,32880,33120
1,0,70,80,33000,33120
2,0,52,80,33120,33360
2,0,55,80,33120,33360
2,0,58,80,33120,33360
1,0,69,80,33120,33480
2,0,48,80,33360,33600
1,0,67,80,33480,33600
2,0,41,80,33600,33840
1,0,65,80,33600,33960
2,0,48,80,33840,34080
1,0,69,80,33960,34080
2,0,53,80,34080,34320
2,0,57,80,34080,34320
1,0,72,80,34080,34200
1,0,72,80,34200,34320
2,0,48,80,34320,34560
1,0,72,80,34320,34440
1,0,72,80,34440,34560
2,0,45,80,34560,34800
1,0,72,80,34560,34800
2,0,48,80,34800,35040
1,0,72,80,34800,35040
2,0,53,80,35040,35280
1,0,60,80,35040,35280
1,0,76,80,35040,35280
2,0,48,80,35280,35520
1,0,74,80,35280,35520
2,0,43,80,35520,35760
1,0,72,80,35520,35760
2,0,48,80,35760,36000
1,0,71,80,35760,36000
2,0,52,80,36000,36240
2,0,58,80,36000,36240
1,0,70,80,36000,36720
2,0,48,80,36240,36480
2,0,36,80,36480,36720
2,0,48,80,36720,36960
1,0,70,80,36720,36960
2,0,52,80,36960,37200
2,0,55,80,36960,37200
2,0,58,80,36960,37200
1,0,69,80,36960,37200
2,0,48,80,37200,37440
1,0,67,80,37200,37440
2,0,41,80,37440,37680
1,0,69,80,37440,37680
2,0,48,80,37680,37920
2,0,53,80,37920,38160
2,0,57,80,37920,38160
1,0,64,80,37920,38040
1,0,67,80,38040,38160
2,0,48,80,38160,38400
1,0,65,80,38160,38280
1,0,62,80,38280,38400
2,0,36,80,38400,38640
1,0,60,80,38400,38640
2,0,48,80,38640,38880
1,0,65,80,38760,38880
2,0,53,80,38880,39120
2,0,57,80,38880,39120
1,0,64,80,38880,39240
2,0,48,80,39120,39360
1,0,62,80,39240,39360
2,0,40,80,39360,39600
1,0,60,80,39360,39720
2,0,48,80,39600,39840
1,0,64,80,39720,39840
2,0,52,80,39840,40080
2,0,58,80,39840,40080
1,0,67,80,39840,39960
1,0,67,80,39960,40080
2,0,48,80,40080,40320
1,0,67,80,40080,40200
1,0,67,80,40200,40320
2,0,36,80,40320,40560
1,0,67,80,40320,40560
2,0,48,80,40560,40800
1,0,70,80,40680,40800
2,0,52,80,40800,41040
2,0,55,80,40800,41040
2,0,58,80,40800,41040
1,0,69,80,40800,41160
2,0,48,80,41040,41280
1,0,67,80,41160,41280
2,0,41,80,41280,41520
1,0,65,80,41280,41640
2,0,48,80,41520,41760
1,0,69,80,41640,41760
2,0,53,80,41760,42000
2,0,57,80,41760,42000
1,0,72,80,41760,41880
1,0,72,80,41880,42000
2,0,48,80,42000,42240
1,0,72,80,42000,42120
1,0,72,80,42120,42240
2,0,45,80,42240,42480
1,0,72,80,42240,42480
2,0,48,80,42480,42720
1,0,72,80,42480,42720
2,0,53,80,42720,42960
1,0,60,80,42720,42960
1,0,76,80,42720,42960
2,0,48,80,42960,43200
1,0,74,80,42960,43200
2,0,43,80,43200,43440
1,0,72,80,43200,43440
2,0,48,80,43440,43680
1,0,71,80,43440,43680
2,0,52,80,43680,43920
2,0,58,80,43680,43920
1,0,70,80,43680,44400
2,0,48,80,43920,44160
2,0,36,80,44160,44400
2,0,48,80,44400,44640
1,0,70,80,44400,44640
2,0,52,80,44640,44880
2,0,55,80,44640,44880
2,0,58,80,44640,44880
1,0,69,80,44640,44880
2,0,48,80,44880,45120
1,0,67,80,44880,45120
2,0,41,80,45120,45360
2,0,48,80,45120,45360
2,0,57,80,45120,45360
1,0,65,80,45120,45360
2,0,41,80,45600,45840
1,0,65,80,45600,45840
1,0,69,80,45600,45840
1,0,77,80,45600,45840
2,0,48,80,45660,45900
2,0,57,80,45720,45960
