# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,833333
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,67,80,0,1536
2,0,55,80,768,2304
2,0,59,80,768,1536
1,0,62,80,768,1536
1,0,60,80,1536,3456
1,0,64,80,1536,2304
1,0,69,80,1536,2304
2,0,54,80,2304,3072
1,0,62,80,2304,3072
1,0,69,80,2304,3072
2,0,55,80,3072,3840
1,0,62,80,3072,4992
1,0,67,80,3072,4032
2,0,59,80,3456,3648
2,0,57,80,3648,3840
2,0,43,80,3840,4608
2,0,59,80,3840,4992
1,0,65,80,4032,4224
1,0,65,80,4224,4416
1,0,67,80,4416,4512
1,0,65,80,4512,4608
2,0,48,80,4608,6912
1,0,64,80,4608,5568
2,0,57,80,4992,5184
1,0,60,80,4992,5184
2,0,55,80,5184,5376
2,0,59,80,5184,5376
2,0,57,80,5376,6144
1,0,60,80,5376,6144
1,0,67,80,5568,5760
1,0,66,80,5760,5952
1,0,64,80,5952,6144
2,0,54,80,6144,6912
2,0,57,80,6144,6912
1,0,62,80,6144,6432
1,0,64,80,6432,6528
1,0,66,80,6528,6624
1,0,64,80,6624,6720
1,0,62,80,6720,6912
1,0,67,80,6912,7872
2,0,47,80,7296,7488
2,0,59,80,7296,8064
1,0,62,80,7296,9984
2,0,48,80,7488,7680
2,0,50,80,7680,8448
1,0,66,80,7872,7968
1,0,67,80,7968,8064
2,0,57,80,8064,8256
1,0,66,80,8064,8352
2,0,55,80,8256,8448
1,0,64,80,8352,8448
2,0,38,80,8448,9216
2,0,57,80,8448,9216
1,0,66,80,8448,8640
1,0,67,80,8640,8736
1,0,69,80,8736,8832
1,0,67,80,8832,9120
1,0,66,80,9120,9216
2,0,43,80,9216,9984
2,0,59,80,9216,9600
1,0,67,80,9216,9984
2,0,59,80,9600,9984
1,0,62,80,9984,10368
2,0,52,80,10368,10752
1,0,64,80,10368,10752
2,0,55,80,10752,11136
1,0,62,80,10752,11136
2,0,57,80,11136,11520
1,0,60,80,11136,11520
2,0,55,80,11520,12288
2,0,59,80,11520,12672
1,0,64,80,11904,12288
2,0,52,80,12288,13440
1,0,67,80,12288,12672
1,0,60,80,12672,12864
1,0,69,80,12672,13056
1,0,76,80,12768,12864
1,0,62,80,12864,13056
1,0,74,80,12864,12960
1,0,72,80,12960,13056
1,0,64,80,13056,13824
1,0,67,80,13056,13824
1,0,71,80,13056,13344
1,0,72,80,13344,13392
1,0,74,80,13392,13440
2,0,52,80,13440,13824
1,0,72,80,13440,13632
1,0,71,80,13632,13728
1,0,72,80,13728,13824
2,0,54,80,13824,14208
1,0,62,80,13824,14016
1,0,69,80,13824,14208
1,0,74,80,13824,14304
1,0,60,80,14016,14208
2,0,55,80,14208,14592
2,0,59,80,14208,14592
1,0,67,80,14208,15360
1,0,74,80,14304,14400
1,0,76,80,14400,14496
1,0,77,80,14496,14592
2,0,48,80,14592,15360
1,0,60,80,14592,15744
1,0,76,80,14592,14880
1,0,74,80,14880,14976
1,0,76,80,14976,15072
1,0,79,80,15072,15168
1,0,77,80,15168,15264
1,0,76,80,15264,15360
2,0,42,80,15360,15744
1,0,69,80,15360,15744
1,0,74,80,15360,15840
2,0,43,80,15744,16512
2,0,59,80,15744,16128
1,0,67,80,15744,16128
1,0,77,80,15840,15936
1,0,76,80,15936,16032
1,0,74,80,16032,16128
1,0,64,80,16128,16512
1,0,69,80,16128,17088
1,0,72,80,16128,16320
1,0,71,80,16320,16416
1,0,72,80,16416,16512
2,0,42,80,16512,16896
1,0,62,80,16512,17664
1,0,74,80,16512,16608
1,0,76,80,16608,16704
1,0,74,80,16704,16800
1,0,72,80,16800,16896
2,0,43,80,16896,17280
1,0,71,80,16896,17472
1,0,67,80,17088,17184
1,0,66,80,17184,17280
2,0,47,80,17280,17664
1,0,67,80,17280,18048
1,0,72,80,17472,17568
1,0,74,80,17568,17664
2,0,49,80,17664,18048
1,0,64,80,17664,18048
1,0,69,80,17664,18240
2,0,50,80,18048,18432
1,0,62,80,18048,18816
1,0,66,80,18048,18432
1,0,71,80,18240,18336
1,0,69,80,18336,18432
2,0,52,80,18432,19776
1,0,64,80,18432,20736
1,0,67,80,18432,18528
1,0,69,80,18528,18624
1,0,67,80,18624,18720
1,0,66,80,18720,18816
1,0,60,80,18816,19584
1,0,64,80,18816,18912
1,0,66,80,18912,19008
1,0,67,80,19008,19296
1,0,66,80,19296,19392
1,0,67,80,19392,19488
1,0,69,80,19488,19584
2,0,59,80,19584,19968
1,0,67,80,19584,20160
2,0,50,80,19776,19968
2,0,48,80,19968,20352
2,0,57,80,19968,21504
1,0,66,80,20160,20256
1,0,67,80,20256,20352
2,0,49,80,20352,20736
1,0,69,80,20352,20448
1,0,71,80,20448,20544
1,0,67,80,20544,20640
1,0,69,80,20640,20736
2,0,50,80,20736,21504
1,0,62,80,20736,21120
1,0,66,80,20736,20928
1,0,64,80,20928,21024
1,0,66,80,21024,21120
1,0,60,80,21120,21504
1,0,67,80,21120,21216
1,0,66,80,21216,21312
1,0,67,80,21312,21360
1,0,66,80,21360,21408
1,0,67,80,21408,21456
1,0,66,80,21456,21504
2,0,52,80,21504,21888
2,0,55,80,21504,22272
2,0,59,80,21504,22272
1,0,67,80,21504,22272
2,0,52,80,21888,22272
2,0,52,80,22272,22656
2,0,59,80,22272,22656
2,0,50,80,22656,23040
2,0,59,80,22656,23040
2,0,52,80,23040,23424
2,0,59,80,23040,23424
1,0,64,80,23040,23424
2,0,48,80,23424,23808
2,0,57,80,23424,23808
1,0,64,80,23424,23808
2,0,47,80,23808,24384
2,0,59,80,23808,24768
1,0,64,80,23808,24192
1,0,62,80,24192,24576
2,0,45,80,24384,24576
2,0,43,80,24576,25152
1,0,64,80,24576,25728
1,0,71,80,24576,25344
2,0,57,80,24768,24960
2,0,55,80,24960,25344
2,0,45,80,25152,25344
2,0,47,80,25344,26112
2,0,54,80,25344,26112
1,0,71,80,25344,26112
1,0,63,80,25728,26112
2,0,40,80,26112,26496
2,0,55,80,26112,27456
1,0,64,80,26112,26496
1,0,71,80,26112,26880
2,0,47,80,26496,26880
1,0,62,80,26496,26880
2,0,48,80,26880,27264
1,0,64,80,26880,27264
1,0,69,80,26880,26976
1,0,69,80,26976,27072
1,0,71,80,27072,27168
1,0,72,80,27168,27264
2,0,50,80,27264,27648
1,0,62,80,27264,28416
1,0,71,80,27264,27360
1,0,72,80,27360,27456
2,0,54,80,27456,27648
1,0,71,80,27456,27552
1,0,69,80,27552,27648
2,0,43,80,27648,28224
2,0,55,80,27648,28032
1,0,71,80,27648,28608
2,0,59,80,28032,28416
2,0,42,80,28224,28416
2,0,40,80,28416,29568
1,0,64,80,28416,28608
1,0,67,80,28416,28800
1,0,62,80,28608,28800
1,0,71,80,28608,28800
1,0,60,80,28800,29184
1,0,66,80,28800,29184
1,0,69,80,28800,28992
1,0,71,80,28992,29088
1,0,69,80,29088,29184
2,0,59,80,29184,29952
1,0,64,80,29184,29952
1,0,67,80,29184,30336
2,0,52,80,29568,29760
2,0,50,80,29760,29952
2,0,48,80,29952,30336
1,0,60,80,29952,31488
1,0,64,80,29952,30720
2,0,47,80,30336,30720
1,0,67,80,30336,30720
2,0,45,80,30720,31488
1,0,66,80,30720,31488
1,0,69,80,30720,31008
1,0,71,80,31008,31104
1,0,72,80,31104,31200
1,0,71,80,31200,31296
1,0,69,80,31296,31392
1,0,72,80,31392,31488
2,0,43,80,31488,31872
1,0,62,80,31488,32256
1,0,67,80,31488,32256
1,0,71,80,31488,31776
1,0,69,80,31776,31872
2,0,55,80,31872,32640
1,0,71,80,31872,31968
1,0,72,80,31968,32064
1,0,74,80,32064,32160
1,0,76,80,32160,32256
1,0,60,80,32256,33792
1,0,64,80,32256,33024
1,0,69,80,32256,33600
2,0,54,80,32640,32832
2,0,52,80,32832,33024
2,0,54,80,33024,33792
1,0,62,80,33024,33984
1,0,71,80,33600,33696
1,0,69,80,33696,33792
2,0,55,80,33792,33984
2,0,59,80,33792,33984
1,0,67,80,33792,34560
2,0,48,80,33984,34176
1,0,60,80,33984,34176
1,0,64,80,33984,34176
2,0,43,80,34176,34560
2,0,59,80,34176,34560
1,0,62,80,34176,34560
2,0,55,80,34560,35136
2,0,55,80,35136,35328
2,0,59,80,35328,35520
1,0,62,80,35328,35904
2,0,57,80,35520,35712
2,0,55,80,35712,35904
2,0,54,80,35904,36096
1,0,62,80,35904,36096
2,0,52,80,36096,36288
1,0,64,80,36096,36288
2,0,54,80,36288,36384
1,0,62,80,36288,36480
2,0,55,80,36384,36480
2,0,57,80,36480,36672
1,0,60,80,36480,36672
2,0,55,80,36672,36864
2,0,59,80,36672,36864
2,0,50,80,36864,37440
2,0,54,80,36864,37632
2,0,57,80,36864,37056
2,0,59,80,37056,37152
1,0,60,80,37152,37248
1,0,62,80,37248,37536
2,0,50,80,37440,37632
1,0,60,80,37536,37632
2,0,52,80,37632,37824
2,0,55,80,37632,38784
2,0,59,80,37632,37824
2,0,50,80,37824,38016
1,0,60,80,37824,37920
1,0,62,80,37920,38016
2,0,48,80,38016,38208
1,0,64,80,38016,38208
2,0,47,80,38208,38400
1,0,62,80,38208,38400
2,0,45,80,38400,39168
1,0,60,80,38400,38784
1,0,69,80,38400,39360
2,0,54,80,38784,38976
1,0,61,80,38784,39168
2,0,52,80,38976,39168
2,0,38,80,39168,39552
2,0,54,80,39168,39936
1,0,62,80,39168,41280
1,0,71,80,39360,39456
1,0,72,80,39456,39552
2,0,50,80,39552,39936
1,0,71,80,39552,39648
1,0,72,80,39648,39744
1,0,69,80,39744,39840
1,0,72,80,39840,39936
2,0,43,80,39936,40128
2,0,55,80,39936,40320
1,0,71,80,39936,40416
2,0,55,80,40128,40512
1,0,69,80,40416,40512
2,0,55,80,40512,40704
1,0,71,80,40512,40608
1,0,72,80,40608,40704
2,0,59,80,40704,40896
1,0,74,80,40704,40800
1,0,76,80,40800,40896
2,0,57,80,40896,41088
1,0,72,80,40896,40992
1,0,74,80,40992,41088
2,0,55,80,41088,41280
1,0,71,80,41088,41184
1,0,72,80,41184,41280
2,0,54,80,41280,41472
2,0,57,80,41280,41472
1,0,63,80,41280,41472
1,0,69,80,41280,41376
1,0,71,80,41376,41472
2,0,52,80,41472,42432
2,0,59,80,41472,41664
1,0,64,80,41472,42048
1,0,67,80,41472,41568
1,0,69,80,41568,41664
1,0,60,80,41664,41856
1,0,71,80,41664,41760
1,0,69,80,41760,41856
2,0,59,80,41856,42048
1,0,67,80,41856,41952
1,0,69,80,41952,42048
2,0,57,80,42048,42240
1,0,66,80,42048,42240
1,0,67,80,42048,42144
1,0,66,80,42144,42240
2,0,59,80,42240,42624
1,0,64,80,42240,42432
1,0,67,80,42240,42432
2,0,50,80,42432,42624
1,0,66,80,42432,42528
1,0,66,80,42432,42624
1,0,67,80,42528,42624
2,0,48,80,42624,42816
1,0,60,80,42624,43392
1,0,64,80,42624,43392
1,0,69,80,42624,42816
2,0,47,80,42816,43008
1,0,67,80,42816,43008
2,0,45,80,43008,43392
1,0,66,80,43008,43584
2,0,47,80,43392,43776
2,0,59,80,43392,43776
1,0,63,80,43392,43776
1,0,67,80,43584,43680
1,0,69,80,43680,43776
2,0,40,80,43776,44160
2,0,59,80,43776,44544
1,0,64,80,43776,45696
1,0,67,80,43776,43872
1,0,69,80,43872,43968
1,0,71,80,43968,44064
1,0,69,80,44064,44160
2,0,52,80,44160,44352
1,0,67,80,44160,44256
1,0,69,80,44256,44352
2,0,50,80,44352,44544
1,0,66,80,44352,44448
1,0,67,80,44448,44544
2,0,49,80,44544,45312
2,0,57,80,44544,44928
1,0,69,80,44544,45504
2,0,55,80,44928,45312
2,0,50,80,45312,46080
2,0,54,80,45312,46080
1,0,71,80,45504,45600
1,0,72,80,45600,45696
1,0,62,80,45696,46272
1,0,71,80,45696,45984
1,0,69,80,45984,46080
2,0,47,80,46080,46848
2,0,55,80,46080,48384
1,0,67,80,46080,47040
1,0,64,80,46272,46368
1,0,65,80,46368,46464
1,0,64,80,46464,46752
1,0,62,80,46752,46848
2,0,48,80,46848,48000
1,0,64,80,46848,47232
1,0,69,80,47040,47136
1,0,67,80,47136,47232
1,0,62,80,47232,47616
1,0,65,80,47232,47424
1,0,67,80,47424,47520
1,0,65,80,47520,47616
1,0,60,80,47616,49536
1,0,64,80,47616,49152
2,0,47,80,48000,48384
2,0,45,80,48384,48768
2,0,57,80,48384,49536
2,0,43,80,48768,49152
2,0,42,80,49152,49536
1,0,62,80,49152,49728
2,0,43,80,49536,49728
2,0,55,80,49536,50688
2,0,59,80,49536,50112
2,0,43,80,49728,49920
1,0,64,80,49728,49824
1,0,66,80,49824,49920
2,0,40,80,49920,50304
1,0,67,80,49920,51552
1,0,64,80,50112,50304
2,0,52,80,50304,50688
2,0,59,80,50304,50496
1,0,60,80,50496,50688
2,0,47,80,50688,51264
2,0,50,80,50688,50880
1,0,62,80,50688,51840
2,0,55,80,50880,50976
2,0,57,80,50976,51072
2,0,59,80,51072,51648
2,0,48,80,51264,51456
2,0,50,80,51456,52224
2,0,55,80,51456,51648
1,0,66,80,51552,51648
2,0,57,80,51648,51840
1,0,67,80,51648,51744
1,0,69,80,51744,51840
2,0,57,80,51840,52224
1,0,62,80,51840,52416
1,0,67,80,51840,52128
1,0,66,80,52128,52224
2,0,43,80,52224,53760
1,0,67,80,52224,53760
1,0,60,80,52416,52608
1,0,64,80,52416,52608
2,0,59,80,52608,52800
1,0,62,80,52608,52800
2,0,57,80,52800,52992
1,0,60,80,52800,52992
2,0,59,80,52992,53760
1,0,62,80,52992,53760
