# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,28,80,0,480
2,0,40,80,0,480
2,0,52,80,0,120
2,0,56,80,0,120
2,0,59,80,0,240
2,0,52,80,180,240
2,0,52,80,240,480
2,0,52,80,480,560
2,0,51,80,560,640
2,0,52,80,640,720
2,0,26,80,720,960
2,0,38,80,720,960
2,0,53,80,720,800
2,0,56,80,800,880
2,0,53,80,880,960
2,0,28,80,960,1440
2,0,40,80,960,1440
2,0,52,80,960,1080
2,0,56,80,960,1080
2,0,59,80,960,1200
2,0,52,80,1140,1200
2,0,52,80,1200,1440
2,0,52,80,1440,1520
2,0,51,80,1520,1600
2,0,52,80,1600,1680
2,0,26,80,1680,1920
2,0,38,80,1680,1920
2,0,53,80,1680,1760
2,0,56,80,1760,1840
2,0,53,80,1840,1920
2,0,28,80,1920,2400
2,0,40,80,1920,2400
2,0,52,80,1920,2040
2,0,56,80,2040,2160
2,0,59,80,2160,2280
1,0,65,80,2280,2400
1,0,64,80,2400,2520
2,0,59,80,2520,2640
2,0,56,80,2640,2760
2,0,29,80,2760,2880
2,0,41,80,2760,2880
2,0,51,80,2760,2880
2,0,28,80,2880,3120
2,0,40,80,2880,3120
2,0,52,80,2880,3000
2,0,56,80,3000,3120
2,0,59,80,3120,3240
1,0,64,80,3240,3360
2,0,29,80,3360,3600
2,0,41,80,3360,3600
1,0,65,80,3360,3480
1,0,60,80,3480,3600
2,0,57,80,3600,3720
2,0,53,80,3720,3840
2,0,30,80,3840,4320
2,0,42,80,3840,4320
2,0,54,80,3840,3960
2,0,58,80,3840,3960
1,0,61,80,3840,4080
1,0,66,80,3840,4080
2,0,54,80,4020,4080
2,0,54,80,4080,4320
2,0,54,80,4320,4400
2,0,52,80,4400,4480
2,0,54,80,4480,4560
2,0,28,80,4560,4800
2,0,40,80,4560,4800
2,0,55,80,4560,4640
2,0,58,80,4640,4720
2,0,55,80,4720,4800
2,0,30,80,4800,5280
2,0,42,80,4800,5280
2,0,54,80,4800,4920
2,0,58,80,4800,4920
1,0,61,80,4800,5040
2,0,54,80,4980,5040
2,0,54,80,5040,5280
2,0,54,80,5280,5360
2,0,52,80,5360,5440
2,0,54,80,5440,5520
2,0,28,80,5520,5760
2,0,40,80,5520,5760
2,0,55,80,5520,5600
2,0,58,80,5600,5680
2,0,55,80,5680,5760
2,0,30,80,5760,6240
2,0,42,80,5760,6240
2,0,54,80,5760,5880
2,0,58,80,5880,6000
1,0,61,80,6000,6120
1,0,67,80,6120,6240
1,0,65,80,6240,6360
1,0,61,80,6360,6480
2,0,58,80,6480,6600
2,0,31,80,6600,6720
2,0,43,80,6600,6720
2,0,53,80,6600,6720
2,0,30,80,6720,6960
2,0,42,80,6720,6960
2,0,54,80,6720,6840
2,0,58,80,6840,6960
1,0,61,80,6960,7080
1,0,65,80,7080,7200
2,0,31,80,7200,7440
2,0,43,80,7200,7440
1,0,67,80,7200,7320
1,0,62,80,7320,7440
2,0,59,80,7440,7560
2,0,55,80,7560,7680
2,0,32,80,7680,7800
2,0,44,80,7680,7800
2,0,56,80,7680,7860
1,0,60,80,7680,7860
1,0,63,80,7680,7860
1,0,68,80,7680,7860
1,0,60,80,7860,7920
1,0,63,80,7860,7920
1,0,68,80,7860,7920
2,0,48,80,7920,8160
2,0,51,80,7920,8160
2,0,56,80,7920,8160
1,0,60,80,7920,8160
1,0,63,80,7920,8160
1,0,68,80,7920,8160
1,0,63,80,8160,8340
1,0,68,80,8160,8340
1,0,72,80,8160,8340
1,0,63,80,8340,8400
1,0,68,80,8340,8400
1,0,72,80,8340,8400
2,0,51,80,8400,8640
2,0,56,80,8400,8640
1,0,60,80,8400,8640
1,0,63,80,8400,8640
1,0,68,80,8400,8640
1,0,72,80,8400,8640
1,0,68,80,8640,8820
1,0,72,80,8640,8820
1,0,75,80,8640,8820
1,0,68,80,8820,8880
1,0,72,80,8820,8880
1,0,75,80,8820,8880
2,0,56,80,8880,9120
1,0,60,80,8880,9120
1,0,64,80,8880,9120
1,0,68,80,8880,9120
1,0,72,80,8880,9120
1,0,75,80,8880,9120
1,0,72,80,9120,9300
1,0,75,80,9120,9300
1,0,80,80,9120,9300
1,0,72,80,9300,9360
1,0,75,80,9300,9360
1,0,80,80,9300,9360
1,0,60,80,9360,9600
1,0,63,80,9360,9600
1,0,68,80,9360,9600
1,0,72,80,9360,9600
1,0,75,80,9360,9600
1,0,80,80,9360,9600
1,0,60,80,9600,9720
1,0,63,80,9600,9720
1,0,69,80,9600,9720
1,0,72,80,9600,9720
1,0,75,80,9600,9720
1,0,81,80,9600,9720
1,0,68,80,9720,9840
1,0,80,80,9720,9840
1,0,67,80,9840,9960
1,0,79,80,9840,9960
1,0,66,80,9960,10080
1,0,78,80,9960,10080
1,0,65,80,10080,10200
1,0,77,80,10080,10200
1,0,63,80,10200,10320
1,0,75,80,10200,10320
1,0,63,80,10320,10440
1,0,75,80,10320,10440
1,0,62,80,10440,10560
1,0,74,80,10440,10560
1,0,61,80,10560,10680
1,0,73,80,10560,10680
1,0,60,80,10680,10800
1,0,72,80,10680,10800
2,0,59,80,10800,10920
1,0,71,80,10800,10920
2,0,58,80,10920,11040
1,0,70,80,10920,11040
2,0,57,80,11040,11160
1,0,69,80,11040,11160
2,0,54,80,11160,11280
1,0,66,80,11160,11280
2,0,51,80,11280,11400
1,0,63,80,11280,11400
2,0,48,80,11400,11520
1,0,60,80,11400,11520
2,0,34,80,11520,11640
2,0,46,80,11520,11640
2,0,58,80,11520,11700
1,0,62,80,11520,11700
1,0,65,80,11520,11700
1,0,70,80,11520,11700
1,0,62,80,11700,11760
1,0,65,80,11700,11760
1,0,70,80,11700,11760
2,0,50,80,11760,12000
2,0,53,80,11760,12000
2,0,58,80,11760,12000
1,0,62,80,11760,12000
1,0,65,80,11760,12000
1,0,70,80,11760,12000
1,0,65,80,12000,12180
1,0,70,80,12000,12180
1,0,74,80,12000,12180
1,0,65,80,12180,12240
1,0,69,80,12180,12240
1,0,74,80,12180,12240
2,0,53,80,12240,12480
2,0,58,80,12240,12480
1,0,62,80,12240,12480
1,0,65,80,12240,12480
1,0,69,80,12240,12480
1,0,74,80,12240,12480
1,0,70,80,12480,12660
1,0,74,80,12480,12660
1,0,77,80,12480,12660
1,0,70,80,12660,12720
1,0,74,80,12660,12720
1,0,77,80,12660,12720
2,0,58,80,12720,12960
1,0,62,80,12720,12960
1,0,65,80,12720,12960
1,0,70,80,12720,12960
1,0,74,80,12720,12960
1,0,77,80,12720,12960
1,0,74,80,12960,13140
1,0,77,80,12960,13140
1,0,82,80,12960,13140
1,0,74,80,13140,13200
1,0,77,80,13140,13200
1,0,82,80,13140,13200
1,0,62,80,13200,13440
1,0,65,80,13200,13440
1,0,70,80,13200,13440
1,0,74,80,13200,13440
1,0,77,80,13200,13440
1,0,82,80,13200,13440
1,0,62,80,13440,13560
1,0,65,80,13440,13560
1,0,71,80,13440,13560
1,0,74,80,13440,13560
1,0,77,80,13440,13560
1,0,83,80,13440,13560
1,0,70,80,13560,13680
1,0,82,80,13560,13680
1,0,69,80,13680,13800
1,0,81,80,13680,13800
1,0,68,80,13800,13920
1,0,80,80,13800,13920
1,0,67,80,13920,14040
1,0,79,80,13920,14040
1,0,66,80,14040,14160
1,0,78,80,14040,14160
1,0,65,80,14160,14280
1,0,77,80,14160,14280
1,0,64,80,14280,14400
1,0,76,80,14280,14400
1,0,63,80,14400,14520
1,0,75,80,14400,14520
1,0,62,80,14520,14640
1,0,74,80,14520,14640
1,0,61,80,14640,14760
1,0,73,80,14640,14760
1,0,60,80,14760,14880
1,0,72,80,14760,14880
2,0,59,80,14880,15000
1,0,71,80,14880,15000
2,0,56,80,15000,15120
1,0,68,80,15000,15120
2,0,53,80,15120,15240
1,0,65,80,15120,15240
2,0,50,80,15240,15360
1,0,62,80,15240,15360
2,0,39,80,15360,15840
2,0,51,80,15360,15840
1,0,63,80,15360,15540
1,0,68,80,15360,15540
1,0,72,80,15360,15540
1,0,63,80,15540,15600
1,0,67,80,15540,15600
1,0,72,80,15540,15600
1,0,63,80,15600,15840
1,0,67,80,15600,15840
1,0,72,80,15600,15840
1,0,68,80,15840,16020
1,0,72,80,15840,16020
1,0,75,80,15840,16020
1,0,68,80,16020,16080
1,0,72,80,16020,16080
1,0,75,80,16020,16080
2,0,51,80,16080,16320
2,0,56,80,16080,16320
1,0,60,80,16080,16320
1,0,68,80,16080,16320
1,0,72,80,16080,16320
1,0,75,80,16080,16320
2,0,51,80,16560,16800
2,0,56,80,16560,16800
1,0,60,80,16560,16800
1,0,72,80,16560,16800
1,0,75,80,16560,16800
1,0,80,80,16560,16800
2,0,53,80,16800,17280
2,0,56,80,16800,17280
1,0,60,80,16800,17280
1,0,72,80,16800,17280
1,0,77,80,16800,17280
1,0,80,80,16800,17280
1,0,84,80,16800,17280
2,0,39,80,17280,17760
2,0,51,80,17280,17760
1,0,68,80,17280,17460
1,0,72,80,17280,17460
1,0,75,80,17280,17460
1,0,68,80,17460,17520
1,0,72,80,17460,17520
1,0,75,80,17460,17520
1,0,68,80,17520,17760
1,0,72,80,17520,17760
1,0,75,80,17520,17760
1,0,72,80,17760,17940
1,0,75,80,17760,17940
1,0,80,80,17760,17940
1,0,72,80,17940,18000
1,0,75,80,17940,18000
1,0,80,80,17940,18000
2,0,51,80,18000,18240
2,0,56,80,18000,18240
1,0,60,80,18000,18240
1,0,72,80,18000,18240
1,0,75,80,18000,18240
1,0,80,80,18000,18240
2,0,51,80,18480,18720
2,0,56,80,18480,18720
