# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,277777
# meta,0,0,time_signature,3/2
track,channel,pitch,vel,start,end
1,0,60,80,0,384
1,0,69,80,96,192
1,0,66,80,192,288
1,0,57,80,288,384
1,0,61,80,384,768
1,0,70,80,480,576
1,0,67,80,576,672
1,0,58,80,672,768
1,0,61,80,768,1152
1,0,62,80,768,864
1,0,71,80,864,960
1,0,68,80,960,1056
1,0,59,80,1056,1152
2,0,32,80,1152,1536
2,0,51,80,1536,1920
1,0,63,80,1536,1920
1,0,72,80,1632,1728
1,0,68,80,1728,1824
1,0,60,80,1824,1920
2,0,56,80,1920,2304
1,0,68,80,1920,2304
1,0,77,80,2016,2112
1,0,73,80,2112,2208
1,0,65,80,2208,2304
2,0,60,80,2304,2688
1,0,67,80,2304,2688
1,0,75,80,2400,2496
1,0,72,80,2496,2592
1,0,63,80,2592,2688
2,0,65,80,2688,3072
1,0,72,80,2784,2880
1,0,68,80,2880,2976
1,0,60,80,2976,3072
2,0,64,80,3072,3456
1,0,73,80,3168,3264
1,0,68,80,3264,3360
1,0,61,80,3360,3456
2,0,63,80,3456,3840
1,0,75,80,3552,3648
1,0,68,80,3648,3744
1,0,60,80,3744,3840
2,0,60,80,3840,4224
1,0,68,80,3840,4224
1,0,77,80,3936,4032
1,0,72,80,4032,4128
1,0,65,80,4128,4224
2,0,56,80,4224,4608
1,0,72,80,4224,4608
1,0,79,80,4320,4416
1,0,75,80,4416,4512
1,0,67,80,4512,4608
2,0,53,80,4608,4992
1,0,72,80,4608,4992
1,0,80,80,4704,4800
1,0,77,80,4800,4896
1,0,68,80,4896,4992
2,0,52,80,4992,5376
1,0,73,80,4992,5376
1,0,82,80,5088,5184
1,0,79,80,5184,5280
1,0,70,80,5280,5376
2,0,51,80,5376,5760
1,0,75,80,5376,5760
1,0,84,80,5472,5568
1,0,80,80,5568,5664
1,0,72,80,5664,5760
2,0,32,80,5760,6144
2,0,51,80,6144,6528
1,0,63,80,6144,6528
1,0,72,80,6240,6336
1,0,68,80,6336,6432
1,0,60,80,6432,6528
2,0,56,80,6528,6912
1,0,68,80,6528,6912
1,0,75,80,6624,6720
1,0,73,80,6720,6816
1,0,65,80,6816,6912
2,0,60,80,6912,7296
1,0,67,80,6912,7296
1,0,75,80,7008,7104
1,0,72,80,7104,7200
1,0,63,80,7200,7296
2,0,65,80,7296,7680
1,0,72,80,7392,7488
1,0,68,80,7488,7584
1,0,60,80,7584,7680
2,0,64,80,7680,8064
1,0,73,80,7776,7872
1,0,68,80,7872,7968
1,0,61,80,7968,8064
2,0,63,80,8064,8448
1,0,75,80,8160,8256
1,0,68,80,8256,8352
1,0,60,80,8352,8448
2,0,60,80,8448,8832
1,0,68,80,8448,8832
1,0,77,80,8544,8640
1,0,72,80,8640,8736
1,0,65,80,8736,8832
