# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,1024
# meta,0,0,tempo,625001
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,32,80,0,2090.6666666666665
2,0,44,80,0,2090.6666666666665
2,0,49,80,0,1109.3333333333333
2,0,53,80,0,1066.6666666666665
2,0,56,80,0,4096
2,0,48,80,1066.6666666666665,2133.333333333333
2,0,54,80,1066.6666666666665,2090.6666666666665
2,0,37,80,2090.6666666666665,4053.333333333333
2,0,49,80,2090.6666666666665,6186.666666666666
2,0,49,80,2090.6666666666665,4096
2,0,53,80,2090.6666666666665,4096
1,0,68,80,3584,4138.666666666666
2,0,29,80,4096,6186.666666666666
2,0,41,80,4096,6186.666666666666
2,0,56,80,4096,6186.666666666666
1,0,61,80,4096,8192
1,0,73,80,4096,5717.333333333333
1,0,72,80,5674.666666666666,6186.666666666666
2,0,30,80,6186.666666666666,8192
2,0,42,80,6186.666666666666,8192
2,0,54,80,6186.666666666666,8192
2,0,58,80,6186.666666666666,12288
1,0,72,80,6186.666666666666,7210.666666666666
1,0,70,80,7168,8789.333333333332
2,0,29,80,8192,10282.666666666666
2,0,41,80,8192,10282.666666666666
2,0,56,80,8192,10325.333333333332
1,0,62,80,8192,10282.666666666666
1,0,74,80,8746.666666666666,9301.333333333332
1,0,77,80,9258.666666666666,10026.666666666666
1,0,80,80,9984,10282.666666666666
2,0,27,80,10282.666666666666,12245.333333333332
2,0,39,80,10282.666666666666,12288
2,0,54,80,10282.666666666666,12288
1,0,63,80,10282.666666666666,12288
1,0,80,80,10282.666666666666,11306.666666666666
1,0,78,80,11264,12288
2,0,39,80,12288,13354.666666666666
2,0,51,80,12288,13354.666666666666
2,0,54,80,12288,13397.333333333332
2,0,58,80,12288,14421.333333333332
1,0,63,80,12288,13397.333333333332
1,0,66,80,12288,13397.333333333332
2,0,37,80,13354.666666666666,14378.666666666666
2,0,49,80,13354.666666666666,14378.666666666666
2,0,52,80,13354.666666666666,14421.333333333332
1,0,64,80,13354.666666666666,14421.333333333332
