# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,67,80,0,240
2,0,48,80,1920,2080
1,0,76,80,1920,2640
2,0,55,80,2080,2240
1,0,60,80,2240,2400
1,0,64,80,2400,2560
1,0,60,80,2560,2720
1,0,74,80,2640,2880
2,0,55,80,2720,2880
2,0,48,80,2880,3040
1,0,72,80,2880,3120
2,0,55,80,3040,3200
1,0,71,80,3120,3360
1,0,60,80,3200,3360
1,0,64,80,3360,3520
1,0,72,80,3360,3600
1,0,60,80,3520,3680
1,0,73,80,3600,3840
2,0,55,80,3680,3840
2,0,43,80,3840,4000
1,0,74,80,3840,4320
2,0,55,80,4000,4160
2,0,59,80,4160,4320
1,0,65,80,4320,4480
1,0,67,80,4320,4800
2,0,59,80,4480,4640
2,0,55,80,4640,4800
2,0,43,80,4800,4960
2,0,55,80,4960,5120
1,0,67,80,5040,5280
2,0,59,80,5120,5280
1,0,65,80,5280,5440
1,0,67,80,5280,5520
2,0,59,80,5440,5600
1,0,67,80,5520,5760
2,0,55,80,5600,5760
2,0,48,80,5760,5920
1,0,76,80,5760,6000
2,0,55,80,5920,6080
1,0,74,80,6000,6240
1,0,60,80,6080,6240
1,0,64,80,6240,6400
1,0,72,80,6240,6480
1,0,60,80,6400,6560
1,0,71,80,6480,6720
2,0,55,80,6560,6720
2,0,50,80,6720,6880
1,0,69,80,6720,7440
2,0,57,80,6880,7040
1,0,60,80,7040,7200
1,0,66,80,7200,7360
1,0,60,80,7360,7520
1,0,71,80,7440,7680
2,0,57,80,7520,7680
2,0,43,80,7680,7840
1,0,67,80,7680,8160
2,0,55,80,7840,8000
2,0,59,80,8000,8160
1,0,67,80,8160,8320
2,0,59,80,8320,8480
2,0,55,80,8480,8640
2,0,43,80,8640,9120
1,0,64,80,9120,9600
2,0,40,80,9600,9760
1,0,64,80,9600,9840
2,0,47,80,9760,9920
1,0,66,80,9840,10080
2,0,52,80,9920,10080
2,0,47,80,10080,10240
1,0,68,80,10080,10320
2,0,52,80,10240,10400
1,0,69,80,10320,10560
2,0,56,80,10400,10560
2,0,52,80,10560,10720
1,0,71,80,10560,10800
2,0,56,80,10720,10880
1,0,72,80,10800,11040
2,0,59,80,10880,11040
2,0,56,80,11040,11200
1,0,74,80,11040,11280
2,0,59,80,11200,11360
1,0,76,80,11280,11520
1,0,64,80,11360,11520
2,0,45,80,11520,11680
1,0,74,80,11520,12000
2,0,57,80,11680,11840
1,0,60,80,11840,12000
1,0,64,80,12000,12160
1,0,72,80,12000,12480
1,0,60,80,12160,12320
2,0,57,80,12320,12480
2,0,41,80,12480,12640
2,0,57,80,12640,12800
1,0,77,80,12720,12960
1,0,62,80,12800,12960
1,0,65,80,12960,13120
1,0,76,80,12960,13200
1,0,62,80,13120,13280
1,0,74,80,13200,13440
2,0,57,80,13280,13440
2,0,43,80,13440,13600
1,0,72,80,13440,13920
1,0,74,80,13440,13500
1,0,76,80,13440,13500
2,0,55,80,13600,13760
1,0,60,80,13760,13920
1,0,64,80,13920,14080
1,0,60,80,14080,14240
1,0,72,80,14160,14400
2,0,55,80,14240,14400
2,0,43,80,14400,14560
1,0,71,80,14400,14640
2,0,55,80,14560,14720
1,0,72,80,14640,14880
2,0,59,80,14720,14880
1,0,65,80,14880,15040
1,0,76,80,14880,15120
2,0,59,80,15040,15200
1,0,74,80,15120,15360
2,0,55,80,15200,15360
2,0,48,80,15360,15520
1,0,72,80,15360,15840
2,0,55,80,15520,15680
1,0,60,80,15680,15840
1,0,64,80,15840,16000
1,0,60,80,16000,16160
2,0,55,80,16160,16320
2,0,48,80,16320,16800
