# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,535714
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
1,0,58,80,0,384
2,0,39,80,384,1536
2,0,51,80,384,1536
1,0,58,80,384,1536
1,0,67,80,384,768
1,0,70,80,384,768
1,0,65,80,768,1152
1,0,68,80,768,1152
1,0,63,80,1152,1536
1,0,67,80,1152,1536
2,0,39,80,1536,1920
2,0,51,80,1536,1920
1,0,58,80,1536,2304
1,0,63,80,1536,2304
1,0,67,80,1536,2304
2,0,41,80,1920,2304
2,0,53,80,1920,2304
2,0,43,80,2304,2688
2,0,55,80,2304,2688
1,0,58,80,2304,2688
1,0,63,80,2304,2688
1,0,68,80,2304,2496
1,0,67,80,2496,2688
2,0,44,80,2688,3072
2,0,56,80,2688,3072
1,0,60,80,2688,3072
1,0,63,80,2688,3072
1,0,67,80,2688,2880
1,0,65,80,2880,3072
2,0,44,80,3072,3456
2,0,56,80,3072,3456
1,0,60,80,3072,3456
1,0,63,80,3072,3456
1,0,65,80,3072,3456
2,0,44,80,3456,3840
2,0,56,80,3456,3840
1,0,60,80,3456,3840
1,0,63,80,3456,3840
1,0,65,80,3456,3840
2,0,44,80,3840,4224
2,0,56,80,3840,4224
1,0,60,80,3840,4224
1,0,63,80,3840,4224
1,0,65,80,3840,4224
2,0,46,80,4992,6144
2,0,58,80,4992,6144
1,0,65,80,4992,5376
1,0,68,80,4992,5376
1,0,63,80,5376,5760
1,0,67,80,5376,5760
1,0,62,80,5760,6144
1,0,65,80,5760,6144
2,0,34,80,6144,6528
2,0,46,80,6144,6528
1,0,58,80,6144,6912
1,0,62,80,6144,6528
1,0,70,80,6144,6912
2,0,36,80,6528,6912
2,0,48,80,6528,6912
1,0,63,80,6528,6912
2,0,38,80,6912,7296
2,0,50,80,6912,7296
1,0,58,80,6912,7296
1,0,65,80,6912,7296
1,0,68,80,6912,7296
2,0,39,80,7296,7680
2,0,51,80,7296,7680
1,0,58,80,7296,7680
1,0,63,80,7296,7680
1,0,68,80,7296,7488
1,0,67,80,7488,7680
2,0,39,80,7680,8064
2,0,51,80,7680,8064
1,0,58,80,7680,8064
1,0,63,80,7680,8064
1,0,67,80,7680,8064
2,0,39,80,8064,8448
2,0,51,80,8064,8448
1,0,58,80,8064,8448
1,0,63,80,8064,8448
1,0,67,80,8064,8448
2,0,39,80,8448,8832
2,0,51,80,8448,8832
1,0,58,80,8448,8832
1,0,63,80,8448,8832
1,0,67,80,8448,8832
1,0,58,80,9280,9344
1,0,60,80,9344,9408
1,0,62,80,9408,9472
1,0,63,80,9472,9536
1,0,65,80,9536,9600
2,0,39,80,9600,11136
2,0,51,80,9600,11136
1,0,63,80,9600,9984
1,0,67,80,9600,9984
1,0,65,80,9984,10368
1,0,68,80,9984,10368
1,0,67,80,10368,10752
1,0,70,80,10368,10752
1,0,60,80,10752,11520
1,0,65,80,10752,11520
1,0,69,80,10752,11520
1,0,72,80,10752,11520
2,0,39,80,11136,11520
2,0,51,80,11136,11520
2,0,38,80,11520,11904
2,0,50,80,11520,11904
1,0,62,80,11520,11904
1,0,65,80,11520,11904
1,0,70,80,11520,11904
1,0,74,80,11520,11904
2,0,36,80,11904,12288
2,0,48,80,11904,12288
1,0,63,80,11904,12288
1,0,65,80,11904,12288
1,0,69,80,11904,12288
1,0,75,80,11904,12288
2,0,41,80,12288,12672
2,0,53,80,12288,12672
1,0,63,80,12288,12672
1,0,65,80,12288,12672
1,0,69,80,12288,12672
1,0,75,80,12288,12672
2,0,34,80,12672,13056
2,0,46,80,12672,13056
1,0,62,80,12672,13056
1,0,65,80,12672,13056
1,0,70,80,12672,13056
1,0,74,80,12672,13056
2,0,39,80,13056,13440
2,0,51,80,13056,13440
1,0,67,80,13056,13440
1,0,70,80,13056,13440
1,0,75,80,13056,13440
1,0,79,80,13056,13440
2,0,51,80,14208,14976
2,0,63,80,14208,14976
1,0,67,80,14208,14976
1,0,79,80,14208,14976
1,0,69,80,14592,14976
2,0,50,80,14976,15360
2,0,62,80,14976,15360
1,0,65,80,14976,15360
1,0,70,80,14976,15744
1,0,77,80,14976,15360
2,0,48,80,15360,16128
2,0,60,80,15360,16128
1,0,63,80,15360,16128
1,0,75,80,15360,16128
1,0,69,80,15744,16128
2,0,46,80,16128,16512
2,0,58,80,16128,16512
1,0,62,80,16128,16512
1,0,70,80,16128,16512
1,0,74,80,16128,16576
2,0,51,80,16512,16896
1,0,63,80,16512,16896
1,0,67,80,16512,16896
1,0,72,80,16512,16896
2,0,53,80,16896,17280
1,0,62,80,16896,17280
1,0,65,80,16896,17280
1,0,70,80,16896,17280
2,0,41,80,17280,17664
1,0,60,80,17280,17664
1,0,63,80,17280,17664
1,0,65,80,17280,17664
1,0,69,80,17280,17664
2,0,46,80,17664,18048
2,0,58,80,17664,18048
1,0,62,80,17664,18048
1,0,65,80,17664,18048
1,0,70,80,17664,18048
1,0,58,80,18432,18816
2,0,39,80,18816,19968
2,0,51,80,18816,19968
1,0,58,80,18816,19968
1,0,67,80,18816,19200
1,0,70,80,18816,19200
1,0,65,80,19200,19584
1,0,68,80,19200,19584
1,0,63,80,19584,19968
1,0,67,80,19584,19968
2,0,39,80,19968,20352
2,0,51,80,19968,20352
1,0,58,80,19968,20736
1,0,63,80,19968,20736
1,0,67,80,19968,20736
2,0,41,80,20352,20736
2,0,53,80,20352,20736
2,0,43,80,20736,21120
2,0,55,80,20736,21120
1,0,58,80,20736,21120
1,0,63,80,20736,21120
1,0,68,80,20736,20928
1,0,67,80,20928,21120
2,0,44,80,21120,21504
2,0,56,80,21120,21504
1,0,60,80,21120,21504
1,0,63,80,21120,21504
1,0,67,80,21120,21312
1,0,65,80,21312,21504
2,0,44,80,21504,21888
2,0,56,80,21504,21888
1,0,60,80,21504,21888
1,0,63,80,21504,21888
1,0,65,80,21504,21888
2,0,44,80,21888,22272
2,0,56,80,21888,22272
1,0,60,80,21888,22272
1,0,63,80,21888,22272
1,0,65,80,21888,22272
2,0,44,80,22272,22656
2,0,56,80,22272,22656
1,0,60,80,22272,22656
1,0,63,80,22272,22656
1,0,65,80,22272,22656
2,0,46,80,23424,24576
2,0,58,80,23424,24576
1,0,65,80,23424,23808
1,0,68,80,23424,23808
1,0,63,80,23808,24192
1,0,67,80,23808,24192
1,0,62,80,24192,24576
1,0,65,80,24192,24576
2,0,34,80,24576,24960
2,0,46,80,24576,24960
1,0,58,80,24576,25344
1,0,62,80,24576,24960
1,0,70,80,24576,25344
2,0,36,80,24960,25344
2,0,48,80,24960,25344
1,0,63,80,24960,25344
2,0,38,80,25344,25728
2,0,50,80,25344,25728
1,0,58,80,25344,25728
1,0,65,80,25344,25728
1,0,68,80,25344,25728
2,0,39,80,25728,26112
2,0,51,80,25728,26112
1,0,58,80,25728,26112
1,0,63,80,25728,26112
1,0,68,80,25728,25920
1,0,67,80,25920,26112
2,0,39,80,26112,26496
2,0,51,80,26112,26496
1,0,58,80,26112,26496
1,0,63,80,26112,26496
1,0,67,80,26112,26496
2,0,39,80,26496,26880
2,0,51,80,26496,26880
1,0,58,80,26496,26880
1,0,63,80,26496,26880
1,0,67,80,26496,26880
2,0,39,80,26880,27264
2,0,51,80,26880,27264
1,0,58,80,26880,27264
1,0,63,80,26880,27264
1,0,67,80,26880,27264
1,0,58,80,27712,27776
1,0,60,80,27776,27840
1,0,62,80,27840,27904
1,0,63,80,27904,27968
1,0,65,80,27968,28032
2,0,39,80,28032,29568
2,0,51,80,28032,29568
1,0,63,80,28032,28416
1,0,67,80,28032,28416
1,0,65,80,28416,28800
1,0,68,80,28416,28800
1,0,67,80,28800,29184
1,0,70,80,28800,29184
1,0,60,80,29184,29952
1,0,65,80,29184,29952
1,0,69,80,29184,29952
1,0,72,80,29184,29952
2,0,39,80,29568,29952
2,0,51,80,29568,29952
2,0,38,80,29952,30336
2,0,50,80,29952,30336
1,0,62,80,29952,30336
1,0,65,80,29952,30336
1,0,70,80,29952,30336
1,0,74,80,29952,30336
2,0,36,80,30336,30720
2,0,48,80,30336,30720
1,0,63,80,30336,30720
1,0,65,80,30336,30720
1,0,69,80,30336,30720
1,0,75,80,30336,30720
2,0,41,80,30720,31104
2,0,53,80,30720,31104
1,0,63,80,30720,31104
1,0,65,80,30720,31104
1,0,69,80,30720,31104
1,0,75,80,30720,31104
2,0,34,80,31104,31488
2,0,46,80,31104,31488
1,0,62,80,31104,31488
1,0,65,80,31104,31488
1,0,70,80,31104,31488
1,0,74,80,31104,31488
2,0,39,80,31488,31872
2,0,51,80,31488,31872
1,0,67,80,31488,31872
1,0,70,80,31488,31872
1,0,75,80,31488,31872
1,0,79,80,31488,31872
2,0,51,80,32640,33408
2,0,63,80,32640,33408
1,0,67,80,32640,33408
