# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,71,80,0,240
2,0,44,80,720,1440
2,0,52,80,720,1440
2,0,55,80,720,1440
1,0,60,80,720,1440
1,0,71,80,720,1200
1,0,65,80,960,1200
1,0,64,80,1200,1440
1,0,69,80,1200,1440
1,0,67,80,1440,1680
1,0,64,80,1680,1920
1,0,71,80,1680,2160
2,0,44,80,1920,2160
2,0,52,80,1920,2160
2,0,55,80,1920,2160
1,0,60,80,1920,2160
1,0,63,80,1920,2160
2,0,44,80,2160,2640
2,0,52,80,2160,2640
2,0,55,80,2160,2640
1,0,60,80,2160,2640
1,0,63,80,2160,2320
1,0,71,80,2160,2400
1,0,62,80,2320,2480
1,0,70,80,2400,2640
1,0,66,80,2480,2640
2,0,44,80,2640,2760
2,0,52,80,2640,2760
2,0,55,80,2640,2760
1,0,60,80,2640,2760
1,0,68,80,2640,2880
1,0,70,80,2640,2760
1,0,65,80,2880,3120
1,0,75,80,3000,3120
2,0,53,80,3120,3360
2,0,59,80,3120,3360
1,0,62,80,3120,3360
1,0,66,80,3120,3360
1,0,72,80,3120,3360
1,0,75,80,3120,3280
1,0,74,80,3280,3600
2,0,53,80,3360,3600
2,0,59,80,3360,3600
1,0,62,80,3360,3600
1,0,66,80,3360,3600
1,0,72,80,3360,3600
1,0,66,80,3480,3600
1,0,67,80,3600,3780
1,0,74,80,3600,3840
1,0,65,80,3780,3960
1,0,61,80,3960,4140
1,0,74,80,3960,4200
2,0,54,80,4080,4320
2,0,57,80,4080,4320
1,0,63,80,4080,4320
1,0,67,80,4080,4320
1,0,71,80,4080,4320
1,0,69,80,4140,4320
1,0,76,80,4200,4320
1,0,72,80,4320,4480
2,0,54,80,4440,4800
2,0,57,80,4440,4800
1,0,63,80,4440,4800
1,0,67,80,4440,4800
1,0,71,80,4440,4800
1,0,75,80,4440,4800
1,0,67,80,4640,4800
1,0,71,80,4800,5040
2,0,53,80,4960,5280
2,0,59,80,4960,5280
1,0,62,80,4960,5280
1,0,66,80,4960,5280
1,0,72,80,4960,5280
1,0,76,80,4960,5280
1,0,68,80,5040,5280
1,0,66,80,5280,5520
2,0,54,80,5440,5760
2,0,57,80,5440,5760
1,0,63,80,5440,5760
1,0,67,80,5440,5760
1,0,71,80,5440,5760
1,0,74,80,5440,5760
1,0,65,80,5520,5760
1,0,60,80,5760,6000
2,0,30,80,6000,6480
1,0,89,80,6240,6480
2,0,29,80,6480,6720
1,0,83,80,6480,6960
1,0,90,80,6480,6960
1,0,94,80,6480,6960
2,0,57,80,6720,7200
1,0,62,80,6720,6960
1,0,62,80,6720,7200
1,0,68,80,6720,7200
1,0,63,80,6960,7200
1,0,77,80,6960,7200
1,0,87,80,6960,7200
1,0,91,80,6960,7200
2,0,30,80,7200,7360
1,0,68,80,7200,7440
1,0,77,80,7200,7920
1,0,87,80,7200,7920
1,0,91,80,7200,7920
2,0,29,80,7360,7680
1,0,67,80,7440,7680
2,0,57,80,7680,8160
1,0,62,80,7680,8160
1,0,66,80,7680,7840
1,0,68,80,7680,8160
1,0,70,80,7840,8000
1,0,83,80,7920,8160
1,0,90,80,7920,8160
1,0,94,80,7920,8160
1,0,72,80,8000,8160
2,0,30,80,8160,8400
1,0,76,80,8160,8400
2,0,29,80,8400,8640
1,0,71,80,8400,8480
1,0,63,80,8480,8640
2,0,28,80,8640,8880
2,0,40,80,8880,9120
2,0,47,80,8880,9120
2,0,53,80,8880,9120
2,0,56,80,8880,9120
1,0,60,80,8880,9120
1,0,67,80,8880,9120
2,0,40,80,9120,10080
2,0,47,80,9120,10080
2,0,53,80,9120,10080
2,0,56,80,9120,10080
1,0,60,80,9120,10080
1,0,67,80,9120,9280
1,0,72,80,9120,9440
1,0,66,80,9280,9600
1,0,70,80,9440,9600
1,0,66,80,9600,9840
1,0,71,80,9760,9920
1,0,69,80,9840,10080
1,0,72,80,9920,10080
1,0,73,80,10080,10320
1,0,67,80,10320,10800
1,0,72,80,10560,10800
2,0,28,80,10800,11520
2,0,56,80,10800,11520
1,0,61,80,10800,11520
1,0,67,80,10800,11280
1,0,70,80,10800,10980
1,0,69,80,10980,11160
1,0,64,80,11160,11340
1,0,66,80,11280,11520
1,0,63,80,11340,11520
2,0,40,80,11520,12480
2,0,47,80,11520,12480
2,0,53,80,11520,12480
2,0,56,80,11520,12480
1,0,61,80,11520,11760
1,0,61,80,11520,12480
1,0,66,80,11520,12000
1,0,69,80,12000,12480
2,0,40,80,12480,12960
2,0,47,80,12480,12960
2,0,53,80,12480,12960
2,0,56,80,12480,12960
1,0,61,80,12480,12960
1,0,69,80,12480,12960
