# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,44,80,0,360
2,0,51,80,0,360
2,0,56,80,0,360
1,0,60,80,0,360
2,0,44,80,360,480
2,0,51,80,360,480
2,0,56,80,360,480
1,0,60,80,360,480
2,0,44,80,480,720
2,0,51,80,480,720
2,0,56,80,480,720
1,0,60,80,480,720
2,0,44,80,720,960
2,0,51,80,720,960
2,0,56,80,720,960
1,0,60,80,720,960
2,0,44,80,960,1440
2,0,48,80,960,1440
2,0,56,80,960,1440
1,0,63,80,960,1440
2,0,44,80,1440,1920
2,0,51,80,1440,1920
2,0,56,80,1440,1920
1,0,60,80,1440,1920
2,0,41,80,1920,2400
2,0,48,80,1920,2400
2,0,56,80,1920,2400
2,0,34,80,2400,2880
2,0,49,80,2400,2880
2,0,53,80,2400,2880
2,0,58,80,2400,2880
2,0,39,80,2880,3840
2,0,46,80,2880,3840
2,0,51,80,2880,3840
2,0,55,80,2880,3840
2,0,44,80,3840,4200
2,0,51,80,3840,4200
2,0,56,80,3840,4200
1,0,60,80,3840,4200
1,0,63,80,3840,4320
2,0,44,80,4200,4320
2,0,51,80,4200,4320
2,0,56,80,4200,4320
1,0,60,80,4200,4320
2,0,44,80,4320,4560
2,0,51,80,4320,4560
2,0,56,80,4320,4560
1,0,60,80,4320,4560
1,0,60,80,4320,4560
2,0,44,80,4560,4800
2,0,51,80,4560,4800
2,0,56,80,4560,4800
2,0,58,80,4560,4800
1,0,60,80,4560,4800
2,0,48,80,4800,5160
2,0,51,80,4800,5160
2,0,56,80,4800,5160
2,0,56,80,4800,5280
1,0,63,80,4800,5160
2,0,48,80,5160,5280
2,0,51,80,5160,5280
2,0,56,80,5160,5520
1,0,63,80,5160,5280
2,0,48,80,5280,5520
2,0,51,80,5280,5520
2,0,56,80,5280,5520
1,0,63,80,5280,5520
2,0,48,80,5520,5760
2,0,51,80,5520,5760
2,0,56,80,5520,5760
1,0,63,80,5520,5760
1,0,68,80,5520,5760
2,0,46,80,5760,6120
2,0,56,80,5760,6120
