# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,44,80,0,240
1,0,60,80,0,240
2,0,49,80,960,1320
2,0,56,80,960,1920
1,0,65,80,960,1320
2,0,48,80,1320,1440
1,0,63,80,1320,1440
2,0,46,80,1440,1680
1,0,61,80,1440,1680
2,0,49,80,1680,1920
1,0,65,80,1680,1920
2,0,48,80,1920,2400
1,0,63,80,1920,2400
2,0,56,80,2160,2400
2,0,55,80,2400,2640
2,0,56,80,2400,2460
2,0,58,80,2400,2460
2,0,56,80,2640,2880
2,0,51,80,2880,3360
2,0,56,80,2880,3360
2,0,58,80,2880,3360
2,0,39,80,3360,3840
2,0,55,80,3360,3840
1,0,61,80,3360,3720
1,0,60,80,3720,3840
2,0,44,80,3840,4320
2,0,51,80,3840,4320
1,0,60,80,3840,4320
2,0,44,80,4320,4560
2,0,51,80,4320,4560
1,0,60,80,4320,4560
1,0,68,80,4560,4800
2,0,49,80,4800,5160
1,0,65,80,4800,5160
1,0,68,80,4800,5160
1,0,77,80,4800,5160
1,0,77,80,4800,5160
2,0,48,80,5160,5280
1,0,63,80,5160,5280
1,0,68,80,5160,5280
1,0,75,80,5160,5280
1,0,75,80,5160,5280
2,0,46,80,5280,5520
1,0,61,80,5280,5520
1,0,68,80,5280,5520
1,0,73,80,5280,5520
1,0,73,80,5280,5520
2,0,49,80,5520,5760
1,0,65,80,5520,5760
1,0,68,80,5520,5760
1,0,77,80,5520,5760
1,0,77,80,5520,5760
2,0,48,80,5760,6240
1,0,63,80,5760,6240
1,0,68,80,5760,6240
1,0,75,80,5760,6000
1,0,75,80,5760,6240
1,0,68,80,6000,6240
2,0,46,80,6240,6480
1,0,61,80,6240,6480
1,0,63,80,6240,6480
1,0,67,80,6240,6480
1,0,67,80,6240,6480
2,0,44,80,6480,6720
1,0,60,80,6480,6720
1,0,63,80,6480,6720
1,0,68,80,6480,6720
1,0,68,80,6480,6720
2,0,49,80,6720,7200
1,0,63,80,6720,7080
1,0,65,80,6720,7200
1,0,72,80,6720,7080
1,0,72,80,6720,7080
