# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,65,80,0,480
1,0,65,80,0,480
2,0,53,80,1920,2160
1,0,72,80,1920,2880
1,0,72,80,1920,2880
2,0,56,80,2160,2400
2,0,55,80,2400,2640
2,0,58,80,2640,2880
2,0,56,80,2880,3120
1,0,72,80,2880,3360
1,0,72,80,2880,3360
1,0,60,80,3120,3360
2,0,53,80,3360,3600
1,0,77,80,3360,3840
1,0,77,80,3360,3840
2,0,56,80,3600,3840
2,0,55,80,3840,4080
1,0,76,80,3840,4320
1,0,76,80,3840,4320
1,0,77,80,3840,3900
1,0,77,80,3840,3900
2,0,58,80,4080,4320
2,0,56,80,4320,4560
1,0,76,80,4320,5280
1,0,76,80,4320,5280
1,0,60,80,4560,4800
2,0,58,80,4800,5040
1,0,61,80,5040,5280
2,0,55,80,5280,5520
2,0,58,80,5520,5760
1,0,76,80,5520,5760
1,0,76,80,5520,5760
2,0,56,80,5760,6000
1,0,77,80,5760,6240
1,0,77,80,5760,6240
1,0,60,80,6000,6240
2,0,55,80,6240,6480
1,0,75,80,6240,6720
1,0,75,80,6240,6720
2,0,58,80,6480,6720
2,0,53,80,6720,6960
1,0,73,80,6720,7200
1,0,73,80,6720,7200
2,0,56,80,6960,7200
2,0,51,80,7200,7440
1,0,72,80,7200,7680
1,0,72,80,7200,7680
2,0,55,80,7440,7680
2,0,50,80,7680,7920
1,0,71,80,7680,8400
1,0,71,80,7680,8400
2,0,53,80,7920,8160
2,0,51,80,8160,8400
2,0,55,80,8400,8640
1,0,72,80,8400,8640
1,0,72,80,8400,8640
2,0,53,80,8640,8880
1,0,74,80,8640,9120
1,0,74,80,8640,9120
2,0,56,80,8880,9120
2,0,55,80,9120,9360
2,0,58,80,9360,9600
1,0,76,80,9360,9600
1,0,76,80,9360,9600
2,0,56,80,9600,10560
1,0,60,80,9600,10560
1,0,77,80,9600,10320
1,0,77,80,9600,10320
1,0,73,80,10320,10560
1,0,73,80,10320,10560
2,0,52,80,10560,11520
1,0,60,80,10560,11520
1,0,68,80,10560,11280
1,0,72,80,10560,11280
1,0,72,80,10560,11280
1,0,67,80,11280,11520
1,0,70,80,11280,11520
1,0,70,80,11280,11520
2,0,53,80,11520,12480
1,0,60,80,11520,12480
1,0,67,80,11520,12000
1,0,70,80,11520,12000
1,0,70,80,11520,12000
1,0,72,80,11520,11580
1,0,72,80,11520,11580
1,0,65,80,12000,12960
1,0,68,80,12000,12960
1,0,68,80,12000,12960
2,0,58,80,12480,13440
1,0,64,80,12960,13440
1,0,67,80,12960,13440
1,0,67,80,12960,13440
2,0,56,80,13440,13920
1,0,60,80,13440,13920
1,0,65,80,13440,13920
1,0,65,80,13440,13920
2,0,56,80,13920,14400
1,0,60,80,13920,14400
1,0,65,80,13920,14400
1,0,72,80,13920,14400
1,0,72,80,13920,14400
2,0,55,80,14400,14880
1,0,60,80,14400,14880
1,0,64,80,14400,14880
1,0,70,80,14400,14880
1,0,70,80,14400,14880
2,0,53,80,14880,15360
1,0,60,80,14880,15360
1,0,65,80,14880,15360
1,0,68,80,14880,15360
1,0,68,80,14880,15360
1,0,64,80,15360,16320
1,0,65,80,15360,15420
1,0,67,80,15360,16320
1,0,67,80,15360,16320
1,0,68,80,15360,15420
1,0,68,80,15360,15420
2,0,48,80,15840,16320
1,0,60,80,16320,16800
1,0,64,80,16800,17280
1,0,67,80,16800,17280
1,0,67,80,16800,17280
1,0,64,80,17280,18240
1,0,67,80,17280,18240
1,0,67,80,17280,18240
1,0,61,80,17760,18240
1,0,60,80,18240,18720
1,0,64,80,18240,18720
1,0,67,80,18240,18720
1,0,67,80,18240,18720
2,0,59,80,18720,19200
1,0,65,80,18720,19200
1,0,68,80,18720,19200
1,0,68,80,18720,19200
1,0,60,80,19200,19680
1,0,65,80,19200,19680
1,0,68,80,19200,19680
1,0,68,80,19200,19680
1,0,70,80,19200,19260
1,0,70,80,19200,19260
1,0,61,80,19680,20160
1,0,64,80,19680,20160
1,0,67,80,19680,20160
1,0,67,80,19680,20160
1,0,60,80,20160,20640
2,0,58,80,20640,21120
1,0,64,80,20640,21120
1,0,67,80,20640,21120
1,0,67,80,20640,21120
2,0,56,80,21120,21600
1,0,65,80,21120,22560
1,0,72,80,21120,21600
1,0,72,80,21120,21600
2,0,58,80,21600,22080
1,0,73,80,21600,22080
1,0,73,80,21600,22080
2,0,56,80,22080,22560
1,0,72,80,22080,22560
1,0,72,80,22080,22560
2,0,53,80,22560,23040
1,0,68,80,22560,23040
