# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,576923
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,55,80,0,384
1,0,67,80,0,192
1,0,71,80,192,384
2,0,59,80,384,576
1,0,74,80,384,576
2,0,55,80,576,768
1,0,71,80,576,768
1,0,79,80,576,768
2,0,62,80,768,960
1,0,69,80,768,960
1,0,78,80,768,960
2,0,60,80,960,1152
1,0,74,80,960,1152
2,0,59,80,1152,1344
1,0,67,80,1152,1344
1,0,79,80,1152,1344
2,0,55,80,1344,1536
1,0,71,80,1344,1536
2,0,57,80,1536,1728
1,0,72,80,1536,1728
2,0,48,80,1728,1920
1,0,64,80,1728,1920
2,0,50,80,1920,2112
1,0,66,80,1920,2112
2,0,54,80,2112,2304
1,0,74,80,2112,2304
2,0,55,80,2304,2496
1,0,71,80,2304,2496
2,0,59,80,2496,2688
1,0,67,80,2496,2688
2,0,62,80,2688,2880
2,0,67,80,2880,3072
1,0,83,80,2880,3072
2,0,66,80,3072,3456
1,0,81,80,3072,3264
1,0,78,80,3264,3456
1,0,74,80,3456,3648
2,0,50,80,3648,3840
1,0,78,80,3648,3840
2,0,52,80,3840,4032
1,0,79,80,3840,4032
2,0,55,80,4032,4224
1,0,64,80,4032,4224
2,0,59,80,4224,4416
2,0,64,80,4416,4608
1,0,79,80,4416,4608
2,0,62,80,4608,4992
1,0,78,80,4608,4800
1,0,74,80,4800,4992
1,0,71,80,4992,5184
2,0,47,80,5184,5376
1,0,74,80,5184,5376
2,0,48,80,5376,5568
1,0,76,80,5376,5568
2,0,52,80,5568,5760
1,0,60,80,5568,5760
2,0,55,80,5760,5952
2,0,60,80,5952,6144
1,0,76,80,5952,6144
2,0,59,80,6144,6528
1,0,74,80,6144,6336
1,0,71,80,6336,6528
1,0,67,80,6528,6720
2,0,55,80,6720,6912
1,0,83,80,6720,6912
2,0,57,80,6912,7104
1,0,84,80,6912,7008
1,0,81,80,7008,7104
2,0,66,80,7104,7296
1,0,79,80,7104,7200
1,0,81,80,7200,7296
2,0,55,80,7296,7488
1,0,83,80,7296,7392
1,0,79,80,7392,7488
2,0,64,80,7488,7680
1,0,78,80,7488,7584
1,0,79,80,7584,7680
2,0,54,80,7680,7872
1,0,81,80,7680,7776
1,0,78,80,7776,7872
2,0,62,80,7872,8064
1,0,76,80,7872,7968
1,0,78,80,7968,8064
2,0,52,80,8064,8256
1,0,79,80,8064,8160
1,0,76,80,8160,8256
2,0,61,80,8256,8448
1,0,74,80,8256,8352
1,0,76,80,8352,8448
2,0,62,80,8448,8640
1,0,78,80,8448,8544
1,0,76,80,8544,8640
2,0,50,80,8640,8832
1,0,74,80,8640,8832
2,0,54,80,8832,9024
2,0,50,80,9024,9216
1,0,81,80,9024,9216
2,0,55,80,9216,9408
1,0,83,80,9216,9312
1,0,81,80,9312,9408
2,0,43,80,9408,9600
1,0,79,80,9408,9504
1,0,78,80,9504,9600
1,0,76,80,9600,9696
1,0,74,80,9696,9792
2,0,55,80,9792,9984
1,0,73,80,9792,9888
1,0,71,80,9888,9984
2,0,57,80,9984,10176
1,0,73,80,9984,10176
2,0,45,80,10176,10368
1,0,69,80,10176,10368
2,0,57,80,10368,10560
1,0,73,80,10368,10560
2,0,57,80,10560,10752
1,0,76,80,10560,10752
2,0,54,80,10752,10944
1,0,81,80,10752,10848
1,0,79,80,10848,10944
2,0,62,80,10944,11136
1,0,78,80,10944,11040
1,0,76,80,11040,11136
1,0,74,80,11136,11232
1,0,73,80,11232,11328
2,0,54,80,11328,11520
1,0,71,80,11328,11424
1,0,69,80,11424,11520
2,0,55,80,11520,11712
1,0,71,80,11520,11616
1,0,74,80,11616,11712
2,0,43,80,11712,11904
1,0,73,80,11712,11808
1,0,74,80,11808,11904
2,0,42,80,11904,12096
1,0,69,80,11904,12000
1,0,74,80,12000,12096
2,0,54,80,12096,12288
1,0,73,80,12096,12192
1,0,74,80,12192,12288
2,0,52,80,12288,12480
1,0,67,80,12288,12384
1,0,79,80,12384,12480
2,0,50,80,12480,12672
1,0,78,80,12480,12576
1,0,79,80,12576,12672
2,0,49,80,12672,12864
1,0,76,80,12672,12768
1,0,79,80,12768,12864
2,0,47,80,12864,13056
1,0,74,80,12864,12960
1,0,79,80,12960,13056
2,0,45,80,13056,13248
1,0,73,80,13056,13248
2,0,55,80,13248,13440
1,0,73,80,13248,13440
1,0,83,80,13248,13440
2,0,54,80,13440,13632
1,0,74,80,13440,13632
1,0,81,80,13440,13632
2,0,55,80,13632,13824
1,0,76,80,13632,13824
1,0,79,80,13632,13824
2,0,57,80,13824,14016
1,0,74,80,13824,14112
1,0,78,80,13824,14112
2,0,55,80,14016,14208
1,0,76,80,14112,14208
2,0,57,80,14208,14400
1,0,73,80,14208,14496
1,0,76,80,14208,14496
2,0,45,80,14400,14592
1,0,74,80,14496,14592
2,0,50,80,14592,14784
1,0,66,80,14592,14976
1,0,69,80,14592,14976
1,0,74,80,14592,14976
2,0,52,80,14784,14880
2,0,54,80,14880,14976
2,0,55,80,14976,15072
2,0,57,80,15072,15168
2,0,59,80,15168,15264
2,0,61,80,15264,15360
2,0,62,80,15360,15552
1,0,74,80,15360,15552
2,0,50,80,15552,15744
1,0,78,80,15552,15744
2,0,54,80,15744,15936
1,0,81,80,15744,15936
2,0,50,80,15936,16128
1,0,78,80,15936,16128
1,0,86,80,15936,16128
2,0,57,80,16128,16320
1,0,76,80,16128,16320
1,0,85,80,16128,16320
2,0,55,80,16320,16512
1,0,81,80,16320,16512
2,0,54,80,16512,16704
1,0,74,80,16512,16704
1,0,86,80,16512,16704
2,0,50,80,16704,16896
1,0,78,80,16704,16896
2,0,52,80,16896,17088
1,0,79,80,16896,17088
2,0,55,80,17088,17280
1,0,71,80,17088,17280
2,0,57,80,17280,17472
1,0,73,80,17280,17472
2,0,45,80,17472,17664
1,0,81,80,17472,17664
2,0,50,80,17664,17856
1,0,78,80,17664,17856
2,0,54,80,17856,18048
1,0,74,80,17856,18048
2,0,57,80,18048,18240
2,0,62,80,18240,18432
1,0,81,80,18240,18432
2,0,60,80,18432,18816
2,0,62,80,18432,18816
1,0,78,80,18432,18624
1,0,74,80,18624,18816
1,0,74,80,18816,18912
1,0,76,80,18912,19008
1,0,74,80,19008,19200
2,0,59,80,19200,19584
2,0,62,80,19200,19584
1,0,79,80,19200,19392
1,0,74,80,19392,19584
1,0,76,80,19584,19648
1,0,74,80,19648,19712
1,0,76,80,19712,19776
1,0,74,80,19776,19840
1,0,73,80,19840,19904
1,0,74,80,19904,19968
2,0,54,80,19968,20352
2,0,62,80,19968,20352
1,0,81,80,19968,20160
1,0,74,80,20160,20352
1,0,76,80,20352,20416
1,0,74,80,20416,20480
1,0,76,80,20480,20544
1,0,74,80,20544,20608
1,0,73,80,20608,20672
1,0,74,80,20672,20736
2,0,55,80,20736,21120
2,0,62,80,20736,21120
1,0,83,80,20736,20928
1,0,71,80,20928,21120
1,0,74,80,20928,21120
1,0,71,80,21120,21216
1,0,74,80,21120,21216
1,0,72,80,21216,21312
1,0,76,80,21216,21312
2,0,62,80,21312,21504
1,0,74,80,21312,21504
1,0,78,80,21312,21504
2,0,67,80,21504,21696
1,0,71,80,21504,21600
1,0,74,80,21504,21600
1,0,72,80,21600,21696
1,0,76,80,21600,21696
2,0,62,80,21696,21888
1,0,74,80,21696,21888
1,0,78,80,21696,21888
2,0,59,80,21888,22080
1,0,71,80,21888,21984
1,0,74,80,21888,21984
1,0,72,80,21984,22080
1,0,76,80,21984,22080
2,0,62,80,22080,22272
1,0,74,80,22080,22272
1,0,78,80,22080,22272
2,0,67,80,22272,22464
1,0,71,80,22272,22368
1,0,74,80,22272,22368
1,0,72,80,22368,22464
1,0,76,80,22368,22464
2,0,62,80,22464,22656
1,0,74,80,22464,22656
1,0,78,80,22464,22656
2,0,59,80,22656,22848
1,0,71,80,22656,22752
1,0,74,80,22656,22752
1,0,72,80,22752,22848
1,0,76,80,22752,22848
2,0,62,80,22848,23040
1,0,74,80,22848,23040
1,0,78,80,22848,23040
2,0,67,80,23040,23232
1,0,71,80,23040,23136
1,0,74,80,23040,23136
1,0,72,80,23136,23232
1,0,76,80,23136,23232
2,0,59,80,23232,23424
1,0,74,80,23232,23424
1,0,78,80,23232,23424
2,0,60,80,23424,23616
1,0,69,80,23424,23616
1,0,72,80,23424,23616
2,0,55,80,23616,23808
1,0,67,80,23616,23808
1,0,71,80,23616,23808
2,0,62,80,23808,24192
2,0,66,80,23808,24192
1,0,69,80,23808,24000
1,0,81,80,24000,24192
1,0,78,80,24192,24384
2,0,54,80,24384,24576
1,0,74,80,24384,24576
2,0,55,80,24576,24768
1,0,83,80,24576,24768
2,0,52,80,24768,24960
1,0,79,80,24768,24960
2,0,57,80,24960,25152
1,0,84,80,24960,25344
2,0,48,80,25152,25344
2,0,50,80,25344,25728
1,0,78,80,25536,25728
1,0,83,80,25728,26112
2,0,55,80,25920,26112
2,0,60,80,26112,26496
1,0,76,80,26208,26304
1,0,78,80,26304,26400
1,0,79,80,26400,26496
1,0,81,80,26496,26592
1,0,79,80,26592,26688
2,0,57,80,26688,26880
1,0,78,80,26688,26784
1,0,76,80,26784,26880
2,0,59,80,26880,27264
1,0,75,80,26880,26976
1,0,83,80,26976,27072
1,0,81,80,27072,27168
1,0,83,80,27168,27264
1,0,78,80,27264,27360
1,0,83,80,27360,27456
2,0,63,80,27456,27648
1,0,81,80,27456,27552
1,0,83,80,27552,27648
2,0,64,80,27648,27840
1,0,79,80,27648,27744
1,0,83,80,27744,27840
2,0,59,80,27840,28032
1,0,75,80,27840,27936
1,0,83,80,27936,28032
2,0,61,80,28032,28224
1,0,76,80,28032,28128
1,0,83,80,28128,28224
2,0,63,80,28224,28416
1,0,78,80,28224,28320
1,0,83,80,28320,28416
2,0,64,80,28416,28608
1,0,79,80,28416,28512
1,0,83,80,28512,28608
2,0,59,80,28608,28800
1,0,74,80,28608,28704
1,0,83,80,28704,28800
2,0,61,80,28800,28992
1,0,76,80,28800,28896
1,0,83,80,28896,28992
2,0,63,80,28992,29184
1,0,78,80,28992,29088
1,0,83,80,29088,29184
2,0,64,80,29184,29376
1,0,79,80,29184,29280
1,0,83,80,29280,29376
2,0,59,80,29376,29568
1,0,75,80,29376,29472
1,0,83,80,29472,29568
2,0,61,80,29568,29760
1,0,76,80,29568,29664
1,0,83,80,29664,29760
2,0,63,80,29760,29952
1,0,78,80,29760,29856
1,0,83,80,29856,29952
2,0,64,80,29952,30144
1,0,79,80,29952,30048
