# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,967742
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
2,0,38,80,0,240
1,0,65,80,0,240
1,0,69,80,0,240
2,0,50,80,240,480
1,0,67,80,240,480
1,0,70,80,240,480
2,0,50,80,480,720
1,0,65,80,480,720
1,0,69,80,480,720
2,0,38,80,720,960
1,0,65,80,720,1200
1,0,69,80,720,1200
2,0,50,80,960,1200
2,0,50,80,1200,1440
1,0,65,80,1200,1440
1,0,69,80,1200,1440
2,0,33,80,1440,1680
1,0,65,80,1440,2160
1,0,69,80,1440,1920
2,0,45,80,1680,1920
2,0,45,80,1920,2160
1,0,68,80,1920,2160
2,0,33,80,2160,2400
1,0,64,80,2160,2640
1,0,67,80,2160,2640
2,0,45,80,2400,2640
2,0,45,80,2640,2880
2,0,33,80,2880,3120
1,0,61,80,2880,3840
1,0,64,80,2880,3840
2,0,45,80,3120,3360
2,0,45,80,3360,3600
2,0,33,80,3600,3840
2,0,45,80,3840,4080
1,0,62,80,3840,4080
1,0,65,80,3840,4080
2,0,45,80,4080,4320
1,0,64,80,4080,4320
1,0,67,80,4080,4320
2,0,38,80,4320,4560
1,0,67,80,4320,4440
1,0,70,80,4320,4440
1,0,65,80,4440,4560
1,0,69,80,4440,4560
2,0,50,80,4560,4800
1,0,64,80,4560,4680
1,0,67,80,4560,4680
1,0,65,80,4680,4800
1,0,69,80,4680,4800
2,0,50,80,4800,5040
1,0,67,80,4800,4920
1,0,70,80,4800,4920
1,0,65,80,4920,5040
1,0,69,80,4920,5040
2,0,38,80,5040,5280
1,0,62,80,5040,5520
1,0,65,80,5040,5520
2,0,50,80,5280,5520
2,0,50,80,5520,5760
2,0,38,80,5760,6000
1,0,65,80,5760,6000
1,0,69,80,5760,6000
2,0,50,80,6000,6240
1,0,67,80,6000,6240
1,0,70,80,6000,6240
2,0,50,80,6240,6480
1,0,65,80,6240,6480
1,0,69,80,6240,6480
2,0,38,80,6480,6720
1,0,69,80,6480,6720
1,0,77,80,6480,6720
2,0,50,80,6720,6960
1,0,67,80,6720,6960
1,0,76,80,6720,6960
2,0,50,80,6960,7200
1,0,65,80,6960,7200
1,0,74,80,6960,7200
2,0,43,80,7200,7440
1,0,69,80,7200,7440
1,0,72,80,7200,7440
2,0,55,80,7440,7680
1,0,67,80,7440,7560
1,0,70,80,7440,7560
1,0,69,80,7560,7680
1,0,73,80,7560,7680
2,0,55,80,7680,7920
1,0,70,80,7680,7800
1,0,74,80,7680,7800
1,0,69,80,7800,7920
1,0,73,80,7800,7920
2,0,43,80,7920,8400
1,0,70,80,7920,8160
1,0,74,80,7920,8160
1,0,69,80,8160,8280
1,0,72,80,8160,8280
1,0,67,80,8280,8400
1,0,70,80,8280,8400
1,0,65,80,8400,8520
1,0,69,80,8400,8520
1,0,64,80,8520,8640
1,0,67,80,8520,8640
2,0,43,80,8640,8880
1,0,64,80,8640,9000
1,0,67,80,8640,9000
2,0,55,80,8880,9120
1,0,62,80,9000,9120
1,0,65,80,9000,9120
2,0,55,80,9120,9360
1,0,61,80,9120,9240
1,0,64,80,9120,9240
1,0,62,80,9240,9360
1,0,65,80,9240,9360
2,0,43,80,9360,9600
1,0,61,80,9360,10080
1,0,70,80,9360,9840
2,0,55,80,9600,9840
2,0,55,80,9840,10080
1,0,69,80,9840,10080
2,0,38,80,10080,10320
1,0,62,80,10080,10560
2,0,50,80,10320,10560
2,0,50,80,10560,10800
2,0,38,80,10800,11040
2,0,50,80,11040,11280
2,0,50,80,11280,11520
2,0,33,80,11520,11760
1,0,61,80,11520,11760
1,0,64,80,11520,11760
2,0,45,80,11760,12000
1,0,62,80,11760,12000
1,0,65,80,11760,12000
2,0,45,80,12000,12240
1,0,64,80,12000,12240
1,0,67,80,12000,12240
2,0,33,80,12240,12480
1,0,67,80,12240,12480
1,0,70,80,12240,12480
2,0,45,80,12480,12720
1,0,65,80,12480,12720
1,0,69,80,12480,12720
2,0,45,80,12720,12960
1,0,64,80,12720,12960
1,0,67,80,12720,12960
2,0,43,80,12960,13200
1,0,67,80,12960,13080
1,0,70,80,12960,13080
1,0,65,80,13080,13200
1,0,69,80,13080,13200
2,0,55,80,13200,13440
1,0,64,80,13200,13320
1,0,67,80,13200,13320
1,0,65,80,13320,13440
1,0,69,80,13320,13440
2,0,55,80,13440,13680
1,0,67,80,13440,13560
1,0,70,80,13440,13560
1,0,65,80,13560,13680
1,0,69,80,13560,13680
2,0,43,80,13680,14160
1,0,62,80,13680,14160
1,0,65,80,13680,14160
2,0,33,80,14400,14640
1,0,60,80,14400,14640
1,0,64,80,14400,14640
2,0,45,80,14640,14880
1,0,62,80,14640,14880
1,0,65,80,14640,14880
2,0,45,80,14880,15120
1,0,64,80,14880,15120
1,0,67,80,14880,15120
2,0,33,80,15120,15360
1,0,67,80,15120,15240
1,0,70,80,15120,15240
1,0,65,80,15240,15300
1,0,69,80,15240,15300
2,0,45,80,15360,15600
1,0,64,80,15360,15480
1,0,68,80,15360,15480
1,0,65,80,15480,15540
1,0,69,80,15480,15540
2,0,45,80,15600,15840
1,0,67,80,15600,15720
1,0,70,80,15600,15720
1,0,65,80,15720,15780
1,0,69,80,15720,15780
2,0,38,80,15840,16080
1,0,62,80,15840,16320
1,0,65,80,15840,16320
2,0,50,80,16080,16320
2,0,50,80,16320,16560
2,0,38,80,16560,16800
2,0,50,80,16800,17040
2,0,50,80,17040,17280
2,0,38,80,17280,17520
1,0,65,80,17280,17520
1,0,69,80,17280,17520
2,0,50,80,17520,17760
1,0,67,80,17520,17760
1,0,70,80,17520,17760
2,0,50,80,17760,18000
1,0,65,80,17760,18000
1,0,69,80,17760,18000
2,0,38,80,18000,18240
1,0,69,80,18000,18240
1,0,77,80,18000,18240
2,0,50,80,18240,18480
1,0,67,80,18240,18480
1,0,76,80,18240,18480
2,0,50,80,18480,18720
1,0,65,80,18480,18720
1,0,74,80,18480,18720
2,0,43,80,18720,18960
1,0,69,80,18720,18960
1,0,72,80,18720,18960
2,0,55,80,18960,19200
1,0,67,80,18960,19200
1,0,70,80,18960,19200
2,0,55,80,19200,19440
1,0,70,80,19200,19680
1,0,74,80,19200,19680
2,0,43,80,19440,19920
1,0,69,80,19680,19800
1,0,72,80,19680,19800
1,0,67,80,19800,19920
1,0,70,80,19800,19920
1,0,65,80,19920,20040
1,0,69,80,19920,20040
1,0,64,80,20040,20160
1,0,67,80,20040,20160
2,0,45,80,20160,20640
2,0,50,80,20160,20400
1,0,65,80,20160,20400
1,0,69,80,20160,20640
2,0,52,80,20400,20640
1,0,64,80,20400,20640
2,0,45,80,20640,20880
2,0,53,80,20640,20880
1,0,62,80,20640,20880
1,0,69,80,20640,20880
2,0,45,80,20880,21600
2,0,55,80,20880,21600
1,0,61,80,20880,21000
1,0,69,80,20880,21240
2,0,57,80,21000,21120
2,0,59,80,21120,21480
1,0,68,80,21240,21360
1,0,67,80,21360,21480
1,0,61,80,21480,21600
1,0,64,80,21480,21600
2,0,50,80,21600,21840
1,0,62,80,21600,22080
1,0,62,80,21600,22080
2,0,53,80,21840,22080
2,0,57,80,21840,22080
2,0,53,80,22080,22320
2,0,57,80,22080,22320
2,0,50,80,22320,22560
2,0,53,80,22560,22800
2,0,57,80,22560,22800
2,0,53,80,22800,23040
2,0,57,80,22800,23040
2,0,50,80,23040,23280
1,0,62,80,23160,23220
2,0,53,80,23280,23520
2,0,57,80,23280,23520
1,0,69,80,23280,23340
1,0,64,80,23400,23460
2,0,53,80,23520,23760
2,0,57,80,23520,23760
1,0,65,80,23520,23580
1,0,62,80,23640,23700
2,0,50,80,23760,24000
1,0,62,80,23880,24000
2,0,53,80,24000,24240
2,0,57,80,24000,24240
1,0,64,80,24000,24120
1,0,65,80,24120,24240
2,0,53,80,24240,24480
2,0,57,80,24240,24480
1,0,67,80,24240,24360
1,0,69,80,24360,24480
2,0,43,80,24480,24720
1,0,64,80,24600,24660
2,0,46,80,24720,24960
2,0,52,80,24720,24960
1,0,70,80,24720,24780
1,0,66,80,24840,24900
2,0,46,80,24960,25200
2,0,52,80,24960,25200
1,0,67,80,24960,25020
1,0,64,80,25080,25140
2,0,43,80,25200,25440
1,0,64,80,25320,25440
2,0,46,80,25440,25680
2,0,52,80,25440,25680
1,0,65,80,25440,25560
1,0,67,80,25560,25680
2,0,46,80,25680,25920
2,0,52,80,25680,25920
1,0,69,80,25680,25800
1,0,70,80,25800,25920
2,0,45,80,25920,26160
1,0,62,80,26040,26100
2,0,50,80,26160,26400
2,0,53,80,26160,26400
1,0,69,80,26160,26220
1,0,64,80,26280,26340
2,0,50,80,26400,26640
2,0,53,80,26400,26640
1,0,65,80,26400,26460
1,0,62,80,26520,26580
2,0,45,80,26640,26880
1,0,69,80,26640,27000
2,0,57,80,26760,26880
2,0,52,80,26880,27120
2,0,55,80,26880,27120
2,0,59,80,26880,27000
1,0,68,80,27000,27120
2,0,52,80,27120,27360
2,0,55,80,27120,27360
1,0,67,80,27120,27240
1,0,61,80,27240,27360
2,0,50,80,27360,27600
1,0,62,80,27360,27480
1,0,64,80,27480,27600
2,0,53,80,27600,27840
2,0,57,80,27600,27840
1,0,65,80,27600,27720
1,0,68,80,27720,27840
2,0,53,80,27840,28080
2,0,57,80,27840,28080
1,0,69,80,27840,27960
1,0,73,80,27960,28080
2,0,50,80,28080,28560
1,0,74,80,28080,28560
