# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,652173
# meta,0,0,time_signature,2/2
track,channel,pitch,vel,start,end
2,0,53,80,0,768
2,0,57,80,192,384
1,0,60,80,192,384
1,0,65,80,192,384
1,0,65,80,192,384
1,0,65,80,192,384
2,0,57,80,384,672
1,0,60,80,384,672
1,0,65,80,384,672
1,0,65,80,384,672
1,0,65,80,384,672
2,0,57,80,672,768
1,0,60,80,672,768
1,0,65,80,672,768
1,0,65,80,672,768
1,0,65,80,672,768
2,0,53,80,768,1152
1,0,60,80,768,1152
1,0,60,80,768,1152
1,0,69,80,768,1152
1,0,69,80,768,1152
1,0,69,80,768,1152
2,0,52,80,1152,1536
1,0,60,80,1152,1536
1,0,60,80,1152,1536
1,0,67,80,1152,1536
1,0,72,80,1152,1536
1,0,72,80,1152,1536
2,0,53,80,1536,2304
2,0,57,80,1536,1824
1,0,60,80,1536,1824
1,0,65,80,1536,1824
1,0,77,80,1536,1824
1,0,77,80,1536,1824
2,0,57,80,1824,1920
1,0,60,80,1824,1920
1,0,65,80,1824,1920
1,0,65,80,1824,1920
1,0,65,80,1824,1920
2,0,57,80,1920,2208
1,0,60,80,1920,2208
1,0,65,80,1920,2208
1,0,65,80,1920,2208
1,0,65,80,1920,2208
2,0,57,80,2208,2304
1,0,60,80,2208,2304
1,0,65,80,2208,2304
1,0,65,80,2208,2304
1,0,65,80,2208,2304
2,0,41,80,2304,2688
1,0,60,80,2304,2688
1,0,60,80,2304,2688
1,0,69,80,2304,2400
1,0,69,80,2304,2400
1,0,69,80,2304,2688
1,0,69,80,2400,2496
1,0,69,80,2400,2496
1,0,69,80,2496,2592
1,0,69,80,2496,2592
1,0,69,80,2592,2688
1,0,69,80,2592,2688
2,0,40,80,2688,3072
1,0,60,80,2688,3072
1,0,60,80,2688,3072
1,0,67,80,2688,3072
1,0,72,80,2688,2784
1,0,72,80,2688,2784
1,0,72,80,2784,2880
1,0,72,80,2784,2880
1,0,72,80,2880,2976
1,0,72,80,2880,2976
1,0,72,80,2976,3072
1,0,72,80,2976,3072
2,0,41,80,3072,3840
2,0,57,80,3072,4224
1,0,60,80,3072,3840
1,0,65,80,3072,4224
1,0,77,80,3072,3360
1,0,77,80,3072,3360
1,0,65,80,3360,3456
1,0,65,80,3360,3456
1,0,77,80,3456,3744
1,0,77,80,3456,3744
1,0,77,80,3744,3840
1,0,77,80,3744,3840
2,0,57,80,3840,4224
1,0,65,80,3840,4224
1,0,77,80,3840,4416
1,0,77,80,3840,4416
2,0,57,80,4224,4608
1,0,65,80,4224,4608
1,0,65,80,4224,4608
1,0,72,80,4224,4608
1,0,76,80,4416,4512
1,0,76,80,4416,4512
1,0,77,80,4512,4608
1,0,77,80,4512,4608
2,0,58,80,4608,4992
1,0,65,80,4608,4992
1,0,70,80,4608,5760
1,0,74,80,4608,4704
1,0,74,80,4608,4704
1,0,74,80,4608,5760
1,0,70,80,4704,4800
1,0,70,80,4704,4800
1,0,65,80,4800,4896
1,0,65,80,4800,4896
1,0,70,80,4896,4992
1,0,70,80,4896,4992
2,0,58,80,4992,5376
1,0,65,80,4992,5376
1,0,74,80,4992,5088
1,0,74,80,4992,5088
1,0,65,80,5088,5184
1,0,65,80,5088,5184
1,0,70,80,5184,5280
1,0,70,80,5184,5280
1,0,74,80,5280,5376
1,0,74,80,5280,5376
2,0,55,80,5376,5760
1,0,65,80,5376,5760
1,0,79,80,5376,5952
1,0,82,80,5376,5952
2,0,55,80,5760,6144
1,0,65,80,5760,6144
1,0,70,80,5760,6144
1,0,74,80,5760,6144
1,0,79,80,5952,6144
1,0,82,80,5952,6144
2,0,57,80,6144,6528
1,0,65,80,6144,6528
1,0,69,80,6144,7296
1,0,72,80,6144,6240
1,0,72,80,6144,6240
1,0,72,80,6144,7296
1,0,69,80,6240,6336
1,0,69,80,6240,6336
1,0,65,80,6336,6432
1,0,65,80,6336,6432
1,0,69,80,6432,6528
1,0,69,80,6432,6528
2,0,57,80,6528,6912
1,0,65,80,6528,6912
1,0,72,80,6528,6624
1,0,72,80,6528,6624
1,0,65,80,6624,6720
1,0,65,80,6624,6720
1,0,69,80,6720,6816
1,0,69,80,6720,6816
1,0,72,80,6816,6912
1,0,72,80,6816,6912
2,0,53,80,6912,7296
1,0,62,80,6912,7296
1,0,77,80,6912,7488
1,0,81,80,6912,7488
2,0,53,80,7296,7680
1,0,62,80,7296,7680
1,0,69,80,7296,7680
1,0,72,80,7296,7680
1,0,77,80,7488,7680
1,0,81,80,7488,7680
2,0,55,80,7680,8064
1,0,62,80,7680,8064
1,0,67,80,7680,8832
1,0,70,80,7680,7776
1,0,70,80,7680,7776
1,0,70,80,7680,8832
1,0,67,80,7776,7872
1,0,67,80,7776,7872
1,0,62,80,7872,7968
1,0,62,80,7872,7968
1,0,67,80,7968,8064
1,0,67,80,7968,8064
2,0,55,80,8064,8448
1,0,62,80,8064,8448
1,0,70,80,8064,8160
1,0,70,80,8064,8160
1,0,62,80,8160,8256
1,0,62,80,8160,8256
1,0,67,80,8256,8352
1,0,67,80,8256,8352
1,0,70,80,8352,8448
1,0,70,80,8352,8448
2,0,48,80,8448,8832
1,0,60,80,8448,8832
1,0,76,80,8448,9024
1,0,79,80,8448,9024
2,0,48,80,8832,9216
1,0,60,80,8832,9216
1,0,67,80,8832,9216
1,0,70,80,8832,9216
1,0,76,80,9024,9216
1,0,79,80,9024,9216
2,0,53,80,9216,9984
1,0,60,80,9216,9984
1,0,65,80,9216,9984
1,0,69,80,9216,9312
1,0,69,80,9216,9312
1,0,69,80,9216,9984
1,0,65,80,9312,9408
1,0,65,80,9312,9408
1,0,67,80,9408,9504
1,0,67,80,9408,9504
1,0,69,80,9504,9600
1,0,69,80,9504,9600
1,0,70,80,9600,9696
1,0,70,80,9600,9696
1,0,72,80,9696,9792
1,0,72,80,9696,9792
1,0,74,80,9792,9888
1,0,74,80,9792,9888
1,0,76,80,9888,9984
1,0,76,80,9888,9984
2,0,53,80,9984,10368
1,0,60,80,9984,10368
1,0,77,80,9984,10560
1,0,77,80,9984,10560
2,0,41,80,10368,10752
1,0,60,80,10368,10752
1,0,69,80,10560,10752
1,0,69,80,10560,10752
2,0,48,80,10752,11040
1,0,60,80,10752,11040
1,0,65,80,10752,11136
1,0,69,80,10752,11136
1,0,60,80,10944,11136
1,0,67,80,10944,11136
2,0,48,80,11040,11136
1,0,64,80,11040,11136
2,0,48,80,11136,11424
1,0,60,80,11136,11424
1,0,64,80,11136,11520
1,0,64,80,11136,11424
1,0,67,80,11136,11520
1,0,67,80,11136,11424
2,0,48,80,11424,11520
1,0,60,80,11424,11520
1,0,64,80,11424,11520
1,0,67,80,11424,11520
2,0,53,80,11520,11904
1,0,60,80,11520,11904
1,0,65,80,11520,11904
1,0,69,80,11520,11904
2,0,41,80,11904,12288
1,0,60,80,11904,12288
1,0,62,80,11904,12288
1,0,65,80,11904,12288
2,0,48,80,12288,12864
1,0,60,80,12288,13056
1,0,64,80,12288,13056
1,0,67,80,12288,13056
1,0,60,80,12480,12672
1,0,60,80,12480,12672
1,0,60,80,12672,12960
1,0,60,80,12672,12960
2,0,50,80,12864,13056
1,0,60,80,12960,13056
1,0,60,80,12960,13056
2,0,48,80,13056,13440
1,0,64,80,13056,13440
1,0,64,80,13056,13440
2,0,46,80,13440,13824
1,0,67,80,13440,13824
1,0,67,80,13440,13824
2,0,45,80,13824,14592
1,0,72,80,13824,14112
1,0,72,80,13824,14112
1,0,60,80,14016,14208
1,0,60,80,14016,14208
1,0,65,80,14016,14208
1,0,65,80,14112,14208
1,0,65,80,14112,14208
1,0,60,80,14208,14496
1,0,60,80,14208,14496
1,0,65,80,14208,14496
1,0,65,80,14208,14496
1,0,65,80,14208,14496
