# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,120
# meta,0,0,tempo,600000
# meta,0,0,time_signature,2/4
track,channel,pitch,vel,start,end
2,0,74,80,0,40
1,0,83,80,0,20
1,0,86,80,30,50
2,0,74,80,60,100
1,0,83,80,60,80
1,0,86,80,90,110
2,0,72,80,120,160
1,0,81,80,120,140
1,0,86,80,150,170
2,0,72,80,180,220
1,0,81,80,180,200
1,0,86,80,210,230
2,0,71,80,240,280
1,0,79,80,240,260
1,0,86,80,270,290
2,0,71,80,300,340
1,0,79,80,300,320
1,0,86,80,330,350
2,0,69,80,360,440
1,0,78,80,360,440
2,0,50,80,480,500
1,0,62,80,480,500
2,0,52,80,510,530
1,0,64,80,510,530
2,0,54,80,540,560
1,0,66,80,540,560
2,0,55,80,570,590
1,0,67,80,570,590
2,0,57,80,600,640
1,0,69,80,600,640
2,0,59,80,660,700
1,0,71,80,660,700
2,0,60,80,720,760
1,0,72,80,720,760
2,0,38,80,840,880
2,0,50,80,840,880
1,0,74,80,840,880
1,0,78,80,840,880
1,0,86,80,840,880
2,0,43,80,960,1000
2,0,55,80,960,1000
1,0,83,80,960,1000
2,0,55,80,1020,1060
2,0,59,80,1020,1060
1,0,83,80,1020,1040
1,0,86,80,1050,1070
2,0,50,80,1080,1120
1,0,81,80,1080,1100
1,0,86,80,1110,1130
2,0,55,80,1140,1180
2,0,59,80,1140,1180
1,0,79,80,1140,1160
1,0,86,80,1170,1190
2,0,43,80,1200,1240
2,0,55,80,1200,1240
1,0,78,80,1200,1220
1,0,86,80,1230,1250
2,0,55,80,1260,1300
2,0,59,80,1260,1300
1,0,79,80,1260,1280
1,0,86,80,1290,1310
2,0,50,80,1320,1360
1,0,81,80,1320,1360
2,0,55,80,1380,1420
2,0,59,80,1380,1420
1,0,79,80,1380,1420
2,0,43,80,1440,1480
2,0,55,80,1440,1480
1,0,74,80,1440,1460
1,0,76,80,1470,1490
2,0,55,80,1500,1540
2,0,59,80,1500,1540
1,0,78,80,1500,1520
1,0,71,80,1530,1580
1,0,79,80,1530,1580
2,0,50,80,1560,1600
1,0,78,80,1590,1610
2,0,55,80,1620,1660
2,0,59,80,1620,1660
1,0,71,80,1620,1660
1,0,79,80,1620,1660
2,0,38,80,1680,1720
2,0,50,80,1680,1720
1,0,72,80,1680,1800
1,0,78,80,1680,1800
2,0,40,80,1740,1780
2,0,52,80,1740,1780
2,0,42,80,1800,1840
2,0,54,80,1800,1840
2,0,38,80,1860,1900
2,0,50,80,1860,1900
2,0,50,80,1920,1960
1,0,84,80,1920,1960
2,0,54,80,1980,2020
2,0,57,80,1980,2020
2,0,60,80,1980,2020
1,0,84,80,1980,2000
1,0,88,80,2010,2030
2,0,45,80,2040,2080
1,0,83,80,2040,2060
1,0,88,80,2070,2090
2,0,54,80,2100,2140
2,0,57,80,2100,2140
2,0,60,80,2100,2140
1,0,81,80,2100,2120
1,0,88,80,2130,2150
2,0,50,80,2160,2200
1,0,80,80,2160,2180
1,0,88,80,2190,2210
2,0,54,80,2220,2260
2,0,57,80,2220,2260
2,0,60,80,2220,2260
1,0,81,80,2220,2240
1,0,88,80,2250,2270
2,0,45,80,2280,2320
1,0,83,80,2280,2320
2,0,54,80,2340,2380
2,0,57,80,2340,2380
2,0,60,80,2340,2380
1,0,81,80,2340,2380
2,0,50,80,2400,2440
1,0,74,80,2400,2420
1,0,76,80,2430,2450
2,0,54,80,2460,2500
2,0,57,80,2460,2500
2,0,60,80,2460,2500
1,0,78,80,2460,2480
1,0,72,80,2490,2540
1,0,81,80,2490,2540
2,0,45,80,2520,2560
1,0,78,80,2550,2570
2,0,54,80,2580,2620
2,0,57,80,2580,2620
2,0,60,80,2580,2620
1,0,73,80,2580,2620
1,0,82,80,2580,2620
2,0,43,80,2640,2680
2,0,55,80,2640,2680
1,0,74,80,2640,2760
1,0,83,80,2640,2760
2,0,38,80,2700,2740
2,0,50,80,2700,2740
2,0,40,80,2760,2800
2,0,52,80,2760,2800
2,0,42,80,2820,2860
2,0,54,80,2820,2860
2,0,43,80,2880,2920
2,0,55,80,2880,2920
1,0,83,80,2880,2920
2,0,55,80,2940,2980
2,0,59,80,2940,2980
1,0,83,80,2940,2960
1,0,86,80,2970,2990
2,0,50,80,3000,3040
1,0,81,80,3000,3020
1,0,86,80,3030,3050
2,0,55,80,3060,3100
2,0,59,80,3060,3100
1,0,79,80,3060,3080
1,0,86,80,3090,3110
2,0,43,80,3120,3160
2,0,55,80,3120,3160
1,0,78,80,3120,3140
1,0,86,80,3150,3170
2,0,55,80,3180,3220
2,0,59,80,3180,3220
1,0,79,80,3180,3200
1,0,86,80,3210,3230
2,0,50,80,3240,3280
1,0,81,80,3240,3280
2,0,55,80,3300,3340
2,0,59,80,3300,3340
1,0,79,80,3300,3340
2,0,43,80,3360,3400
2,0,55,80,3360,3400
1,0,74,80,3360,3380
1,0,76,80,3390,3410
2,0,55,80,3420,3460
2,0,59,80,3420,3460
1,0,78,80,3420,3440
1,0,71,80,3450,3500
1,0,79,80,3450,3500
2,0,50,80,3480,3520
1,0,78,80,3510,3530
2,0,55,80,3540,3580
2,0,59,80,3540,3580
1,0,71,80,3540,3580
1,0,79,80,3540,3580
2,0,48,80,3600,3640
2,0,60,80,3600,3640
1,0,72,80,3600,3760
1,0,76,80,3600,3760
2,0,50,80,3660,3700
2,0,62,80,3660,3700
2,0,52,80,3720,3760
2,0,64,80,3720,3760
2,0,48,80,3780,3820
2,0,60,80,3780,3820
2,0,48,80,3840,3880
1,0,76,80,3840,3860
1,0,75,80,3870,3890
2,0,52,80,3900,3940
2,0,55,80,3900,3940
2,0,60,80,3900,3940
1,0,76,80,3900,3920
1,0,79,80,3930,3980
2,0,49,80,3960,4000
1,0,78,80,3990,4010
2,0,52,80,4020,4060
2,0,55,80,4020,4060
2,0,58,80,4020,4060
1,0,79,80,4020,4060
2,0,50,80,4080,4120
1,0,83,80,4080,4100
1,0,82,80,4110,4130
2,0,55,80,4140,4180
2,0,59,80,4140,4180
1,0,83,80,4140,4160
1,0,79,80,4170,4220
1,0,88,80,4170,4220
2,0,50,80,4200,4240
1,0,86,80,4230,4250
2,0,55,80,4260,4300
2,0,59,80,4260,4300
1,0,83,80,4260,4300
2,0,50,80,4320,4360
1,0,83,80,4320,4340
1,0,84,80,4350,4370
2,0,55,80,4380,4420
2,0,59,80,4380,4420
1,0,86,80,4380,4400
1,0,83,80,4410,4460
2,0,50,80,4440,4480
1,0,78,80,4470,4490
2,0,54,80,4500,4540
2,0,57,80,4500,4540
2,0,60,80,4500,4540
1,0,72,80,4500,4540
1,0,81,80,4500,4540
2,0,55,80,4560,4600
2,0,59,80,4560,4600
1,0,71,80,4560,4600
1,0,79,80,4560,4600
1,0,74,80,4620,4640
1,0,74,80,4650,4670
1,0,74,80,4680,4720
1,0,74,80,4740,4780
2,0,43,80,4800,4840
2,0,55,80,4800,4840
1,0,83,80,4800,4840
2,0,55,80,4860,4900
2,0,59,80,4860,4900
1,0,83,80,4860,4880
1,0,86,80,4890,4910
2,0,50,80,4920,4960
1,0,81,80,4920,4940
1,0,86,80,4950,4970
2,0,55,80,4980,5020
2,0,59,80,4980,5020
1,0,79,80,4980,5000
1,0,86,80,5010,5030
2,0,43,80,5040,5080
2,0,55,80,5040,5080
1,0,78,80,5040,5060
1,0,86,80,5070,5090
2,0,55,80,5100,5140
2,0,59,80,5100,5140
1,0,79,80,5100,5120
1,0,86,80,5130,5150
2,0,50,80,5160,5200
1,0,81,80,5160,5200
2,0,55,80,5220,5260
2,0,59,80,5220,5260
1,0,79,80,5220,5260
2,0,43,80,5280,5320
2,0,55,80,5280,5320
1,0,74,80,5280,5300
1,0,76,80,5310,5330
2,0,55,80,5340,5380
2,0,59,80,5340,5380
1,0,78,80,5340,5360
1,0,71,80,5370,5420
1,0,79,80,5370,5420
2,0,50,80,5400,5440
1,0,78,80,5430,5450
2,0,55,80,5460,5500
2,0,59,80,5460,5500
1,0,71,80,5460,5500
1,0,79,80,5460,5500
2,0,38,80,5520,5560
2,0,50,80,5520,5560
1,0,72,80,5520,5640
1,0,78,80,5520,5640
2,0,40,80,5580,5620
2,0,52,80,5580,5620
2,0,42,80,5640,5680
2,0,54,80,5640,5680
2,0,38,80,5700,5740
2,0,50,80,5700,5740
2,0,50,80,5760,5800
1,0,84,80,5760,5800
2,0,54,80,5820,5860
2,0,57,80,5820,5860
2,0,60,80,5820,5860
1,0,84,80,5820,5840
1,0,88,80,5850,5870
2,0,45,80,5880,5920
1,0,83,80,5880,5900
1,0,88,80,5910,5930
2,0,54,80,5940,5980
2,0,57,80,5940,5980
2,0,60,80,5940,5980
1,0,81,80,5940,5960
1,0,88,80,5970,5990
2,0,50,80,6000,6040
1,0,80,80,6000,6020
1,0,88,80,6030,6050
2,0,54,80,6060,6100
2,0,57,80,6060,6100
2,0,60,80,6060,6100
1,0,81,80,6060,6080
1,0,88,80,6090,6110
2,0,45,80,6120,6160
1,0,83,80,6120,6160
2,0,54,80,6180,6220
2,0,57,80,6180,6220
2,0,60,80,6180,6220
1,0,81,80,6180,6220
2,0,50,80,6240,6280
1,0,74,80,6240,6260
1,0,76,80,6270,6290
2,0,54,80,6300,6340
2,0,57,80,6300,6340
2,0,60,80,6300,6340
1,0,78,80,6300,6320
1,0,72,80,6330,6380
1,0,81,80,6330,6380
2,0,45,80,6360,6400
1,0,78,80,6390,6410
2,0,54,80,6420,6460
2,0,57,80,6420,6460
2,0,60,80,6420,6460
1,0,73,80,6420,6460
1,0,82,80,6420,6460
2,0,43,80,6480,6520
2,0,55,80,6480,6520
1,0,74,80,6480,6600
1,0,83,80,6480,6600
2,0,38,80,6540,6580
2,0,50,80,6540,6580
2,0,40,80,6600,6640
2,0,52,80,6600,6640
2,0,42,80,6660,6700
2,0,54,80,6660,6700
2,0,43,80,6720,6760
2,0,55,80,6720,6760
1,0,83,80,6720,6760
2,0,55,80,6780,6820
2,0,59,80,6780,6820
1,0,83,80,6780,6800
1,0,86,80,6810,6830
2,0,50,80,6840,6880
1,0,81,80,6840,6860
1,0,86,80,6870,6890
2,0,55,80,6900,6940
2,0,59,80,6900,6940
1,0,79,80,6900,6920
1,0,86,80,6930,6950
2,0,43,80,6960,7000
2,0,55,80,6960,7000
1,0,78,80,6960,6980
1,0,86,80,6990,7010
2,0,55,80,7020,7060
2,0,59,80,7020,7060
1,0,79,80,7020,7040
1,0,86,80,7050,7070
2,0,50,80,7080,7120
1,0,81,80,7080,7120
2,0,55,80,7140,7180
2,0,59,80,7140,7180
1,0,79,80,7140,7180
2,0,43,80,7200,7240
2,0,55,80,7200,7240
1,0,74,80,7200,7220
1,0,76,80,7230,7250
2,0,55,80,7260,7300
2,0,59,80,7260,7300
1,0,78,80,7260,7280
1,0,71,80,7290,7340
1,0,79,80,7290,7340
2,0,50,80,7320,7360
1,0,78,80,7350,7370
2,0,55,80,7380,7420
2,0,59,80,7380,7420
1,0,71,80,7380,7420
1,0,79,80,7380,7420
2,0,48,80,7440,7480
2,0,60,80,7440,7480
1,0,72,80,7440,7600
1,0,76,80,7440,7600
2,0,50,80,7500,7540
2,0,62,80,7500,7540
2,0,52,80,7560,7600
2,0,64,80,7560,7600
2,0,48,80,7620,7660
2,0,60,80,7620,7660
2,0,48,80,7680,7720
1,0,76,80,7680,7700
1,0,75,80,7710,7730
2,0,52,80,7740,7780
2,0,55,80,7740,7780
2,0,60,80,7740,7780
1,0,76,80,7740,7760
1,0,79,80,7770,7820
2,0,49,80,7800,7840
1,0,78,80,7830,7850
2,0,52,80,7860,7900
2,0,55,80,7860,7900
2,0,58,80,7860,7900
1,0,79,80,7860,7900
2,0,50,80,7920,7960
1,0,83,80,7920,7940
1,0,82,80,7950,7970
2,0,55,80,7980,8020
2,0,59,80,7980,8020
1,0,83,80,7980,8000
1,0,79,80,8010,8060
1,0,88,80,8010,8060
2,0,50,80,8040,8080
1,0,86,80,8070,8090
2,0,55,80,8100,8140
2,0,59,80,8100,8140
1,0,83,80,8100,8140
2,0,50,80,8160,8200
1,0,83,80,8160,8180
1,0,84,80,8190,8210
2,0,55,80,8220,8260
2,0,59,80,8220,8260
1,0,86,80,8220,8240
1,0,83,80,8250,8300
2,0,50,80,8280,8320
1,0,78,80,8310,8330
2,0,54,80,8340,8380
2,0,57,80,8340,8380
2,0,60,80,8340,8380
1,0,72,80,8340,8380
1,0,81,80,8340,8380
2,0,55,80,8400,8440
2,0,59,80,8400,8440
1,0,71,80,8400,8440
1,0,79,80,8400,8440
2,0,43,80,8520,8560
2,0,55,80,8520,8560
1,0,79,80,8520,8560
1,0,83,80,8520,8560
1,0,91,80,8520,8560
2,0,38,80,8640,8680
2,0,50,80,8640,8680
1,0,74,80,8640,8680
1,0,84,80,8640,8680
2,0,40,80,8700,8740
2,0,52,80,8700,8740
1,0,74,80,8700,8720
1,0,84,80,8700,8720
1,0,81,80,8730,8750
2,0,42,80,8760,8800
2,0,54,80,8760,8800
1,0,74,80,8760,8800
1,0,84,80,8760,8800
2,0,43,80,8820,8860
2,0,55,80,8820,8860
1,0,74,80,8820,8840
1,0,84,80,8820,8840
1,0,81,80,8850,8870
2,0,45,80,8880,8920
2,0,57,80,8880,8920
1,0,74,80,8880,8920
1,0,84,80,8880,8920
2,0,38,80,8940,8980
2,0,50,80,8940,8980
1,0,74,80,8940,8960
1,0,84,80,8940,8960
1,0,81,80,8970,8990
2,0,40,80,9000,9040
2,0,52,80,9000,9040
1,0,74,80,9000,9020
1,0,84,80,9000,9020
1,0,83,80,9030,9050
2,0,42,80,9060,9100
2,0,54,80,9060,9100
1,0,81,80,9060,9100
2,0,43,80,9120,9160
2,0,55,80,9120,9160
1,0,74,80,9120,9160
1,0,83,80,9120,9160
2,0,45,80,9180,9220
2,0,57,80,9180,9220
1,0,74,80,9180,9200
1,0,83,80,9180,9200
1,0,79,80,9210,9230
2,0,47,80,9240,9280
2,0,59,80,9240,9280
1,0,74,80,9240,9280
1,0,83,80,9240,9280
2,0,48,80,9300,9340
2,0,60,80,9300,9340
1,0,74,80,9300,9320
1,0,83,80,9300,9320
1,0,79,80,9330,9350
2,0,50,80,9360,9400
2,0,62,80,9360,9400
1,0,74,80,9360,9400
1,0,83,80,9360,9400
2,0,43,80,9420,9460
2,0,55,80,9420,9460
1,0,74,80,9420,9440
1,0,83,80,9420,9440
1,0,79,80,9450,9470
2,0,45,80,9480,9520
2,0,57,80,9480,9520
1,0,74,80,9480,9500
1,0,83,80,9480,9500
1,0,81,80,9510,9530
2,0,47,80,9540,9580
2,0,59,80,9540,9580
1,0,79,80,9540,9580
2,0,50,80,9600,9640
1,0,78,80,9600,9620
1,0,81,80,9630,9650
2,0,54,80,9660,9700
2,0,57,80,9660,9700
2,0,60,80,9660,9700
1,0,80,80,9660,9680
1,0,81,80,9690,9710
2,0,45,80,9720,9760
1,0,76,80,9720,9740
1,0,81,80,9750,9770
2,0,54,80,9780,9820
2,0,57,80,9780,9820
2,0,60,80,9780,9820
1,0,80,80,9780,9800
1,0,81,80,9810,9830
2,0,50,80,9840,9880
1,0,78,80,9840,9860
1,0,81,80,9870,9890
2,0,54,80,9900,9940
2,0,57,80,9900,9940
2,0,60,80,9900,9940
1,0,80,80,9900,9920
1,0,81,80,9930,9950
2,0,45,80,9960,10000
1,0,83,80,9960,10000
2,0,54,80,10020,10060
2,0,57,80,10020,10060
2,0,60,80,10020,10060
1,0,81,80,10020,10060
2,0,71,80,10080,10120
1,0,79,80,10080,10100
1,0,83,80,10110,10130
2,0,71,80,10140,10180
1,0,79,80,10140,10160
1,0,83,80,10170,10190
2,0,69,80,10200,10240
1,0,78,80,10200,10220
1,0,83,80,10230,10250
2,0,69,80,10260,10300
1,0,78,80,10260,10280
1,0,83,80,10290,10310
2,0,67,80,10320,10360
1,0,76,80,10320,10340
1,0,83,80,10350,10370
2,0,67,80,10380,10420
1,0,76,80,10380,10400
1,0,83,80,10410,10430
2,0,67,80,10440,10480
1,0,76,80,10440,10480
1,0,74,80,10500,10540
2,0,38,80,10560,10600
2,0,50,80,10560,10600
1,0,74,80,10560,10600
1,0,84,80,10560,10600
2,0,40,80,10620,10660
2,0,52,80,10620,10660
1,0,74,80,10620,10640
1,0,84,80,10620,10640
1,0,81,80,10650,10670
2,0,42,80,10680,10720
2,0,54,80,10680,10720
1,0,74,80,10680,10720
1,0,84,80,10680,10720
2,0,43,80,10740,10780
2,0,55,80,10740,10780
1,0,74,80,10740,10760
1,0,84,80,10740,10760
1,0,81,80,10770,10790
2,0,45,80,10800,10840
2,0,57,80,10800,10840
1,0,74,80,10800,10840
1,0,84,80,10800,10840
2,0,38,80,10860,10900
2,0,50,80,10860,10900
1,0,74,80,10860,10880
1,0,84,80,10860,10880
1,0,81,80,10890,10910
2,0,40,80,10920,10960
2,0,52,80,10920,10960
1,0,74,80,10920,10940
1,0,84,80,10920,10940
1,0,83,80,10950,10970
2,0,42,80,10980,11020
2,0,54,80,10980,11020
1,0,81,80,10980,11020
2,0,43,80,11040,11080
2,0,55,80,11040,11080
1,0,74,80,11040,11080
1,0,83,80,11040,11080
2,0,45,80,11100,11140
2,0,57,80,11100,11140
1,0,74,80,11100,11120
1,0,83,80,11100,11120
1,0,79,80,11130,11150
2,0,47,80,11160,11200
2,0,59,80,11160,11200
1,0,74,80,11160,11200
1,0,83,80,11160,11200
2,0,48,80,11220,11260
2,0,60,80,11220,11260
1,0,74,80,11220,11240
1,0,83,80,11220,11240
1,0,79,80,11250,11270
2,0,50,80,11280,11320
2,0,62,80,11280,11320
1,0,74,80,11280,11320
1,0,83,80,11280,11320
2,0,43,80,11340,11380
2,0,55,80,11340,11380
1,0,74,80,11340,11360
1,0,83,80,11340,11360
