# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,52,80,0,480
2,0,55,80,0,480
2,0,59,80,0,480
2,0,52,80,480,720
2,0,55,80,480,720
2,0,59,80,480,720
2,0,52,80,720,1200
2,0,55,80,720,1200
2,0,59,80,720,1200
2,0,52,80,1200,1440
2,0,55,80,1200,1440
2,0,59,80,1200,1440
2,0,52,80,1440,1920
2,0,55,80,1440,1920
2,0,59,80,1440,1920
2,0,52,80,1920,2160
2,0,55,80,1920,2160
2,0,59,80,1920,2160
2,0,52,80,2160,2640
2,0,55,80,2160,2640
2,0,59,80,2160,2640
2,0,52,80,2640,2880
2,0,55,80,2640,2880
2,0,59,80,2640,2880
2,0,52,80,2880,3360
2,0,55,80,2880,3360
2,0,59,80,2880,3360
1,0,64,80,2880,3120
1,0,71,80,3120,3600
2,0,52,80,3360,3600
2,0,55,80,3360,3600
2,0,59,80,3360,3600
2,0,52,80,3600,4080
2,0,55,80,3600,4080
2,0,59,80,3600,4080
1,0,71,80,3600,3840
1,0,69,80,3840,4080
2,0,52,80,4080,4320
2,0,55,80,4080,4320
2,0,59,80,4080,4320
1,0,67,80,4080,4320
2,0,52,80,4320,4800
2,0,54,80,4320,4800
2,0,57,80,4320,4800
2,0,59,80,4320,4800
1,0,66,80,4320,4560
1,0,71,80,4560,5040
2,0,52,80,4800,5040
2,0,54,80,4800,5040
2,0,57,80,4800,5040
2,0,59,80,4800,5040
2,0,52,80,5040,5520
2,0,54,80,5040,5520
2,0,57,80,5040,5520
2,0,59,80,5040,5520
1,0,71,80,5040,5220
1,0,71,80,5040,5760
1,0,75,80,5220,5280
1,0,78,80,5280,5520
2,0,52,80,5520,5760
2,0,54,80,5520,5760
2,0,57,80,5520,5760
2,0,59,80,5520,5760
1,0,81,80,5520,5760
2,0,52,80,5760,6240
2,0,55,80,5760,6240
2,0,59,80,5760,6240
1,0,71,80,5760,6480
1,0,79,80,5760,5940
1,0,78,80,5940,6000
1,0,76,80,6000,6240
2,0,52,80,6240,6480
2,0,55,80,6240,6480
2,0,59,80,6240,6480
1,0,71,80,6240,6720
2,0,52,80,6480,6960
2,0,54,80,6480,6960
2,0,57,80,6480,6960
2,0,59,80,6480,6960
1,0,69,80,6480,6660
1,0,71,80,6660,7200
1,0,72,80,6720,6960
2,0,52,80,6960,7200
2,0,54,80,6960,7200
2,0,57,80,6960,7200
2,0,59,80,6960,7200
1,0,74,80,6960,7200
2,0,52,80,7200,7680
2,0,55,80,7200,7680
2,0,59,80,7200,7680
1,0,71,80,7200,7260
1,0,71,80,7200,7380
1,0,71,80,7200,7440
1,0,72,80,7200,7260
1,0,69,80,7380,7440
1,0,67,80,7440,7620
1,0,69,80,7620,7680
2,0,52,80,7680,7920
2,0,55,80,7680,7920
2,0,59,80,7680,7920
1,0,71,80,7680,7920
2,0,52,80,7920,8400
2,0,55,80,7920,8400
2,0,59,80,7920,8400
1,0,71,80,7920,8400
2,0,52,80,8400,8640
2,0,55,80,8400,8640
2,0,59,80,8400,8640
2,0,52,80,8640,9120
2,0,55,80,8640,9120
