# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,71,80,0,480
2,0,40,80,1440,1920
2,0,44,80,1440,1920
2,0,47,80,1440,1920
2,0,52,80,1440,2880
2,0,59,80,1440,1500
1,0,64,80,1440,1500
1,0,68,80,1440,1500
1,0,71,80,1440,1920
2,0,59,80,1920,2400
1,0,62,80,1920,2400
1,0,71,80,1920,2160
1,0,68,80,2160,2400
2,0,57,80,2400,2880
1,0,61,80,2400,2880
1,0,69,80,2400,2640
1,0,73,80,2640,2880
2,0,52,80,2880,3360
2,0,57,80,2880,3360
1,0,60,80,2880,3360
1,0,66,80,2880,3120
1,0,65,80,3120,3180
1,0,66,80,3120,3180
1,0,66,80,3120,3300
1,0,68,80,3120,3180
1,0,68,80,3300,3360
2,0,51,80,3360,4080
2,0,54,80,3360,4080
2,0,59,80,3360,4080
1,0,66,80,3360,4080
1,0,69,80,3360,4080
2,0,52,80,4080,4320
2,0,59,80,4080,4320
1,0,64,80,4080,4320
1,0,68,80,4080,4320
2,0,45,80,4320,4800
2,0,57,80,4320,4800
1,0,64,80,4320,4560
1,0,68,80,4320,4800
1,0,73,80,4320,4800
1,0,65,80,4560,4800
2,0,57,80,4800,5760
1,0,66,80,4800,5760
1,0,73,80,4800,4920
1,0,75,80,4920,5040
1,0,76,80,5040,5160
1,0,77,80,5160,5280
1,0,78,80,5280,5400
1,0,80,80,5400,5520
1,0,81,80,5520,5640
1,0,78,80,5640,5760
2,0,57,80,5760,6240
2,0,59,80,5760,6240
1,0,66,80,5760,6240
1,0,76,80,5760,5880
1,0,75,80,5880,6000
1,0,83,80,6000,6120
1,0,75,80,6120,6240
2,0,56,80,6240,6720
2,0,59,80,6240,6720
1,0,64,80,6240,6720
1,0,76,80,6240,6600
1,0,81,80,6600,6660
1,0,80,80,6660,6720
1,0,78,80,6720,6780
1,0,76,80,6780,6840
1,0,75,80,6840,6900
1,0,73,80,6900,6960
1,0,71,80,6960,7020
1,0,69,80,7020,7080
1,0,68,80,7080,7140
1,0,66,80,7140,7200
2,0,45,80,7200,7680
2,0,47,80,7200,8160
2,0,49,80,7200,7680
2,0,57,80,7200,7680
1,0,65,80,7200,7320
1,0,66,80,7320,7440
1,0,69,80,7440,7560
1,0,73,80,7560,7680
2,0,52,80,7680,8160
2,0,56,80,7680,8160
1,0,64,80,7680,8160
1,0,73,80,7680,7740
2,0,54,80,8160,8640
2,0,57,80,8160,8640
1,0,64,80,8160,8240
