# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,41,80,0,720
2,0,48,80,0,720
2,0,53,80,0,1440
2,0,56,80,0,1440
1,0,60,80,0,1440
2,0,36,80,720,1440
2,0,48,80,720,1440
2,0,41,80,1440,2160
2,0,48,80,1440,2160
2,0,53,80,1440,2880
2,0,56,80,1440,2880
1,0,60,80,1440,2880
2,0,36,80,2160,2880
2,0,48,80,2160,2880
2,0,41,80,2880,4320
2,0,48,80,2880,4320
2,0,53,80,2880,3600
2,0,56,80,2880,3600
1,0,60,80,2880,3600
1,0,72,80,2880,3120
1,0,72,80,3120,3200
1,0,70,80,3200,3280
1,0,68,80,3280,3360
1,0,67,80,3360,3600
2,0,53,80,3600,4320
2,0,55,80,3600,4320
2,0,58,80,3600,4320
1,0,65,80,3600,3720
1,0,67,80,3720,3840
1,0,63,80,3840,4080
1,0,65,80,4080,4320
2,0,41,80,4320,4380
2,0,48,80,4320,5040
2,0,53,80,4320,5040
2,0,56,80,4320,5040
1,0,65,80,4320,4560
1,0,65,80,4320,4640
1,0,65,80,4560,5760
1,0,63,80,4640,4720
1,0,61,80,4720,4800
1,0,60,80,4800,5040
2,0,48,80,5040,5760
2,0,49,80,5040,5760
2,0,53,80,5040,5760
2,0,58,80,5040,5160
1,0,60,80,5160,5280
2,0,56,80,5280,5520
2,0,58,80,5520,5760
2,0,41,80,5760,7200
2,0,48,80,5760,7200
2,0,51,80,5760,6480
2,0,54,80,5760,6480
2,0,58,80,5760,6480
1,0,63,80,5760,6000
1,0,63,80,6000,6080
1,0,65,80,6080,6160
1,0,66,80,6160,6240
1,0,68,80,6240,6480
2,0,52,80,6480,7200
2,0,55,80,6480,7200
2,0,58,80,6480,7200
1,0,60,80,6480,7200
1,0,70,80,6480,6600
1,0,72,80,6600,6720
1,0,73,80,6720,6960
1,0,75,80,6720,6780
1,0,72,80,6960,7200
2,0,41,80,7200,7260
2,0,48,80,7200,7920
2,0,53,80,7200,7920
2,0,56,80,7200,7920
1,0,60,80,7200,7920
1,0,72,80,7200,7440
1,0,72,80,7200,7520
1,0,72,80,7440,7920
1,0,70,80,7520,7600
1,0,68,80,7600,7680
1,0,67,80,7680,7920
2,0,48,80,7920,8640
2,0,53,80,7920,8640
2,0,55,80,7920,8640
2,0,58,80,7920,8640
1,0,65,80,7920,8040
1,0,72,80,7920,8400
1,0,67,80,8040,8160
1,0,63,80,8160,8400
1,0,65,80,8400,8640
1,0,72,80,8400,8640
2,0,41,80,8640,10080
2,0,48,80,8640,10080
2,0,56,80,8640,9360
1,0,60,80,8640,9360
1,0,65,80,8640,9480
1,0,72,80,8640,8880
1,0,72,80,8880,8960
1,0,70,80,8960,9040
1,0,68,80,9040,9120
1,0,67,80,9120,9360
2,0,55,80,9360,10080
2,0,58,80,9360,10080
1,0,65,80,9360,10080
1,0,67,80,9480,9600
1,0,63,80,9600,9840
1,0,65,80,9840,10080
2,0,41,80,10080,10140
2,0,48,80,10080,10800
2,0,53,80,10080,10800
2,0,56,80,10080,10800
1,0,65,80,10080,10320
1,0,65,80,10080,10400
1,0,65,80,10320,11520
1,0,63,80,10400,10480
1,0,61,80,10480,10560
1,0,60,80,10560,10800
2,0,48,80,10800,11520
2,0,49,80,10800,11520
2,0,53,80,10800,11520
2,0,58,80,10800,10920
1,0,60,80,10920,11040
2,0,56,80,11040,11280
2,0,58,80,11280,11520
2,0,41,80,11520,12960
2,0,48,80,11520,12960
2,0,51,80,11520,12240
2,0,54,80,11520,12240
2,0,58,80,11520,12240
1,0,63,80,11520,11760
1,0,63,80,11760,11840
1,0,65,80,11840,11920
1,0,66,80,11920,12000
1,0,68,80,12000,12240
2,0,52,80,12240,12960
2,0,55,80,12240,12960
2,0,58,80,12240,12960
1,0,60,80,12240,12960
1,0,70,80,12240,12360
1,0,72,80,12360,12480
1,0,73,80,12480,12840
1,0,75,80,12480,12540
1,0,72,80,12840,12960
2,0,41,80,12960,13020
2,0,48,80,12960,13680
2,0,53,80,12960,13680
2,0,56,80,12960,13680
1,0,60,80,12960,13680
1,0,72,80,12960,13200
1,0,72,80,12960,13280
1,0,72,80,13200,13680
1,0,70,80,13280,13360
1,0,68,80,13360,13440
1,0,67,80,13440,13680
2,0,48,80,13680,14400
2,0,53,80,13680,14400
2,0,55,80,13680,14400
2,0,58,80,13680,14400
1,0,65,80,13680,13800
1,0,72,80,13680,14160
1,0,67,80,13800,13920
1,0,63,80,13920,14160
1,0,65,80,14160,14400
1,0,72,80,14160,14400
2,0,41,80,14400,15840
2,0,48,80,14400,15840
2,0,53,80,14400,15120
2,0,56,80,14400,15120
1,0,65,80,14400,15840
1,0,72,80,14400,14640
1,0,72,80,14640,14720
1,0,73,80,14720,14800
1,0,75,80,14800,14880
1,0,77,80,14880,15120
2,0,55,80,15120,15840
2,0,58,80,15120,15840
1,0,77,80,15120,15240
1,0,75,80,15240,15360
1,0,73,80,15360,15600
1,0,75,80,15600,15840
2,0,41,80,15840,15900
2,0,51,80,15840,16560
2,0,57,80,15840,16560
1,0,60,80,15840,16560
1,0,72,80,15840,16080
1,0,72,80,15840,16160
1,0,72,80,16080,17280
1,0,70,80,16160,16240
1,0,68,80,16240,16320
1,0,66,80,16320,16560
2,0,54,80,16560,17280
2,0,58,80,16560,17280
1,0,60,80,16560,17280
1,0,65,80,16560,16680
1,0,66,80,16680,16800
1,0,63,80,16800,17040
1,0,65,80,17040,17280
2,0,41,80,17280,18000
2,0,53,80,17280,18000
2,0,57,80,17280,18000
1,0,60,80,17280,18000
1,0,65,80,17280,18720
1,0,72,80,17280,17520
1,0,72,80,17520,17640
1,0,73,80,17640,17760
1,0,75,80,17760,18000
2,0,46,80,18000,18720
2,0,53,80,18000,18720
2,0,58,80,18000,18720
1,0,61,80,18000,18720
1,0,73,80,18000,18120
1,0,72,80,18120,18240
1,0,70,80,18240,18480
1,0,68,80,18480,18720
2,0,39,80,18720,18780
2,0,46,80,18720,19440
2,0,51,80,18720,19440
2,0,54,80,18720,19440
2,0,58,80,18720,19440
1,0,70,80,18720,18960
1,0,70,80,18720,19040
1,0,70,80,18960,19440
1,0,68,80,19040,19120
1,0,66,80,19120,19200
1,0,65,80,19200,19440
2,0,46,80,19440,20160
2,0,51,80,19440,20160
2,0,53,80,19440,20160
2,0,56,80,19440,20160
1,0,63,80,19440,19560
1,0,70,80,19440,19920
1,0,65,80,19560,19680
1,0,61,80,19680,19920
1,0,63,80,19920,20160
1,0,70,80,19920,20160
2,0,39,80,20160,20880
2,0,46,80,20160,20880
2,0,54,80,20160,20880
2,0,58,80,20160,20880
1,0,63,80,20160,21600
1,0,70,80,20160,20400
1,0,70,80,20400,20520
1,0,72,80,20520,20640
1,0,73,80,20640,20880
2,0,39,80,20880,21600
2,0,44,80,20880,21600
2,0,54,80,20880,21600
1,0,60,80,20880,21600
1,0,72,80,20880,21000
1,0,70,80,21000,21120
1,0,68,80,21120,21360
1,0,66,80,21360,21600
2,0,37,80,21600,22320
2,0,44,80,21600,22320
2,0,53,80,21600,22320
2,0,56,80,21600,22320
1,0,61,80,21600,22320
1,0,68,80,21600,21840
1,0,68,80,21600,21960
1,0,68,80,21840,23040
1,0,66,80,21960,22080
1,0,65,80,22080,22320
2,0,47,80,22320,23040
2,0,49,80,22320,23040
2,0,53,80,22320,23040
2,0,56,80,22320,23040
1,0,65,80,22320,22560
1,0,65,80,22560,22680
1,0,63,80,22680,22800
1,0,61,80,22800,23040
2,0,48,80,23040,24480
2,0,53,80,23040,23760
2,0,57,80,23040,23760
1,0,60,80,23040,23760
1,0,69,80,23040,23280
1,0,69,80,23280,23400
1,0,70,80,23400,23520
1,0,72,80,23520,23760
2,0,53,80,23760,24480
2,0,57,80,23760,24480
1,0,62,80,23760,24480
1,0,72,80,23760,24000
1,0,70,80,24000,24120
1,0,69,80,24120,24240
1,0,67,80,24240,24360
1,0,65,80,24360,24480
2,0,36,80,24480,25920
2,0,48,80,24480,25920
2,0,57,80,24480,25200
1,0,60,80,24480,25200
1,0,63,80,24480,25200
1,0,69,80,24480,25200
2,0,58,80,25200,25920
1,0,60,80,25200,25920
1,0,64,80,25200,25920
1,0,67,80,25200,25920
2,0,41,80,25920,26640
2,0,48,80,25920,26640
2,0,57,80,25920,27360
1,0,60,80,25920,27360
1,0,65,80,25920,27360
1,0,65,80,25920,27360
2,0,36,80,26640,27360
2,0,48,80,26640,27360
2,0,41,80,27360,28080
2,0,48,80,27360,28080
2,0,53,80,27360,28800
2,0,56,80,27360,28800
1,0,60,80,27360,28800
2,0,36,80,28080,28800
2,0,48,80,28080,28800
2,0,41,80,28800,30240
2,0,48,80,28800,30240
2,0,53,80,28800,29520
2,0,56,80,28800,29520
1,0,60,80,28800,29520
1,0,72,80,28800,29040
1,0,72,80,29040,29120
1,0,70,80,29120,29200
1,0,68,80,29200,29280
1,0,67,80,29280,29520
2,0,53,80,29520,30240
2,0,55,80,29520,30240
2,0,58,80,29520,30240
1,0,65,80,29520,29640
1,0,67,80,29640,29760
1,0,63,80,29760,30000
1,0,65,80,30000,30240
2,0,41,80,30240,30300
2,0,48,80,30240,30960
2,0,53,80,30240,30960
2,0,56,80,30240,30960
1,0,65,80,30240,30480
1,0,65,80,30240,30560
1,0,65,80,30480,31680
1,0,63,80,30560,30640
1,0,61,80,30640,30720
1,0,60,80,30720,30960
2,0,48,80,30960,31680
2,0,49,80,30960,31680
2,0,53,80,30960,31680
2,0,58,80,30960,31080
1,0,60,80,31080,31200
2,0,56,80,31200,31440
2,0,58,80,31440,31680
2,0,41,80,31680,33120
2,0,48,80,31680,33120
2,0,51,80,31680,32400
2,0,54,80,31680,32400
2,0,58,80,31680,32400
1,0,63,80,31680,31920
1,0,63,80,31920,32000
1,0,65,80,32000,32080
1,0,66,80,32080,32160
1,0,68,80,32160,32400
2,0,52,80,32400,33120
2,0,55,80,32400,33120
2,0,58,80,32400,33120
1,0,60,80,32400,33120
1,0,70,80,32400,32520
1,0,72,80,32520,32640
1,0,73,80,32640,32880
1,0,75,80,32640,32700
1,0,72,80,32880,33120
2,0,41,80,33120,33180
2,0,48,80,33120,33840
2,0,53,80,33120,33840
2,0,56,80,33120,33840
1,0,60,80,33120,33840
1,0,72,80,33120,33360
1,0,72,80,33120,33440
1,0,72,80,33360,33840
1,0,70,80,33440,33520
1,0,68,80,33520,33600
1,0,67,80,33600,33840
2,0,48,80,33840,34560
2,0,53,80,33840,34560
2,0,55,80,33840,34560
2,0,58,80,33840,34560
1,0,65,80,33840,33960
1,0,72,80,33840,34320
1,0,67,80,33960,34080
1,0,63,80,34080,34320
1,0,65,80,34320,34560
1,0,72,80,34320,34560
2,0,41,80,34560,36000
2,0,48,80,34560,36000
2,0,56,80,34560,35280
1,0,60,80,34560,35280
1,0,65,80,34560,35400
1,0,72,80,34560,34800
1,0,72,80,34800,34880
1,0,70,80,34880,34960
1,0,68,80,34960,35040
1,0,67,80,35040,35280
2,0,55,80,35280,36000
2,0,58,80,35280,36000
1,0,65,80,35280,36000
1,0,67,80,35400,35520
1,0,63,80,35520,35760
1,0,65,80,35760,36000
2,0,41,80,36000,36060
2,0,48,80,36000,36720
2,0,53,80,36000,36720
2,0,56,80,36000,36720
1,0,65,80,36000,36240
1,0,65,80,36000,36320
1,0,65,80,36240,37440
1,0,63,80,36320,36400
1,0,61,80,36400,36480
1,0,60,80,36480,36720
2,0,48,80,36720,37440
2,0,49,80,36720,37440
2,0,53,80,36720,37440
2,0,58,80,36720,36840
1,0,60,80,36840,36960
2,0,56,80,36960,37200
2,0,58,80,37200,37440
2,0,41,80,37440,38880
2,0,48,80,37440,38880
2,0,51,80,37440,38160
2,0,54,80,37440,38160
2,0,58,80,37440,38160
1,0,63,80,37440,37680
1,0,63,80,37680,37760
1,0,65,80,37760,37840
1,0,66,80,37840,37920
1,0,68,80,37920,38160
2,0,52,80,38160,38880
2,0,55,80,38160,38880
2,0,58,80,38160,38880
1,0,60,80,38160,38880
1,0,70,80,38160,38280
1,0,72,80,38280,38400
1,0,73,80,38400,38760
1,0,75,80,38400,38460
1,0,72,80,38760,38880
2,0,41,80,38880,38940
2,0,48,80,38880,39600
2,0,53,80,38880,39600
2,0,56,80,38880,39600
1,0,60,80,38880,39600
1,0,72,80,38880,39120
1,0,72,80,38880,39200
1,0,72,80,39120,39600
1,0,70,80,39200,39280
1,0,68,80,39280,39360
1,0,67,80,39360,39600
2,0,48,80,39600,40320
2,0,53,80,39600,40320
2,0,55,80,39600,40320
2,0,58,80,39600,40320
1,0,65,80,39600,39720
1,0,72,80,39600,40080
1,0,67,80,39720,39840
1,0,63,80,39840,40080
1,0,65,80,40080,40320
1,0,72,80,40080,40320
2,0,41,80,40320,41760
2,0,48,80,40320,41760
2,0,53,80,40320,41040
2,0,56,80,40320,41040
1,0,65,80,40320,41760
1,0,72,80,40320,40560
1,0,72,80,40560,40640
1,0,73,80,40640,40720
1,0,75,80,40720,40800
1,0,77,80,40800,41040
2,0,55,80,41040,41760
2,0,58,80,41040,41760
1,0,77,80,41040,41160
1,0,75,80,41160,41280
1,0,73,80,41280,41520
1,0,75,80,41520,41760
