# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,46,80,0,480
1,0,80,80,0,80
1,0,82,80,80,160
1,0,80,80,160,240
1,0,79,80,240,480
2,0,58,80,480,720
1,0,62,80,480,720
1,0,68,80,480,720
1,0,77,80,480,720
2,0,58,80,720,1200
1,0,62,80,720,1200
1,0,68,80,720,1200
1,0,80,80,720,800
1,0,82,80,800,880
1,0,80,80,880,960
1,0,79,80,960,1200
2,0,58,80,1200,1440
1,0,62,80,1200,1440
1,0,68,80,1200,1440
1,0,77,80,1200,1440
2,0,51,80,1440,1920
1,0,79,80,1440,1680
1,0,91,80,1680,1920
2,0,58,80,1920,2160
1,0,63,80,1920,2160
1,0,67,80,1920,2160
1,0,89,80,1920,2160
2,0,45,80,2160,2640
1,0,87,80,2160,2400
1,0,86,80,2400,2640
2,0,57,80,2640,2880
1,0,60,80,2640,2880
1,0,63,80,2640,2880
1,0,84,80,2640,2880
2,0,46,80,2880,3360
1,0,74,80,2880,3120
1,0,82,80,2880,3120
1,0,72,80,3120,3360
1,0,80,80,3120,3360
2,0,58,80,3360,3600
1,0,62,80,3360,3600
1,0,68,80,3360,3600
1,0,70,80,3360,3600
1,0,79,80,3360,3600
2,0,58,80,3600,4080
1,0,62,80,3600,4080
1,0,68,80,3600,3840
1,0,77,80,3600,3840
1,0,70,80,3840,4080
1,0,79,80,3840,4080
2,0,58,80,4080,4320
1,0,68,80,4080,4320
1,0,77,80,4080,4320
2,0,51,80,4320,4800
2,0,58,80,4320,4800
1,0,67,80,4320,4560
1,0,75,80,4320,4560
1,0,70,80,4560,4800
1,0,79,80,4800,5040
2,0,51,80,5040,5520
2,0,58,80,5040,5520
1,0,67,80,5040,5520
1,0,75,80,5040,5520
2,0,51,80,5760,6480
2,0,58,80,5760,6480
1,0,63,80,5760,6480
1,0,67,80,5760,6000
1,0,67,80,5760,6480
1,0,68,80,6000,6240
1,0,67,80,6240,6480
2,0,51,80,6480,7200
2,0,58,80,6480,7200
1,0,62,80,6480,7200
1,0,65,80,6480,6840
1,0,68,80,6480,7200
1,0,67,80,6840,6960
1,0,68,80,6960,7200
2,0,51,80,7200,7440
2,0,58,80,7200,7440
1,0,63,80,7200,7440
1,0,67,80,7200,7440
1,0,70,80,7200,7680
2,0,51,80,7680,7920
2,0,58,80,7680,7920
1,0,63,80,7680,7920
1,0,67,80,7680,7920
1,0,75,80,7680,7920
2,0,51,80,7920,8640
2,0,58,80,7920,8640
1,0,63,80,7920,8640
1,0,67,80,7920,8640
1,0,70,80,7920,8640
2,0,51,80,8640,9360
2,0,58,80,8640,9360
1,0,63,80,8640,9360
1,0,67,80,8640,8880
1,0,67,80,8640,9360
1,0,68,80,8880,9120
1,0,67,80,9120,9360
2,0,51,80,9360,10080
2,0,58,80,9360,10080
1,0,63,80,9360,10080
1,0,67,80,9360,9600
1,0,67,80,9360,10080
1,0,70,80,9600,9840
1,0,68,80,9840,10080
2,0,51,80,10080,10320
2,0,58,80,10080,10320
1,0,62,80,10080,10320
1,0,67,80,10080,10560
1,0,68,80,10080,10320
2,0,51,80,10560,10800
2,0,58,80,10560,10800
1,0,62,80,10560,10800
1,0,65,80,10560,10800
1,0,68,80,10560,10800
2,0,51,80,10800,11520
2,0,58,80,10800,11520
1,0,62,80,10800,11520
1,0,65,80,10800,11520
1,0,68,80,10800,11520
2,0,51,80,11520,12240
2,0,58,80,11520,12240
1,0,63,80,11520,12240
1,0,67,80,11520,11760
1,0,67,80,11520,12240
1,0,68,80,11760,12000
1,0,67,80,12000,12240
2,0,51,80,12240,12960
2,0,58,80,12240,12960
1,0,62,80,12240,12960
1,0,65,80,12240,12600
1,0,68,80,12240,12960
1,0,67,80,12600,12720
1,0,68,80,12720,12960
2,0,51,80,12960,13200
2,0,58,80,12960,13200
1,0,63,80,12960,13200
1,0,67,80,12960,13200
1,0,70,80,12960,13440
2,0,51,80,13440,13680
2,0,58,80,13440,13680
1,0,63,80,13440,13680
1,0,67,80,13440,13680
1,0,75,80,13440,13680
2,0,52,80,13680,13920
2,0,58,80,13680,13920
1,0,61,80,13680,13920
1,0,67,80,13680,13920
1,0,70,80,13680,14160
2,0,52,80,14160,14400
2,0,58,80,14160,14400
1,0,61,80,14160,14400
1,0,67,80,14160,14400
2,0,53,80,14400,15120
2,0,58,80,14400,14640
1,0,62,80,14400,14640
1,0,65,80,14400,14640
1,0,70,80,14400,14640
1,0,69,80,14640,14880
2,0,58,80,14880,15120
1,0,62,80,14880,15120
1,0,65,80,14880,15120
1,0,67,80,14880,15120
2,0,41,80,15120,15840
2,0,58,80,15120,15360
1,0,62,80,15120,15360
1,0,65,80,15120,15360
1,0,65,80,15120,15600
2,0,58,80,15600,15840
1,0,62,80,15600,15840
1,0,65,80,15600,15840
1,0,70,80,15600,15840
1,0,74,80,15600,15840
2,0,41,80,15840,16560
2,0,53,80,15840,16560
2,0,57,80,15840,16560
1,0,63,80,15840,16560
1,0,65,80,15840,16560
1,0,70,80,15840,15900
1,0,72,80,15840,16320
1,0,74,80,15840,15900
1,0,70,80,16320,16560
2,0,46,80,16560,17280
2,0,58,80,16560,17280
1,0,62,80,16560,17280
1,0,65,80,16560,17280
1,0,70,80,16560,17280
2,0,37,80,17280,17760
2,0,59,80,17280,17520
1,0,61,80,17280,17520
1,0,71,80,17280,17520
1,0,65,80,17520,17760
