# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,240
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,48,80,0,470
1,0,64,80,0,240
1,0,72,80,0,470
1,0,79,80,0,240
1,0,67,80,240,480
1,0,76,80,240,480
2,0,53,80,480,720
1,0,60,80,480,720
1,0,69,80,480,720
1,0,81,80,480,720
2,0,50,80,720,960
1,0,62,80,720,960
1,0,69,80,720,960
1,0,77,80,720,960
2,0,52,80,960,1200
2,0,59,80,960,1200
1,0,67,80,960,1200
1,0,79,80,960,1200
2,0,48,80,1200,1440
1,0,64,80,1200,1320
1,0,67,80,1200,1320
1,0,76,80,1200,1440
1,0,65,80,1320,1440
1,0,69,80,1320,1440
2,0,55,80,1440,1680
1,0,67,80,1440,1680
1,0,71,80,1440,1680
1,0,74,80,1440,1680
2,0,57,80,1680,1920
1,0,64,80,1680,1920
1,0,69,80,1680,1920
1,0,72,80,1680,1920
2,0,55,80,1920,2160
1,0,67,80,1920,2160
1,0,71,80,1920,2160
1,0,74,80,1920,2160
2,0,52,80,2160,2400
1,0,60,80,2160,2400
1,0,72,80,2160,2630
1,0,76,80,2160,2400
2,0,50,80,2400,2870
1,0,62,80,2400,2870
1,0,77,80,2400,2640
1,0,71,80,2640,2880
1,0,76,80,2640,2760
1,0,74,80,2760,2880
2,0,48,80,2880,3820
2,0,55,80,2880,3120
1,0,72,80,2880,3350
1,0,76,80,2880,3350
1,0,60,80,3120,3240
1,0,62,80,3240,3360
1,0,64,80,3360,3830
1,0,67,80,3360,3830
1,0,72,80,3360,3830
2,0,55,80,3840,4080
2,0,59,80,3840,3960
1,0,62,80,3840,4080
1,0,71,80,3840,4080
1,0,60,80,3960,4080
2,0,54,80,4080,4320
1,0,62,80,4080,4320
1,0,62,80,4080,4200
1,0,69,80,4080,4320
1,0,60,80,4200,4320
2,0,55,80,4320,4560
2,0,59,80,4320,4440
1,0,62,80,4320,4560
1,0,71,80,4320,4560
2,0,57,80,4440,4560
2,0,52,80,4560,4800
2,0,55,80,4560,4800
1,0,64,80,4560,4800
1,0,73,80,4560,4800
2,0,50,80,4800,5270
2,0,57,80,4800,5270
1,0,65,80,4800,4920
1,0,74,80,4800,4920
1,0,67,80,4920,5040
1,0,76,80,4920,5040
1,0,69,80,5040,5160
1,0,77,80,5040,5160
1,0,71,80,5160,5280
1,0,74,80,5160,5280
2,0,52,80,5280,5520
2,0,55,80,5280,5520
1,0,72,80,5280,5520
1,0,79,80,5280,5520
2,0,53,80,5520,5760
2,0,57,80,5520,5760
1,0,72,80,5520,5760
1,0,77,80,5520,5640
1,0,76,80,5640,5760
2,0,55,80,5760,6000
2,0,59,80,5760,6000
1,0,71,80,5760,6000
1,0,74,80,5760,6000
2,0,57,80,6000,6240
1,0,60,80,6000,6240
1,0,64,80,6000,6120
1,0,72,80,6000,6240
1,0,65,80,6120,6240
2,0,55,80,6240,6710
1,0,62,80,6240,6710
1,0,67,80,6240,6710
1,0,72,80,6240,6480
1,0,71,80,6480,6720
2,0,48,80,6720,7560
1,0,64,80,6720,7560
1,0,67,80,6720,7560
1,0,72,80,6720,7560
2,0,48,80,7680,8150
1,0,64,80,7680,7920
1,0,72,80,7680,8150
1,0,79,80,7680,7920
1,0,67,80,7920,8160
1,0,76,80,7920,8160
2,0,53,80,8160,8400
1,0,60,80,8160,8400
1,0,69,80,8160,8400
1,0,81,80,8160,8400
2,0,50,80,8400,8640
1,0,62,80,8400,8640
1,0,69,80,8400,8640
