# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1935483
# meta,0,0,time_signature,3/8
track,channel,pitch,vel,start,end
2,0,51,80,0,144
2,0,51,80,0,144
2,0,56,80,144,192
2,0,56,80,144,192
2,0,44,80,192,576
1,0,60,80,192,384
1,0,60,80,192,384
1,0,60,80,384,528
1,0,60,80,384,528
2,0,58,80,528,576
2,0,58,80,528,576
2,0,56,80,576,720
2,0,56,80,576,720
1,0,60,80,720,768
1,0,60,80,720,768
2,0,49,80,768,1152
2,0,53,80,768,1104
2,0,53,80,768,1104
2,0,57,80,1104,1152
2,0,57,80,1104,1152
2,0,58,80,1152,1296
2,0,58,80,1152,1296
1,0,60,80,1296,1344
1,0,60,80,1296,1344
2,0,46,80,1344,1536
1,0,61,80,1344,1488
1,0,61,80,1344,1488
1,0,60,80,1488,1536
1,0,60,80,1488,1536
2,0,43,80,1536,1728
2,0,58,80,1536,1680
2,0,58,80,1536,1680
1,0,61,80,1680,1728
1,0,61,80,1680,1728
2,0,46,80,1728,1920
2,0,55,80,1728,1872
2,0,55,80,1728,1872
2,0,58,80,1872,1920
2,0,58,80,1872,1920
2,0,48,80,1920,2304
2,0,52,80,1920,2064
2,0,52,80,1920,2064
2,0,55,80,2064,2112
2,0,55,80,2064,2112
1,0,60,80,2112,2448
1,0,60,80,2112,2448
2,0,58,80,2448,2496
2,0,58,80,2448,2496
2,0,53,80,2496,2688
2,0,57,80,2496,2640
2,0,57,80,2496,2640
2,0,53,80,2640,2688
2,0,53,80,2640,2688
2,0,46,80,2688,2880
2,0,58,80,2688,2976
2,0,58,80,2688,2976
1,0,61,80,2976,3072
1,0,61,80,2976,3072
2,0,51,80,3072,3264
2,0,55,80,3072,3216
2,0,55,80,3072,3216
2,0,51,80,3216,3264
2,0,51,80,3216,3264
2,0,44,80,3264,3456
2,0,56,80,3264,3456
2,0,56,80,3264,3456
2,0,56,80,3456,3600
2,0,56,80,3456,3600
1,0,60,80,3600,3648
1,0,60,80,3600,3648
2,0,39,80,3648,3840
1,0,63,80,3648,4224
1,0,63,80,3648,4224
2,0,44,80,4224,4416
1,0,60,80,4224,4416
1,0,60,80,4224,4416
2,0,48,80,4608,4752
2,0,48,80,4608,4752
2,0,51,80,4608,4752
2,0,56,80,4608,4752
1,0,60,80,4608,4752
1,0,63,80,4608,4752
1,0,68,80,4608,4752
2,0,44,80,4752,4800
2,0,44,80,4752,4800
2,0,51,80,4752,4800
2,0,56,80,4752,4800
1,0,60,80,4752,4800
1,0,60,80,4752,4800
1,0,72,80,4752,4800
2,0,39,80,4800,5376
2,0,39,80,4800,5376
2,0,51,80,4800,5376
2,0,55,80,4800,5376
2,0,58,80,4800,5376
1,0,63,80,4800,5376
1,0,75,80,4800,5376
2,0,44,80,5376,5568
2,0,44,80,5376,5568
2,0,51,80,5376,5568
2,0,56,80,5376,5568
1,0,60,80,5376,5568
1,0,60,80,5376,5568
1,0,72,80,5376,5568
1,0,68,80,5760,5904
1,0,72,80,5760,5904
1,0,75,80,5760,5952
1,0,75,80,5760,5904
1,0,80,80,5760,5904
1,0,68,80,5904,5952
1,0,68,80,5904,5952
1,0,72,80,5904,5952
1,0,84,80,5904,5952
1,0,63,80,5952,6528
1,0,67,80,5952,6528
1,0,70,80,5952,6528
1,0,75,80,5952,6336
1,0,75,80,5952,6528
1,0,87,80,5952,6528
1,0,77,80,6336,6432
1,0,79,80,6432,6528
1,0,65,80,6528,7104
1,0,68,80,6528,7104
1,0,73,80,6528,6720
1,0,80,80,6528,7104
1,0,85,80,6528,6720
1,0,72,80,6720,7104
1,0,84,80,6720,7104
1,0,60,80,7104,7680
1,0,63,80,7104,7680
1,0,70,80,7104,7296
1,0,75,80,7104,7680
1,0,82,80,7104,7296
1,0,68,80,7296,7680
1,0,80,80,7296,7680
1,0,63,80,7680,7872
1,0,70,80,7680,7872
1,0,73,80,7680,7872
1,0,75,80,7680,7872
1,0,79,80,7680,8064
1,0,63,80,7872,8064
1,0,70,80,7872,8064
1,0,73,80,7872,8064
1,0,75,80,7872,8064
1,0,63,80,8064,8256
1,0,70,80,8064,8208
1,0,73,80,8064,8256
1,0,75,80,8064,8256
1,0,79,80,8064,8128
1,0,80,80,8128,8192
1,0,82,80,8192,8256
1,0,67,80,8208,8256
2,0,56,80,8256,8448
1,0,63,80,8256,8448
1,0,68,80,8256,8448
1,0,72,80,8256,8448
1,0,75,80,8256,8448
1,0,80,80,8256,8448
2,0,56,80,8544,8640
1,0,68,80,8544,8640
1,0,60,80,8640,8736
1,0,72,80,8640,8736
1,0,63,80,8736,8832
1,0,75,80,8736,8832
2,0,44,80,8832,9408
2,0,53,80,8832,9408
2,0,53,80,8832,9408
2,0,56,80,8832,9408
1,0,63,80,8832,8928
1,0,68,80,8832,9408
1,0,75,80,8832,8928
1,0,61,80,8928,9024
1,0,73,80,8928,9024
1,0,60,80,9024,9312
1,0,72,80,9024,9312
1,0,60,80,9312,9408
1,0,72,80,9312,9408
2,0,48,80,9408,9984
2,0,48,80,9408,9984
2,0,51,80,9408,9984
2,0,56,80,9408,9984
1,0,60,80,9408,9504
1,0,63,80,9408,9984
1,0,72,80,9408,9504
2,0,58,80,9504,9600
1,0,70,80,9504,9600
2,0,56,80,9600,9888
1,0,68,80,9600,9888
1,0,60,80,9792,9984
1,0,63,80,9792,9984
2,0,56,80,9888,9984
1,0,68,80,9888,9984
2,0,51,80,9984,10176
2,0,51,80,9984,10176
2,0,51,80,9984,10176
2,0,55,80,9984,10368
2,0,58,80,9984,10176
2,0,58,80,9984,10176
1,0,61,80,9984,10176
1,0,61,80,9984,10176
1,0,63,80,9984,10176
1,0,67,80,9984,10368
2,0,51,80,10176,10368
2,0,51,80,10176,10368
2,0,51,80,10176,10368
2,0,58,80,10176,10368
2,0,58,80,10176,10368
1,0,61,80,10176,10368
1,0,61,80,10176,10368
1,0,63,80,10176,10368
2,0,51,80,10368,10560
2,0,51,80,10368,10560
2,0,51,80,10368,10560
2,0,55,80,10368,10432
2,0,58,80,10368,10512
2,0,58,80,10368,10512
1,0,61,80,10368,10560
1,0,61,80,10368,10560
1,0,63,80,10368,10560
1,0,67,80,10368,10432
2,0,56,80,10432,10496
1,0,68,80,10432,10496
2,0,58,80,10496,10560
1,0,70,80,10496,10560
2,0,55,80,10512,10560
2,0,55,80,10512,10560
2,0,44,80,10560,10752
2,0,44,80,10560,10752
2,0,51,80,10560,10752
2,0,56,80,10560,10752
2,0,56,80,10560,10752
2,0,56,80,10560,10752
1,0,60,80,10560,10752
1,0,60,80,10560,10752
1,0,63,80,10560,10752
1,0,68,80,10560,10752
1,0,63,80,10944,11328
1,0,70,80,10944,11088
1,0,73,80,10944,11136
1,0,75,80,10944,11328
1,0,79,80,10944,11008
1,0,80,80,11008,11072
1,0,82,80,11072,11136
1,0,67,80,11088,11136
2,0,56,80,11136,11328
1,0,68,80,11136,11328
1,0,72,80,11136,11328
1,0,80,80,11136,11328
2,0,49,80,11520,11584
2,0,51,80,11520,11808
2,0,51,80,11520,11712
2,0,51,80,11520,11712
2,0,55,80,11520,11712
2,0,58,80,11520,11712
2,0,58,80,11520,11584
1,0,63,80,11520,11808
1,0,67,80,11520,11584
1,0,70,80,11520,11712
1,0,79,80,11520,11712
1,0,79,80,11520,11712
1,0,82,80,11520,11712
2,0,48,80,11584,11648
2,0,56,80,11584,11648
1,0,68,80,11584,11648
2,0,49,80,11648,11712
2,0,55,80,11648,11712
1,0,70,80,11648,11712
2,0,44,80,11712,11808
2,0,44,80,11712,11808
2,0,48,80,11712,11808
2,0,56,80,11712,11808
2,0,56,80,11712,11808
1,0,60,80,11712,11808
1,0,68,80,11712,11808
1,0,72,80,11712,11808
1,0,80,80,11712,11808
1,0,80,80,11712,11808
2,0,44,80,11904,12000
2,0,44,80,11904,12000
2,0,48,80,11904,12000
2,0,51,80,11904,12000
2,0,56,80,11904,12000
2,0,56,80,11904,12000
1,0,60,80,11904,12000
1,0,60,80,11904,12000
1,0,68,80,11904,12000
1,0,68,80,11904,12000
1,0,72,80,11904,12000
1,0,75,80,11904,12000
1,0,80,80,11904,12000
2,0,44,80,12096,12192
2,0,44,80,12096,12192
2,0,48,80,12096,12192
2,0,51,80,12096,12192
2,0,56,80,12096,12192
2,0,56,80,12096,12192
1,0,60,80,12096,12192
1,0,60,80,12096,12192
1,0,68,80,12096,12192
1,0,68,80,12096,12192
1,0,72,80,12096,12192
1,0,75,80,12096,12192
1,0,80,80,12096,12192
2,0,44,80,12288,12480
2,0,44,80,12288,12480
2,0,48,80,12288,12480
2,0,48,80,12288,12480
2,0,56,80,12288,12480
2,0,56,80,12288,12480
2,0,56,80,12288,12480
1,0,60,80,12288,12480
1,0,68,80,12288,12480
1,0,68,80,12288,12480
1,0,72,80,12288,12480
1,0,75,80,12288,12480
1,0,80,80,12288,12480
2,0,51,80,12672,12816
1,0,63,80,12672,12816
2,0,55,80,12816,12864
1,0,67,80,12816,12864
2,0,48,80,12864,13056
2,0,48,80,12864,12928
2,0,56,80,12864,13056
2,0,56,80,12864,13056
2,0,56,80,12864,13056
1,0,63,80,12864,13056
1,0,68,80,12864,13056
2,0,56,80,12928,12992
2,0,51,80,12992,13056
2,0,48,80,13056,13248
2,0,48,80,13056,13120
2,0,56,80,13056,13248
2,0,56,80,13056,13248
2,0,56,80,13056,13248
1,0,63,80,13056,13248
1,0,63,80,13056,13248
1,0,68,80,13056,13248
1,0,68,80,13056,13248
2,0,56,80,13120,13184
2,0,51,80,13184,13248
2,0,51,80,13248,13440
2,0,51,80,13248,13312
2,0,51,80,13248,13440
2,0,51,80,13248,13440
2,0,58,80,13248,13440
1,0,67,80,13248,13440
1,0,67,80,13248,13440
1,0,70,80,13248,13440
1,0,70,80,13248,13440
2,0,58,80,13312,13376
2,0,55,80,13376,13440
2,0,44,80,13440,13632
2,0,44,80,13440,13632
2,0,51,80,13440,13504
2,0,56,80,13440,13824
1,0,60,80,13440,13824
1,0,68,80,13440,13824
1,0,68,80,13440,13632
1,0,72,80,13440,13824
1,0,72,80,13440,13632
2,0,58,80,13504,13568
2,0,55,80,13568,13632
2,0,51,80,13632,13696
2,0,56,80,13696,13760
2,0,48,80,13760,13824
2,0,48,80,13824,13968
2,0,51,80,13824,13888
2,0,56,80,13824,13968
1,0,63,80,13824,13968
1,0,68,80,13824,13968
2,0,56,80,13888,13952
2,0,58,80,13952,14016
2,0,51,80,13968,14016
2,0,58,80,13968,14016
1,0,67,80,13968,14016
1,0,70,80,13968,14016
2,0,51,80,14016,14080
2,0,56,80,14016,14208
2,0,56,80,14016,14208
2,0,56,80,14016,14208
1,0,60,80,14016,14208
1,0,68,80,14016,14208
1,0,72,80,14016,14208
1,0,60,80,14080,14144
2,0,56,80,14144,14208
