# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,365853
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,48,80,0,576
2,0,51,80,0,576
2,0,55,80,0,576
2,0,60,80,0,576
1,0,63,80,0,576
1,0,67,80,0,576
1,0,72,80,0,576
1,0,67,80,672,768
1,0,75,80,768,1056
1,0,72,80,1056,1152
1,0,79,80,1152,1440
1,0,75,80,1440,1536
1,0,84,80,1536,1824
1,0,79,80,1824,1920
1,0,87,80,1920,2304
1,0,87,80,2304,2688
2,0,60,80,3072,3456
2,0,63,80,3072,3456
1,0,67,80,3072,3456
1,0,72,80,3072,3456
2,0,60,80,3456,4224
2,0,63,80,3456,4224
1,0,67,80,3456,4224
1,0,72,80,3456,4224
2,0,62,80,4224,4608
2,0,65,80,4224,4608
1,0,67,80,4224,4608
1,0,71,80,4224,4608
2,0,50,80,4608,5184
2,0,53,80,4608,5184
2,0,56,80,4608,5184
2,0,59,80,4608,5184
2,0,62,80,4608,5184
1,0,65,80,4608,5184
1,0,68,80,4608,5184
1,0,71,80,4608,5184
1,0,71,80,5280,5376
1,0,77,80,5376,5664
1,0,74,80,5664,5760
1,0,83,80,5760,6048
1,0,77,80,6048,6144
1,0,86,80,6144,6432
1,0,83,80,6432,6528
1,0,89,80,6528,6912
1,0,89,80,6912,7296
2,0,62,80,7680,8064
2,0,65,80,7680,8064
2,0,68,80,7680,8064
1,0,71,80,7680,8064
1,0,74,80,7680,8064
2,0,62,80,8064,8832
2,0,65,80,8064,8832
2,0,68,80,8064,8832
1,0,71,80,8064,8832
1,0,74,80,8064,8832
2,0,63,80,8832,9216
2,0,67,80,8832,9216
1,0,72,80,8832,9264
1,0,75,80,9184,9280
1,0,79,80,9216,9792
1,0,77,80,9792,9984
2,0,51,80,9984,10368
2,0,55,80,9984,10368
2,0,60,80,9984,10368
1,0,75,80,9984,10368
2,0,53,80,10368,11136
2,0,56,80,10368,11136
2,0,59,80,10368,11136
1,0,74,80,10368,11136
2,0,51,80,11136,11520
2,0,55,80,11136,11520
2,0,60,80,11136,11520
1,0,72,80,11136,11536
1,0,67,80,11488,11536
1,0,75,80,11504,11552
1,0,79,80,11520,12096
1,0,77,80,12096,12288
1,0,72,80,12288,12672
1,0,75,80,12288,12672
2,0,63,80,12288,12672
2,0,67,80,12288,12672
1,0,71,80,12672,13440
1,0,74,80,12672,13440
2,0,65,80,12672,13440
2,0,68,80,12672,13440
1,0,72,80,13440,13840
2,0,63,80,13440,13824
2,0,67,80,13440,13824
1,0,67,80,13776,14400
1,0,75,80,13808,13856
1,0,79,80,13824,14400
1,0,65,80,14400,14592
1,0,77,80,14400,14592
1,0,63,80,14592,15360
1,0,75,80,14592,15360
2,0,51,80,14592,14976
2,0,55,80,14592,14976
2,0,60,80,14592,14976
2,0,53,80,14976,15744
2,0,56,80,14976,15744
2,0,59,80,14976,15744
1,0,62,80,15360,15744
1,0,74,80,15360,15744
1,0,60,80,15744,16512
1,0,72,80,15744,16512
2,0,51,80,15744,16128
2,0,55,80,15744,16128
2,0,50,80,16128,16896
2,0,53,80,16128,16896
1,0,59,80,16512,16896
1,0,71,80,16512,16896
1,0,56,80,16896,17664
1,0,68,80,16896,17664
2,0,48,80,16896,17280
2,0,51,80,16896,17280
2,0,47,80,17280,17664
2,0,50,80,17280,17664
1,0,55,80,17664,18048
1,0,67,80,17664,18048
1,0,59,80,18816,18944
1,0,62,80,18944,19072
1,0,65,80,19072,19200
1,0,68,80,19200,19328
2,0,47,80,19200,19584
2,0,50,80,19200,19584
2,0,53,80,19200,19584
2,0,56,80,19200,19584
1,0,67,80,19328,19456
1,0,65,80,19456,19584
1,0,63,80,19584,19968
2,0,48,80,19584,19968
2,0,51,80,19584,19968
2,0,55,80,19584,19968
1,0,53,80,21120,21248
1,0,56,80,21248,21376
1,0,62,80,21376,21504
1,0,65,80,21504,21632
2,0,41,80,21504,21888
2,0,44,80,21504,21888
2,0,50,80,21504,21888
1,0,63,80,21632,21760
1,0,62,80,21760,21888
1,0,60,80,21888,22272
2,0,43,80,21888,22272
2,0,48,80,21888,22272
2,0,51,80,21888,22272
1,0,55,80,23424,23552
1,0,59,80,23552,23680
1,0,62,80,23680,23808
1,0,65,80,23808,23936
2,0,31,80,23808,24192
2,0,43,80,23808,24192
1,0,62,80,23936,24064
1,0,59,80,24064,24192
1,0,51,80,24192,24768
1,0,55,80,24192,24768
1,0,60,80,24192,24768
2,0,36,80,24192,24768
2,0,39,80,24192,24768
2,0,43,80,24192,24768
2,0,48,80,24192,24768
1,0,60,80,24864,24960
1,0,67,80,24960,25248
1,0,63,80,25248,25344
1,0,72,80,25344,25632
1,0,67,80,25632,25728
1,0,75,80,25728,26016
1,0,72,80,26016,26112
1,0,67,80,26112,26496
1,0,79,80,26112,26496
2,0,48,80,26112,26496
2,0,51,80,26112,26496
2,0,55,80,26112,26496
1,0,67,80,26496,26880
1,0,79,80,26496,26880
2,0,47,80,26496,26880
2,0,50,80,26496,26880
2,0,55,80,26496,26880
1,0,59,80,27168,27264
1,0,67,80,27264,27552
1,0,62,80,27552,27648
1,0,71,80,27648,27936
1,0,67,80,27936,28032
1,0,74,80,28032,28320
1,0,71,80,28320,28416
1,0,67,80,28416,28800
1,0,79,80,28416,28800
2,0,47,80,28416,28800
2,0,50,80,28416,28800
2,0,55,80,28416,28800
1,0,67,80,28800,29184
1,0,79,80,28800,29184
2,0,48,80,28800,29184
2,0,51,80,28800,29184
2,0,55,80,28800,29184
1,0,63,80,29472,29568
1,0,67,80,29568,29856
1,0,63,80,29856,29952
1,0,72,80,29952,30240
1,0,67,80,30240,30336
1,0,75,80,30336,30624
1,0,72,80,30624,30720
1,0,79,80,30720,31008
2,0,51,80,30720,31104
2,0,55,80,30720,31104
2,0,60,80,30720,31104
1,0,75,80,31008,31104
1,0,74,80,31104,31488
2,0,53,80,31104,31488
2,0,56,80,31104,31488
2,0,62,80,31104,31488
1,0,89,80,31488,31872
1,0,71,80,32256,32640
2,0,55,80,32256,32640
2,0,59,80,32256,32640
2,0,62,80,32256,32640
1,0,86,80,32640,33024
1,0,72,80,33408,33792
2,0,48,80,33408,33792
2,0,51,80,33408,33792
2,0,55,80,33408,33792
2,0,60,80,33408,33792
1,0,84,80,33792,34176
2,0,63,80,35712,39168
2,0,61,80,36864,38016
1,0,67,80,37248,38016
1,0,75,80,37632,38016
1,0,68,80,38016,39168
1,0,75,80,38016,38784
2,0,60,80,38016,39168
1,0,75,80,38784,39552
1,0,67,80,39168,40320
2,0,58,80,39168,40320
