# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,51,80,0,240
2,0,58,80,0,240
1,0,61,80,0,240
1,0,65,80,0,240
1,0,66,80,0,240
1,0,70,80,0,240
1,0,77,80,0,240
2,0,56,80,1440,2160
1,0,60,80,1440,2160
1,0,66,80,1440,1920
1,0,68,80,1440,1920
1,0,75,80,1440,1920
1,0,68,80,1920,2160
2,0,56,80,2160,2640
2,0,58,80,2160,2640
1,0,61,80,2160,2640
1,0,65,80,2160,2640
1,0,66,80,2160,2640
1,0,70,80,2160,2640
1,0,77,80,2160,2640
1,0,63,80,2640,2880
1,0,75,80,2640,2880
2,0,32,80,2880,3120
2,0,44,80,2880,3120
2,0,51,80,2880,3120
2,0,54,80,2880,3120
2,0,56,80,2880,3120
1,0,60,80,2880,3120
1,0,68,80,2880,3120
2,0,37,80,4320,4800
2,0,44,80,4320,4800
2,0,53,80,4320,4800
1,0,61,80,4320,4800
1,0,65,80,4320,4800
1,0,73,80,4320,4800
1,0,73,80,4320,4800
2,0,44,80,4800,5520
2,0,53,80,4800,5520
1,0,61,80,4800,5520
1,0,65,80,4800,5520
1,0,72,80,4800,5520
1,0,72,80,4800,5520
2,0,44,80,5520,5760
2,0,53,80,5520,5760
1,0,61,80,5520,5760
1,0,65,80,5520,5760
1,0,70,80,5520,5760
1,0,70,80,5520,5760
2,0,44,80,5760,6720
2,0,53,80,5760,6720
1,0,61,80,5760,6720
1,0,65,80,5760,6720
1,0,72,80,5760,6720
1,0,72,80,5760,6720
2,0,44,80,6720,7200
2,0,53,80,6720,7200
1,0,61,80,6720,7200
1,0,65,80,6720,7200
1,0,70,80,6720,7200
1,0,70,80,6720,7200
2,0,37,80,7200,7920
2,0,44,80,7200,7920
2,0,53,80,7200,7920
1,0,61,80,7200,7920
1,0,65,80,7200,7920
1,0,68,80,7200,7920
1,0,68,80,7200,7920
2,0,44,80,7920,8160
2,0,53,80,7920,8160
2,0,56,80,7920,8160
1,0,61,80,7920,8160
1,0,61,80,7920,8160
2,0,44,80,8160,8280
2,0,53,80,8160,8280
2,0,56,80,8160,8280
1,0,61,80,8160,8280
1,0,61,80,8160,8280
2,0,44,80,8280,8640
2,0,53,80,8280,8640
2,0,56,80,8280,8640
1,0,61,80,8280,8640
1,0,63,80,8280,8640
1,0,63,80,8280,8640
2,0,44,80,8640,10080
2,0,53,80,8640,10080
2,0,56,80,8640,10080
1,0,61,80,8640,10080
1,0,65,80,8640,10080
1,0,65,80,8640,10080
2,0,37,80,10080,10560
2,0,44,80,10080,10560
2,0,53,80,10080,10560
1,0,61,80,10080,10560
1,0,65,80,10080,10560
1,0,73,80,10080,10560
1,0,73,80,10080,10560
2,0,44,80,10560,11280
2,0,53,80,10560,11280
1,0,61,80,10560,11280
1,0,65,80,10560,11280
1,0,72,80,10560,11280
1,0,72,80,10560,11280
2,0,44,80,11280,11520
2,0,53,80,11280,11520
1,0,61,80,11280,11520
1,0,65,80,11280,11520
1,0,70,80,11280,11520
1,0,70,80,11280,11520
2,0,44,80,11520,12480
2,0,53,80,11520,12480
1,0,61,80,11520,12480
1,0,65,80,11520,12480
1,0,72,80,11520,12480
1,0,72,80,11520,12480
2,0,44,80,12480,12960
2,0,53,80,12480,12960
1,0,61,80,12480,12960
1,0,65,80,12480,12960
1,0,70,80,12480,12960
1,0,70,80,12480,12960
2,0,39,80,12960,13680
2,0,44,80,12960,13680
2,0,54,80,12960,13680
2,0,56,80,12960,13680
1,0,60,80,12960,13680
1,0,63,80,12960,13680
1,0,68,80,12960,13680
1,0,68,80,12960,13680
2,0,54,80,13680,13920
2,0,56,80,13680,13920
1,0,60,80,13680,13920
1,0,63,80,13680,13920
1,0,63,80,13680,13920
2,0,54,80,13920,14280
2,0,56,80,13920,14280
1,0,60,80,13920,14280
1,0,63,80,13920,14280
1,0,63,80,13920,14280
2,0,53,80,14280,14400
2,0,56,80,14280,14400
1,0,60,80,14280,14400
1,0,65,80,14280,14400
1,0,65,80,14280,14400
2,0,51,80,14400,15840
2,0,56,80,14400,15840
1,0,60,80,14400,15840
1,0,66,80,14400,15840
1,0,66,80,14400,15840
2,0,54,80,15840,16320
2,0,56,80,15840,16320
1,0,60,80,15840,16320
1,0,63,80,15840,16320
1,0,68,80,15840,16320
1,0,68,80,15840,16320
2,0,51,80,16320,16800
2,0,56,80,16320,16800
1,0,66,80,16320,16800
1,0,68,80,16320,16800
1,0,72,80,16320,16800
1,0,72,80,16320,16800
2,0,32,80,16800,17280
2,0,44,80,16800,17280
1,0,65,80,16800,17280
1,0,68,80,16800,17280
1,0,72,80,16800,17280
1,0,77,80,16800,17280
1,0,77,80,16800,17280
2,0,54,80,17280,18240
2,0,56,80,17280,18240
1,0,60,80,17280,18240
1,0,63,80,17280,18240
1,0,68,80,17280,18240
1,0,72,80,17280,18240
1,0,75,80,17280,18240
1,0,75,80,17280,18240
2,0,53,80,18240,18720
2,0,56,80,18240,18720
1,0,61,80,18240,18720
1,0,65,80,18240,18720
1,0,68,80,18240,18720
1,0,73,80,18240,18720
1,0,73,80,18240,18720
2,0,42,80,18720,18960
2,0,49,80,18720,18960
2,0,56,80,18720,18960
1,0,60,80,18720,18960
1,0,61,80,18720,18960
1,0,72,80,18720,18960
1,0,72,80,18720,18960
2,0,54,80,18960,19200
1,0,70,80,18960,19200
1,0,70,80,18960,19200
2,0,58,80,19200,19920
1,0,61,80,19200,19920
1,0,66,80,19200,19920
1,0,73,80,19200,19920
1,0,73,80,19200,19920
2,0,56,80,19920,20160
1,0,60,80,19920,20160
1,0,61,80,19920,20160
1,0,66,80,19920,20160
1,0,72,80,19920,20160
1,0,72,80,19920,20160
2,0,56,80,20160,21120
1,0,60,80,20160,21120
1,0,61,80,20160,21600
1,0,66,80,20160,21600
1,0,72,80,20160,21120
1,0,72,80,20160,21120
2,0,54,80,21120,21600
2,0,58,80,21120,21600
1,0,70,80,21120,21600
1,0,70,80,21120,21600
2,0,32,80,21600,22560
2,0,44,80,21600,22560
2,0,56,80,21600,22080
1,0,61,80,21600,22080
1,0,65,80,21600,22080
1,0,68,80,21600,22080
1,0,68,80,21600,22080
2,0,53,80,22080,22560
1,0,65,80,22080,22560
1,0,65,80,22080,22560
2,0,33,80,22560,23040
2,0,45,80,22560,23040
2,0,53,80,22560,23040
1,0,61,80,22560,23040
1,0,65,80,22560,23040
1,0,65,80,22560,23040
2,0,34,80,23040,24000
2,0,41,80,23040,24000
2,0,46,80,23040,24000
1,0,61,80,23040,24000
1,0,65,80,23040,24000
1,0,70,80,23040,24000
1,0,73,80,23040,23280
1,0,73,80,23040,24000
1,0,73,80,23280,24000
2,0,42,80,24000,24360
2,0,49,80,24000,24360
2,0,54,80,24000,24360
2,0,58,80,24000,24360
1,0,61,80,24000,24360
1,0,63,80,24000,24360
1,0,63,80,24000,24360
2,0,41,80,24360,24480
2,0,53,80,24360,24480
2,0,58,80,24360,24480
1,0,61,80,24360,24480
1,0,65,80,24360,24480
1,0,65,80,24360,24480
2,0,39,80,24480,25440
2,0,51,80,24480,25440
2,0,58,80,24480,25440
1,0,61,80,24480,25440
1,0,68,80,24480,25440
1,0,68,80,24480,25440
2,0,44,80,25440,25920
2,0,56,80,25440,25920
1,0,60,80,25440,25920
1,0,63,80,25440,25920
1,0,66,80,25440,25920
1,0,66,80,25440,25920
2,0,37,80,25920,27360
2,0,44,80,25920,27360
2,0,49,80,25920,27360
2,0,53,80,25920,27360
2,0,56,80,25920,27360
1,0,61,80,25920,27360
1,0,65,80,25920,27360
1,0,65,80,25920,27360
2,0,49,80,28800,29280
2,0,56,80,28800,29280
1,0,65,80,28800,29280
1,0,73,80,28800,29280
1,0,73,80,28800,29280
1,0,77,80,28800,29280
1,0,85,80,28800,29280
2,0,56,80,29280,30000
1,0,65,80,29280,30000
1,0,72,80,29280,30000
1,0,73,80,29280,30000
1,0,77,80,29280,30000
1,0,84,80,29280,30000
2,0,56,80,30000,30240
1,0,65,80,30000,30240
1,0,70,80,30000,30240
1,0,73,80,30000,30240
1,0,77,80,30000,30240
1,0,82,80,30000,30240
2,0,56,80,30240,31200
1,0,65,80,30240,31200
1,0,72,80,30240,31200
1,0,73,80,30240,31200
1,0,77,80,30240,31200
1,0,84,80,30240,31200
2,0,56,80,31200,31680
1,0,65,80,31200,31680
1,0,70,80,31200,31680
1,0,73,80,31200,31680
1,0,77,80,31200,31680
1,0,82,80,31200,31680
2,0,49,80,31680,32400
2,0,56,80,31680,32400
1,0,65,80,31680,32400
1,0,68,80,31680,32400
1,0,73,80,31680,32400
1,0,77,80,31680,32400
1,0,80,80,31680,32400
2,0,56,80,32400,32640
1,0,61,80,32400,32640
1,0,65,80,32400,32640
1,0,68,80,32400,32640
1,0,73,80,32400,32640
2,0,56,80,32640,33000
1,0,61,80,32640,33000
1,0,65,80,32640,33000
1,0,68,80,32640,33000
1,0,73,80,32640,33000
2,0,56,80,33000,33120
1,0,63,80,33000,33120
1,0,65,80,33000,33120
1,0,68,80,33000,33120
1,0,73,80,33000,33120
1,0,75,80,33000,33120
2,0,56,80,33120,34560
1,0,65,80,33120,34560
1,0,65,80,33120,34560
1,0,68,80,33120,34560
1,0,73,80,33120,34560
1,0,77,80,33120,34560
2,0,49,80,34560,35040
2,0,56,80,34560,35040
1,0,65,80,34560,35040
1,0,73,80,34560,35040
1,0,73,80,34560,35040
1,0,77,80,34560,35040
1,0,80,80,34560,35040
1,0,85,80,34560,35040
1,0,60,80,35040,35760
1,0,61,80,35040,35760
1,0,65,80,35040,35760
1,0,68,80,35040,35760
1,0,72,80,35040,35760
1,0,72,80,35040,35760
