# DoReDog MIDI extraction
# source,Mutopia
# ticks_per_quarter,384
# meta,0,0,tempo,1090909
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,50,80,0,384
2,0,45,80,384,768
2,0,47,80,768,1152
2,0,42,80,1152,1536
2,0,43,80,1536,1920
2,0,38,80,1920,2304
2,0,43,80,2304,2688
2,0,45,80,2688,3072
2,0,50,80,3072,3456
1,0,78,80,3072,3456
2,0,45,80,3456,3840
1,0,76,80,3456,3840
2,0,47,80,3840,4224
1,0,74,80,3840,4224
2,0,42,80,4224,4608
1,0,73,80,4224,4608
2,0,43,80,4608,4992
1,0,71,80,4608,4992
2,0,38,80,4992,5376
1,0,69,80,4992,5376
2,0,43,80,5376,5760
1,0,71,80,5376,5760
2,0,45,80,5760,6144
1,0,73,80,5760,6144
2,0,50,80,6144,6528
1,0,74,80,6144,6528
1,0,78,80,6144,6528
2,0,45,80,6528,6912
1,0,73,80,6528,6912
1,0,76,80,6528,6912
2,0,47,80,6912,7296
1,0,71,80,6912,7296
1,0,74,80,6912,7296
2,0,42,80,7296,7680
1,0,69,80,7296,7680
1,0,73,80,7296,7680
2,0,43,80,7680,8064
1,0,67,80,7680,8064
1,0,71,80,7680,8064
2,0,38,80,8064,8448
1,0,66,80,8064,8448
1,0,69,80,8064,8448
2,0,43,80,8448,8832
1,0,67,80,8448,8832
1,0,71,80,8448,8832
2,0,45,80,8832,9216
1,0,64,80,8832,9216
1,0,73,80,8832,9216
2,0,50,80,9216,9600
1,0,62,80,9216,9408
1,0,74,80,9216,9600
1,0,78,80,9216,9600
1,0,66,80,9408,9600
2,0,45,80,9600,9984
1,0,69,80,9600,9792
1,0,73,80,9600,9984
1,0,76,80,9600,9984
1,0,67,80,9792,9984
2,0,47,80,9984,10368
1,0,66,80,9984,10176
1,0,71,80,9984,10368
1,0,74,80,9984,10368
1,0,62,80,10176,10368
2,0,42,80,10368,10752
1,0,66,80,10368,10560
1,0,69,80,10368,10752
1,0,73,80,10368,10752
1,0,64,80,10560,10752
2,0,43,80,10752,11136
1,0,62,80,10752,10944
1,0,67,80,10752,11136
1,0,71,80,10752,11136
2,0,59,80,10944,11136
2,0,38,80,11136,11520
1,0,62,80,11136,11328
1,0,66,80,11136,11520
1,0,69,80,11136,11520
1,0,69,80,11328,11520
2,0,43,80,11520,11904
1,0,67,80,11520,11712
1,0,67,80,11520,11904
1,0,71,80,11520,11904
1,0,71,80,11712,11904
2,0,45,80,11904,12288
1,0,64,80,11904,12288
1,0,69,80,11904,12096
1,0,73,80,11904,12288
1,0,67,80,12096,12288
2,0,50,80,12288,12672
