# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,80,80,0,360
1,0,64,80,360,480
1,0,74,80,360,480
2,0,58,80,480,720
1,0,68,80,480,720
1,0,68,80,720,1080
2,0,52,80,1080,1200
1,0,62,80,1080,1200
2,0,46,80,1200,1440
2,0,56,80,1200,1440
2,0,34,80,1440,2160
2,0,46,80,1440,2160
2,0,56,80,1440,2160
1,0,62,80,1440,2160
1,0,68,80,1440,2160
2,0,33,80,2160,2880
2,0,45,80,2160,2880
2,0,57,80,2160,2880
1,0,69,80,2160,2880
2,0,38,80,2880,3240
1,0,81,80,2880,3240
2,0,45,80,3240,3360
1,0,74,80,3240,3360
2,0,53,80,3360,3600
1,0,69,80,3360,3600
2,0,52,80,3600,3960
1,0,67,80,3600,3960
2,0,46,80,3960,4080
1,0,62,80,3960,4080
2,0,34,80,4080,4320
2,0,55,80,4080,4320
2,0,38,80,4320,4680
1,0,81,80,4320,4680
2,0,45,80,4680,4800
1,0,74,80,4680,4800
2,0,53,80,4800,5040
1,0,69,80,4800,5040
2,0,52,80,5040,5400
1,0,67,80,5040,5400
2,0,46,80,5400,5520
1,0,62,80,5400,5520
2,0,34,80,5520,5760
2,0,55,80,5520,5760
2,0,38,80,5760,6120
1,0,81,80,5760,6120
2,0,45,80,6120,6240
1,0,74,80,6120,6240
2,0,53,80,6240,6480
1,0,69,80,6240,6480
2,0,53,80,6480,6840
1,0,69,80,6480,6840
2,0,45,80,6840,6960
1,0,62,80,6840,6960
2,0,38,80,6960,7200
2,0,57,80,6960,7200
2,0,38,80,7200,7560
1,0,81,80,7200,7560
2,0,45,80,7560,7680
1,0,74,80,7560,7680
2,0,53,80,7680,7920
1,0,69,80,7680,7920
2,0,53,80,7920,8280
1,0,69,80,7920,8280
2,0,45,80,8280,8400
1,0,62,80,8280,8400
2,0,38,80,8400,8640
2,0,57,80,8400,8640
1,0,62,80,8400,8640
2,0,38,80,8640,9000
1,0,69,80,8640,9120
1,0,81,80,8640,9000
2,0,45,80,9000,9120
1,0,74,80,9000,9120
2,0,53,80,9120,9360
1,0,69,80,9120,9360
